# Time	Input
-4.6996654	0.0000000
-4.5998377	0.0000000
-4.4999980	0.0000000
-4.3997588	0.0000000
-4.2991908	0.0000000
-4.1995185	0.0000000
-4.0999094	0.0000000
-3.9998469	0.0000000
-3.8997906	0.0000000
-3.7997788	0.0000000
-3.6998689	0.0000000
-3.5998467	0.0000000
-3.4997527	0.0000000
-3.3999468	0.0000000
-3.2998047	0.0000000
-3.1997076	0.0000000
-3.0997880	0.0000000
-2.9998124	0.0000000
-2.8995971	0.0000000
-2.7996549	0.0000000
-2.6997996	0.0000000
-2.5997228	0.0000000
-2.4997448	0.0000000
-2.3998392	0.0000000
-2.2995540	0.0000000
-2.1995843	0.0000000
-2.0997120	0.0000000
-1.9996861	0.0000000
-1.8997548	0.0000000
-1.7993976	0.0000000
-1.6994644	0.0000000
-1.5998269	0.0000000
-1.4996360	0.0000000
-1.3997947	0.0000000
-1.2999025	0.0000000
-1.1999363	0.0000000
-1.0998346	0.0000000
-0.9998612	0.0000000
-0.8998254	0.0000000
-0.7997140	0.0000000
-0.6996943	0.0000000
-0.5997839	0.0000000
-0.4992361	0.0000000
-0.3997993	0.0000000
-0.2996342	0.0000000
-0.1998144	0.0000000
-0.0998308	0.0000000
0.0002627	-2.2574146
0.1002598	-1.9223654
0.2002086	-1.5348743
0.3002506	-1.1932143
0.4002043	-0.5067246
0.5002145	0.5043998
0.6002775	1.4837638
0.7004877	2.7567911
0.8001487	3.8981032
0.9001951	4.5690789
1.0001818	4.7661862
1.1002020	4.6786880
1.2003341	3.5916579
1.3003159	2.3422701
1.4004890	2.0737391
1.5001155	2.7067933
1.6001306	3.7009020
1.7005097	4.3885727
1.8003080	4.5494208
1.9003395	2.9646163
2.0003927	1.2343639
2.1001262	0.1369257
2.2002143	-0.1609163
2.3005353	0.3456991
2.4004634	1.4808674
2.5002068	2.5019739
2.6001843	3.8372860
2.7002058	4.9539471
2.8003177	5.7793541
2.9001682	5.9016509
3.0003146	5.0558429
3.1002580	4.2618670
3.2001357	2.6118402
3.3002307	1.9423560
3.4007432	2.3954902
3.5002872	2.9477398
3.6002291	3.4609871
3.7001802	3.5539198
3.8003558	3.4113843
3.9001649	3.0462589
4.0001695	3.3745940
4.1003423	4.2971172
4.2001175	5.7530122
4.3002788	7.4048657
4.4001408	7.9968710
4.5001362	7.2626896
4.6001175	6.2661285
4.7001513	4.8603277
4.8001027	2.9950156
4.9002058	2.3252413
5.0001605	2.3867164
5.1001848	3.2528930
5.2006116	4.3761249
5.3002051	4.9742336
5.4001695	5.3000808
5.5001446	5.1619458
5.6001129	5.0701098
5.7001464	5.3922434
5.8001449	6.3748960
5.9001774	7.5640516
6.0001966	8.0042839
6.1001605	7.1296701
6.2002537	5.3567572
6.3001667	4.3729401
6.4003346	4.1347704
6.5001239	5.5722551
6.6003479	7.1314321
6.7005530	8.1674623
6.8001805	8.5282345
6.9001167	7.4791846
7.0001044	6.0877719
7.1001006	5.4037442
7.2001720	5.0508356
7.3004132	5.3393717
7.4002993	6.2711382
7.5004495	7.0298195
7.6001900	8.1063108
7.7002158	9.1866684
7.8001267	9.7334766
7.9002255	8.4073181
8.0001426	7.0238791
8.1001503	4.6101484
8.2000996	2.6458578
8.3005123	2.3724957
8.4002711	3.9111400
8.5003735	5.1608744
8.6001060	5.5874014
8.7002017	5.5472827
8.8003059	5.2548304
8.9000689	4.6322055
9.0002202	3.1562483
9.1001800	2.4746242
9.2002401	2.2366843
9.3002207	1.6827564
9.4000942	2.1686308
9.5003988	2.7935448
9.6002299	3.1391282
9.7001687	3.8246789
9.8001405	4.4558582
9.9002381	4.5866790
10.0003049	4.3119869
10.1002988	3.4817317
10.2002601	3.4675772
10.3001405	3.4037051
10.4003891	2.9032135
10.5001784	2.5912611
10.6002872	2.1076519
10.7002726	1.3804663
10.8001779	1.6394490
10.9001300	1.4324175
11.0000676	1.4533184
11.1002235	2.4573975
11.2003282	3.0439227
11.3001313	3.7606339
11.4002368	4.3039412
11.5006116	4.1740494
11.6003620	3.5556791
11.7001400	1.5424410
11.8001152	0.2433013
11.9002908	0.1575140
12.0002294	1.3368338
12.1001019	2.4291904
12.2001795	2.0680885
12.3001562	0.3206157
12.4004562	-1.8263280
12.5002051	-3.5352700
12.6004421	-5.4831481
12.7002115	-6.1885509
12.8001733	-5.5295577
12.9003098	-4.5408945
13.0003059	-4.1112456
13.1001431	-4.0280051
13.2001605	-4.1561074
13.3001239	-4.3425951
13.4001152	-4.5969267
13.5001370	-5.2593398
13.6001157	-6.0557437
13.7001812	-6.4812646
13.8003200	-6.2152719
13.9003699	-6.1185827
14.0002235	-5.3048778
14.1001807	-5.3810825
14.2002048	-6.3220601
14.3001260	-7.1446352
14.4001748	-6.5231600
14.5002319	-4.8253374
14.6001646	-4.3314538
14.7001756	-4.9624357
14.8001725	-5.9265995
14.9001539	-7.1230416
15.0001667	-7.5343227
15.1004567	-8.3067703
15.2000433	-8.3269997
15.3002004	-8.9432173
15.4002470	-8.3711004
15.5002035	-5.8697562
15.6002068	-4.3592730
15.7001531	-5.1815419
15.8000771	-8.4458981
15.9003405	-11.4718428
15.9639977	0.0000000
