# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
-4.3894943	-0.0000000	-0.0000000	-0.4123780	-0.1864209	-0.2663692	2.6080337	-0.0000000	-0.0000000	0.0000000
-4.2890268	0.0002516	-0.0001035	-0.4163159	-0.1871479	-0.2758146	2.6076481	-0.0046411	-0.0020436	0.0063195
-4.1895089	0.0013168	-0.0005674	-0.4115905	-0.1887670	-0.2792030	2.6068343	-0.0117966	-0.0054403	0.0179417
-4.0896067	0.0028260	-0.0011631	-0.4093168	-0.1902552	-0.2775585	2.6060144	-0.0166892	-0.0083877	0.0245204
-3.9895675	0.0056206	-0.0021785	-0.4084131	-0.1915236	-0.2691819	2.6043698	-0.0200855	-0.0104386	0.0253232
-3.8895772	0.0079890	-0.0029739	-0.4069515	-0.1913859	-0.2578202	2.6024571	-0.0164792	-0.0092104	0.0221266
-3.7895880	0.0095120	-0.0033760	-0.4092639	-0.1908976	-0.2463451	2.6005456	-0.0111523	-0.0097800	0.0210658
-3.6896077	0.0111027	-0.0034082	-0.4082162	-0.1906280	-0.2274285	2.5968835	-0.0014127	-0.0127591	0.0247672
-3.5893988	0.0119794	-0.0027518	-0.4062834	-0.1914332	-0.2141071	2.5934303	0.0056470	-0.0167128	0.0257861
-3.4893832	0.0123969	-0.0016971	-0.4071538	-0.1926529	-0.2080083	2.5909676	0.0095879	-0.0196826	0.0222897
-3.3895544	0.0125770	0.0006338	-0.4081999	-0.1947321	-0.2089981	2.5887399	0.0171247	-0.0227865	0.0152633
-3.2896010	0.0119659	0.0036089	-0.4123712	-0.1961533	-0.2181974	2.5889582	0.0272975	-0.0236786	0.0050757
-3.1895683	0.0110130	0.0062009	-0.4061463	-0.1968523	-0.2291842	2.5903464	0.0353137	-0.0233803	0.0023589
-3.0896067	0.0089098	0.0105564	-0.4066171	-0.1973694	-0.2482647	2.5930776	0.0371078	-0.0217997	0.0002332
-2.9895923	0.0073811	0.0139753	-0.4102882	-0.1974777	-0.2644897	2.5943252	0.0269723	-0.0189054	0.0023373
-2.8894374	0.0069314	0.0161144	-0.4100540	-0.1968519	-0.2779782	2.5933941	0.0066808	-0.0133598	0.0035886
-2.7896059	0.0074556	0.0166122	-0.4092939	-0.1951759	-0.2854591	2.5909784	-0.0098396	-0.0067148	0.0000772
-2.6895718	0.0094303	0.0154952	-0.4073612	-0.1905423	-0.2895057	2.5862795	-0.0303123	0.0048411	-0.0059234
-2.5895245	0.0114046	0.0133556	-0.4058721	-0.1862763	-0.2850155	2.5833884	-0.0311297	0.0106976	-0.0092980
-2.4895483	0.0125856	0.0120258	-0.4122286	-0.1839580	-0.2757423	2.5827426	-0.0240320	0.0110539	-0.0124107
-2.3895434	0.0137086	0.0099488	-0.4063228	-0.1832946	-0.2543255	2.5836807	-0.0119488	0.0063047	-0.0033676
-2.2894840	0.0143127	0.0093332	-0.4105143	-0.1849754	-0.2334806	2.5843622	-0.0108591	0.0019735	-0.0007918
-2.1895465	0.0151450	0.0085852	-0.4082087	-0.1871765	-0.2182314	2.5838955	-0.0115766	-0.0008948	0.0060609
-2.0895839	0.0163921	0.0081423	-0.4112975	-0.1908246	-0.2031901	2.5815723	-0.0139084	-0.0034863	0.0082316
-1.9895309	0.0178701	0.0074751	-0.4100510	-0.1935018	-0.2013004	2.5791903	-0.0131966	-0.0049836	0.0097854
-1.8895173	0.0190802	0.0068686	-0.4078612	-0.1954029	-0.2072042	2.5777496	-0.0115650	-0.0046486	0.0116822
-1.7894336	0.0200135	0.0069365	-0.4143540	-0.1977082	-0.2243416	2.5765308	-0.0117951	-0.0024864	0.0068499
-1.6894723	0.0217185	0.0054164	-0.4049115	-0.1986413	-0.2431796	2.5758148	-0.0131510	-0.0017205	0.0098616
-1.5894958	0.0226846	0.0047599	-0.4051057	-0.1984038	-0.2586232	2.5751036	-0.0139959	0.0000819	0.0048789
-1.4895652	0.0238086	0.0037139	-0.4031980	-0.1968289	-0.2751184	2.5737279	-0.0138136	0.0025333	0.0006644
-1.3894405	0.0248920	0.0028666	-0.4077879	-0.1935436	-0.2861247	2.5716300	-0.0138345	0.0042682	-0.0084951
-1.2895588	0.0256037	0.0020192	-0.4082894	-0.1905533	-0.2857618	2.5698644	-0.0136907	0.0046486	-0.0112042
-1.1896120	0.0259709	0.0012847	-0.4063172	-0.1887427	-0.2793493	2.5686579	-0.0120535	0.0055669	-0.0104385
-1.0895969	0.0262865	0.0007531	-0.4100131	-0.1881537	-0.2612301	2.5675051	-0.0050906	0.0058835	-0.0125853
-0.9895739	0.0257599	0.0006188	-0.4111601	-0.1896867	-0.2408500	2.5670107	0.0058956	0.0062072	-0.0105423
-0.8895421	0.0248455	0.0007234	-0.4103633	-0.1918956	-0.2237858	2.5667479	0.0142568	0.0055234	-0.0062890
-0.7894684	0.0228950	0.0017080	-0.4135819	-0.1953093	-0.2036012	2.5656011	0.0128039	0.0043474	-0.0056413
-0.6895826	0.0225182	0.0014183	-0.4113715	-0.1966939	-0.1990890	2.5635206	-0.0017402	0.0044672	-0.0061295
-0.5895898	0.0233702	0.0002909	-0.4084287	-0.1963649	-0.2052726	2.5613987	-0.0154369	0.0056738	-0.0105623
-0.4895053	0.0246975	-0.0012678	-0.4107094	-0.1937412	-0.2282112	2.5584879	-0.0251407	0.0105997	-0.0229031
-0.3894374	0.0260179	-0.0033704	-0.4095144	-0.1906823	-0.2513739	2.5574244	-0.0212360	0.0146786	-0.0298480
-0.2894628	0.0261877	-0.0049777	-0.4056728	-0.1885504	-0.2679150	2.5578271	-0.0138783	0.0158788	-0.0317142
-0.1895706	0.0258288	-0.0059191	-0.4105543	-0.1870135	-0.2829528	2.5592156	-0.0112410	0.0148018	-0.0386741
-0.0896105	0.0252384	-0.0069505	-0.4065489	-0.1872993	-0.2856196	2.5593743	-0.0168279	0.0089550	-0.0347203
0.0104742	0.0253899	-0.0076514	-0.4037030	-0.1880215	-0.2819684	2.5582408	-0.0258579	0.0031715	-0.0290162
0.1104159	0.0275081	-0.0084725	-0.4076178	-0.1889818	-0.2716614	2.5557401	-0.0340531	-0.0022472	-0.0238399
0.2104123	0.0309659	-0.0095970	-0.4105389	-0.1901328	-0.2565196	2.5527515	-0.0376359	-0.0082256	-0.0124105
0.3104141	0.0346669	-0.0108759	-0.4106766	-0.1917242	-0.2437958	2.5513465	-0.0400387	-0.0110817	0.0006551
0.4104364	0.0377834	-0.0116940	-0.4146403	-0.1933948	-0.2348203	2.5507360	-0.0426768	-0.0112233	0.0048186
0.5106043	0.0437377	-0.0151517	-0.4030733	-0.1955868	-0.2261628	2.5496368	-0.0420666	-0.0119144	0.0181319
