# Time	Input
-4.6996608	0.0000000
-4.5996017	0.0000000
-4.4997501	0.0000000
-4.3996682	0.0000000
-4.2981837	0.0000000
-4.1992220	0.0000000
-4.0995945	0.0000000
-3.9996580	0.0000000
-3.8995873	0.0000000
-3.7996326	0.0000000
-3.6996782	0.0000000
-3.5995968	0.0000000
-3.4995771	0.0000000
-3.3996762	0.0000000
-3.2996360	0.0000000
-3.1996780	0.0000000
-3.0996365	0.0000000
-2.9997071	0.0000000
-2.8992596	0.0000000
-2.7996406	0.0000000
-2.6996073	0.0000000
-2.5995674	0.0000000
-2.4996214	0.0000000
-2.3996820	0.0000000
-2.2992781	0.0000000
-2.1996447	0.0000000
-2.0996214	0.0000000
-1.9993820	0.0000000
-1.8996081	0.0000000
-1.7992148	0.0000000
-1.6992033	0.0000000
-1.5996275	0.0000000
-1.4996301	0.0000000
-1.3996347	0.0000000
-1.2996337	0.0000000
-1.1997158	0.0000000
-1.0997609	0.0000000
-0.9996582	0.0000000
-0.8996641	0.0000000
-0.7992384	0.0000000
-0.6995630	0.0000000
-0.5996160	0.0000000
-0.4992397	0.0000000
-0.3996485	0.0000000
-0.2991828	0.0000000
-0.1995853	0.0000000
-0.0995753	0.0000000
0.0003643	1.5822207
0.1004239	2.0257244
0.2002780	2.5269136
0.3003804	2.9866588
0.4004257	3.8008389
0.5003443	4.9420729
0.6003305	6.0630703
0.7006408	7.4466405
0.8003720	8.6798420
0.9002813	9.4256716
1.0002929	9.6987839
1.1002890	9.6849623
1.2003110	8.6563787
1.3003668	7.4613690
1.4006804	7.2475781
1.5003377	7.9407544
1.6003267	8.9706259
1.7008289	9.7056389
1.8003904	9.9321375
1.9003471	8.4439449
2.0005437	6.8546400
2.1003960	5.9075570
2.2003830	5.7906990
2.3007252	6.4608169
2.4007212	7.7578254
2.5005302	8.9252863
2.6003840	10.4032536
2.7003676	11.6032572
2.8003423	12.4748678
2.9003105	12.5712051
3.0003617	11.7104053
3.1003868	10.9377098
3.2003640	9.3277016
3.3003535	8.7560616
3.4012431	9.3196106
3.5003753	9.9814396
3.6003228	10.5905704
3.7004344	10.7900057
3.8004247	10.7891788
3.9003574	10.6260300
4.0004147	11.1436644
4.1003909	12.2200575
4.2002819	13.7953806
4.3003233	15.5079165
4.4003681	16.1415787
4.5002808	15.3961344
4.6002504	14.4009848
4.7003510	13.0227690
4.8003320	11.1953239
4.9003674	10.6228142
5.0003564	10.8126354
5.1004421	11.8024340
5.2008640	13.0574427
5.3003735	13.7801886
5.4003868	14.2401314
5.5004055	14.2943325
5.6003351	14.3920918
5.7002821	14.8600206
5.8004142	15.9191980
5.9004150	17.0985680
6.0002391	17.5191231
6.1003635	16.5888176
6.2004216	14.8513327
6.3004316	13.9695930
6.4006213	13.8649530
6.5003487	15.4671526
6.6006482	17.1549778
6.7005294	18.2874126
6.8003735	18.7251644
6.9004419	17.7595215
7.0003272	16.4657974
7.1003651	15.9061556
7.2003269	15.6932564
7.3007898	16.1158104
7.4004611	17.1874485
7.5007324	18.0550690
7.6003896	19.2194309
7.7003901	20.3554935
7.8003377	20.9471016
7.9003922	19.6669540
8.0003092	18.3509235
8.1003423	16.0311298
8.2003295	14.2008038
8.3006671	14.0667734
8.4004134	15.7525415
8.5003935	17.0928822
8.6003638	17.5791683
8.7003958	17.5631809
8.8003988	17.3179836
8.9003162	16.7719555
9.0003292	15.3893948
9.1003064	14.8021870
9.2003840	14.6473064
9.3003284	14.1724453
9.4003103	14.7607803
9.5006333	15.5327129
9.6003244	16.0419502
9.7003141	16.9351768
9.8003290	17.7267036
9.9003259	17.9733219
10.0003507	17.7610569
10.1004946	16.9692707
10.2002944	17.0145988
10.3003113	17.0051689
10.4008614	16.5931282
10.5003218	16.3950500
10.6004349	16.0344963
10.7007293	15.4666748
10.8004268	15.9274454
10.9003663	15.9641953
11.0003113	16.2676983
11.1003436	17.5467129
11.2007094	18.3905334
11.3004293	19.3617229
11.4003502	20.1420898
11.5006920	20.2490501
11.6007288	19.8530102
11.7003976	18.0687027
11.8003648	16.9851303
11.9004237	17.1611061
12.0003863	18.6053905
12.1004337	19.9985790
12.2003589	19.8942890
12.3003981	18.4317799
12.4007918	16.5834465
12.5003927	15.1873331
12.6005652	13.5792074
12.7002959	13.2396402
12.8003000	14.2733498
12.9004078	15.6639862
13.0004032	16.4376297
13.1002908	16.8118420
13.2003569	16.8869896
13.3003891	16.9096508
13.4004076	16.9098415
13.5003686	16.5446930
13.6003279	16.1159401
13.7003256	16.0512142
13.8005837	16.6627979
13.9006781	17.0577908
14.0004101	18.1377583
14.1004380	18.3349628
14.2002885	17.6881809
14.3003699	17.1753941
14.4004406	18.1056423
14.5004050	20.0603371
14.6003090	20.7914257
14.7004083	20.4164619
14.8003287	19.6688786
14.9003881	18.7146568
15.0004063	18.5302830
15.1003090	17.9768009
15.2002650	18.1480598
15.3003935	17.7202854
15.4003456	18.4909992
15.5005228	21.2036610
15.6003676	22.9460640
15.7003346	22.3568726
15.8003384	19.3299713
15.9008020	16.5360355
15.9642332	0.0000000
