# Time	Input
-4.6997745	0.0000000
-4.5997604	0.0000000
-4.4996892	0.0000000
-4.3997507	0.0000000
-4.2984543	0.0000000
-4.1994847	0.0000000
-4.0996170	0.0000000
-3.9996408	0.0000000
-3.8997312	0.0000000
-3.7997706	0.0000000
-3.6996828	0.0000000
-3.5997130	0.0000000
-3.4996035	0.0000000
-3.3998341	0.0000000
-3.2997796	0.0000000
-3.1997005	0.0000000
-3.0997105	0.0000000
-2.9998400	0.0000000
-2.8993925	0.0000000
-2.7997356	0.0000000
-2.6997504	0.0000000
-2.5997437	0.0000000
-2.4997082	0.0000000
-2.3997212	0.0000000
-2.2994831	0.0000000
-2.1996370	0.0000000
-2.0996449	0.0000000
-1.9995259	0.0000000
-1.8996147	0.0000000
-1.7994086	0.0000000
-1.6993910	0.0000000
-1.5997957	0.0000000
-1.4998085	0.0000000
-1.3997179	0.0000000
-1.2997512	0.0000000
-1.1998031	0.0000000
-1.0997875	0.0000000
-0.9998871	0.0000000
-0.8997806	0.0000000
-0.7993651	0.0000000
-0.6996931	0.0000000
-0.5996467	0.0000000
-0.4992517	0.0000000
-0.3998124	0.0000000
-0.2992251	0.0000000
-0.1996813	0.0000000
-0.0997253	0.0000000
0.0003461	1.5822207
0.1002678	2.0257244
0.2002158	2.5269136
0.3002811	2.9866588
0.4003438	3.8008389
0.5002813	4.9420729
0.6003694	6.0630703
0.7005676	7.4466405
0.8002076	8.6798420
0.9001882	9.4256716
1.0002181	9.6987839
1.1003182	9.6849623
1.2002378	8.6563787
1.3001966	7.4613690
1.4005919	7.2475781
1.5002225	7.9407544
1.6002092	8.9706259
1.7006753	9.7056389
1.8003602	9.9321375
1.9003505	8.4439449
2.0004598	6.8546400
2.1002698	5.9075570
2.2003758	5.7906990
2.3006088	6.4608169
2.4006490	7.7578254
2.5003510	8.9252863
2.6001894	10.4032536
2.7003149	11.6032572
2.8003464	12.4748678
2.9002511	12.5712051
3.0003131	11.7104053
3.1002655	10.9377098
3.2002975	9.3277016
3.3002701	8.7560616
3.4009126	9.3196106
3.5002429	9.9814396
3.6002360	10.5905704
3.7002872	10.7900057
3.8002691	10.7891788
3.9003269	10.6260300
4.0004111	11.1436644
4.1003855	12.2200575
4.2001649	13.7953806
4.3002867	15.5079165
4.4002844	16.1415787
4.5001853	15.3961344
4.6002081	14.4009848
4.7003133	13.0227690
4.8002163	11.1953239
4.9002301	10.6228142
5.0002785	10.8126354
5.1004559	11.8024340
5.2006694	13.0574427
5.3002852	13.7801886
5.4002115	14.2401314
5.5002877	14.2943325
5.6002312	14.3920918
5.7003796	14.8600206
5.8003082	15.9191980
5.9002724	17.0985680
6.0001684	17.5191231
6.1002319	16.5888176
6.2002842	14.8513327
6.3002890	13.9695930
6.4007140	13.8649530
6.5002785	15.4671526
6.6005507	17.1549778
6.7005271	18.2874126
6.8003523	18.7251644
6.9003041	17.7595215
7.0003589	16.4657974
7.1003732	15.9061556
7.2003773	15.6932564
7.3007491	16.1158104
7.4003740	17.1874485
7.5006077	18.0550690
7.6002365	19.2194309
7.7003039	20.3554935
7.8003607	20.9471016
7.9002767	19.6669540
8.0003384	18.3509235
8.1002227	16.0311298
8.2003151	14.2008038
8.3006054	14.0667734
8.4002755	15.7525415
8.5003802	17.0928822
8.6002442	17.5791683
8.7003510	17.5631809
8.8004076	17.3179836
8.9003087	16.7719555
9.0002985	15.3893948
9.1003328	14.8021870
9.2001856	14.6473064
9.3002478	14.1724453
9.4002125	14.7607803
9.5005678	15.5327129
9.6002993	16.0419502
9.7003366	16.9351768
9.8002749	17.7267036
9.9003095	17.9733219
10.0001974	17.7610569
10.1003500	16.9692707
10.2002668	17.0145988
10.3001720	17.0051689
10.4006047	16.5931282
10.5003492	16.3950500
10.6002312	16.0344963
10.7005256	15.4666748
10.8003476	15.9274454
10.9002616	15.9641953
11.0001628	16.2676983
11.1002583	17.5467129
11.2006221	18.3905334
11.3002721	19.3617229
11.4003451	20.1420898
11.5004431	20.2490501
11.6006413	19.8530102
11.7002739	18.0687027
11.8003574	16.9851303
11.9002271	17.1611061
12.0002363	18.6053905
12.1002762	19.9985790
12.2002668	19.8942890
12.3003663	18.4317799
12.4006134	16.5834465
12.5002916	15.1873331
12.6005368	13.5792074
12.7003036	13.2396402
12.8003046	14.2733498
12.9003128	15.6639862
13.0002711	16.4376297
13.1002563	16.8118420
13.2003182	16.8869896
13.3003067	16.9096508
13.4002862	16.9098415
13.5002253	16.5446930
13.6002342	16.1159401
13.7002657	16.0512142
13.8004984	16.6627979
13.9006666	17.0577908
14.0003313	18.1377583
14.1003835	18.3349628
14.2002496	17.6881809
14.3003633	17.1753941
14.4003238	18.1056423
14.5002647	20.0603371
14.6001702	20.7914257
14.7002732	20.4164619
14.8004047	19.6688786
14.9002765	18.7146568
15.0002952	18.5302830
15.1002486	17.9768009
15.2001987	18.1480598
15.3002685	17.7202854
15.4003133	18.4909992
15.5003709	21.2036610
15.6003679	22.9460640
15.7002880	22.3568726
15.8002647	19.3299713
15.9006269	16.5360355
15.9642271	0.0000000
