# Time	Input
-4.6998853	0.0000000
-4.5998295	0.0000000
-4.4999511	0.0000000
-4.3999859	0.0000000
-4.2990728	0.0000000
-4.1995052	0.0000000
-4.0999823	0.0000000
-3.9999700	0.0000000
-3.8999168	0.0000000
-3.7999276	0.0000000
-3.7000492	0.0000000
-3.5998149	0.0000000
-3.4998925	0.0000000
-3.3999268	0.0000000
-3.2998787	0.0000000
-3.1999997	0.0000000
-3.0999296	0.0000000
-2.9999562	0.0000000
-2.8998144	0.0000000
-2.7997885	0.0000000
-2.6998067	0.0000000
-2.6000013	0.0000000
-2.5000161	0.0000000
-2.4000264	0.0000000
-2.2998321	0.0000000
-2.1997683	0.0000000
-2.0999155	0.0000000
-1.9996024	0.0000000
-1.8999580	0.0000000
-1.7995689	0.0000000
-1.6996948	0.0000000
-1.5998484	0.0000000
-1.4999168	0.0000000
-1.3999905	0.0000000
-1.2999393	0.0000000
-1.1998751	0.0000000
-1.1000963	0.0000000
-0.9999903	0.0000000
-0.8999642	0.0000000
-0.7997437	0.0000000
-0.6998036	0.0000000
-0.5999808	0.0000000
-0.4998479	0.0000000
-0.4000008	0.0000000
-0.2996460	0.0000000
-0.1999094	0.0000000
-0.0997404	0.0000000
0.0000000	5.4218559
0.1001032	5.9738140
0.2001065	6.5887017
0.3000558	7.1665320
0.4001167	8.1084023
0.4999813	9.3797455
0.6000891	10.6423769
0.7005752	12.1364899
0.8001777	13.4615803
0.8999939	14.2822647
1.0000159	14.6313820
1.0999322	14.6912355
1.2000484	13.7210989
1.3001600	12.5804682
1.4001772	12.4214172
1.4999811	13.1747150
1.6001042	14.2403498
1.7003776	15.0227060
1.8001157	15.3148537
1.9000374	13.9232740
2.0002570	12.4749165
2.1001116	11.6781883
2.2000394	11.7423143
2.3002586	12.5759344
2.4003720	14.0347834
2.5001124	15.3485975
2.6001600	16.9692211
2.7000929	18.2525673
2.8000566	19.1703815
2.9000768	19.2407589
3.0000812	18.3649693
3.1001004	17.6135521
3.2000983	16.0435619
3.3000166	15.5697670
3.4004111	16.2437325
3.5000430	17.0151386
3.6000323	17.7201538
3.7001050	18.0260906
3.8000986	18.1669731
3.9000566	18.2058010
4.0000108	18.9127350
4.1000289	20.1429977
4.1999982	21.8377495
4.3000274	23.6109676
4.4002322	24.2862873
4.5000945	23.5295792
4.6001651	22.5358410
4.7001149	21.1852093
4.7999460	19.3956337
4.9001114	18.9203873
5.0000095	19.2385559
5.1001810	20.3519745
5.2002040	21.7387600
5.3000397	22.5861435
5.4001764	23.1801834
5.5001651	23.4267178
5.6000786	23.7140732
5.7000440	24.3277988
5.8002127	25.4634991
5.9000479	26.6330833
6.0000778	27.0339622
6.1000988	26.0479641
6.2000850	24.3459091
6.3000389	23.5662460
6.4001439	23.5951366
6.5000435	25.3620510
6.6002711	27.1785240
6.7002012	28.4073639
6.8002248	28.9220924
6.9000456	28.0398579
7.0000607	26.8438225
7.1001905	26.4085674
7.2001357	26.3356762
7.3003479	26.8922482
7.4001042	28.1037579
7.5002985	29.0803165
7.5999805	30.3325500
7.7001085	31.5243187
7.8000520	32.1607246
7.9000361	30.9265881
8.0000261	29.6779671
8.1000128	27.4521103
8.2000730	25.7557507
8.3001636	25.7610512
8.4000156	27.5939426
8.5000660	29.0248909
8.6001137	29.5709362
8.7000358	29.5790806
8.8001106	29.3811378
8.9000038	28.9117050
9.0000986	27.6225414
9.1000481	27.1297493
9.2000594	27.0579281
9.3000778	26.6621342
9.3999857	27.3529301
9.5002419	28.2718811
9.6000937	28.9447708
9.7000876	30.0456734
9.8000169	30.9975510
9.9000916	31.3599625
9.9999626	31.2101288
10.1002627	30.4568100
10.1998948	30.5616188
10.3000389	30.6066303
10.4003768	30.2830448
10.5001523	30.1988373
10.6001897	29.9613380
10.7001277	29.5528831
10.8001523	30.2154408
10.8999898	30.4959736
10.9999954	31.0820789
11.1000402	32.6360283
11.2003131	33.7371445
11.3002652	34.9628143
11.4000617	35.0000000
11.5003845	35.0000000
11.6003727	35.0000000
11.7000105	34.5949631
11.7999724	33.7269592
11.9000092	34.1646957
12.0000832	35.0000000
12.1001091	35.0000000
12.2001024	35.0000000
12.3001516	35.0000000
12.4002900	34.9932213
12.4999683	33.9099388
12.6001805	32.6415634
12.7000607	32.6678314
12.8000696	34.0762558
12.9001388	35.0000000
13.0000965	35.0000000
13.1001610	35.0000000
13.2000394	35.0000000
13.3001631	35.0000000
13.4002365	35.0000000
13.5000906	35.0000000
13.6000704	35.0000000
13.7000517	35.0000000
13.8003523	35.0000000
13.9003011	35.0000000
14.0000412	35.0000000
14.1000748	35.0000000
14.2002171	35.0000000
14.3001075	35.0000000
14.4001298	35.0000000
14.5000965	35.0000000
14.6001119	35.0000000
14.7000712	35.0000000
14.8000906	35.0000000
14.9000420	35.0000000
15.0000947	35.0000000
15.1000824	35.0000000
15.2000200	35.0000000
15.3000794	35.0000000
15.4000018	35.0000000
15.5001492	35.0000000
15.6000983	35.0000000
15.7000453	35.0000000
15.8000087	35.0000000
15.9002263	35.0000000
15.9638085	0.0000000
