%time,field.data
1492810664056002425,0.0
1492810664156061367,0.0
1492810664255912927,0.0
1492810664355994801,0.0
1492810664457479353,0.0
1492810664556441025,0.0
1492810664656068684,0.0
1492810664756005229,0.0
1492810664856075685,0.0
1492810664956030337,0.0
1492810665055984773,0.0
1492810665156066414,0.0
1492810665256086121,0.0
1492810665355987064,0.0
1492810665456027160,0.0
1492810665555985116,0.0
1492810665656026707,0.0
1492810665755955925,0.0
1492810665856403477,0.0
1492810665956022573,0.0
1492810666056055891,0.0
1492810666156095682,0.0
1492810666256041729,0.0
1492810666355981098,0.0
1492810666456385106,0.0
1492810666556018359,0.0
1492810666656041631,0.0
1492810666756281186,0.0
1492810666856054916,0.0
1492810666956448280,0.0
1492810667056459697,0.0
1492810667156035529,0.0
1492810667256032953,0.0
1492810667356028531,0.0
1492810667456029412,0.0
1492810667555947387,0.0
1492810667655902108,0.0
1492810667756004862,0.0
1492810667855999022,0.0
1492810667956424820,0.0
1492810668056100106,0.0
1492810668156047210,0.0
1492810668256423540,0.0
1492810668356014532,0.0
1492810668456480162,0.0
1492810668556077904,0.0
1492810668656087728,0.0
1492810668756027348,1.58222067356
1492810668856086960,2.02572441101
1492810668955941094,2.52691364288
1492810669056043432,2.98665881157
1492810669156088722,3.8008389473
1492810669256007543,4.94207286835
1492810669355993546,6.06307029724
1492810669456303830,7.44664049149
1492810669556035069,8.67984199524
1492810669655944489,9.42567157745
1492810669755955916,9.69878387451
1492810669855952204,9.68496227264
1492810669955974245,8.65637874603
1492810670056029914,7.46136903763
1492810670156343489,7.24757814407
1492810670256000873,7.9407544136
1492810670355989849,8.97062587738
1492810670456492003,9.7056388855
1492810670556053605,9.93213748932
1492810670656010126,8.44394493103
1492810670756206948,6.85464000702
1492810670856059114,5.90755701065
1492810670956046026,5.79069900513
1492810671056388272,6.4608168602
1492810671156384132,7.7578253746
1492810671256193174,8.92528629303
1492810671356047004,10.4032535553
1492810671456030673,11.6032571793
1492810671556005383,12.4748678207
1492810671655973613,12.5712051392
1492810671756024854,11.7104053497
1492810671856049929,10.9377098083
1492810671956027010,9.3277015686
1492810672056016700,8.75606155396
1492810672156906307,9.3196105957
1492810672256038348,9.98143959045
1492810672355985853,10.5905704498
1492810672456097640,10.7900056839
1492810672556087852,10.7891788483
1492810672656020541,10.6260299683
1492810672756077778,11.14366436
1492810672856054137,12.2200574875
1492810672955945076,13.7953805923
1492810673055986381,15.5079164505
1492810673156031342,16.1415786743
1492810673255944020,15.3961343765
1492810673355913474,14.4009847641
1492810673456014083,13.0227689743
1492810673555995072,11.1953239441
1492810673656030566,10.6228141785
1492810673756019449,10.8126354218
1492810673856105307,11.8024339676
1492810673956527155,13.0574426651
1492810674056036511,13.7801885605
1492810674156049966,14.2401313782
1492810674256068529,14.2943325043
1492810674355998107,14.3920917511
1492810674455945318,14.8600206375
1492810674556077353,15.9191980362
1492810674656078051,17.0985679626
1492810674755902183,17.5191230774
1492810674856026699,16.5888175964
1492810674956084719,14.8513326645
1492810675056094756,13.9695930481
1492810675156284370,13.8649530411
1492810675256011775,15.4671525955
1492810675356311354,17.1549777985
1492810675456192438,18.2874126434
1492810675556036693,18.7251644135
1492810675656105018,17.7595214844
1492810675755990169,16.4657974243
1492810675856028241,15.9061555862
1492810675955989918,15.6932563782
1492810676056452750,16.1158103943
1492810676156124096,17.1874485016
1492810676256395613,18.0550689697
1492810676356052724,19.2194309235
1492810676456053178,20.3554935455
1492810676556000707,20.947101593
1492810676656055353,19.6669540405
1492810676755972262,18.3509235382
1492810676856005421,16.031129837
1492810676955992658,14.2008037567
1492810677056330238,14.0667734146
1492810677156076496,15.7525415421
1492810677256056486,17.0928821564
1492810677356027008,17.5791683197
1492810677456058766,17.5631809235
1492810677556061835,17.3179836273
1492810677655979239,16.7719554901
1492810677755992382,15.3893947601
1492810677855969463,14.8021869659
1492810677956047135,14.6473064423
1492810678055991533,14.1724452972
1492810678155973498,14.7607803345
1492810678256296474,15.5327129364
1492810678355987481,16.0419502258
1492810678455977161,16.9351768494
1492810678555992090,17.7267036438
1492810678655988898,17.9733219147
1492810678756013731,17.7610569
1492810678856157811,16.9692707062
1492810678955957378,17.0145988464
1492810679055974360,17.0051689148
1492810679156524527,16.5931282043
1492810679255984956,16.3950500488
1492810679356098099,16.0344963074
1492810679456392332,15.4666748047
1492810679556089752,15.9274454117
1492810679656029419,15.9641952515
1492810679755974324,16.267698288
1492810679856006607,17.5467128754
1492810679956372403,18.3905334473
1492810680056092520,19.3617229462
1492810680156013309,20.1420898438
1492810680256354976,20.2490501404
1492810680356391868,19.8530101776
1492810680456060762,18.0687026978
1492810680556027792,16.9851303101
1492810680656086793,17.1611061096
1492810680756049309,18.6053905487
1492810680856096867,19.9985790253
1492810680956021958,19.8942890167
1492810681056061274,18.4317798615
1492810681156454842,16.5834465027
1492810681256055688,15.187333107
1492810681356228267,13.5792074203
1492810681455958931,13.2396402359
1492810681555963025,14.273349762
1492810681656070835,15.6639862061
1492810681756066432,16.4376296997
1492810681855953922,16.8118419647
1492810681956020023,16.8869895935
1492810682056052312,16.9096508026
1492810682156070530,16.9098415375
1492810682256031857,16.5446929932
1492810682355990990,16.115940094
1492810682455988805,16.0512142181
1492810682556246713,16.6627979279
1492810682656341200,17.0577907562
1492810682756073325,18.137758255
1492810682856101246,18.3349628448
1492810682955951629,17.6881809235
1492810683056032933,17.1753940582
1492810683156103614,18.1056423187
1492810683256068059,20.0603370667
1492810683355972182,20.791425705
1492810683456071372,20.4164619446
1492810683555991842,19.6688785553
1492810683656051084,18.7146568298
1492810683756069440,18.5302829742
1492810683855972060,17.9768009186
1492810683955928146,18.148059845
1492810684056056452,17.7202854156
1492810684156008798,18.4909992218
1492810684256185771,21.203660965
1492810684356030724,22.9460639954
1492810684455997719,22.3568725586
1492810684556001588,19.3299713135
1492810684656465108,16.5360355377
1492810684719896371,0.0
