%time,field.data
1492810664055888574,0.0
1492810664155902702,0.0
1492810664255973760,0.0
1492810664355912463,0.0
1492810664457208959,0.0
1492810664556178557,0.0
1492810664656046113,0.0
1492810664756022320,0.0
1492810664855931860,0.0
1492810664955892357,0.0
1492810665055980327,0.0
1492810665155950112,0.0
1492810665256059729,0.0
1492810665355829032,0.0
1492810665455883570,0.0
1492810665555962717,0.0
1492810665655952718,0.0
1492810665755823025,0.0
1492810665856270650,0.0
1492810665955927461,0.0
1492810666055912652,0.0
1492810666155919342,0.0
1492810666255954990,0.0
1492810666355942001,0.0
1492810666456180052,0.0
1492810666556026085,0.0
1492810666656018102,0.0
1492810666756137274,0.0
1492810666856048448,0.0
1492810666956254337,0.0
1492810667056272236,0.0
1492810667155867459,0.0
1492810667255854677,0.0
1492810667355945284,0.0
1492810667455911897,0.0
1492810667555860015,0.0
1492810667655875595,0.0
1492810667755776051,0.0
1492810667855882551,0.0
1492810667956297913,0.0
1492810668055970011,0.0
1492810668156016408,0.0
1492810668256411430,0.0
1492810668355850657,0.0
1492810668456437943,0.0
1492810668555981931,0.0
1492810668655937885,0.0
1492810668756009125,1.58222067356
1492810668855930833,2.02572441101
1492810668955878849,2.52691364288
1492810669055944314,2.98665881157
1492810669156006899,3.8008389473
1492810669255944363,4.94207286835
1492810669356032639,6.06307029724
1492810669456230531,7.44664049149
1492810669555870614,8.67984199524
1492810669655851269,9.42567157745
1492810669755881219,9.69878387451
1492810669855981232,9.68496227264
1492810669955901020,8.65637874603
1492810670055859604,7.46136903763
1492810670156254997,7.24757814407
1492810670255885451,7.9407544136
1492810670355872303,8.97062587738
1492810670456338527,9.7056388855
1492810670556023408,9.93213748932
1492810670656013528,8.44394493103
1492810670756122869,6.85464000702
1492810670855932920,5.90755701065
1492810670956038811,5.79069900513
1492810671056271842,6.4608168602
1492810671156312191,7.7578253746
1492810671256014204,8.92528629303
1492810671355852520,10.4032535553
1492810671455977917,11.6032571793
1492810671556009409,12.4748678207
1492810671655914280,12.5712051392
1492810671755976165,11.7104053497
1492810671855928531,10.9377098083
1492810671955960474,9.3277015686
1492810672055933221,8.75606155396
1492810672156575704,9.3196105957
1492810672255906162,9.98143959045
1492810672355899216,10.5905704498
1492810672455950232,10.7900056839
1492810672555932255,10.7891788483
1492810672655990006,10.6260299683
1492810672756074157,11.14366436
1492810672856048634,12.2200574875
1492810672955828019,13.7953805923
1492810673055949813,15.5079164505
1492810673155947467,16.1415786743
1492810673255848525,15.3961343765
1492810673355871231,14.4009847641
1492810673455976459,13.0227689743
1492810673555879415,11.1953239441
1492810673655893148,10.6228141785
1492810673755941627,10.8126354218
1492810673856118994,11.8024339676
1492810673956332556,13.0574426651
1492810674055948364,13.7801885605
1492810674155874672,14.2401313782
1492810674255950829,14.2943325043
1492810674355894333,14.3920917511
1492810674456042664,14.8600206375
1492810674555971353,15.9191980362
1492810674655935497,17.0985679626
1492810674755831445,17.5191230774
1492810674855895004,16.5888175964
1492810674955947324,14.8513326645
1492810675055952242,13.9695930481
1492810675156377042,13.8649530411
1492810675255941511,15.4671525955
1492810675356213697,17.1549777985
1492810675456190145,18.2874126434
1492810675556015234,18.7251644135
1492810675655967349,17.7595214844
1492810675756022087,16.4657974243
1492810675856036455,15.9061555862
1492810675956040484,15.6932563782
1492810676056412259,16.1158103943
1492810676156036997,17.1874485016
1492810676256270877,18.0550689697
1492810676355899727,19.2194309235
1492810676455967079,20.3554935455
1492810676556023793,20.947101593
1492810676655939776,19.6669540405
1492810676756001557,18.3509235382
1492810676855885848,16.031129837
1492810676955978341,14.2008037567
1492810677056268636,14.0667734146
1492810677155938628,15.7525415421
1492810677256043272,17.0928821564
1492810677355907260,17.5791683197
1492810677456013964,17.5631809235
1492810677556070547,17.3179836273
1492810677655971735,16.7719554901
1492810677755961688,15.3893947601
1492810677855995885,14.8021869659
1492810677955848785,14.6473064423
1492810678055910865,14.1724452972
1492810678155875520,14.7607803345
1492810678256231018,15.5327129364
1492810678355962392,16.0419502258
1492810678455999725,16.9351768494
1492810678555938162,17.7267036438
1492810678655972545,17.9733219147
1492810678755860556,17.7610569
1492810678856013048,16.9692707062
1492810678955929827,17.0145988464
1492810679055835012,17.0051689148
1492810679156267658,16.5931282043
1492810679256012333,16.3950500488
1492810679355894282,16.0344963074
1492810679456188690,15.4666748047
1492810679556010691,15.9274454117
1492810679655924771,15.9641952515
1492810679755825964,16.267698288
1492810679855921535,17.5467128754
1492810679956285232,18.3905334473
1492810680055935281,19.3617229462
1492810680156008217,20.1420898438
