%time,field.data
1492810664055777702,0.0
1492810664155833556,0.0
1492810664255711899,0.0
1492810664355677288,0.0
1492810664456590341,0.0
1492810664556157924,0.0
1492810664655680720,0.0
1492810664755693144,0.0
1492810664855746429,0.0
1492810664955735586,0.0
1492810665055614031,0.0
1492810665155848224,0.0
1492810665255770627,0.0
1492810665355736439,0.0
1492810665455784426,0.0
1492810665555663397,0.0
1492810665655733485,0.0
1492810665755706850,0.0
1492810665855848827,0.0
1492810665955874554,0.0
1492810666055856343,0.0
1492810666155661826,0.0
1492810666255646913,0.0
1492810666355636814,0.0
1492810666455830918,0.0
1492810666555894659,0.0
1492810666655747622,0.0
1492810666756060607,0.0
1492810666855705035,0.0
1492810666956094287,0.0
1492810667055968147,0.0
1492810667155814589,0.0
1492810667255746260,0.0
1492810667355672526,0.0
1492810667455723669,0.0
1492810667555788004,0.0
1492810667655566855,0.0
1492810667755672810,0.0
1492810667855698945,0.0
1492810667955919488,0.0
1492810668055859477,0.0
1492810668155682361,0.0
1492810668255815228,0.0
1492810668355662245,0.0
1492810668456017241,0.0
1492810668555753601,0.0
1492810668655922814,0.0
1492810668755663193,5.42185592651
1492810668855766152,5.97381401062
1492810668955769480,6.58870172501
1492810669055718805,7.16653203964
1492810669155779939,8.1084022522
1492810669255644431,9.3797454834
1492810669355752190,10.6423768997
1492810669456238373,12.1364898682
1492810669555840863,13.4615802765
1492810669655656938,14.2822647095
1492810669755678998,14.6313819885
1492810669855595228,14.6912355423
1492810669955711368,13.7210988998
1492810670055823013,12.5804681778
1492810670155840255,12.4214172363
1492810670255644101,13.1747150421
1492810670355767363,14.2403497696
1492810670456040820,15.0227060318
1492810670555778899,15.3148536682
1492810670655700590,13.9232740402
1492810670755920203,12.4749164581
1492810670855774678,11.678188324
1492810670955702543,11.7423143387
1492810671055921563,12.5759344101
1492810671156035092,14.0347833633
1492810671255775408,15.3485975266
1492810671355823035,16.9692211151
1492810671455756123,18.2525672913
1492810671555719642,19.170381546
1492810671655739831,19.2407588959
1492810671755744270,18.3649692535
1492810671855763440,17.6135520935
1492810671955761309,16.0435619354
1492810672055679797,15.5697669983
1492810672156074242,16.2437324524
1492810672255706108,17.0151386261
1492810672355695281,17.7201538086
1492810672455768051,18.0260906219
1492810672555761739,18.166973114
1492810672655719576,18.2058010101
1492810672755673855,18.9127349854
1492810672855691941,20.1429977417
1492810672955661249,21.8377494812
1492810673055690599,23.6109676361
1492810673155895192,24.2862873077
1492810673255757610,23.5295791626
1492810673355828328,22.5358409882
1492810673455778129,21.1852092743
1492810673555609029,19.3956336975
1492810673655774495,18.9203872681
1492810673755672665,19.2385559082
1492810673855844063,20.3519744873
1492810673955867086,21.7387599945
1492810674055702723,22.5861434937
1492810674155839500,23.1801834106
1492810674255828121,23.4267177582
1492810674355741745,23.7140731812
1492810674455707103,24.3277988434
1492810674555875712,25.4634990692
1492810674655711097,26.6330833435
1492810674755740974,27.0339622498
1492810674855761846,26.0479640961
1492810674955748217,24.3459091187
1492810675055701961,23.5662460327
1492810675155807000,23.5951366425
1492810675255706614,25.3620510101
1492810675355934336,27.1785240173
1492810675455864401,28.4073638916
1492810675555887758,28.9220924377
1492810675655708737,28.0398578644
1492810675755723656,26.8438224792
1492810675855853514,26.4085674286
1492810675955798817,26.3356761932
1492810676056011076,26.8922481537
1492810676155767378,28.1037578583
1492810676255961722,29.0803165436
1492810676355643702,30.3325500488
1492810676455771609,31.5243186951
1492810676555715138,32.1607246399
1492810676655699088,30.9265880585
1492810676755689299,29.6779670715
1492810676855675851,27.4521102905
1492810676955736092,25.7557506561
1492810677055826599,25.761051178
1492810677155678782,27.5939426422
1492810677255729041,29.0248908997
1492810677355776753,29.570936203
1492810677455699052,29.5790805817
1492810677555773641,29.3811378479
1492810677655666895,28.9117050171
1492810677755761624,27.6225414276
1492810677855711330,27.1297492981
1492810677955722517,27.0579280853
1492810678055740840,26.6621341705
1492810678155648719,27.352930069
1492810678255905151,28.2718811035
1492810678355756910,28.944770813
1492810678455750547,30.0456733704
1492810678555680052,30.9975509644
1492810678655754718,31.3599624634
1492810678755625728,31.2101287842
1492810678855925759,30.4568099976
1492810678955558009,30.5616188049
1492810679055701976,30.6066303253
1492810679156039912,30.2830448151
1492810679255815517,30.1988372803
1492810679355852751,29.9613380432
1492810679455790729,29.5528831482
1492810679555815500,30.2154407501
1492810679655652984,30.495973587
1492810679755658478,31.0820789337
1492810679855703228,32.6360282898
1492810679955976167,33.7371444702
1492810680055928274,34.9628143311
1492810680155724897,35.0
1492810680256047674,35.0
1492810680356035859,35.0
1492810680455673513,34.5949630737
1492810680555635522,33.7269592285
1492810680655672246,34.1646957397
1492810680755746427,35.0
1492810680855772088,35.0
1492810680955765547,35.0
1492810681055814677,35.0
1492810681155953170,34.993221283
1492810681255631481,33.9099388123
1492810681355843633,32.6415634155
1492810681455723901,32.6678314209
1492810681555732826,34.0762557983
1492810681655801814,35.0
1492810681755759554,35.0
1492810681855824232,35.0
1492810681955702497,35.0
1492810682055826070,35.0
1492810682155899682,35.0
1492810682255753725,35.0
1492810682355733547,35.0
1492810682455714885,35.0
1492810682556015282,35.0
1492810682655964213,35.0
1492810682755704309,35.0
1492810682855737869,35.0
1492810682955880136,35.0
1492810683055770743,35.0
1492810683155792804,35.0
1492810683255759737,35.0
1492810683355774866,35.0
1492810683455734351,35.0
1492810683555753838,35.0
1492810683655705042,35.0
1492810683755757726,35.0
1492810683855745489,35.0
1492810683955683083,35.0
1492810684055742432,35.0
1492810684155664800,35.0
1492810684255812246,35.0
1492810684355761465,35.0
1492810684455708301,35.0
1492810684555671813,35.0
1492810684655889525,35.0
1492810684719471511,0.0
