%time,field.P_vel,field.I_vel,field.D_vel,field.P_pitch,field.I_pitch,field.D_pitch,field.P_yaw,field.I_yaw,field.D_yaw
1492810664055745073,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810664155647991,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810664255562058,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810664355636171,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810664456094095,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810664555792175,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810664655604028,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810664755663565,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810664855572878,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810664955728538,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810665055640750,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810665155665018,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810665255681891,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810665355572167,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810665455608598,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810665555591291,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810665655668994,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810665755698583,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810665855983547,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810665955770939,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810666055616404,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810666155784433,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810666255761182,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810666355605688,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810666455644276,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810666555660204,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810666655706682,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810666755623578,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810666855697580,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810666955655945,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810667055691610,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
1492810667155577542,105.0,44.0,17.5,20.0,5.0,50.0,28.0,0.0,50.0
