%time,field.data
1492810664027438736,1
1492810664127305696,1
1492810664227306013,1
1492810664327208719,1
1492810664427340284,1
1492810664527260376,1
1492810664627230109,1
1492810664727246782,1
1492810664827253680,1
1492810664927199799,1
1492810665027286230,1
1492810665127262386,1
1492810665227287381,1
1492810665327286306,1
1492810665427219070,1
1492810665527283805,1
1492810665627242221,1
1492810665727253376,1
1492810665827264598,1
1492810665927189002,1
1492810666027221511,1
1492810666127266819,1
1492810666227250380,1
1492810666327265784,1
1492810666427215178,1
1492810666527221872,1
1492810666627310258,1
1492810666727231074,1
1492810666827231194,1
1492810666927247415,1
1492810667027237289,1
1492810667127281705,1
1492810667227218943,1
1492810667327284932,1
1492810667427223877,1
1492810667527235239,1
1492810667627308674,1
1492810667727285251,1
1492810667827272634,1
1492810667927252552,1
1492810668027279490,1
1492810668127288856,1
1492810668227292353,1
1492810668327268000,1
1492810668427270177,1
1492810668527240957,1
1492810668627220990,1
1492810668727231839,1
1492810668827223700,1
1492810668927239571,1
1492810669027236114,1
1492810669127278349,1
1492810669227278063,1
1492810669327312921,1
1492810669427250931,1
1492810669527305777,1
1492810669627267076,1
1492810669727272839,1
1492810669827299866,1
1492810669927311766,1
1492810670027271133,1
1492810670127242745,1
1492810670227309396,1
1492810670327209097,1
1492810670427223321,1
1492810670527220711,1
1492810670627261320,1
1492810670727214149,1
1492810670827371884,1
1492810670927314494,1
1492810671027151959,1
1492810671127258592,1
1492810671227302159,1
1492810671327308714,1
1492810671427235478,1
1492810671527247316,1
1492810671627310986,1
1492810671727253102,1
1492810671827223180,1
1492810671927233239,1
1492810672027277889,1
1492810672127332335,1
1492810672227350224,1
1492810672327246601,1
1492810672427282197,1
1492810672527281399,1
1492810672627273972,1
1492810672727229425,1
1492810672827289614,1
1492810672927248256,1
1492810673027301586,1
1492810673127243190,1
1492810673227260581,1
1492810673327238380,1
1492810673427216091,1
1492810673527273118,1
1492810673627271191,1
1492810673727230630,1
1492810673827297140,1
1492810673927258641,1
1492810674027287947,1
1492810674127209734,1
1492810674227259630,1
1492810674327253270,1
1492810674427269608,1
1492810674527297737,1
1492810674627235877,1
1492810674727211221,1
1492810674827305296,1
1492810674927268158,1
1492810675027200522,1
1492810675127229495,1
1492810675227271447,1
1492810675327139445,1
1492810675427334960,1
1492810675527230553,1
1492810675627224694,1
1492810675727280905,1
1492810675827251510,1
1492810675927223425,1
1492810676027215578,1
1492810676127269492,1
1492810676227240870,1
1492810676327211482,1
1492810676427224780,1
1492810676527250117,1
1492810676627219485,1
1492810676727224093,1
1492810676827203199,1
1492810676927138675,1
1492810677027273367,1
1492810677127326836,1
1492810677227262875,1
1492810677327321193,1
1492810677427291298,1
1492810677527253465,1
1492810677627316933,1
1492810677727263871,1
1492810677827266064,1
1492810677927237921,1
1492810678027253397,1
1492810678127239677,1
1492810678227287302,1
1492810678327244453,1
1492810678427257742,1
1492810678527239401,1
1492810678627287806,1
1492810678727279281,1
1492810678827238752,1
1492810678927261043,1
1492810679027227181,1
1492810679127258804,1
1492810679227456916,1
1492810679327293372,1
1492810679427268667,1
1492810679527262926,1
1492810679627248502,1
1492810679727257025,1
1492810679827200629,1
1492810679927216124,1
1492810680027266503,1
1492810680127258993,1
1492810680227248008,1
1492810680327241759,1
1492810680427235076,1
1492810680527255602,1
1492810680627263170,1
1492810680727302257,1
1492810680827208109,1
1492810680927256392,1
1492810681027440198,1
1492810681127286414,1
1492810681227353592,1
1492810681327343035,1
1492810681427283403,1
1492810681527239149,1
1492810681627234300,1
1492810681727267581,1
1492810681827231709,1
1492810681927290268,1
1492810682027244791,1
1492810682127232312,1
1492810682227244935,1
1492810682327252381,1
1492810682427225558,1
1492810682527356019,1
1492810682627227965,1
1492810682727263836,1
1492810682827288190,1
1492810682927212824,1
1492810683027209228,1
1492810683127294813,1
1492810683227291436,1
1492810683327237267,1
1492810683427246566,1
1492810683527233946,1
1492810683627253192,1
1492810683727294678,1
1492810683827260707,1
1492810683927190614,1
1492810684027234730,1
1492810684127273346,1
1492810684227316177,1
1492810684327204612,1
1492810684427255805,1
1492810684527266586,1
1492810684627253622,1
1492810684727247425,1
