%time,field.control_vel,field.desired_vel,field.control_pitch,field.desired_pitch,field.control_yaw,field.desired_yaw
1492810664077937587,0,0.0,0,0.0,0,0.0
1492810664177938114,0,0.0,0,0.0,0,0.0
1492810664277924194,0,0.0,0,0.0,0,0.0
1492810664377920209,0,0.0,0,0.0,0,0.0
1492810664478148742,0,0.0,0,0.0,0,0.0
1492810664578124380,0,0.0,0,0.0,0,0.0
1492810664677928691,0,0.0,0,0.0,0,0.0
1492810664777901007,0,0.0,0,0.0,0,0.0
1492810664877887142,0,0.0,0,0.0,0,0.0
1492810664977909639,0,0.0,0,0.0,0,0.0
1492810665077952051,0,0.0,0,0.0,0,0.0
1492810665177935995,0,0.0,0,0.0,0,0.0
1492810665277907057,0,0.0,0,0.0,0,0.0
1492810665377949340,0,0.0,0,0.0,0,0.0
1492810665477898750,0,0.0,0,0.0,0,0.0
1492810665577958198,0,0.0,0,0.0,0,0.0
1492810665677951645,0,0.0,0,0.0,0,0.0
1492810665777991772,0,0.0,0,0.0,0,0.0
1492810665877909910,0,0.0,0,0.0,0,0.0
1492810665977912893,0,0.0,0,0.0,0,0.0
1492810666077951018,0,0.0,0,0.0,0,0.0
1492810666177893786,0,0.0,0,0.0,0,0.0
1492810666277920092,0,0.0,0,0.0,0,0.0
1492810666377887480,0,0.0,0,0.0,0,0.0
1492810666478019125,0,0.0,0,0.0,0,0.0
1492810666578065290,0,0.0,0,0.0,0,0.0
1492810666677955077,0,0.0,0,0.0,0,0.0
1492810666778050286,0,0.0,0,0.0,0,0.0
1492810666877927547,0,0.0,0,0.0,0,0.0
1492810666978209750,0,0.0,0,0.0,0,0.0
1492810667077956693,0,0.0,0,0.0,0,0.0
1492810667177943822,0,0.0,0,0.0,0,0.0
1492810667277917589,0,0.0,0,0.0,0,0.0
1492810667377920034,0,0.0,0,0.0,0,0.0
1492810667477866812,0,0.0,0,0.0,0,0.0
1492810667577909307,0,0.0,0,0.0,0,0.0
1492810667677909683,0,0.0,0,0.0,0,0.0
1492810667777942268,0,0.0,0,0.0,0,0.0
1492810667877876979,0,0.0,0,0.0,0,0.0
1492810667978132740,0,0.0,0,0.0,0,0.0
1492810668077998854,0,0.0,0,0.0,0,0.0
1492810668177968835,0,0.0,0,0.0,0,0.0
1492810668278075473,0,0.0,0,0.0,0,0.0
1492810668377974059,0,0.0,0,0.0,0,0.0
1492810668478028829,0,0.0,0,0.0,0,0.0
1492810668577895258,0,0.0,0,0.0,0,0.0
1492810668677993448,1,0.00550770573318,1,0.0,0,0.0
1492810668777989860,1,0.0147634977475,1,0.0,0,0.0
1492810668877954353,1,0.0240421127528,1,0.0,0,0.0
1492810668978064946,1,0.0333463139832,1,0.0,0,0.0
1492810669078009056,1,0.0426343344152,1,0.0,0,0.0
1492810669177999576,1,0.0519386418164,1,0.0,0,0.0
1492810669277982738,1,0.0612389817834,1,0.0,0,0.0
1492810669378089738,1,0.0705331638455,1,0.0,0,0.0
1492810669478082363,1,0.0798156484962,1,0.0,0,0.0
1492810669578052517,1,0.0890750810504,1,0.0,0,0.0
1492810669678026366,1,0.0983210131526,1,0.0,0,0.0
1492810669778000875,1,0.107541695237,1,0.0,0,0.0
1492810669877951912,1,0.116740725935,1,0.0,0,0.0
1492810669978009390,1,0.12589931488,1,0.0,0,0.0
1492810670077985294,1,0.135025620461,1,0.0,0,0.0
1492810670178226199,1,0.144124358892,1,0.0,0,0.0
1492810670278031145,1,0.153153702617,1,0.0,0,0.0
1492810670377956882,1,0.162136271596,1,0.0,0,0.0
1492810670478307385,1,0.171077460051,1,0.0,0,0.0
1492810670578015746,1,0.179944366217,1,0.0,0,0.0
1492810670678025224,1,0.188751652837,1,0.0,0,0.0
1492810670778012104,1,0.197488114238,1,0.0,0,0.0
1492810670878050729,1,0.206150174141,1,0.0,0,0.0
1492810670978032939,1,0.214740782976,1,0.0,0,0.0
1492810671078009381,1,0.223252654076,1,0.0,0,0.0
