%time,field.data
1492810664018668062,CONTROLLER
1492810664118810711,CONTROLLER
1492810664218722835,CONTROLLER
1492810664318653257,CONTROLLER
1492810664418700784,CONTROLLER
1492810664518616707,CONTROLLER
1492810664618668459,CONTROLLER
1492810664718749629,CONTROLLER
1492810664818746926,CONTROLLER
1492810664918718632,CONTROLLER
1492810665018681850,CONTROLLER
1492810665118764559,CONTROLLER
1492810665218701631,CONTROLLER
1492810665318684651,CONTROLLER
1492810665418698838,CONTROLLER
1492810665518744823,CONTROLLER
1492810665618916683,CONTROLLER
1492810665718746803,CONTROLLER
1492810665818702688,CONTROLLER
1492810665918790089,CONTROLLER
1492810666018732226,CONTROLLER
1492810666118701497,CONTROLLER
1492810666218660531,CONTROLLER
1492810666318821869,CONTROLLER
1492810666418757993,CONTROLLER
1492810666518730096,CONTROLLER
1492810666618821279,CONTROLLER
1492810666718788745,CONTROLLER
1492810666818841221,CONTROLLER
1492810666918758607,CONTROLLER
1492810667018693732,CONTROLLER
1492810667118776377,CONTROLLER
1492810667218743478,CONTROLLER
1492810667318766694,CONTROLLER
1492810667418724515,CONTROLLER
1492810667518705605,CONTROLLER
1492810667618762099,CONTROLLER
1492810667718727494,CONTROLLER
1492810667818769689,CONTROLLER
1492810667918723273,CONTROLLER
1492810668018754030,CONTROLLER
1492810668118741694,CONTROLLER
1492810668218699629,CONTROLLER
1492810668318753615,CONTROLLER
1492810668418786883,CONTROLLER
1492810668518700929,CONTROLLER
1492810668618748888,CONTROLLER
1492810668718677247,CONTROLLER
1492810668818727557,CONTROLLER
1492810668918762808,CONTROLLER
1492810669018673348,CONTROLLER
1492810669118715991,CONTROLLER
1492810669218741752,CONTROLLER
1492810669318776059,CONTROLLER
1492810669418801364,CONTROLLER
1492810669518840921,CONTROLLER
1492810669618739475,CONTROLLER
1492810669718797140,CONTROLLER
1492810669818627870,CONTROLLER
1492810669918834474,CONTROLLER
1492810670018680848,CONTROLLER
1492810670118739054,CONTROLLER
1492810670218624562,CONTROLLER
1492810670318732689,CONTROLLER
