%time,field.data
1492810667533368361,1
1492810667533376429,1
1492810667533402572,1
1492810667533407682,1
1492810667533411264,1
1492810667533414027,1
1492810667682739647,1
1492810667682748761,1
1492810667883525263,1
1492810667883532512,1
1492810668343722690,1
1492810668343729617,1
1492810668343750919,1
1492810668668607850,1
1492810668668618486,1
1492810668668621489,1
1492810668668625360,1
1492810668924159838,1
1492810668924168192,1
1492810668924178219,1
1492810669061044358,1
1492810669162525510,1
1492810669162535991,1
1492810669214261152,1
1492810669300413677,1
1492810669554139310,1
1492810670188753174,1
1492810670188760064,1
1492810670432651536,1
1492810670432658798,1
1492810670432661805,1
1492810670434047949,1
1492810670434053579,1
1492810670888817707,1
1492810670888825875,1
1492810670888832424,1
1492810670888836166,1
1492810670888839381,1
1492810670888847389,1
1492810671068514718,1
1492810671068531072,1
1492810671068538992,1
1492810671213704467,1
1492810671312094865,1
1492810671385771305,1
1492810671486739680,1
1492810671528024309,1
1492810671630448692,1
1492810671704465831,1
1492810671819823107,1
1492810671900408569,1
1492810671989396695,1
1492810672087850908,1
1492810672197404420,1
1492810672293078228,1
1492810672403648272,1
1492810672493543064,1
1492810672587880516,1
1492810672689505402,1
1492810672802372134,1
1492810672894987499,1
1492810672997890357,1
1492810673093841780,1
1492810673195107843,1
1492810673293925857,1
1492810673403872342,1
1492810673505566050,1
1492810673624292536,1
1492810673751956045,1
1492810673798627731,1
1492810674064527291,1
1492810674145030707,1
1492810674145037830,1
1492810674314899020,1
1492810674524268855,1
1492810674524277785,1
1492810674524283251,1
1492810674699063206,1
1492810674699073293,1
1492810674947581781,1
1492810674947589160,1
1492810675119211926,1
1492810675119217849,1
1492810675666196838,1
1492810675708497887,1
1492810675708505743,1
1492810675708509240,1
1492810675708512181,1
1492810675868917892,1
1492810675868925571,1
1492810676259615046,1
1492810676259628156,1
1492810676259633836,1
1492810676259637963,1
1492810676554707205,1
1492810676554713997,1
1492810676554716575,1
1492810676802429701,1
1492810676802436667,1
1492810676802439794,1
1492810676932351527,1
1492810677455797873,1
1492810677455803907,1
1492810677455806844,1
1492810677455811152,1
1492810677455814337,1
1492810677643294838,1
1492810677643303600,1
1492810677745103324,1
1492810677791286204,1
1492810677888743402,1
1492810677987358883,1
1492810678087599041,1
1492810678206491391,1
1492810678359712936,1
1492810678399854330,1
1492810678487459982,1
1492810678587336611,1
1492810678803730444,1
1492810679039282752,1
1492810679039289889,1
1492810679039299142,1
1492810679624500489,1
1492810679624508656,1
1492810679624512833,1
1492810679624518181,1
1492810679673368054,1
1492810679673374865,1
1492810679690795971,1
1492810679786672601,1
1492810679888174927,1
1492810679987599498,1
1492810680088904103,1
1492810680189410607,1
1492810680289007549,1
1492810680396904113,1
1492810680490456268,1
1492810680590994643,1
1492810680688207323,1
1492810680787885061,1
1492810680887636945,1
1492810680989732488,1
1492810681116653888,1
1492810681195220384,1
1492810681295274219,1
1492810681396527912,1
1492810681498020854,1
1492810681592827112,1
1492810681691154859,1
1492810681793249201,1
1492810681893290115,1
1492810681993109779,1
1492810682087575273,1
1492810682193663158,1
1492810682308098284,1
1492810682524469856,1
1492810682524480500,1
1492810682644934931,1
1492810682850409182,1
1492810682850418154,1
1492810682938371243,1
1492810683095592039,1
1492810683164103606,1
1492810683322536688,1
1492810683322546609,1
1492810683487563851,1
1492810683528684853,1
1492810683594383931,1
1492810683688728073,1
1492810683789721966,1
1492810683891663457,1
1492810683999167139,1
1492810684096277830,1
1492810684188146884,1
1492810684305720469,1
1492810684465599552,1
1492810684681048760,1
