%time,field.data
1492810667535822109,1
1492810667535830402,1
1492810667535836060,1
1492810667535840814,1
1492810667535848803,1
1492810667535852265,1
1492810667535865902,1
1492810667696194185,1
1492810668082753581,1
1492810668082762784,1
1492810668432123516,1
1492810668432129667,1
1492810668432134116,1
1492810668432148223,1
1492810668432153376,1
1492810668782902363,1
1492810668782909767,1
1492810668976744645,1
1492810668976751521,1
1492810668976754572,1
1492810668976757582,1
1492810669127965585,1
1492810669183724704,1
1492810669229585771,1
1492810669285175908,1
1492810669561822977,1
1492810670200561237,1
1492810670200571792,1
1492810670460991314,1
1492810670461006468,1
1492810670461014276,1
1492810670461022443,1
1492810670461028635,1
1492810670902993457,1
1492810670903000191,1
1492810670903005124,1
1492810670903029224,1
1492810670903033854,1
1492810670903049989,1
1492810671105660107,1
1492810671105669784,1
1492810671105674082,1
1492810671221385659,1
1492810671317604772,1
1492810671395723407,1
1492810671494139416,1
1492810671538988273,1
1492810671620974492,1
1492810671691572723,1
1492810671816554559,1
1492810671895616480,1
1492810671988552896,1
1492810672085865449,1
1492810672197433066,1
1492810672285476433,1
1492810672395569021,1
1492810672487832899,1
1492810672587687455,1
1492810672689513797,1
1492810672796610870,1
1492810672891448261,1
1492810672997480124,1
1492810673093402911,1
1492810673190723219,1
1492810673292659518,1
1492810673397577164,1
1492810673503887914,1
1492810673633316829,1
1492810673686806049,1
1492810673787899657,1
1492810674057172881,1
1492810674134146699,1
1492810674134154491,1
1492810674305075402,1
1492810674438076322,1
1492810674438083157,1
1492810674678882407,1
1492810674678888868,1
1492810674820328123,1
1492810674820332386,1
1492810675075124008,1
1492810675075133738,1
1492810675641348845,1
1492810675641358487,1
1492810675695295620,1
1492810675695301200,1
1492810675695307450,1
1492810675695320678,1
1492810675858906496,1
1492810675858911110,1
1492810676229785550,1
1492810676229793508,1
1492810676229796489,1
1492810676229809893,1
1492810676537414885,1
1492810676537422792,1
1492810676537426170,1
1492810676774621626,1
1492810676774629066,1
1492810676923055422,1
1492810676923062655,1
1492810677444097255,1
1492810677444105518,1
1492810677444109146,1
1492810677444112219,1
1492810677444114427,1
1492810677638236403,1
1492810677638247637,1
1492810677742523317,1
1492810677787274119,1
1492810677887523042,1
1492810677986358481,1
1492810678086778204,1
1492810678187951376,1
1492810678358973607,1
1492810678399265579,1
1492810678488278327,1
1492810678586553035,1
1492810678769126606,1
1492810679038392472,1
1492810679038400242,1
1492810679038404850,1
1492810679624541208,1
1492810679624576219,1
1492810679624580087,1
1492810679624583938,1
1492810679674647330,1
1492810679674653135,1
1492810679692310642,1
1492810679788992242,1
1492810679886350937,1
1492810679986292584,1
1492810680086620020,1
1492810680186131821,1
1492810680287111437,1
1492810680395501701,1
1492810680488068894,1
1492810680586383980,1
1492810680689953516,1
1492810680786992704,1
1492810680886500575,1
1492810680988921201,1
1492810681116093251,1
1492810681194324565,1
1492810681286233261,1
1492810681395914284,1
1492810681488694236,1
1492810681591612284,1
1492810681690331382,1
1492810681791047458,1
1492810681888498888,1
1492810681990028600,1
1492810682091038028,1
1492810682189898695,1
1492810682308107498,1
1492810682514705262,1
1492810682514715271,1
1492810682634435487,1
1492810682828580383,1
1492810682828592569,1
1492810682935280315,1
1492810683094404752,1
1492810683158059898,1
1492810683280560957,1
1492810683480196512,1
1492810683480203805,1
1492810683518301780,1
1492810683587589440,1
1492810683687047764,1
1492810683786745964,1
1492810683889226361,1
1492810683990249531,1
1492810684088311812,1
1492810684208435214,1
1492810684289158537,1
1492810684442990181,1
1492810684618710929,1
1492810684748312201,1
