%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1492810664436694832,8243,1492810664436326980,robot_frame,0,1,33.4610538333,-117.706154667,-35.0,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810665437301428,8244,1492810665437127113,robot_frame,0,1,33.4610538333,-117.7061535,-35.1,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810666437178578,8245,1492810666436940908,robot_frame,0,1,33.4610551667,-117.706154,-35.1,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810667437968624,8246,1492810667437746047,robot_frame,0,1,33.4610548333,-117.7061535,-35.3,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810668438782105,8247,1492810668438519001,robot_frame,0,1,33.4610546667,-117.706152833,-35.4,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810669438557859,8248,1492810669438383102,robot_frame,0,1,33.461054,-117.706151333,-35.4,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810670438520157,8249,1492810670438276052,robot_frame,0,1,33.4610516667,-117.706147333,-35.2,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810671435410070,8250,1492810671435128927,robot_frame,0,1,33.4610496667,-117.706145167,-35.0,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810672437197896,8251,1492810672437012910,robot_frame,0,1,33.4610473333,-117.706142167,-34.9,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810673437069592,8252,1492810673436830043,robot_frame,0,1,33.4610448333,-117.706139667,-35.2,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810674439788132,8253,1492810674439609050,robot_frame,0,1,33.4610425,-117.706135833,-35.3,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810675438629745,8254,1492810675438420057,robot_frame,0,1,33.4610401667,-117.706129833,-35.1,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810676450382639,8255,1492810676450138092,robot_frame,0,1,33.4610376667,-117.706124667,-35.2,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810677452159764,8256,1492810677451950073,robot_frame,0,1,33.4610343333,-117.706119667,-35.3,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810678446956550,8257,1492810678446770906,robot_frame,0,1,33.461031,-117.706114833,-35.3,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810679450709412,8258,1492810679450520038,robot_frame,0,1,33.461027,-117.7061095,-35.4,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810680450615853,8259,1492810680450402021,robot_frame,0,1,33.4610236667,-117.706105167,-35.6,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810681452367287,8260,1492810681452183961,robot_frame,0,1,33.46102,-117.7061005,-35.5,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810682451137007,8261,1492810682450937986,robot_frame,0,1,33.4610163333,-117.706096333,-35.5,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810683438085210,8262,1492810683437860965,robot_frame,0,1,33.4610128333,-117.706091833,-35.4,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1492810684451851093,8263,1492810684451584100,robot_frame,0,1,33.4610096667,-117.706088,-35.4,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
