# Time	Input
-4.6999240	0.0000000
-4.5999465	0.0000000
-4.4999291	0.0000000
-4.4000197	0.0000000
-4.2999475	0.0000000
-4.1994542	0.0000000
-4.0999214	0.0000000
-3.9999104	0.0000000
-3.8998292	0.0000000
-3.7996270	0.0000000
-3.6998618	0.0000000
-3.5999304	0.0000000
-3.4998830	0.0000000
-3.3997652	0.0000000
-3.2999429	0.0000000
-3.1999378	0.0000000
-3.1000806	0.0000000
-2.9996595	0.0000000
-2.8998751	0.0000000
-2.7999148	0.0000000
-2.6999859	0.0000000
-2.5999534	0.0000000
-2.4999864	0.0000000
-2.3999644	0.0000000
-2.2999834	0.0000000
-2.2000335	0.0000000
-2.0998958	0.0000000
-1.9999939	0.0000000
-1.8998533	0.0000000
-1.7999688	0.0000000
-1.6999119	0.0000000
-1.5999931	0.0000000
-1.4998815	0.0000000
-1.3999980	0.0000000
-1.2997233	0.0000000
-1.1999340	0.0000000
-1.0999416	0.0000000
-0.9999444	0.0000000
-0.8998989	0.0000000
-0.7999273	0.0000000
-0.7000013	0.0000000
-0.5998034	0.0000000
-0.4999642	0.0000000
-0.3998172	0.0000000
-0.2999813	0.0000000
-0.1998769	0.0000000
-0.0999826	0.0000000
0.0000000	-0.1291870
0.1001377	0.5713670
0.2000520	0.9397190
0.3001372	2.3463633
0.4001482	5.6999149
0.5000041	8.1680632
0.6000742	9.9286098
0.6999834	10.9610348
0.8000691	11.1523113
0.9000225	10.7801886
1.0003069	10.5387793
1.1002112	9.4998598
1.2000448	7.9943857
1.2999980	7.1091051
1.4000852	6.4490614
1.5001482	6.8558960
1.6001436	7.6446638
1.7000609	8.4858236
1.8000758	8.7365875
1.9002010	9.0864038
2.0000640	9.4697342
2.1000530	9.3952913
2.2001782	8.4109497
2.2999777	7.8203392
2.4000374	7.5874472
2.5000328	8.4824228
2.6000100	9.9616547
2.7000553	10.8914728
2.8000220	10.6115398
2.9000607	10.0195074
2.9999700	9.4330282
3.1001078	9.4896889
3.2001408	9.6506958
3.3000653	9.6390448
3.4000517	9.1359997
3.5001964	8.7233953
3.6000379	8.1594868
3.7003203	7.3238525
3.8000684	6.4172444
3.9000046	6.0513105
4.0000963	5.7811885
4.1001329	5.7841377
4.2000486	6.1312265
4.3000996	6.3966856
4.4000950	6.8935061
4.5001362	7.9029560
4.6000420	8.3808994
4.7000896	8.2252111
4.8001674	7.9215722
4.9000704	7.4825521
5.0003052	6.9899659
5.1001684	6.9341431
5.2001869	7.5124741
5.3000993	7.9176540
5.4001060	7.5824385
5.5000374	7.1225419
5.5999821	6.6633363
5.6999913	6.2196212
5.8002744	5.8844213
5.9002529	5.7316370
6.0001841	4.6179485
6.1001917	4.0459776
6.2000704	4.2988820
6.3001431	4.9468970
6.4000750	5.5010853
6.5000358	6.0765872
6.6000515	6.2223153
6.7001684	6.1370759
6.8000660	5.8864913
6.9000161	5.8526769
7.0001728	5.6301870
7.1000520	5.1012583
7.2002755	4.3515911
7.2999613	3.7860510
7.4000438	3.7462366
7.5002332	3.8069332
7.6002043	4.0171623
7.7001027	4.3311224
7.8001702	4.8223457
7.9001224	5.1666842
8.0001242	5.2313042
8.1000276	5.4460263
8.2001810	5.6371412
8.3000072	6.1904516
8.4002921	7.0092864
8.5000123	7.3114209
8.6001196	7.8748374
8.7000138	8.2090483
8.8000927	8.0268173
8.9000028	7.6591549
9.0001828	7.2791152
9.1000609	7.5532823
9.2000289	7.5841651
9.3000486	8.0350494
9.4001024	7.8282199
9.5001068	7.0221586
9.6000187	6.2794523
9.7000888	5.8489203
9.8002627	5.9024119
9.9001272	6.3053894
10.0002212	7.0550766
10.1000563	7.3896756
10.2000090	7.4581242
10.2999995	7.2164874
10.4000346	7.0767298
10.5000991	7.1158133
10.6001211	7.5954204
10.7000105	8.0881987
10.8001336	8.6118078
10.9000003	9.0005169
11.0001731	9.2635651
11.1000440	9.2940283
11.2001119	9.3994017
11.3000658	8.8771429
11.4000550	8.3873425
11.5000402	8.2322111
11.6000737	8.2070837
11.7001580	8.4103909
11.8001577	8.3611746
11.9000031	8.1765585
12.0000468	8.1080141
12.1000604	8.3790236
12.2000486	8.4818516
12.3001149	8.4757204
12.4000899	8.5403719
12.4999803	8.8041458
12.5999941	9.3164682
12.7001441	9.7961245
12.8000187	10.1333895
12.9000046	10.3195868
13.0001262	10.1863165
13.1002821	10.1988297
13.2001185	10.0270157
13.3000410	9.6452017
13.4003904	9.2226143
13.5003105	8.9076824
13.6001500	8.5424843
13.7001779	8.5993328
13.7999729	9.1336002
13.9002716	9.9826727
13.9999444	10.5530109
14.1000855	11.0271320
14.2000489	11.7120190
14.2999534	11.8316431
14.4000543	11.5329027
14.5001528	11.2081594
14.5999967	10.8684692
14.7001710	10.6337767
14.8000975	10.5843115
14.9001106	10.4766026
15.0000184	10.5430412
15.1002337	10.5888491
15.2001014	10.7584209
15.3000776	11.0260544
15.4001119	11.4834938
15.5001894	11.6902409
15.6000507	11.6891832
15.7001710	11.8244696
15.8001183	11.7162933
15.9001275	11.4642696
16.0002650	11.2397022
16.1000707	11.2204008
16.2001477	11.2732029
16.2999698	11.2554369
16.4002035	11.2459450
16.5001152	11.3110476
16.6000054	11.1777782
16.7002324	11.0918207
16.8000033	11.3409357
16.9000159	11.9197540
17.0001690	12.5867367
17.1000287	13.2116337
17.2001108	14.3451452
17.3000599	15.1192274
17.4001247	15.4294157
17.5000829	15.0094995
17.6000745	14.3394938
17.7001654	13.3779068
17.8000883	12.5716305
17.9000110	12.2111845
18.0002619	12.3648624
18.1001137	12.6275444
18.2000059	12.8030586
18.3000023	13.0167122
18.3999962	13.4457302
18.5000456	14.1210709
18.5999757	14.6321878
18.7001943	14.8749208
18.8000719	14.9949675
18.9002045	14.9685869
19.0001057	14.8640385
19.1001546	14.8641710
19.2001848	15.0586834
19.3000366	14.7899199
19.4000737	14.3988047
19.5001029	14.1567850
19.6000968	14.1215067
19.7001830	14.5510817
19.8000105	15.1993217
19.9002726	15.5907536
20.0000020	15.8669815
20.1001042	16.2914734
20.2001600	16.3166542
20.2999537	16.0110912
20.4000159	15.4735394
20.5003287	14.7897205
20.6002737	14.5286026
20.7000358	14.6176863
20.8001359	14.4585867
20.9001859	14.3785286
21.0001165	14.6512232
21.1001098	15.4781351
21.2001180	17.0835228
21.2999951	18.7966900
21.4000806	20.1117039
21.5001651	20.9010277
21.6000371	20.4895344
21.7001482	19.7911644
21.8003197	18.4523735
21.9000269	17.5339394
22.0000522	16.9047909
22.1001966	17.3657169
22.2000182	17.4647655
22.3000522	16.9723148
22.4001807	16.2739811
22.5000722	15.9501953
22.6001746	16.1066837
22.7001574	16.5953579
22.7999521	17.5665512
22.8999946	18.7643681
23.0002299	19.8002338
