# Time	Input
-4.6999462	0.0000000
-4.5999805	0.0000000
-4.4998267	0.0000000
-4.4000474	0.0000000
-4.3000799	0.0000000
-4.1999173	0.0000000
-4.1001275	0.0000000
-4.0000179	0.0000000
-3.8999706	0.0000000
-3.7997284	0.0000000
-3.7000630	0.0000000
-3.6000015	0.0000000
-3.4999997	0.0000000
-3.4001615	0.0000000
-3.3000282	0.0000000
-3.1999299	0.0000000
-3.1001395	0.0000000
-2.9998915	0.0000000
-2.8999557	0.0000000
-2.8000502	0.0000000
-2.7000182	0.0000000
-2.6000809	0.0000000
-2.4998920	0.0000000
-2.4001725	0.0000000
-2.2998595	0.0000000
-2.2001536	0.0000000
-2.0997939	0.0000000
-2.0000241	0.0000000
-1.9000067	0.0000000
-1.8000686	0.0000000
-1.7000906	0.0000000
-1.5999867	0.0000000
-1.5000148	0.0000000
-1.4000287	0.0000000
-1.3000041	0.0000000
-1.2000819	0.0000000
-1.1000064	0.0000000
-1.0000435	0.0000000
-0.9001196	0.0000000
-0.8000543	0.0000000
-0.7000586	0.0000000
-0.6000241	0.0000000
-0.5001439	0.0000000
-0.3999949	0.0000000
-0.3000968	0.0000000
-0.1998692	0.0000000
-0.1001298	0.0000000
0.0000271	-0.1291870
0.0999404	0.5713670
0.1999995	0.9397190
0.2999127	2.3463633
0.3998382	5.6999149
0.5001303	8.1680632
0.5999700	9.9286098
0.6998326	10.9610348
0.7998797	11.1523113
0.8999844	10.7801886
1.0001705	10.5387793
1.0999503	9.4998598
1.1999764	7.9943857
1.2999009	7.1091051
1.3998851	6.4490614
1.5002245	6.8558960
1.5999450	7.6446638
1.6999416	8.4858236
1.8001933	8.7365875
1.9000090	9.0864038
1.9999199	9.4697342
2.0998950	9.3952913
2.1999654	8.4109497
2.2998758	7.8203392
2.3999107	7.5874472
2.5000233	8.4824228
2.5998651	9.9616547
2.7000468	10.8914728
2.7999060	10.6115398
2.8999316	10.0195074
2.9998794	9.4330282
3.0999501	9.4896889
3.1998989	9.6506958
3.2998843	9.6390448
3.3999270	9.1359997
3.4999263	8.7233953
3.5999667	8.1594868
3.7003077	7.3238525
3.8000376	6.4172444
3.9000228	6.0513105
3.9999337	5.7811885
4.0999890	5.7841377
4.2000571	6.1312265
4.3001318	6.3966856
4.3999711	6.8935061
4.4999624	7.9029560
4.6000131	8.3808994
4.6999565	8.2252111
4.8000392	7.9215722
4.8998953	7.4825521
4.9999007	6.9899659
5.1000497	6.9341431
5.1999736	7.5124741
5.3000906	7.9176540
5.4001129	7.5824385
5.4999831	7.1225419
5.6001731	6.6633363
5.6999639	6.2196212
5.7998733	5.8844213
5.9000033	5.7316370
5.9999903	4.6179485
6.0999762	4.0459776
6.1999442	4.2988820
6.3000287	4.9468970
6.3999526	5.5010853
6.5003159	6.0765872
6.6000440	6.2223153
6.6999480	6.1370759
6.7999631	5.8864913
6.9000297	5.8526769
7.0000809	5.6301870
7.1001539	5.1012583
7.1999132	4.3515911
7.2998541	3.7860510
7.3999309	3.7462366
7.4999685	3.8069332
7.6000228	4.0171623
7.6999437	4.3311224
7.7999588	4.8223457
7.9000361	5.1666842
7.9999393	5.2313042
8.0998474	5.4460263
8.1998927	5.6371412
8.2998436	6.1904516
8.3999465	7.0092864
8.4999247	7.3114209
8.5999319	7.8748374
8.6999327	8.2090483
8.8001032	8.0268173
8.8998474	7.6591549
8.9999491	7.2791152
9.0999782	7.5532823
