%time,field.data
1492809889327255549,1
1492809889427229766,1
1492809889527279746,1
1492809889627252683,1
1492809889727247371,1
1492809889827281548,1
1492809889927292288,1
1492809890027278451,1
1492809890127249999,1
1492809890227239286,1
1492809890327478760,1
1492809890427262784,1
1492809890527312001,1
1492809890627320197,1
1492809890727252566,1
1492809890827277254,1
1492809890927302442,1
1492809891027257465,1
1492809891127288707,1
1492809891227286866,1
1492809891327257350,1
1492809891427281908,1
1492809891527313135,1
1492809891627223163,1
1492809891727257146,1
1492809891827301980,1
1492809891927235246,1
1492809892027273263,1
1492809892127279493,1
1492809892227239056,1
1492809892327289766,1
1492809892427258066,1
1492809892527288605,1
1492809892627265939,1
1492809892727287317,1
1492809892827223638,1
1492809892927271854,1
1492809893027279363,1
1492809893127270714,1
1492809893227246753,1
1492809893327300272,1
1492809893427285784,1
1492809893527263335,1
1492809893627231113,1
1492809893727334652,1
1492809893827269456,1
1492809893927293185,1
1492809894027247342,1
1492809894127305486,1
1492809894227282999,1
1492809894327301423,1
1492809894427319420,1
1492809894527241982,1
1492809894627226595,1
1492809894727281887,1
1492809894827237016,1
1492809894927273317,1
1492809895027336054,1
1492809895127290341,1
1492809895227262986,1
1492809895327247378,1
1492809895427238473,1
1492809895527309193,1
1492809895627286907,1
1492809895727277741,1
1492809895827271462,1
1492809895927277433,1
1492809896027198155,1
1492809896127297477,1
1492809896227300422,1
1492809896327320976,1
1492809896427278335,1
1492809896527342452,1
1492809896627275768,1
1492809896727283839,1
1492809896827292851,1
1492809896927283384,1
1492809897027230068,1
1492809897127282438,1
1492809897227325895,1
1492809897327254280,1
1492809897427278356,1
1492809897527329614,1
1492809897627261368,1
1492809897727304631,1
1492809897827335099,1
1492809897927283446,1
1492809898027224870,1
1492809898127306652,1
1492809898227251362,1
1492809898327240049,1
1492809898427235396,1
1492809898527244167,1
1492809898627236704,1
1492809898727357180,1
1492809898827320397,1
1492809898927254331,1
1492809899027268224,1
1492809899127285810,1
1492809899227296628,1
1492809899327336744,1
1492809899427276168,1
1492809899527240120,1
1492809899627257239,1
1492809899727242388,1
1492809899827262962,1
1492809899927268581,1
1492809900027272327,1
1492809900127281527,1
1492809900227370179,1
1492809900327293247,1
1492809900427365739,1
1492809900527279444,1
1492809900627287777,1
1492809900727258069,1
1492809900827276647,1
1492809900927254378,1
1492809901027232509,1
1492809901127354572,1
1492809901227324900,1
1492809901327299156,1
1492809901427254892,1
1492809901527284409,1
1492809901627279717,1
1492809901727232608,1
1492809901827311890,1
1492809901927304365,1
1492809902027257452,1
1492809902127274265,1
1492809902227478342,1
1492809902327351515,1
1492809902427309241,1
1492809902527292923,1
1492809902627346108,1
1492809902727320298,1
1492809902827411796,1
1492809902927290821,1
1492809903027290366,1
1492809903127271466,1
1492809903227275899,1
1492809903327363743,1
1492809903427241262,1
1492809903527240979,1
1492809903627265912,1
1492809903727269210,1
1492809903827248040,1
1492809903927269653,1
1492809904027285376,1
1492809904127235600,1
1492809904227250705,1
1492809904327289905,1
1492809904427279226,1
1492809904527269286,1
1492809904627273570,1
1492809904727271696,1
1492809904827248406,1
1492809904927219076,1
1492809905027237384,1
1492809905127225629,1
1492809905227251803,1
1492809905327179989,1
1492809905427322374,1
1492809905527295855,1
1492809905627315155,1
1492809905727313115,1
1492809905827288296,1
1492809905927265578,1
1492809906027246491,1
1492809906127269776,1
1492809906227317161,1
1492809906327306174,1
1492809906427263596,1
1492809906527164569,1
1492809906627344037,1
1492809906727265322,1
1492809906827280853,1
1492809906927251144,1
1492809907027237382,1
1492809907127329544,1
1492809907227272933,1
1492809907327298119,1
1492809907427404962,1
1492809907527269970,1
1492809907627295043,1
1492809907727271751,1
1492809907827149357,1
1492809907927276128,1
1492809908027299851,1
1492809908127254501,1
1492809908227261474,1
1492809908327237828,1
1492809908427300488,1
1492809908527281905,1
1492809908627225519,1
1492809908727300609,1
1492809908827278528,1
1492809908927317686,1
1492809909027308583,1
1492809909127341691,1
1492809909227300774,1
1492809909327312120,1
1492809909427270877,1
1492809909527232985,1
1492809909627222201,1
1492809909727318149,1
1492809909827316131,1
1492809909927246809,1
1492809910027370473,1
1492809910127276197,1
1492809910227227493,1
1492809910327329525,1
1492809910427306206,1
1492809910527263107,1
1492809910627275863,1
1492809910727253389,1
1492809910827284687,1
1492809910927318460,1
1492809911027265656,1
1492809911127266612,1
1492809911227249223,1
1492809911327305547,1
1492809911427245023,1
1492809911527292551,1
1492809911627240749,1
1492809911727339892,1
1492809911827446937,1
1492809911927277470,1
1492809912027239434,1
1492809912127278896,1
1492809912227222480,1
1492809912327301752,1
1492809912427319939,1
1492809912527313568,1
1492809912627284358,1
1492809912727270310,1
1492809912827301614,1
1492809912927273110,1
1492809913027264040,1
1492809913127264603,1
1492809913227300561,1
1492809913327276610,1
1492809913427288138,1
1492809913527276523,1
1492809913627236420,1
1492809913727259633,1
1492809913827293355,1
1492809913927227621,1
1492809914027319679,1
1492809914127208044,1
1492809914227302092,1
1492809914327280956,1
1492809914427234333,1
1492809914527304303,1
1492809914627293217,1
1492809914727283771,1
1492809914827294879,1
1492809914927236171,1
1492809915027179592,1
1492809915127252464,1
1492809915227296947,1
1492809915327261392,1
1492809915427252390,1
1492809915527271093,1
1492809915627259626,1
1492809915727245197,1
1492809915827303351,1
1492809915927303978,1
1492809916027291540,1
1492809916127288977,1
1492809916227245541,1
1492809916327254593,1
1492809916427247469,1
1492809916527259377,1
1492809916627306509,1
1492809916727315799,1
1492809916827301913,1
1492809916927246296,1
1492809917027275618,1
1492809917127279188,1
1492809917227277928,1
1492809917327269373,1
1492809917427239678,1
1492809917527320177,1
1492809917627270720,1
1492809917727262721,1
1492809917827282444,1
1492809917927223333,1
1492809918027244985,1
1492809918127268528,1
1492809918227220380,1
1492809918327273600,1
1492809918427316095,1
1492809918527292953,1
1492809918627262739,1
1492809918727402756,1
1492809918827274196,1
1492809918927276143,1
1492809919027307927,1
1492809919127270411,1
1492809919227328038,1
1492809919327368911,1
1492809919427293697,1
1492809919527254928,1
1492809919627234654,1
1492809919727288365,1
1492809919827235913,1
1492809919927314357,1
1492809920027271382,1
1492809920127226941,1
1492809920227236335,1
1492809920327272222,1
1492809920427324793,1
1492809920527252344,1
1492809920627283315,1
1492809920727251885,1
1492809920827246018,1
1492809920927274394,1
1492809921027262733,1
1492809921127253218,1
1492809921227303111,1
1492809921327414375,1
1492809921427249697,1
1492809921527286075,1
1492809921627258077,1
1492809921727247378,1
1492809921827245693,1
1492809921927271580,1
1492809922027331425,1
1492809922127344497,1
1492809922227266714,1
1492809922327304965,1
1492809922427331031,1
1492809922527244226,1
1492809922627326875,1
1492809922727315594,1
1492809922827218502,1
1492809922927306723,1
1492809923027245836,1
1492809923127273475,1
1492809923227273266,1
1492809923327306884,1
1492809923427266525,1
1492809923527215459,1
1492809923627264228,1
1492809923727286767,1
1492809923827276982,1
1492809923927309439,1
1492809924027268443,1
1492809924127259008,1
1492809924227233432,1
1492809924327229881,1
1492809924427274119,1
1492809924527305667,1
1492809924627264943,1
1492809924727267690,1
