%time,field.data
1492809889573641966,1
1492809889701895392,1
1492809889770317270,1
1492809889908811698,1
1492809889957707846,1
1492809890122909907,1
1492809890158804249,1
1492809890324044230,1
1492809890413696016,1
1492809890513803091,1
1492809890563205879,1
1492809890685752139,1
1492809890758736926,1
1492809890937368709,1
1492809890960849041,1
1492809891083788320,1
1492809891156884769,1
1492809891493835617,1
1492809891493844022,1
1492809891493847234,1
1492809891556771050,1
1492809891656759290,1
1492809891758850751,1
1492809891869950294,1
1492809891963860230,1
1492809892059817626,1
1492809892158764965,1
1492809892269522792,1
1492809892358857285,1
1492809892457794863,1
1492809892557990521,1
1492809892663975954,1
1492809892757787631,1
1492809892857829530,1
1492809892962946089,1
1492809893057766036,1
1492809893158859708,1
1492809893260778383,1
1492809893384296063,1
1492809893467917316,1
1492809893559187737,1
1492809893657857186,1
1492809893756221161,1
1492809893857957195,1
1492809893963822584,1
1492809894058160699,1
1492809894157790043,1
1492809894262000174,1
1492809894357881918,1
1492809894488035499,1
1492809894557803900,1
1492809894656890419,1
1492809894757827709,1
1492809894856808682,1
1492809895196073960,1
1492809895196167945,1
1492809895196172465,1
1492809896246951694,1
1492809896246966113,1
1492809896246979278,1
1492809896391357579,1
1492809896391391670,1
1492809896391395215,1
1492809896391402718,1
1492809896391408481,1
1492809896391413711,1
1492809896391417012,1
1492809897540106625,1
1492809897540115960,1
1492809897540120416,1
1492809897540123051,1
1492809897540125990,1
1492809897540128819,1
1492809897545469660,1
1492809897545480613,1
1492809897545485072,1
1492809897545489065,1
1492809897545492488,1
1492809897545517113,1
1492809897545526489,1
1492809897561011535,1
1492809897657025394,1
1492809897763925758,1
1492809897857072524,1
1492809897958209945,1
1492809898056957858,1
1492809898157156143,1
1492809898264209072,1
1492809898357731399,1
1492809898460563518,1
1492809898557904847,1
1492809898657971376,1
1492809898758582905,1
1492809898857014820,1
1492809898959213054,1
1492809899057884605,1
1492809899158874526,1
1492809899261222003,1
1492809899357906532,1
1492809899459495358,1
1492809899556999062,1
1492809899658927703,1
1492809899758007018,1
1492809899858922136,1
1492809899960168809,1
1492809900057715473,1
1492809900158540951,1
1492809900257940992,1
1492809900359978125,1
1492809900472878544,1
1492809900568943352,1
1492809900657081430,1
1492809900760962939,1
1492809900857942446,1
1492809900959942210,1
1492809901057401009,1
1492809901385497163,1
1492809901408418809,1
1492809901408427749,1
1492809901459001458,1
1492809901559087533,1
1492809901656491129,1
1492809901757072932,1
1492809901858039619,1
1492809901962092092,1
1492809902061396063,1
1492809902157488209,1
1492809902257981893,1
1492809902358964180,1
1492809902484670945,1
1492809902558268091,1
1492809902661095671,1
1492809902760987540,1
1492809902857996037,1
1492809902957977187,1
1492809903058057955,1
1492809903161236479,1
1492809903258056676,1
1492809903397797116,1
1492809903459100590,1
1492809903561825884,1
1492809903657997250,1
1492809903763356245,1
1492809903869255421,1
1492809903958117451,1
1492809904056764224,1
1492809904160154665,1
1492809904257196169,1
1492809904358054923,1
1492809904456829008,1
1492809904558019058,1
1492809904664255553,1
1492809904763814291,1
1492809904859019295,1
1492809904959006074,1
1492809905058106644,1
1492809905158046542,1
1492809905261236827,1
1492809905361025689,1
1492809905458163586,1
1492809905583525643,1
1492809905659125356,1
1492809905762096584,1
1492809905858267611,1
1492809905964387310,1
1492809906057504660,1
1492809906158022761,1
1492809906268198927,1
1492809906359470297,1
1492809906456786984,1
1492809906559479364,1
1492809906658064725,1
1492809906760080523,1
1492809906858018265,1
1492809906959058330,1
1492809907061055074,1
1492809907163405492,1
1492809907263441185,1
1492809907359302528,1
1492809907460202642,1
1492809907558017243,1
1492809907660008989,1
1492809907759134509,1
1492809907858065300,1
1492809907960112545,1
1492809908058478829,1
1492809908159197589,1
1492809908259119453,1
1492809908358091046,1
1492809908458083105,1
1492809908572493196,1
1492809908676913248,1
1492809908756922822,1
1492809908865298401,1
1492809909004951290,1
1492809909066217509,1
1492809909171220728,1
1492809909387226364,1
1492809909626997294,1
1492809909957948883,1
1492809909957957489,1
1492809909957975569,1
1492809909957994942,1
1492809909957998497,1
1492809910293617266,1
1492809910387690372,1
1492809910387701084,1
1492809910387705671,1
1492809911460891897,1
1492809911460898850,1
1492809911460902209,1
1492809911460914362,1
1492809911460917254,1
1492809911465209519,1
1492809911465220771,1
1492809911465226169,1
1492809911465230365,1
1492809911465234743,1
1492809911465240722,1
1492809911465252184,1
1492809911558143445,1
1492809911662198337,1
1492809911757059139,1
1492809911858124296,1
1492809911959158444,1
1492809912058147469,1
1492809912158137956,1
1492809912337345382,1
1492809912358115489,1
1492809912484025417,1
1492809912558203214,1
1492809912659163344,1
1492809912759166385,1
1492809912858139867,1
1492809912961318201,1
1492809913058164782,1
1492809913161167017,1
1492809913262176220,1
1492809913359204835,1
1492809913458168157,1
1492809913558173676,1
1492809913750099454,1
1492809913761586050,1
1492809913858219000,1
1492809913958639127,1
1492809914058264731,1
1492809914158174253,1
1492809914260163353,1
1492809914361188328,1
1492809914459724090,1
1492809914576179717,1
1492809914658196191,1
1492809914759164511,1
1492809914861523325,1
1492809914964983482,1
1492809915074358083,1
1492809915158248264,1
1492809915259194456,1
1492809915358221359,1
1492809915458223908,1
1492809915558199865,1
1492809915660522786,1
1492809915768516781,1
1492809915875462752,1
1492809916173363821,1
1492809916175308751,1
1492809916175327630,1
1492809916406078571,1
1492809916426750810,1
1492809916459239779,1
1492809916563265119,1
1492809917007371363,1
1492809917394589703,1
1492809917394596364,1
1492809917800374538,1
1492809917800382332,1
1492809917800386102,1
1492809917800389817,1
1492809917800423805,1
1492809917800427923,1
1492809917800434585,1
1492809917800437764,1
1492809917800441482,1
