%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1492809889603467752,0,1492809889593242407,odom,robot_frame,1.82934141572e-10,3.26290250987e-11,-0.394010630459,0.00318736177902,-0.159112807156,0.597574449245,0.785861141,0.0020276675704,2.28811963058e-23,2.80812341565e-24,0.0,0.0,0.0,2.28811963058e-23,0.0020276675704,7.03640381975e-23,0.0,0.0,0.0,2.80812341565e-24,7.03640381975e-23,0.00243319988415,0.0,0.0,0.0,0.0,0.0,0.0,9.99999178038e-10,1.56707482591e-33,-3.61186083679e-34,0.0,0.0,0.0,1.56707482591e-33,9.99999178038e-10,-3.01149364586e-34,0.0,0.0,0.0,-3.61186083679e-34,-3.01149364586e-34,9.99999589019e-10,9.02190450791e-09,1.60919086015e-09,-2.560405706e-09,0.00826164857819,0.166168658206,0.0493154641166,0.00101383428602,5.56526239452e-20,6.83003783343e-21,0.0,0.0,0.0,5.56526239452e-20,0.00101383428602,1.71142422132e-19,0.0,0.0,0.0,6.83003783343e-21,1.71142422132e-19,0.00162213425665,0.0,0.0,0.0,0.0,0.0,0.0,7.74559741104e-07,2.31947068087e-07,-2.13840155045e-07,0.0,0.0,0.0,2.31947068087e-07,5.98963358746e-07,-1.78295426444e-07,0.0,0.0,0.0,-2.13840155045e-07,-1.78295426444e-07,5.03649230946e-07
1492809889703289860,1,1492809889701905012,odom,robot_frame,0.000112952833262,0.000527347765903,-0.39095020346,-0.00149962704823,-0.153687210213,0.599753500091,0.785285764333,0.00747357923916,3.51409734777e-07,-1.92570891193e-13,-3.82539699294e-14,-2.93637654457e-15,-1.09399302415e-13,3.51409734777e-07,0.0074734093241,-1.51522217334e-13,9.03905904839e-15,-1.24687633614e-14,2.52625263285e-14,-1.92570891193e-13,-1.51522217334e-13,9.99999888542e-10,1.95827649565e-22,-1.25120850557e-20,8.74309341376e-25,-3.82539699294e-14,9.03905904839e-15,1.95827649565e-22,0.000366147631273,-1.77534183842e-11,1.38383839518e-11,-2.93637654457e-15,-1.24687633614e-14,-1.25120850557e-20,-1.77534183842e-11,0.000366147709472,-3.19867797814e-11,-1.09399302415e-13,2.52625263285e-14,8.74309341376e-25,1.38383839518e-11,-3.19867797814e-11,0.000732294198581,0.00906527981616,0.000555005865949,-0.00301748302846,0.0124361000413,0.106937924442,0.0552465850238,0.00373170470335,1.50039932109e-07,-8.16028534386e-07,-3.65060674542e-23,-2.33863815e-23,1.61495930683e-23,1.50039932109e-07,0.00373168324322,8.39862818769e-07,2.70637802707e-23,1.73374985141e-23,-1.19725039902e-23,-8.16028534386e-07,8.39862818769e-07,0.00596572825516,-2.22292141915e-22,-1.4240396728e-22,9.83378349014e-23,-3.65060674542e-23,2.70637802707e-23,-2.22292141915e-22,0.000122824383514,2.32430814913e-07,-2.14213777927e-07,-2.33863815e-23,1.73374985141e-23,-1.4240396728e-22,2.32430814913e-07,0.000122648431613,-1.78583725874e-07,1.61495930683e-23,-1.19725039902e-23,9.83378349014e-23,-2.14213777927e-07,-1.78583725874e-07,0.00024460165138
1492809889803330926,2,1492809889791268349,odom,robot_frame,0.000468617577064,0.00133616574562,-0.384787029943,-0.00266823880653,-0.150584314722,0.601511100522,0.784539126246,0.011998984706,1.83481744572e-06,-1.0968580391e-06,-3.71435768999e-14,8.54288708426e-15,-2.76676852886e-13,1.83481744572e-06,0.0119979486239,-9.07594569213e-07,1.98188186029e-14,2.7930214294e-14,1.13426551991e-13,-1.0968580391e-06,-9.07594569213e-07,0.000982393586743,-3.30736682029e-14,-1.93436264185e-13,-2.77731900086e-16,-3.71435768999e-14,1.98188186029e-14,-3.30736682029e-14,9.99999672266e-10,-1.87673733558e-19,1.72297706191e-19,8.54288708426e-15,2.7930214294e-14,-1.93436264185e-13,-1.87673733558e-19,9.99999672395e-10,-8.42730141011e-19,-2.76676852886e-13,1.13426551991e-13,-2.77731900086e-16,1.72297706191e-19,-8.42730141011e-19,9.99999835939e-10,0.0104471190252,-0.0034361410339,-0.000344579879618,0.0114261409261,0.0153246936385,0.03865572141,0.00596722033503,9.90867106301e-07,-6.932733362e-06,-2.83701903414e-14,-1.26639240796e-14,1.160927588e-14,9.90867106301e-07,0.00596744853334,6.02576404259e-06,2.2094707577e-14,9.86266555728e-15,-9.04130542172e-15,-6.932733362e-06,6.02576404259e-06,0.00950473595478,-1.80510383854e-13,-8.05764701566e-14,7.38660833836e-14,-2.83701903414e-14,2.2094707577e-14,-1.80510383854e-13,7.75563894412e-07,2.32448387863e-07,-2.14227347119e-07,-1.26639240796e-14,9.86266555728e-15,-8.05764701566e-14,2.32448387863e-07,5.99599081988e-07,-1.78594203313e-07,1.160927588e-14,-9.04130542172e-15,7.38660833836e-14,-2.14227347119e-07,-1.78594203313e-07,5.03952353219e-07
1492809889903488361,3,1492809889893004417,odom,robot_frame,0.00111229326123,0.00177215710529,-0.389707248982,-0.00153640563161,-0.151630799978,0.602418572853,0.78364379857,0.0172585455518,6.12910270949e-06,-7.14336654307e-06,1.11500858034e-13,3.28777608753e-14,-8.81267933468e-14,6.12910270949e-06,0.017254897115,-5.45830308067e-06,1.73549244656e-14,1.35482766008e-13,2.12624941229e-13,-7.14336654307e-06,-5.45830308067e-06,0.00267023494898,-1.80732481863e-13,-1.35650907179e-13,-1.47505555402e-16,1.11500858034e-13,1.73549244656e-14,-1.80732481863e-13,9.99999672947e-10,-3.59188188833e-20,1.65706004252e-20,3.28777608753e-14,1.35482766008e-13,-1.35650907179e-13,-3.59188188833e-20,9.99999672993e-10,-1.89253668861e-19,-8.81267933468e-14,2.12624941229e-13,-1.47505555402e-16,1.65706004252e-20,-1.89253668861e-19,9.99999836202e-10,0.00244379663105,-0.00752896998799,0.0038735457924,0.00714631667358,-0.0821261927007,0.0101546876171,0.00851139336952,2.95402439961e-06,-2.17872802369e-05,-6.49232453278e-17,-3.68557351909e-17,2.77730990222e-17,2.95402439961e-06,0.00851225029827,1.85575903673e-05,5.13859005419e-17,2.91634842313e-17,-2.19808051985e-17,-2.17872802369e-05,1.85575903673e-05,0.013481512477,-4.1944236657e-16,-2.38053350762e-16,1.79421048593e-16,-6.49232453278e-17,5.13859005419e-17,-4.1944236657e-16,7.75564967548e-07,2.32448923441e-07,-2.14227759756e-07,-3.68557351909e-17,2.91634842313e-17,-2.38053350762e-16,2.32448923441e-07,5.99599762233e-07,-1.7859452303e-07,2.77730990222e-17,-2.19808051985e-17,1.79421048593e-16,-2.14227759756e-07,-1.7859452303e-07,5.03952676792e-07
1492809890003353413,4,1492809889998549938,odom,robot_frame,0.00175431167902,0.00122277005274,-0.390950202909,0.0029792180147,-0.156017641568,0.60227817637,0.782886082421,0.0228903796557,1.4883408784e-05,-4.52056468115e-12,7.76341299143e-14,1.3936253983e-14,9.56395601531e-14,1.4883408784e-05,0.0228816501479,-3.39103856531e-12,-2.00190825037e-15,5.62492646271e-14,4.5218780786e-14,-4.52056468115e-12,-3.39103856531e-12,9.99999891935e-10,-6.9424384969e-21,8.92277403951e-21,9.36788183803e-24,7.76341299143e-14,-2.00190825037e-15,-6.9424384969e-21,0.000270453535989,-9.53225794267e-12,6.02237932239e-12,1.3936253983e-14,5.62492646271e-14,8.92277403951e-21,-9.53225794267e-12,0.000270453578349,-1.49383334345e-11,9.56395601531e-14,4.5218780786e-14,9.36788183803e-24,6.02237932239e-12,-1.49383334345e-11,0.000540906036527,-0.00759102642127,-0.00878802781611,0.00645047215605,0.00250465928523,-0.157571914955,-0.0183624179636,0.0111443486968,1.03210063023e-05,-8.09549348536e-05,-7.12067159815e-17,-1.12239257706e-17,2.54180939792e-17,1.03210063023e-05,0.0111484608029,6.58649134121e-05,5.59064602368e-17,8.81242127294e-18,-1.99565178884e-17,-8.09549348536e-05,6.58649134121e-05,0.0173253286602,-4.60676502265e-16,-7.26136087148e-17,1.64443962031e-16,-7.12067159815e-17,5.59064602368e-17,-4.60676502265e-16,9.09263623461e-05,2.32431079483e-07,-2.14213982235e-07,-1.12239257706e-17,8.81242127294e-18,-7.26136087148e-17,2.32431079483e-07,9.07504102504e-05,-1.78583883512e-07,2.54180939792e-17,-1.99565178884e-17,1.64443962031e-16,-2.14213982235e-07,-1.78583883512e-07,0.000180805608144
1492809890103352492,5,1492809890091047287,odom,robot_frame,0.00219714690285,0.000187987224652,-0.385776898948,0.00804451687557,-0.163284704715,0.601052188354,0.782310461281,0.0280150960544,2.76447564077e-05,-8.21308349147e-06,1.79206089858e-13,2.76679806613e-14,3.09169377436e-13,2.76447564077e-05,0.0280001447547,-5.17005564925e-06,5.46507544357e-16,1.05308655031e-13,9.7893098558e-14,-8.21308349147e-06,-5.17005564925e-06,0.00113353136841,-1.14150571365e-13,2.05250662638e-13,-3.36225389688e-16,1.79206089858e-13,5.46507544357e-16,-1.14150571365e-13,9.99999671974e-10,2.83628821719e-19,-2.92253956798e-19,2.76679806613e-14,1.05308655031e-13,2.05250662638e-13,2.83628821719e-19,9.99999671854e-10,1.0981833611e-18,3.09169377436e-13,9.7893098558e-14,-3.36225389688e-16,-2.92253956798e-19,1.0981833611e-18,9.99999835843e-10,-0.0090313231643,-0.00850979509758,0.00432840236106,0.00416728203733,-0.19151437745,-0.028029051782,0.0134507928975,1.68403178494e-05,-0.000134078936606,5.78713813259e-14,5.06971296011e-14,-2.43840459155e-14,1.68403178494e-05,0.0134586963097,0.000105615110927,-4.26473929005e-14,-3.73604436916e-14,1.7969434424e-14,-0.000134078936606,0.000105615110927,0.0207033209464,3.54734039878e-13,3.10758059245e-13,-1.49466816827e-13,5.78713813259e-14,-4.26473929005e-14,3.54734039878e-13,7.7556353407e-07,2.32448207617e-07,-2.1422720778e-07,5.06971296011e-14,-3.73604436916e-14,3.10758059245e-13,2.32448207617e-07,5.99598853094e-07,-1.78594095251e-07,-2.43840459155e-14,1.7969434424e-14,-1.49466816827e-13,-2.1422720778e-07,-1.78594095251e-07,5.03952243997e-07
1492809890203592876,6,1492809890192681313,odom,robot_frame,0.00281609926782,-0.000563874977122,-0.39416753567,0.0143458493593,-0.170512826709,0.599884761078,0.781573954249,0.0339079584408,4.95909536098e-05,-2.76674415141e-05,-4.52713274568e-14,-2.34355035277e-14,2.04109452789e-13,4.95909536098e-05,0.0338845952931,-1.72344059142e-05,6.49101887259e-14,-1.0372031709e-13,1.48719731134e-13,-2.76674415141e-05,-1.72344059142e-05,0.00282527936179,-1.8485644459e-13,1.63678606369e-13,-2.20068918624e-16,-4.52713274568e-14,6.49101887259e-14,-1.8485644459e-13,9.99999672398e-10,4.30362136437e-19,-4.25519648452e-19,-2.34355035277e-14,-1.0372031709e-13,1.63678606369e-13,4.30362136437e-19,9.99999672226e-10,1.54250285206e-18,2.04109452789e-13,1.48719731134e-13,-2.20068918624e-16,-4.25519648452e-19,1.54250285206e-18,9.99999836036e-10,-0.00377890577397,-0.00605949277192,-0.00472168075906,0.00954693917896,-0.179695540217,-0.0228285986602,0.0159812062814,2.63312925551e-05,-0.000212545199368,1.85541891725e-16,1.40978544396e-16,-8.59155684323e-17,2.63312925551e-05,0.0159960733106,0.000160259742935,-1.30460295762e-16,-9.91743754041e-17,6.04169189162e-17,-0.000212545199368,0.000160259742935,0.0243197627892,1.09246809433e-15,8.30422967185e-16,-5.05919784278e-16,1.85541891725e-16,-1.30460295762e-16,1.09246809433e-15,7.75564295897e-07,2.32448587249e-07,-2.14227498831e-07,1.40978544396e-16,-9.91743754041e-17,8.30422967185e-16,2.32448587249e-07,5.99599336208e-07,-1.78594321877e-07,-8.59155684323e-17,6.04169189162e-17,-5.05919784278e-16,-2.14227498831e-07,-1.78594321877e-07,5.03952472474e-07
1492809890303629695,7,1492809890295852900,odom,robot_frame,0.00350218983252,-0.000387407848848,-0.394010630478,0.02016204832,-0.175990645421,0.599360388123,0.780633018569,0.0402232449226,8.25295802265e-05,-1.22086140502e-11,-5.08059542608e-14,-9.74559661464e-15,-4.69031881315e-14,8.25295802265e-05,0.0401899296493,-8.24361433586e-12,2.28195596392e-14,-3.84827050348e-14,4.85262954906e-14,-1.22086140502e-11,-8.24361433586e-12,9.9999989438e-10,-3.67218921156e-21,-6.01045561894e-21,4.15641616233e-24,-5.08059542608e-14,2.28195596392e-14,-3.67218921156e-21,0.000199192590256,-5.29672611596e-12,2.90876827221e-12,-9.74559661464e-15,-3.84827050348e-14,-6.01045561894e-21,-5.29672611596e-12,0.000199192614129,-6.94463481427e-12,-4.69031881315e-14,4.85262954906e-14,4.15641616233e-24,2.90876827221e-12,-6.94463481427e-12,0.000398384160254,0.00687796660912,-0.00386520518647,-0.00885501717402,0.0166177302337,-0.126097751942,-0.00438921094544,0.018522390899,5.29436961282e-05,-0.00043502970274,2.56202699914e-16,2.25805736021e-16,-1.24343496326e-16,5.29436961282e-05,0.018561749037,0.000302614460658,-1.62971427733e-16,-1.43633856219e-16,7.90950825921e-17,-0.00043502970274,0.000302614460658,0.0272600489093,1.37205032025e-15,1.20924893754e-15,-6.65898637962e-16,2.56202699914e-16,-1.62971427733e-16,1.37205032025e-15,6.71727193206e-05,2.3243108467e-07,-2.14213986242e-07,2.25805736021e-16,-1.43633856219e-16,1.20924893754e-15,2.3243108467e-07,6.69967672211e-05,-1.78583886605e-07,-1.24343496326e-16,7.90950825921e-17,-6.65898637962e-16,-2.14213986242e-07,-1.78583886605e-07,0.000133298322075
1492809890403362523,8,1492809890391000032,odom,robot_frame,0.00428001987013,0.000765057534078,-0.393011932112,0.0230912929998,-0.179124148862,0.599570728088,0.779677031535,0.0463881299724,0.000124842856663,-2.11185200335e-05,-1.65401925204e-13,-1.64854670409e-14,-3.58808711064e-13,0.000124842856663,0.0463459458664,-1.21220234677e-05,7.50012210205e-14,-5.86218804949e-14,2.04649667464e-13,-2.11185200335e-05,-1.21220234677e-05,0.00133043395742,-8.65018298303e-14,-3.31478586651e-13,7.18488393011e-16,-1.65401925204e-13,7.50012210205e-14,-8.65018298303e-14,9.99999672953e-10,2.74338425618e-19,-3.01819035963e-19,-1.64854670409e-14,-5.86218804949e-14,-3.31478586651e-13,2.74338425618e-19,9.99999672894e-10,8.47876443145e-19,-3.58808711064e-13,2.04649667464e-13,7.18488393011e-16,-3.01819035963e-19,8.47876443145e-19,9.99999836281e-10,0.017857743189,-0.00409938886138,-0.00690468168395,0.0156213246454,-0.049940248556,0.0190497139533,0.0208727084039,7.14360409539e-05,-0.000588603126304,-9.81318300891e-14,-2.87143686248e-14,4.38600815698e-14,7.14360409539e-05,0.0209320248446,0.000394167137739,5.81101663811e-14,1.70036183015e-14,-2.59723741023e-14,-0.000588603126304,0.000394167137739,0.0303088077527,-4.86167979852e-13,-1.42257629297e-13,2.17293073135e-13,-9.81318300891e-14,5.81101663811e-14,-4.86167979852e-13,7.75565331469e-07,2.32449104115e-07,-2.14227899255e-07,-2.87143686248e-14,1.70036183015e-14,-1.42257629297e-13,2.32449104115e-07,5.99599990769e-07,-1.78594629221e-07,4.38600815698e-14,-2.59723741023e-14,2.17293073135e-13,-2.14227899255e-07,-1.78594629221e-07,5.03952785456e-07
1492809890503571752,9,1492809890492594004,odom,robot_frame,0.0053601355452,0.00266826278473,-0.396966174136,0.023554049946,-0.17924268778,0.600760158836,0.778719780899,0.0533913780078,0.000184495723458,-5.62780759332e-05,-9.94184320121e-14,1.85857848986e-14,-5.8780896071e-13,0.000184495723458,0.0533403921487,-3.7007019047e-05,6.77193706456e-14,8.68063340456e-14,2.81042616072e-13,-5.62780759332e-05,-3.7007019047e-05,0.00304793131466,-1.3404689687e-13,-6.36180320486e-13,8.53128170748e-16,-9.94184320121e-14,6.77193706456e-14,-1.3404689687e-13,9.99999672474e-10,1.24344916598e-19,-1.5341081816e-19,1.85857848986e-14,8.68063340456e-14,-6.36180320486e-13,1.24344916598e-19,9.99999672479e-10,3.4644124159e-19,-5.8780896071e-13,2.81042616072e-13,8.53128170748e-16,-1.5341081816e-19,3.4644124159e-19,9.9999983598e-10,0.0217910665666,-0.00482126457336,-0.00456165720957,0.0061162616995,0.021823694914,0.0355589630196,0.0233763478851,9.40303532847e-05,-0.000779613664072,-4.49227286861e-16,-2.38824778341e-16,1.93169516624e-16,9.40303532847e-05,0.023462132401,0.000503557182449,2.57650848692e-16,1.36917744183e-16,-1.10781428536e-16,-0.000779613664072,0.000503557182449,0.0334519274749,-2.18545496505e-15,-1.16158336343e-15,9.39708906616e-16,-4.49227286861e-16,2.57650848692e-16,-2.18545496505e-15,7.75564031184e-07,2.32448454642e-07,-2.14227395426e-07,-2.38824778341e-16,1.36917744183e-16,-1.16158336343e-15,2.32448454642e-07,5.99599168497e-07,-1.78594242655e-07,1.93169516624e-16,-1.10781428536e-16,9.39708906616e-16,-2.14227395426e-07,-1.78594242655e-07,5.03952391388e-07
