%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1492809889443225760,7468,1492809889443008899,robot_frame,0,1,33.4610783333,-117.706137667,-34.0,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809890427054551,7469,1492809890426804065,robot_frame,0,1,33.4610786667,-117.706137667,-33.9,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809891429836418,7470,1492809891429681062,robot_frame,0,1,33.461078,-117.706137,-33.8,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809892430690354,7471,1492809892430424928,robot_frame,0,1,33.461079,-117.7061365,-33.8,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809893431505544,7472,1492809893431262016,robot_frame,0,1,33.4610793333,-117.706135667,-33.8,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809894430427714,7473,1492809894430157899,robot_frame,0,1,33.4610795,-117.706135167,-33.7,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809895430297231,7474,1492809895429984092,robot_frame,0,1,33.46108,-117.706134833,-33.7,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809896432942295,7475,1492809896432773113,robot_frame,0,1,33.4610811667,-117.706136,-34.0,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809897433749032,7476,1492809897433557033,robot_frame,0,1,33.4610806667,-117.706137,-34.0,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809898430679837,7477,1492809898430399894,robot_frame,0,1,33.4610788333,-117.706137,-33.9,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809899430304704,7478,1492809899430143117,robot_frame,0,1,33.4610771667,-117.7061365,-34.0,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809900430301720,7479,1492809900429970979,robot_frame,0,1,33.4610755,-117.706137167,-34.0,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809901427005855,7480,1492809901426772117,robot_frame,0,1,33.461074,-117.706139333,-34.2,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809902431796313,7481,1492809902431494951,robot_frame,0,1,33.4610715,-117.706140833,-34.2,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809903432546755,7482,1492809903432272911,robot_frame,0,1,33.461067,-117.706141333,-34.0,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809904432455210,7483,1492809904432149887,robot_frame,0,1,33.4610638333,-117.706143333,-33.9,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
1492809905430122667,7484,1492809905429882049,robot_frame,0,1,33.4610603333,-117.7061455,-33.8,0.8464,0.0,0.0,0.0,0.8464,0.0,0.0,0.0,3.3856,1
