%time,field.data
1492809966078151801,DONE
1492809966078159230,DONE
1492809966078174748,DONE
1492809966078187146,DONE
1492809966078209434,DONE
1492809966078212768,DONE
1492809966078215801,DONE
1492809966078218279,DONE
1492809966078235254,DONE
1492809966078238081,DONE
1492809966078240579,DONE
1492809966078250852,DONE
1492809966078261025,DONE
1492809966078271536,DONE
1492809966078281406,DONE
1492809966078291850,DONE
1492809966078301742,DONE
1492809966078311646,DONE
1492809966078321700,DONE
1492809966078331469,DONE
1492809966078342142,DONE
1492809966078353520,DONE
