%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status0.level,field.status0.name,field.status0.message,field.status0.hardware_id,field.status0.values0.key,field.status0.values0.value,field.status0.values1.key,field.status0.values1.value,field.status0.values2.key,field.status0.values2.value,field.status0.values3.key,field.status0.values3.value,field.status0.values4.key,field.status0.values4.value,field.status0.values5.key,field.status0.values5.value,field.status0.values6.key,field.status0.values6.value,field.status0.values7.key,field.status0.values7.value
1492809889796001005,5985,1492809893473812706,,0,Joystick: Joystick Driver Status,OK,none,topic,/beluga/user_input/joy,device,/dev/input/js0,dead zone,0.05,autorepeat rate (Hz),0,coalesce interval (s),0.001,recent joystick event rate (Hz),0,recent publication rate (Hz),0,subscribers,2
1492809890303786031,2,1492809890303491569,,2,beluga_ekf: Filter diagnostic updater,Erroneous data or settings detected for a robot_localization state estimation node.,none,X_configuration,Neither X nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,Y_configuration,Neither Y nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,imu0_pose_covariance,The covariance at position (35), which corresponds to YAW variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,pose0_covariance,The covariance at position (14), which corresponds to Z variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,0,beluga_ekf: odometry/filtered topic status,Desired frequency met,none,Events in window,8,Events since startup,8,Duration of window (s),1.001391,Actual frequency (Hz),7.988884,Minimum acceptable frequency (Hz),7.200000,Maximum acceptable frequency (Hz),13.200000
1492809890797088300,5986,1492809894475001537,,0,Joystick: Joystick Driver Status,OK,none,topic,/beluga/user_input/joy,device,/dev/input/js0,dead zone,0.05,autorepeat rate (Hz),0,coalesce interval (s),0.001,recent joystick event rate (Hz),0,recent publication rate (Hz),0,subscribers,2
1492809891403323838,3,1492809891403237612,,2,beluga_ekf: Filter diagnostic updater,Erroneous data or settings detected for a robot_localization state estimation node.,none,X_configuration,Neither X nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,Y_configuration,Neither Y nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,imu0_pose_covariance,The covariance at position (35), which corresponds to YAW variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,pose0_covariance,The covariance at position (14), which corresponds to Z variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,0,beluga_ekf: odometry/filtered topic status,Desired frequency met,none,Events in window,19,Events since startup,19,Duration of window (s),2.101158,Actual frequency (Hz),9.042632,Minimum acceptable frequency (Hz),7.200000,Maximum acceptable frequency (Hz),13.200000
1492809891797607273,5987,1492809895475428716,,0,Joystick: Joystick Driver Status,OK,none,topic,/beluga/user_input/joy,device,/dev/input/js0,dead zone,0.05,autorepeat rate (Hz),0,coalesce interval (s),0.001,recent joystick event rate (Hz),0,recent publication rate (Hz),0,subscribers,2
1492809892403396534,4,1492809892403261534,,2,beluga_ekf: Filter diagnostic updater,Erroneous data or settings detected for a robot_localization state estimation node.,none,X_configuration,Neither X nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,Y_configuration,Neither Y nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,imu0_pose_covariance,The covariance at position (35), which corresponds to YAW variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,pose0_covariance,The covariance at position (14), which corresponds to Z variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,0,beluga_ekf: odometry/filtered topic status,Desired frequency met,none,Events in window,29,Events since startup,29,Duration of window (s),3.101182,Actual frequency (Hz),9.351272,Minimum acceptable frequency (Hz),7.200000,Maximum acceptable frequency (Hz),13.200000
1492809892798585247,5988,1492809896476187447,,0,Joystick: Joystick Driver Status,OK,none,topic,/beluga/user_input/joy,device,/dev/input/js0,dead zone,0.05,autorepeat rate (Hz),0,coalesce interval (s),0.001,recent joystick event rate (Hz),0,recent publication rate (Hz),0,subscribers,2
1492809893503508486,5,1492809893503319844,,2,beluga_ekf: Filter diagnostic updater,Erroneous data or settings detected for a robot_localization state estimation node.,none,X_configuration,Neither X nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,Y_configuration,Neither Y nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,imu0_pose_covariance,The covariance at position (35), which corresponds to YAW variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,pose0_covariance,The covariance at position (14), which corresponds to Z variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,0,beluga_ekf: odometry/filtered topic status,Desired frequency met,none,Events in window,40,Events since startup,40,Duration of window (s),4.201235,Actual frequency (Hz),9.521010,Minimum acceptable frequency (Hz),7.200000,Maximum acceptable frequency (Hz),13.200000
1492809893805667005,5989,1492809897477391923,,0,Joystick: Joystick Driver Status,OK,none,topic,/beluga/user_input/joy,device,/dev/input/js0,dead zone,0.05,autorepeat rate (Hz),0,coalesce interval (s),0.001,recent joystick event rate (Hz),0,recent publication rate (Hz),0,subscribers,2
1492809894603324973,6,1492809894603238562,,2,beluga_ekf: Filter diagnostic updater,Erroneous data or settings detected for a robot_localization state estimation node.,none,X_configuration,Neither X nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,Y_configuration,Neither Y nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,imu0_pose_covariance,The covariance at position (35), which corresponds to YAW variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,pose0_covariance,The covariance at position (14), which corresponds to Z variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,0,beluga_ekf: odometry/filtered topic status,Desired frequency met,none,Events in window,51,Events since startup,51,Duration of window (s),5.301160,Actual frequency (Hz),9.620537,Minimum acceptable frequency (Hz),7.200000,Maximum acceptable frequency (Hz),13.200000
1492809894801249265,5990,1492809898478576317,,0,Joystick: Joystick Driver Status,OK,none,topic,/beluga/user_input/joy,device,/dev/input/js0,dead zone,0.05,autorepeat rate (Hz),0,coalesce interval (s),0.001,recent joystick event rate (Hz),0,recent publication rate (Hz),0,subscribers,2
1492809895603409316,7,1492809895603256511,,2,beluga_ekf: Filter diagnostic updater,Erroneous data or settings detected for a robot_localization state estimation node.,none,X_configuration,Neither X nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,Y_configuration,Neither Y nor its velocity is being measured. This will result in unbounded error growth and erratic filter behavior.,imu0_pose_covariance,The covariance at position (35), which corresponds to YAW variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,pose0_covariance,The covariance at position (14), which corresponds to Z variance, was zero. This will be replaced with a small value to maintain filter stability, but should be corrected at the message origin node.,0,beluga_ekf: odometry/filtered topic status,Desired frequency met,none,Events in window,61,Events since startup,61,Duration of window (s),6.301178,Actual frequency (Hz),9.680730,Minimum acceptable frequency (Hz),7.200000,Maximum acceptable frequency (Hz),13.200000
