# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
-4.3360625	0.0000000	-0.0000000	-0.4042147	-0.1872199	-0.2675310	2.5586434	0.0000000	-0.0000000	-0.0000000
-4.2362483	-0.0000605	0.0002742	-0.4062563	-0.1863565	-0.2586366	2.5576585	0.0040587	-0.0037703	-0.0001163
-4.1361620	-0.0001320	0.0009822	-0.4081661	-0.1848977	-0.2499899	2.5566780	0.0073427	-0.0090176	0.0047029
-4.0362668	-0.0000033	0.0019537	-0.4075368	-0.1850198	-0.2455200	2.5560233	0.0083871	-0.0137591	0.0172833
-3.9364659	0.0004436	0.0029739	-0.4082963	-0.1866117	-0.2468179	2.5563148	0.0085469	-0.0164780	0.0312346
-3.8363994	0.0010789	0.0037694	-0.4063432	-0.1897246	-0.2536890	2.5577001	0.0081077	-0.0170230	0.0378635
-3.7363996	0.0015916	0.0044535	-0.4118459	-0.1924695	-0.2636147	2.5600826	0.0081591	-0.0129561	0.0303831
-3.6363753	0.0016778	0.0049659	-0.4123780	-0.1939222	-0.2730465	2.5632981	0.0093830	-0.0054007	0.0199205
-3.5362842	0.0012092	0.0052242	-0.4099995	-0.1941765	-0.2807494	2.5664957	0.0119053	-0.0006225	0.0134253
-3.4364124	0.0004743	0.0053063	-0.4055191	-0.1937397	-0.2844801	2.5689324	0.0102561	0.0013630	0.0128764
-3.3364559	0.0002068	0.0049903	-0.4011335	-0.1932250	-0.2841403	2.5699542	0.0005008	0.0012483	0.0132550
-3.2361772	0.0009347	0.0042083	-0.4010630	-0.1923754	-0.2819309	2.5689975	-0.0163983	0.0005402	0.0066117
-3.1364234	0.0026653	0.0030974	-0.4025867	-0.1907689	-0.2790711	2.5666154	-0.0284756	-0.0006589	-0.0040020
-3.0364564	0.0049907	0.0018688	-0.4022468	-0.1885483	-0.2749332	2.5646122	-0.0311144	-0.0014471	-0.0155069
-2.9364175	0.0070690	0.0011908	-0.4040044	-0.1864237	-0.2689468	2.5643475	-0.0216491	-0.0035677	-0.0222071
-2.8362243	0.0084686	0.0014197	-0.4075102	-0.1851468	-0.2624994	2.5664248	-0.0126537	-0.0077478	-0.0211449
-2.7364890	0.0097771	0.0022533	-0.4104120	-0.1852067	-0.2584455	2.5697027	-0.0084557	-0.0135544	-0.0138254
-2.6364324	0.0114114	0.0034333	-0.4145247	-0.1866588	-0.2583544	2.5727556	-0.0126538	-0.0187812	-0.0007928
-2.5364378	0.0145307	0.0038681	-0.4093168	-0.1883575	-0.2606139	2.5743330	-0.0190188	-0.0238893	0.0197817
-2.4362140	0.0170184	0.0046253	-0.4152689	-0.1915131	-0.2631460	2.5741476	-0.0221886	-0.0244695	0.0209248
-2.3363912	0.0205806	0.0044411	-0.4074469	-0.1933169	-0.2642684	2.5729987	-0.0194243	-0.0242191	0.0249790
-2.2364385	0.0236852	0.0050321	-0.4082963	-0.1940393	-0.2647864	2.5719808	-0.0137035	-0.0210518	0.0161946
-2.1363456	0.0254729	0.0057484	-0.4081868	-0.1939233	-0.2654345	2.5724655	-0.0064663	-0.0191951	0.0070791
-2.0364549	0.0269364	0.0066858	-0.4019833	-0.1931590	-0.2658049	2.5741800	0.0027379	-0.0184020	-0.0014353
-1.9364163	0.0273850	0.0090763	-0.4052343	-0.1921673	-0.2653910	2.5767995	0.0081508	-0.0176247	-0.0172634
-1.8364186	0.0275567	0.0111637	-0.4054865	-0.1903393	-0.2638722	2.5784096	0.0075619	-0.0180193	-0.0250664
-1.7363425	0.0281033	0.0132294	-0.4019189	-0.1889425	-0.2619415	2.5795430	0.0026757	-0.0196445	-0.0241486
-1.6364042	0.0290967	0.0158477	-0.4062563	-0.1889838	-0.2604724	2.5803808	-0.0051073	-0.0217979	-0.0202634
-1.5362678	0.0306663	0.0176806	-0.4084783	-0.1910890	-0.2606245	2.5814653	-0.0111198	-0.0240547	-0.0122943
-1.4364132	0.0331086	0.0193460	-0.4106698	-0.1942068	-0.2630827	2.5826545	-0.0178651	-0.0247884	-0.0072107
-1.3364705	0.0364188	0.0200639	-0.4072759	-0.1965016	-0.2682988	2.5833355	-0.0247677	-0.0239306	-0.0036817
-1.2364803	0.0394833	0.0208662	-0.4116630	-0.1968144	-0.2754310	2.5833798	-0.0305246	-0.0191412	-0.0129157
-1.1364319	0.0429855	0.0205342	-0.4048740	-0.1949534	-0.2812736	2.5833118	-0.0277889	-0.0164083	-0.0110442
-1.0364800	0.0457107	0.0211124	-0.4082963	-0.1922979	-0.2820419	2.5838478	-0.0209498	-0.0148169	-0.0151272
-0.9364567	0.0476680	0.0219473	-0.4106897	-0.1900478	-0.2762369	2.5849592	-0.0132677	-0.0153098	-0.0153586
