# Time	Input
-4.6996250	0.0000000
-4.5996820	0.0000000
-4.4997443	0.0000000
-4.3997243	0.0000000
-4.2997530	0.0000000
-4.1997238	0.0000000
-4.0996915	0.0000000
-3.9997422	0.0000000
-3.8996636	0.0000000
-3.7997171	0.0000000
-3.6977193	0.0000000
-3.5996762	0.0000000
-3.4997619	0.0000000
-3.3996948	0.0000000
-3.2997036	0.0000000
-3.1992916	0.0000000
-3.0992806	0.0000000
-2.9997164	0.0000000
-2.8998034	0.0000000
-2.7997105	0.0000000
-2.6998244	0.0000000
-2.5997891	0.0000000
-2.4994532	0.0000000
-2.3997460	0.0000000
-2.2997002	0.0000000
-2.1997192	0.0000000
-2.0996708	0.0000000
-1.9993047	0.0000000
-1.8996582	0.0000000
-1.7997315	0.0000000
-1.6993679	0.0000000
-1.5998103	0.0000000
-1.4997164	0.0000000
-1.3998190	0.0000000
-1.2996582	0.0000000
-1.1997983	0.0000000
-1.0995156	0.0000000
-0.9996767	0.0000000
-0.8998351	0.0000000
-0.7997494	0.0000000
-0.6998205	0.0000000
-0.5998764	0.0000000
-0.4992842	0.0000000
-0.3997844	0.0000000
-0.2991278	0.0000000
-0.1999731	0.0000000
-0.0998072	0.0000000
0.0001920	-2.0969703
0.1005834	-1.4466571
0.2001564	-0.5894738
0.3003901	0.5499659
0.4002486	1.5193460
0.5002775	2.3160348
0.6002125	3.1309850
0.7002734	3.6485503
0.8002417	3.9205432
0.9005225	3.9096749
1.0001907	4.1251931
1.1002068	4.7761679
1.2001093	5.9439664
1.3001846	7.3306193
1.4002038	8.1693516
1.5006221	8.1586227
1.6002040	7.4661093
1.7002422	6.7110758
1.8006134	6.0690703
1.9001252	5.2250800
2.0014131	4.2449398
2.1002253	3.1362903
2.2002578	2.5381320
2.3002575	2.8623939
2.4001324	3.6958728
2.5001411	5.0121665
2.6002171	6.4746652
2.7002161	7.5847483
2.8000922	7.9511456
2.9002245	7.8741627
3.0005212	7.2658777
3.1002957	7.2452469
3.2002644	7.0353999
3.3002476	6.7196889
3.4002621	6.6280069
3.5006052	6.7157888
3.6001859	7.2037511
3.7001884	7.5499864
3.8001377	7.4371233
3.9002153	6.9832978
4.0004997	6.5713410
4.1003131	5.8029852
4.2002668	5.2935185
4.3002230	5.3447928
4.4002138	5.8272696
4.5002732	6.4892168
4.6001198	7.4331722
4.7006541	8.4693813
4.8002386	9.2614765
4.9005857	9.7588940
5.0006241	10.3480530
5.1001065	10.3502903
5.2002324	10.1362619
5.3002652	9.7747965
5.4001636	9.2039900
5.5001559	8.3515129
5.6003581	7.8790774
5.7002342	7.5719299
5.8001659	7.2618632
5.9002063	7.5626969
6.0001807	7.9712663
6.1002519	8.5418367
6.2002788	9.0110035
6.3005742	9.3860054
6.4003246	9.3381805
6.5002834	9.4554625
6.6002570	9.9002810
6.7002276	9.9626980
6.8002476	9.5589991
6.9002278	9.3021069
7.0003717	9.0396881
7.1002132	8.4867887
7.2002468	8.4586611
7.3006641	9.2491045
7.4002854	10.2370539
7.5006451	10.8894892
7.6002900	11.3875351
7.7002583	11.2932444
7.8004682	10.6641455
7.9002153	9.8597460
8.0002455	9.3274784
8.1008356	8.1557274
8.2002509	7.0877442
8.3002609	6.9555163
8.4002386	7.2983260
8.5003640	8.4518042
8.6002035	10.0121737
8.7005893	11.4457760
8.8002419	12.2480650
8.9006653	12.4627085
9.0005284	11.9949551
9.1002808	11.8574572
9.2001907	11.1887598
9.3001021	10.8515835
9.4002061	10.5162716
9.5005524	10.1766558
9.6003750	10.4649267
9.7001946	10.7037554
9.8005455	11.3986969
9.9005870	11.9832525
10.0002911	12.1528912
10.1002468	12.1547937
10.2002847	12.2218332
10.3001979	12.1816950
10.4001679	11.8231049
10.5004974	11.3763285
10.6001196	11.6756544
10.7004731	12.3812122
10.8002074	13.6134024
10.9003510	14.1397305
11.0002537	14.5930290
11.1001408	14.2089014
11.2002225	13.7227621
11.3003133	12.8424826
11.4002406	12.6740408
11.5003497	13.3411036
11.6001892	13.4566507
11.7001981	13.4841480
11.8001567	13.8257847
11.9006295	13.8729973
12.0002371	13.9598503
12.1006618	13.5117931
12.2002821	13.7942276
12.3002806	14.2504044
12.4001710	14.4500160
12.5006433	14.6997833
12.6002422	15.2186956
12.7002260	15.3286524
12.8007252	14.8052006
12.9002555	14.4217510
13.0006106	14.1399918
13.1005740	14.2440290
13.2002401	14.6825981
13.3005381	14.7229443
13.4002737	14.9575748
13.5002260	15.9041147
13.6002642	16.8906860
13.7002307	17.6931343
13.8002074	17.6251583
13.9002199	17.0855751
14.0002504	16.8125000
14.1002683	16.4902153
14.2002388	16.6896439
14.3001651	17.1361256
14.4002852	16.8718548
14.5005868	16.6489182
14.6002916	15.8575354
14.7002772	16.2426395
14.8006431	16.0687695
14.9002616	16.7522526
15.0002176	16.8493404
15.1006124	17.0817947
15.2002504	17.4309368
15.3001446	17.1609440
15.4002770	17.5625763
15.5001905	17.1915836
15.6001684	17.4384003
15.7002442	17.5409470
15.8002944	17.5970230
15.9019763	18.0308819
15.9621604	0.0000000
