# Time	Input
-4.6998321	0.0000000
-4.5998991	0.0000000
-4.4998630	0.0000000
-4.3998080	0.0000000
-4.2997448	0.0000000
-4.1998687	0.0000000
-4.0997594	0.0000000
-3.9997647	0.0000000
-3.8998497	0.0000000
-3.7997824	0.0000000
-3.6983419	0.0000000
-3.5998111	0.0000000
-3.4998945	0.0000000
-3.3998277	0.0000000
-3.2997898	0.0000000
-3.1994698	0.0000000
-3.0995658	0.0000000
-2.9998152	0.0000000
-2.8998234	0.0000000
-2.7998344	0.0000000
-2.6997440	0.0000000
-2.5998231	0.0000000
-2.4995945	0.0000000
-2.3998830	0.0000000
-2.2997225	0.0000000
-2.1998044	0.0000000
-2.0998349	0.0000000
-1.9994680	0.0000000
-1.8997768	0.0000000
-1.7998584	0.0000000
-1.6996055	0.0000000
-1.5999933	0.0000000
-1.4998177	0.0000000
-1.3998451	0.0000000
-1.2998513	0.0000000
-1.1998976	0.0000000
-1.0996467	0.0000000
-0.9998362	0.0000000
-0.8998433	0.0000000
-0.7998820	0.0000000
-0.6998840	0.0000000
-0.5997811	0.0000000
-0.4994135	0.0000000
-0.3999258	0.0000000
-0.2994222	0.0000000
-0.1999718	0.0000000
-0.0999181	0.0000000
0.0001359	-2.0969703
0.1005939	-1.4466571
0.2000732	-0.5894738
0.3004475	0.5499659
0.4000983	1.5193460
0.5001531	2.3160348
0.6001183	3.1309850
0.7002488	3.6485503
0.8002491	3.9205432
0.9003571	3.9096749
1.0001318	4.1251931
1.1000980	4.7761679
1.2001743	5.9439664
1.3001585	7.3306193
1.4001190	8.1693516
1.5005002	8.1586227
1.6001188	7.4661093
1.7001769	6.7110758
1.8004063	6.0690703
1.9000973	5.2250800
2.0012372	4.2449398
2.1001490	3.1362903
2.2002061	2.5381320
2.3002260	2.8623939
2.3999939	3.6958728
2.5000481	5.0121665
2.6001096	6.4746652
2.7000666	7.5847483
2.8000986	7.9511456
2.9001027	7.8741627
3.0002854	7.2658777
3.1002266	7.2452469
3.2000942	7.0353999
3.3001044	6.7196889
3.4000986	6.6280069
3.5005025	6.7157888
3.6001961	7.2037511
3.7000916	7.5499864
3.8001124	7.4371233
3.9000968	6.9832978
4.0005292	6.5713410
4.1003067	5.8029852
4.2001411	5.2935185
4.3001546	5.3447928
4.4001175	5.8272696
4.5001618	6.4892168
4.6000092	7.4331722
4.7003456	8.4693813
4.8001859	9.2614765
4.9006339	9.7588940
5.0004780	10.3480530
5.0999693	10.3502903
5.2001500	10.1362619
5.3001477	9.7747965
5.4001843	9.2039900
5.5000584	8.3515129
5.6002289	7.8790774
5.7001364	7.5719299
5.8001741	7.2618632
5.9000745	7.5626969
6.0000991	7.9712663
6.1001334	8.5418367
6.2001352	9.0110035
6.3004544	9.3860054
6.4003510	9.3381805
6.5002107	9.4554625
6.6001626	9.9002810
6.7001684	9.9626980
6.8000755	9.5589991
6.9001055	9.3021069
7.0002506	9.0396881
7.1001475	8.4867887
7.2001646	8.4586611
7.3004134	9.2491045
7.4002872	10.2370539
7.5004027	10.8894892
7.6001206	11.3875351
7.7002135	11.2932444
7.8003236	10.6641455
7.9002365	9.8597460
8.0001544	9.3274784
8.1005704	8.1557274
8.2001541	7.0877442
8.3000886	6.9555163
8.4002102	7.2983260
8.5002537	8.4518042
8.6001754	10.0121737
8.7004741	11.4457760
8.8001690	12.2480650
8.9004513	12.4627085
9.0004588	11.9949551
9.1001272	11.8574572
9.2001029	11.1887598
9.3001782	10.8515835
9.4001684	10.5162716
9.5005647	10.1766558
9.6002286	10.4649267
9.7000835	10.7037554
9.8003535	11.3986969
9.9004116	11.9832525
10.0002263	12.1528912
10.1002240	12.1547937
10.2001034	12.2218332
10.3001298	12.1816950
10.4000520	11.8231049
10.5003779	11.3763285
10.6002289	11.6756544
10.7002337	12.3812122
10.8003085	13.6134024
10.9001403	14.1397305
11.0000210	14.5930290
11.1000952	14.2089014
11.2001644	13.7227621
11.3001751	12.8424826
11.4002665	12.6740408
11.5001464	13.3411036
11.6000466	13.4566507
11.7001528	13.4841480
11.8001321	13.8257847
11.9004593	13.8729973
12.0002112	13.9598503
12.1004646	13.5117931
12.2001114	13.7942276
12.3001208	14.2504044
12.4000489	14.4500160
12.5004564	14.6997833
12.6001085	15.2186956
12.7001142	15.3286524
12.8006871	14.8052006
12.9002063	14.4217510
13.0005604	14.1399918
13.1002691	14.2440290
13.2001252	14.6825981
13.3002532	14.7229443
13.4001357	14.9575748
13.5000817	15.9041147
13.6001795	16.8906860
13.7000742	17.6931343
13.8001777	17.6251583
13.9001592	17.0855751
14.0001582	16.8125000
14.1002294	16.4902153
14.2001690	16.6896439
14.3001503	17.1361256
14.4001900	16.8718548
14.5005737	16.6489182
14.6000445	15.8575354
14.7001208	16.2426395
14.8005445	16.0687695
14.9001234	16.7522526
15.0001244	16.8493404
15.1003620	17.0817947
15.2002025	17.4309368
15.3000553	17.1609440
15.4002696	17.5625763
15.5001587	17.1915836
15.6001897	17.4384003
15.7001114	17.5409470
15.8002685	17.5970230
15.9016033	18.0308819
15.9619569	0.0000000
