%time,field.data
1492810501556206114,0.0
1492810501656148967,0.0
1492810501756086818,0.0
1492810501856106736,0.0
1492810501956078194,0.0
1492810502056107149,0.0
1492810502156139465,0.0
1492810502256088809,0.0
1492810502356167447,0.0
1492810502456113837,0.0
1492810502558111826,0.0
1492810502656154862,0.0
1492810502756069243,0.0
1492810502856136289,0.0
1492810502956127542,0.0
1492810503056539273,0.0
1492810503156550275,0.0
1492810503256114783,0.0
1492810503356027537,0.0
1492810503456120656,0.0
1492810503556006707,0.0
1492810503656042049,0.0
1492810503756377862,0.0
1492810503856085030,0.0
1492810503956130944,0.0
1492810504056111753,0.0
1492810504156160334,0.0
1492810504256526432,0.0
1492810504356172893,0.0
1492810504456099693,0.0
1492810504556463026,0.0
1492810504656020692,0.0
1492810504756114562,0.0
1492810504856012133,0.0
1492810504956172828,0.0
1492810505056032833,0.0
1492810505156315320,0.0
1492810505256154352,0.0
1492810505355995785,0.0
1492810505456081642,0.0
1492810505556010455,0.0
1492810505655954589,0.0
1492810505756546915,0.0
1492810505856046681,0.0
1492810505956703258,0.0
1492810506055857804,0.0
1492810506156023744,0.0
1492810506256022938,-2.09697031975
1492810506356414360,-1.44665706158
1492810506455987389,-0.589473843575
1492810506556221114,0.549965858459
1492810506656079502,1.51934599876
1492810506756108570,2.31603479385
1492810506856043606,3.13098502159
1492810506956104413,3.64855027199
1492810507056072684,3.92054319382
1492810507156353528,3.90967488289
1492810507256021836,4.12519311905
1492810507356038001,4.77616786957
1492810507455940286,5.9439663887
1492810507556015719,7.33061933517
1492810507656034869,8.16935157776
1492810507756453211,8.1586227417
1492810507856034997,7.46610927582
1492810507956073206,6.71107578278
1492810508056444459,6.0690703392
1492810508155956305,5.22508001328
1492810508257244194,4.24493980408
1492810508356056425,3.13629031181
1492810508456088858,2.53813195229
1492810508556088578,2.86239385605
1492810508655963490,3.69587278366
1492810508755972055,5.01216650009
1492810508856048106,6.47466516495
1492810508956047132,7.58474826813
1492810509055923107,7.95114564896
1492810509156055573,7.87416267395
1492810509256352257,7.26587772369
1492810509356126624,7.24524688721
1492810509456095601,7.03539991379
1492810509556078493,6.71968889236
1492810509656093151,6.62800693512
1492810509756436129,6.71578884125
1492810509856016996,7.20375108719
1492810509956019489,7.54998636246
1492810510055968664,7.43712329865
1492810510156046449,6.98329782486
1492810510256330649,6.57134103775
1492810510356144018,5.80298519135
1492810510456097770,5.29351854324
1492810510556053906,5.34479284286
1492810510656044725,5.82726955414
1492810510756104110,6.4892168045
1492810510855950869,7.43317222595
1492810510956485003,8.4693813324
1492810511056069669,9.26147651672
1492810511156416667,9.75889396667
1492810511256455285,10.3480529785
1492810511355937539,10.3502902985
1492810511456063562,10.13626194
1492810511556096292,9.7747964859
1492810511655994569,9.2039899826
1492810511755986843,8.35151290894
1492810511856189181,7.87907743454
1492810511956065166,7.57192993164
1492810512055996832,7.26186323166
1492810512156037380,7.56269693375
1492810512256011715,7.97126626968
1492810512356082940,8.54183673859
1492810512456109950,9.01100349426
1492810512556405249,9.38600540161
1492810512656155662,9.33818054199
1492810512756114401,9.45546245575
1492810512856088025,9.90028095245
1492810512956058692,9.96269798279
1492810513056078694,9.55899906158
1492810513156058850,9.3021068573
1492810513256202781,9.03968811035
1492810513356044230,8.48678874969
1492810513456077715,8.45866107941
1492810513556495207,9.24910449982
1492810513656116398,10.2370538712
1492810513756476229,10.8894891739
1492810513856120994,11.3875350952
1492810513956089253,11.2932443619
1492810514056299383,10.6641454697
1492810514156046308,9.85974597931
1492810514256076654,9.32747840881
1492810514356666735,8.15572738647
1492810514456081951,7.08774423599
1492810514556091999,6.95551633835
1492810514656069742,7.29832601547
1492810514756195106,8.45180416107
1492810514856034488,10.0121736526
1492810514956420344,11.4457759857
1492810515056072871,12.2480649948
1492810515156496334,12.4627084732
1492810515256359436,11.9949550629
1492810515356111994,11.8574571609
1492810515456021839,11.1887598038
1492810515555933310,10.8515834808
1492810515656037206,10.5162715912
1492810515756383372,10.1766557693
1492810515856205968,10.4649267197
1492810515956025547,10.7037553787
1492810516056376668,11.3986968994
