%time,field.P_vel,field.I_vel,field.D_vel,field.P_pitch,field.I_pitch,field.D_pitch,field.P_yaw,field.I_yaw,field.D_yaw
1492810501555707003,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810501655855940,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810501755692524,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810501855576030,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810501955686396,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810502055621805,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810502155644116,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810502255786397,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810502355783200,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810502455539630,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810502555945549,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810502655880717,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810502755606583,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810502855672842,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810502955673961,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810503055751602,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810503155713194,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810503255646265,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810503355642580,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810503455988315,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
1492810503555711993,105.0,44.0,17.5,10.0,2.0,50.0,28.0,0.0,50.0
