%time,field.data
1492810501616737125,CONTROLLER
1492810501717042546,CONTROLLER
1492810501816601414,CONTROLLER
1492810501916635869,CONTROLLER
1492810502016569481,CONTROLLER
1492810502116633342,CONTROLLER
1492810502216591362,CONTROLLER
1492810502316657313,CONTROLLER
1492810502416694605,CONTROLLER
1492810502516619338,CONTROLLER
1492810502616576040,CONTROLLER
1492810502716622712,CONTROLLER
1492810502816603338,CONTROLLER
1492810502916583656,CONTROLLER
1492810503016626217,CONTROLLER
1492810503116544161,CONTROLLER
1492810503216639923,CONTROLLER
1492810503316604375,CONTROLLER
1492810503416625018,CONTROLLER
1492810503516560970,CONTROLLER
1492810503616618559,CONTROLLER
1492810503716605290,CONTROLLER
1492810503816566771,CONTROLLER
1492810503916542771,CONTROLLER
1492810504016512083,CONTROLLER
1492810504116827613,CONTROLLER
1492810504216622544,CONTROLLER
1492810504316578132,CONTROLLER
1492810504416665361,CONTROLLER
1492810504516562406,CONTROLLER
1492810504616457519,CONTROLLER
1492810504716537964,CONTROLLER
1492810504816572117,CONTROLLER
1492810504916536865,CONTROLLER
1492810505016651830,CONTROLLER
1492810505116641911,CONTROLLER
1492810505216514534,CONTROLLER
1492810505316586580,CONTROLLER
1492810505416629847,CONTROLLER
1492810505516482001,CONTROLLER
1492810505616621858,CONTROLLER
1492810505716574997,CONTROLLER
1492810505816596672,CONTROLLER
1492810505916635397,CONTROLLER
1492810506016637187,CONTROLLER
1492810506116669749,CONTROLLER
1492810506216647643,CONTROLLER
1492810506316676044,CONTROLLER
1492810506416712862,CONTROLLER
1492810506516720418,CONTROLLER
1492810506616544602,CONTROLLER
1492810506716596947,CONTROLLER
1492810506816639861,CONTROLLER
1492810506916647099,CONTROLLER
1492810507016582979,CONTROLLER
1492810507116573319,CONTROLLER
1492810507216528402,CONTROLLER
1492810507316639384,CONTROLLER
1492810507416628131,CONTROLLER
1492810507516608236,CONTROLLER
1492810507616623649,CONTROLLER
1492810507716563514,CONTROLLER
1492810507816566368,CONTROLLER
1492810507916593762,CONTROLLER
1492810508016618502,CONTROLLER
1492810508116594458,CONTROLLER
1492810508216734902,CONTROLLER
1492810508316622100,CONTROLLER
1492810508416576748,CONTROLLER
1492810508516615796,CONTROLLER
1492810508616572275,CONTROLLER
1492810508716617986,CONTROLLER
1492810508816877671,CONTROLLER
1492810508916620803,CONTROLLER
1492810509016532488,CONTROLLER
1492810509116568976,CONTROLLER
1492810509216623224,CONTROLLER
1492810509316856062,CONTROLLER
1492810509416640816,CONTROLLER
1492810509516663159,CONTROLLER
1492810509616592606,CONTROLLER
1492810509716560878,CONTROLLER
1492810509816544068,CONTROLLER
1492810509916489272,CONTROLLER
1492810510016630389,CONTROLLER
1492810510116529682,CONTROLLER
1492810510216557455,CONTROLLER
1492810510316624979,CONTROLLER
1492810510416620442,CONTROLLER
1492810510516534823,CONTROLLER
1492810510616522495,CONTROLLER
1492810510716485804,CONTROLLER
1492810510816556047,CONTROLLER
1492810510916558513,CONTROLLER
1492810511016653420,CONTROLLER
1492810511116660348,CONTROLLER
1492810511216603673,CONTROLLER
1492810511316720829,CONTROLLER
1492810511416544080,CONTROLLER
1492810511516564848,CONTROLLER
1492810511616665847,CONTROLLER
1492810511716607801,CONTROLLER
1492810511816513880,CONTROLLER
1492810511916572876,CONTROLLER
1492810512016611820,CONTROLLER
1492810512116663204,CONTROLLER
1492810512216564491,CONTROLLER
1492810512316618524,CONTROLLER
1492810512416638955,CONTROLLER
1492810512516705463,CONTROLLER
1492810512616662039,CONTROLLER
1492810512716587015,CONTROLLER
1492810512816614669,CONTROLLER
1492810512916602268,CONTROLLER
1492810513016519604,CONTROLLER
1492810513116535979,CONTROLLER
1492810513216644747,CONTROLLER
1492810513316652496,CONTROLLER
1492810513416625562,CONTROLLER
1492810513516544984,CONTROLLER
1492810513616606753,CONTROLLER
1492810513716866951,CONTROLLER
1492810513816715721,CONTROLLER
1492810513916606586,CONTROLLER
1492810514016850317,CONTROLLER
1492810514116562639,CONTROLLER
1492810514216878002,CONTROLLER
1492810514316605294,CONTROLLER
1492810514416639621,CONTROLLER
