%time,field.data
1492810501622537993,1
1492810501681096234,1
1492810501781111119,1
1492810501881252693,1
1492810501982257055,1
1492810502079411336,1
1492810502180658208,1
1492810502281152451,1
1492810502403257255,1
1492810502485943916,1
1492810502589469622,1
1492810502683672320,1
1492810502779338941,1
1492810502881346573,1
1492810502979673571,1
1492810503080701441,1
1492810503179556307,1
1492810503279405907,1
1492810503405198031,1
1492810503479915835,1
1492810503585197205,1
1492810503685136939,1
1492810503779366983,1
1492810503879314308,1
1492810503981841373,1
1492810504082072218,1
1492810504179404905,1
1492810504290302510,1
1492810504392679636,1
1492810504480404449,1
1492810504579422117,1
1492810504680388956,1
1492810504779185073,1
1492810504879633797,1
1492810504981612204,1
1492810505084308583,1
1492810505183438704,1
1492810505280309679,1
1492810505392158161,1
1492810505483542530,1
1492810505580467523,1
1492810505681861726,1
1492810505810776794,1
1492810505879924779,1
1492810505985261405,1
1492810506100928789,1
1492810506185596995,1
1492810506284828398,1
1492810506395882567,1
1492810506482939070,1
1492810506582307604,1
1492810506681568630,1
1492810506782851277,1
1492810506881517533,1
1492810506979488238,1
1492810507080080357,1
1492810507179540426,1
1492810507280055039,1
1492810507393010368,1
1492810507480152623,1
1492810507579552464,1
1492810507680931749,1
1492810507779976392,1
1492810507880489924,1
1492810507981409919,1
1492810508080872862,1
1492810508402081351,1
1492810508402084169,1
1492810508402086886,1
1492810508485238833,1
1492810508628149626,1
1492810508700129926,1
1492810508869887152,1
1492810509083077957,1
1492810509098037794,1
1492810509098046299,1
1492810509180197959,1
1492810509281682943,1
1492810509394666423,1
1492810509480594000,1
1492810509579933385,1
1492810509692864864,1
1492810509786019651,1
1492810509887517508,1
1492810509981856612,1
1492810510080120450,1
1492810510184118934,1
1492810510283436499,1
1492810510392697914,1
1492810510481900023,1
1492810510581910168,1
1492810510679799502,1
1492810510779832296,1
1492810510880136293,1
1492810510987904074,1
1492810511080718309,1
1492810511182873779,1
1492810511286173061,1
1492810511392877137,1
1492810511496767314,1
1492810511580583219,1
1492810511686911492,1
1492810511780069136,1
1492810511882966412,1
1492810511979932965,1
1492810512084791268,1
1492810512180379781,1
1492810512287811920,1
1492810512393035043,1
1492810512479922401,1
1492810512580006726,1
1492810512680533314,1
1492810512781288865,1
1492810512881009542,1
1492810512980711452,1
1492810513082082103,1
1492810513180375808,1
1492810513282005161,1
1492810513394187840,1
1492810513481800103,1
1492810513585227421,1
1492810513680480360,1
1492810513786936490,1
1492810513881161164,1
1492810513989721665,1
1492810514088272433,1
1492810514180098601,1
1492810514283053690,1
1492810514394903944,1
1492810514481055904,1
1492810514580712688,1
1492810514681207870,1
1492810514790473407,1
1492810514880407916,1
1492810514981395836,1
1492810515079763915,1
1492810515185272752,1
1492810515284000360,1
1492810515392954001,1
1492810515490874977,1
1492810515589729578,1
1492810515681527420,1
1492810515784111376,1
1492810515884792756,1
1492810515983580384,1
1492810516082675700,1
1492810516180939569,1
1492810516281576652,1
1492810516399045753,1
1492810516525640762,1
1492810516643290503,1
1492810516688531205,1
1492810516789497165,1
1492810516886809298,1
1492810516982665990,1
1492810517081153068,1
1492810517180072492,1
1492810517298178807,1
1492810517394834723,1
1492810517480131139,1
1492810517583179551,1
1492810517680517506,1
1492810517781480214,1
1492810517885666674,1
1492810517979912024,1
1492810518079837172,1
1492810518181633138,1
1492810518284789670,1
1492810518396712127,1
1492810518482304791,1
1492810518581717280,1
1492810518680603424,1
1492810518781393655,1
1492810518880710892,1
1492810518984231147,1
1492810519081585882,1
1492810519180363549,1
1492810519280653843,1
1492810519393332738,1
1492810519483176039,1
1492810519583673473,1
1492810519681664971,1
1492810519787746393,1
1492810519893530867,1
1492810519980828675,1
1492810520079513844,1
1492810520182523911,1
1492810520281840153,1
1492810520392688055,1
1492810520480235734,1
1492810520580735864,1
1492810520683582587,1
1492810520784039011,1
1492810520880517901,1
1492810520982751041,1
1492810521087895479,1
1492810521180378446,1
1492810521282012231,1
1492810521398241010,1
1492810521480548550,1
1492810521584139259,1
1492810521682204380,1
1492810521800716488,1
1492810521879953428,1
1492810521981614566,1
1492810522081275418,1
1492810522180689217,1
