%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1492810502435200723,751,1492810502434921026,robot_frame,1492810506000000000,robot_frame
1492810503436060495,752,1492810503435758113,robot_frame,1492810507000000000,robot_frame
1492810504433878704,753,1492810504433624982,robot_frame,1492810508000000000,robot_frame
1492810505435676170,754,1492810505435415029,robot_frame,1492810509000000000,robot_frame
1492810506435552872,755,1492810506435240983,robot_frame,1492810510000000000,robot_frame
1492810507435232735,756,1492810507435022115,robot_frame,1492810511000000000,robot_frame
1492810508437106496,757,1492810508436907052,robot_frame,1492810512000000000,robot_frame
1492810509437020710,758,1492810509436705112,robot_frame,1492810513000000000,robot_frame
1492810510435816875,759,1492810510435545921,robot_frame,1492810514000000000,robot_frame
1492810511432564607,760,1492810511432317018,robot_frame,1492810515000000000,robot_frame
1492810512434335880,761,1492810512434149980,robot_frame,1492810516000000000,robot_frame
1492810513435262194,762,1492810513434979915,robot_frame,1492810517000000000,robot_frame
1492810514436092707,763,1492810514435802936,robot_frame,1492810518000000000,robot_frame
1492810515435896839,764,1492810515435633897,robot_frame,1492810519000000000,robot_frame
1492810516434725443,765,1492810516434442996,robot_frame,1492810520000000000,robot_frame
1492810517436511461,766,1492810517436306953,robot_frame,1492810521000000000,robot_frame
1492810518436277672,767,1492810518436062097,robot_frame,1492810522000000000,robot_frame
1492810519435117116,768,1492810519434873104,robot_frame,1492810523000000000,robot_frame
1492810520435974515,769,1492810520435693025,robot_frame,1492810524000000000,robot_frame
1492810521435721612,770,1492810521435475111,robot_frame,1492810525000000000,robot_frame
