%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1492810501565034301,108847,1492810501565787971,/fluid_pressure,106530.007812,0.0
1492810501639393928,108848,1492810501639787971,/fluid_pressure,106550.0,0.0
1492810501712792006,108849,1492810501713787971,/fluid_pressure,106590.0,0.0
1492810501788034176,108850,1492810501787787971,/fluid_pressure,106550.0,0.0
1492810501861692867,108851,1492810501862787971,/fluid_pressure,106560.0,0.0
1492810501936361039,108852,1492810501936787971,/fluid_pressure,106540.0,0.0
1492810502009613331,108853,1492810502010787971,/fluid_pressure,106580.007812,0.0
1492810502085202950,108854,1492810502084787971,/fluid_pressure,106600.0,0.0
1492810502159169513,108855,1492810502159787971,/fluid_pressure,106600.0,0.0
1492810502232541266,108856,1492810502233787971,/fluid_pressure,106550.0,0.0
1492810502306655986,108857,1492810502308041965,/fluid_pressure,106600.0,0.0
1492810502381704188,108858,1492810502382041965,/fluid_pressure,106590.0,0.0
1492810502455999364,108859,1492810502457041965,/fluid_pressure,106650.0,0.0
1492810502530445400,108860,1492810502531041965,/fluid_pressure,106630.007812,0.0
1492810502603754070,108861,1492810502605041965,/fluid_pressure,106640.0,0.0
1492810502678772664,108862,1492810502679041965,/fluid_pressure,106619.992188,0.0
1492810502752612730,108863,1492810502754041965,/fluid_pressure,106580.007812,0.0
1492810502826498422,108864,1492810502828041965,/fluid_pressure,106519.992188,0.0
1492810502900660919,108865,1492810502902041965,/fluid_pressure,106530.007812,0.0
1492810502975569359,108866,1492810502976041965,/fluid_pressure,106530.007812,0.0
1492810503050369714,108867,1492810503051041965,/fluid_pressure,106540.0,0.0
1492810503123797481,108868,1492810503125041965,/fluid_pressure,106540.0,0.0
1492810503199085089,108869,1492810503199041965,/fluid_pressure,106540.0,0.0
1492810503272989215,108870,1492810503274041965,/fluid_pressure,106550.0,0.0
1492810503346993771,108871,1492810503348041965,/fluid_pressure,106580.007812,0.0
1492810503420607037,108872,1492810503422041965,/fluid_pressure,106600.0,0.0
1492810503496269370,108873,1492810503496041965,/fluid_pressure,106619.992188,0.0
1492810503570220780,108874,1492810503571041965,/fluid_pressure,106660.0,0.0
1492810503643894550,108875,1492810503645041965,/fluid_pressure,106660.0,0.0
1492810503718335834,108876,1492810503719041965,/fluid_pressure,106610.0,0.0
1492810503792479603,108877,1492810503793041965,/fluid_pressure,106669.992188,0.0
1492810503866964312,108878,1492810503868041965,/fluid_pressure,106600.0,0.0
1492810503941017056,108879,1492810503942041965,/fluid_pressure,106590.0,0.0
1492810504014846779,108880,1492810504016041965,/fluid_pressure,106600.0,0.0
1492810504089476493,108881,1492810504090041965,/fluid_pressure,106600.0,0.0
1492810504163592706,108882,1492810504165041965,/fluid_pressure,106540.0,0.0
1492810504238427733,108883,1492810504239041965,/fluid_pressure,106540.0,0.0
1492810504312442121,108884,1492810504313041965,/fluid_pressure,106569.992188,0.0
1492810504386961285,108885,1492810504387041965,/fluid_pressure,106569.992188,0.0
1492810504460636001,108886,1492810504462041965,/fluid_pressure,106530.007812,0.0
1492810504534546072,108887,1492810504536041965,/fluid_pressure,106569.992188,0.0
1492810504609509053,108888,1492810504610041965,/fluid_pressure,106580.007812,0.0
1492810504683435378,108889,1492810504684041965,/fluid_pressure,106600.0,0.0
1492810504757917887,108890,1492810504759041965,/fluid_pressure,106619.992188,0.0
1492810504832074827,108891,1492810504832475101,/fluid_pressure,106590.0,0.0
1492810504905469533,108892,1492810504906475101,/fluid_pressure,106590.0,0.0
1492810504981206781,108893,1492810504980475101,/fluid_pressure,106630.007812,0.0
1492810505055256778,108894,1492810505055475101,/fluid_pressure,106560.0,0.0
1492810505128680329,108895,1492810505129475101,/fluid_pressure,106610.0,0.0
1492810505203965125,108896,1492810505203475101,/fluid_pressure,106600.0,0.0
1492810505277439316,108897,1492810505277475101,/fluid_pressure,106619.992188,0.0
1492810505352022930,108898,1492810505352475101,/fluid_pressure,106569.992188,0.0
1492810505426269240,108899,1492810505426475101,/fluid_pressure,106580.007812,0.0
1492810505501169671,108900,1492810505500475101,/fluid_pressure,106569.992188,0.0
1492810505575125675,108901,1492810505574475101,/fluid_pressure,106590.0,0.0
1492810505648960027,108902,1492810505649475101,/fluid_pressure,106600.0,0.0
1492810505723113903,108903,1492810505723475101,/fluid_pressure,106610.0,0.0
1492810505798099525,108904,1492810505797475101,/fluid_pressure,106600.0,0.0
1492810505872280069,108905,1492810505871475101,/fluid_pressure,106600.0,0.0
1492810505946352472,108906,1492810505946475101,/fluid_pressure,106610.0,0.0
1492810506020150735,108907,1492810506020475101,/fluid_pressure,106580.007812,0.0
1492810506095310135,108908,1492810506094475101,/fluid_pressure,106590.0,0.0
1492810506168785983,108909,1492810506168475101,/fluid_pressure,106600.0,0.0
1492810506243047107,108910,1492810506243475101,/fluid_pressure,106600.0,0.0
1492810506317067770,108911,1492810506317475101,/fluid_pressure,106569.992188,0.0
1492810506392071159,108912,1492810506391475101,/fluid_pressure,106540.0,0.0
1492810506466157117,108913,1492810506466475101,/fluid_pressure,106550.0,0.0
1492810506540074961,108914,1492810506540475101,/fluid_pressure,106519.992188,0.0
1492810506614166340,108915,1492810506614475101,/fluid_pressure,106540.0,0.0
1492810506689116381,108916,1492810506688475101,/fluid_pressure,106580.007812,0.0
1492810506762811353,108917,1492810506763475101,/fluid_pressure,106619.992188,0.0
1492810506837351129,108918,1492810506837475101,/fluid_pressure,106630.007812,0.0
1492810506912351933,108919,1492810506911475101,/fluid_pressure,106660.0,0.0
1492810506986260938,108920,1492810506985475101,/fluid_pressure,106680.007812,0.0
1492810507059347543,108921,1492810507060475101,/fluid_pressure,106640.0,0.0
1492810507134003419,108922,1492810507134475101,/fluid_pressure,106610.0,0.0
1492810507209039772,108923,1492810507208475101,/fluid_pressure,106610.0,0.0
1492810507283031653,108924,1492810507282475101,/fluid_pressure,106590.0,0.0
1492810507356822372,108925,1492810507357792055,/fluid_pressure,106630.007812,0.0
1492810507432061734,108926,1492810507431792055,/fluid_pressure,106580.007812,0.0
1492810507505446653,108927,1492810507505792055,/fluid_pressure,106600.0,0.0
1492810507579582136,108928,1492810507580792055,/fluid_pressure,106540.0,0.0
1492810507653881744,108929,1492810507654792055,/fluid_pressure,106569.992188,0.0
1492810507729022016,108930,1492810507728792055,/fluid_pressure,106530.007812,0.0
1492810507802499318,108931,1492810507802792055,/fluid_pressure,106519.992188,0.0
1492810507877381875,108932,1492810507877792055,/fluid_pressure,106569.992188,0.0
1492810507951460162,108933,1492810507951792055,/fluid_pressure,106569.992188,0.0
1492810508026003068,108934,1492810508025792055,/fluid_pressure,106619.992188,0.0
1492810508100191803,108935,1492810508099792055,/fluid_pressure,106540.0,0.0
1492810508174070733,108936,1492810508174792055,/fluid_pressure,106590.0,0.0
1492810508249456260,108937,1492810508248792055,/fluid_pressure,106600.0,0.0
1492810508322480956,108938,1492810508322792055,/fluid_pressure,106569.992188,0.0
1492810508397399813,108939,1492810508397792055,/fluid_pressure,106590.0,0.0
1492810508471309661,108940,1492810508471792055,/fluid_pressure,106580.007812,0.0
1492810508546307040,108941,1492810508545792055,/fluid_pressure,106569.992188,0.0
1492810508620281806,108942,1492810508619792055,/fluid_pressure,106560.0,0.0
1492810508693626977,108943,1492810508694792055,/fluid_pressure,106580.007812,0.0
1492810508768549829,108944,1492810508768792055,/fluid_pressure,106560.0,0.0
1492810508842886100,108945,1492810508842792055,/fluid_pressure,106569.992188,0.0
1492810508917350011,108946,1492810508916792055,/fluid_pressure,106550.0,0.0
1492810508990751545,108947,1492810508991792055,/fluid_pressure,106480.007812,0.0
1492810509065297316,108948,1492810509065792055,/fluid_pressure,106540.0,0.0
1492810509139788485,108949,1492810509139792055,/fluid_pressure,106500.0,0.0
1492810509213721625,108950,1492810509213792055,/fluid_pressure,106530.007812,0.0
1492810509287841466,108951,1492810509288792055,/fluid_pressure,106530.007812,0.0
1492810509362917737,108952,1492810509362792055,/fluid_pressure,106540.0,0.0
1492810509437028405,108953,1492810509436792055,/fluid_pressure,106510.0,0.0
1492810509511051275,108954,1492810509511792055,/fluid_pressure,106530.007812,0.0
1492810509585389208,108955,1492810509585792055,/fluid_pressure,106569.992188,0.0
1492810509659904280,108956,1492810509659792055,/fluid_pressure,106510.0,0.0
1492810509733934433,108957,1492810509733792055,/fluid_pressure,106560.0,0.0
1492810509808137757,108958,1492810509808792055,/fluid_pressure,106550.0,0.0
1492810509882428811,108959,1492810509882929002,/fluid_pressure,106580.007812,0.0
1492810509956608080,108960,1492810509956929002,/fluid_pressure,106530.007812,0.0
1492810510031525350,108961,1492810510031929002,/fluid_pressure,106569.992188,0.0
1492810510105175713,108962,1492810510105929002,/fluid_pressure,106490.0,0.0
1492810510180195236,108963,1492810510179929002,/fluid_pressure,106560.0,0.0
1492810510254134054,108964,1492810510253929002,/fluid_pressure,106550.0,0.0
1492810510327682719,108965,1492810510328929002,/fluid_pressure,106590.0,0.0
1492810510402074476,108966,1492810510402929002,/fluid_pressure,106550.0,0.0
1492810510477361828,108967,1492810510476929002,/fluid_pressure,106510.0,0.0
1492810510550693665,108968,1492810510550929002,/fluid_pressure,106590.0,0.0
1492810510624614990,108969,1492810510625929002,/fluid_pressure,106569.992188,0.0
1492810510698555326,108970,1492810510699929002,/fluid_pressure,106560.0,0.0
1492810510773740561,108971,1492810510773929002,/fluid_pressure,106590.0,0.0
1492810510847786139,108972,1492810510847929002,/fluid_pressure,106590.0,0.0
1492810510921734778,108973,1492810510922929002,/fluid_pressure,106519.992188,0.0
1492810510997189563,108974,1492810510996929002,/fluid_pressure,106519.992188,0.0
1492810511071297608,108975,1492810511070929002,/fluid_pressure,106530.007812,0.0
1492810511144890982,108976,1492810511145929002,/fluid_pressure,106550.0,0.0
1492810511218458610,108977,1492810511219929002,/fluid_pressure,106560.0,0.0
1492810511294082119,108978,1492810511293929002,/fluid_pressure,106490.0,0.0
1492810511367623746,108979,1492810511367929002,/fluid_pressure,106530.007812,0.0
1492810511441960711,108980,1492810511442929002,/fluid_pressure,106519.992188,0.0
1492810511515966004,108981,1492810511516929002,/fluid_pressure,106550.0,0.0
1492810511590988280,108982,1492810511590929002,/fluid_pressure,106580.007812,0.0
1492810511664601911,108983,1492810511664929002,/fluid_pressure,106590.0,0.0
1492810511739015703,108984,1492810511739929002,/fluid_pressure,106590.0,0.0
1492810511812914873,108985,1492810511813929002,/fluid_pressure,106530.007812,0.0
1492810511887803508,108986,1492810511887929002,/fluid_pressure,106619.992188,0.0
1492810511961700683,108987,1492810511961929002,/fluid_pressure,106590.0,0.0
1492810512035428379,108988,1492810512036929002,/fluid_pressure,106569.992188,0.0
1492810512111036337,108989,1492810512110929002,/fluid_pressure,106619.992188,0.0
1492810512184972034,108990,1492810512184929002,/fluid_pressure,106590.0,0.0
1492810512259064811,108991,1492810512259929002,/fluid_pressure,106550.0,0.0
1492810512333029374,108992,1492810512333929002,/fluid_pressure,106550.0,0.0
1492810512408186816,108993,1492810512408920919,/fluid_pressure,106510.0,0.0
1492810512481999229,108994,1492810512482920919,/fluid_pressure,106540.0,0.0
1492810512556446493,108995,1492810512557920919,/fluid_pressure,106480.007812,0.0
1492810512630696256,108996,1492810512631920919,/fluid_pressure,106430.007812,0.0
1492810512705090895,108997,1492810512705920919,/fluid_pressure,106510.0,0.0
1492810512779238549,108998,1492810512779920919,/fluid_pressure,106530.007812,0.0
1492810512852483780,108999,1492810512854920919,/fluid_pressure,106560.0,0.0
1492810512928255095,109000,1492810512928920919,/fluid_pressure,106530.007812,0.0
1492810513001790092,109001,1492810513002920919,/fluid_pressure,106600.0,0.0
1492810513076424563,109002,1492810513076920919,/fluid_pressure,106580.007812,0.0
1492810513149841039,109003,1492810513151920919,/fluid_pressure,106500.0,0.0
1492810513224415554,109004,1492810513225920919,/fluid_pressure,106550.0,0.0
1492810513298764717,109005,1492810513299920919,/fluid_pressure,106540.0,0.0
1492810513372801811,109006,1492810513374920919,/fluid_pressure,106510.0,0.0
1492810513448371997,109007,1492810513448920919,/fluid_pressure,106530.007812,0.0
1492810513521760102,109008,1492810513522920919,/fluid_pressure,106540.0,0.0
1492810513595429046,109009,1492810513596920919,/fluid_pressure,106519.992188,0.0
1492810513669732488,109010,1492810513671920919,/fluid_pressure,106480.007812,0.0
1492810513745143155,109011,1492810513745920919,/fluid_pressure,106480.007812,0.0
1492810513818627530,109012,1492810513819920919,/fluid_pressure,106540.0,0.0
1492810513892457124,109013,1492810513893920919,/fluid_pressure,106550.0,0.0
1492810513967026568,109014,1492810513968920919,/fluid_pressure,106560.0,0.0
1492810514041854642,109015,1492810514042920919,/fluid_pressure,106469.992188,0.0
1492810514116070346,109016,1492810514116920919,/fluid_pressure,106619.992188,0.0
1492810514189758693,109017,1492810514190920919,/fluid_pressure,106550.0,0.0
1492810514263866985,109018,1492810514265920919,/fluid_pressure,106580.007812,0.0
1492810514338418342,109019,1492810514339920919,/fluid_pressure,106519.992188,0.0
1492810514413114372,109020,1492810514413920919,/fluid_pressure,106600.0,0.0
1492810514486976791,109021,1492810514488920919,/fluid_pressure,106600.0,0.0
1492810514562102954,109022,1492810514562920919,/fluid_pressure,106540.0,0.0
1492810514635743393,109023,1492810514636920919,/fluid_pressure,106540.0,0.0
1492810514710015348,109024,1492810514710920919,/fluid_pressure,106590.0,0.0
1492810514784425022,109025,1492810514785920919,/fluid_pressure,106560.0,0.0
1492810514859390983,109026,1492810514859920919,/fluid_pressure,106510.0,0.0
1492810514933197824,109027,1492810514933535015,/fluid_pressure,106519.992188,0.0
1492810515006758808,109028,1492810515007535015,/fluid_pressure,106500.0,0.0
1492810515082418347,109029,1492810515082535015,/fluid_pressure,106540.0,0.0
1492810515156674835,109030,1492810515156535015,/fluid_pressure,106490.0,0.0
1492810515229420693,109031,1492810515230535015,/fluid_pressure,106500.0,0.0
1492810515304497712,109032,1492810515305535015,/fluid_pressure,106560.0,0.0
1492810515378902319,109033,1492810515379535015,/fluid_pressure,106569.992188,0.0
1492810515453293107,109034,1492810515453535015,/fluid_pressure,106540.0,0.0
1492810515527423376,109035,1492810515527535015,/fluid_pressure,106540.0,0.0
1492810515601030979,109036,1492810515602535015,/fluid_pressure,106560.0,0.0
1492810515675785659,109037,1492810515676535015,/fluid_pressure,106569.992188,0.0
1492810515750309080,109038,1492810515750535015,/fluid_pressure,106590.0,0.0
1492810515823780971,109039,1492810515824535015,/fluid_pressure,106550.0,0.0
1492810515897887442,109040,1492810515899535015,/fluid_pressure,106540.0,0.0
1492810515973178750,109041,1492810515973535015,/fluid_pressure,106530.007812,0.0
1492810516047139623,109042,1492810516047535015,/fluid_pressure,106530.007812,0.0
1492810516120889204,109043,1492810516121535015,/fluid_pressure,106590.0,0.0
1492810516195544806,109044,1492810516196535015,/fluid_pressure,106519.992188,0.0
1492810516269589284,109045,1492810516270535015,/fluid_pressure,106430.007812,0.0
1492810516343682364,109046,1492810516344535015,/fluid_pressure,106519.992188,0.0
1492810516417470607,109047,1492810516419535015,/fluid_pressure,106480.007812,0.0
1492810516492973301,109048,1492810516493535015,/fluid_pressure,106519.992188,0.0
1492810516567207117,109049,1492810516567535015,/fluid_pressure,106480.007812,0.0
1492810516640797516,109050,1492810516641535015,/fluid_pressure,106580.007812,0.0
1492810516715346196,109051,1492810516716535015,/fluid_pressure,106519.992188,0.0
1492810516789543563,109052,1492810516790535015,/fluid_pressure,106560.0,0.0
1492810516863991571,109053,1492810516864535015,/fluid_pressure,106550.0,0.0
1492810516938470635,109054,1492810516938535015,/fluid_pressure,106580.007812,0.0
1492810517012362986,109055,1492810517013535015,/fluid_pressure,106580.007812,0.0
1492810517087023823,109056,1492810517087535015,/fluid_pressure,106490.0,0.0
1492810517160502561,109057,1492810517161535015,/fluid_pressure,106490.0,0.0
1492810517235189265,109058,1492810517236535015,/fluid_pressure,106480.007812,0.0
1492810517309906017,109059,1492810517310535015,/fluid_pressure,106500.0,0.0
1492810517383741398,109060,1492810517384535015,/fluid_pressure,106540.0,0.0
1492810517457569063,109061,1492810517458780920,/fluid_pressure,106500.0,0.0
1492810517533031836,109062,1492810517533780920,/fluid_pressure,106569.992188,0.0
1492810517606765994,109063,1492810517607780920,/fluid_pressure,106550.0,0.0
1492810517680916176,109064,1492810517681780920,/fluid_pressure,106510.0,0.0
1492810517755246024,109065,1492810517755780920,/fluid_pressure,106530.007812,0.0
1492810517829575302,109066,1492810517830780920,/fluid_pressure,106519.992188,0.0
1492810517903888590,109067,1492810517904780920,/fluid_pressure,106500.0,0.0
1492810517978415707,109068,1492810517978780920,/fluid_pressure,106480.007812,0.0
1492810518052108453,109069,1492810518053780920,/fluid_pressure,106519.992188,0.0
1492810518126948758,109070,1492810518127780920,/fluid_pressure,106530.007812,0.0
1492810518201267074,109071,1492810518201780920,/fluid_pressure,106600.0,0.0
1492810518274713605,109072,1492810518275780920,/fluid_pressure,106550.0,0.0
1492810518349297697,109073,1492810518350780920,/fluid_pressure,106530.007812,0.0
1492810518423640949,109074,1492810518424780920,/fluid_pressure,106550.0,0.0
1492810518497937775,109075,1492810518498780920,/fluid_pressure,106490.0,0.0
1492810518571777160,109076,1492810518572780920,/fluid_pressure,106569.992188,0.0
1492810518647294280,109077,1492810518647780920,/fluid_pressure,106500.0,0.0
1492810518721267661,109078,1492810518721780920,/fluid_pressure,106550.0,0.0
1492810518794644209,109079,1492810518795780920,/fluid_pressure,106510.0,0.0
1492810518869341699,109080,1492810518869780920,/fluid_pressure,106610.0,0.0
1492810518944083565,109081,1492810518944780920,/fluid_pressure,106610.0,0.0
1492810519018323388,109082,1492810519018780920,/fluid_pressure,106550.0,0.0
1492810519092261179,109083,1492810519092780920,/fluid_pressure,106490.0,0.0
1492810519166241027,109084,1492810519167780920,/fluid_pressure,106540.0,0.0
1492810519240674558,109085,1492810519241780920,/fluid_pressure,106550.0,0.0
1492810519314558948,109086,1492810519315780920,/fluid_pressure,106540.0,0.0
1492810519388877544,109087,1492810519389780920,/fluid_pressure,106530.007812,0.0
1492810519463803735,109088,1492810519464780920,/fluid_pressure,106560.0,0.0
1492810519538355472,109089,1492810519538780920,/fluid_pressure,106519.992188,0.0
1492810519612181771,109090,1492810519612780920,/fluid_pressure,106560.0,0.0
1492810519686283471,109091,1492810519686780920,/fluid_pressure,106500.0,0.0
1492810519760431746,109092,1492810519761780920,/fluid_pressure,106500.0,0.0
1492810519834741738,109093,1492810519835780920,/fluid_pressure,106530.007812,0.0
1492810519908730797,109094,1492810519909780920,/fluid_pressure,106550.0,0.0
1492810519983324219,109095,1492810519984700906,/fluid_pressure,106550.0,0.0
1492810520057843179,109096,1492810520058700906,/fluid_pressure,106510.0,0.0
1492810520131649311,109097,1492810520132700906,/fluid_pressure,106540.0,0.0
1492810520205456777,109098,1492810520206700906,/fluid_pressure,106490.0,0.0
1492810520280771365,109099,1492810520281700906,/fluid_pressure,106480.007812,0.0
1492810520354860866,109100,1492810520355700906,/fluid_pressure,106580.007812,0.0
1492810520429022389,109101,1492810520429700906,/fluid_pressure,106569.992188,0.0
1492810520503092164,109102,1492810520503700906,/fluid_pressure,106569.992188,0.0
1492810520577467492,109103,1492810520578700906,/fluid_pressure,106590.0,0.0
1492810520652094327,109104,1492810520652700906,/fluid_pressure,106540.0,0.0
1492810520725528905,109105,1492810520726700906,/fluid_pressure,106580.007812,0.0
1492810520799688399,109106,1492810520800700906,/fluid_pressure,106510.0,0.0
1492810520875285946,109107,1492810520875700906,/fluid_pressure,106580.007812,0.0
1492810520949234553,109108,1492810520949700906,/fluid_pressure,106569.992188,0.0
1492810521022882235,109109,1492810521023700906,/fluid_pressure,106540.0,0.0
1492810521096440596,109110,1492810521097700906,/fluid_pressure,106569.992188,0.0
1492810521171486027,109111,1492810521172700906,/fluid_pressure,106510.0,0.0
1492810521246141668,109112,1492810521246700906,/fluid_pressure,106569.992188,0.0
1492810521320280353,109113,1492810521320700906,/fluid_pressure,106530.007812,0.0
1492810521394947257,109114,1492810521395700906,/fluid_pressure,106510.0,0.0
1492810521469284533,109115,1492810521469700906,/fluid_pressure,106460.0,0.0
1492810521543522786,109116,1492810521543700906,/fluid_pressure,106500.0,0.0
1492810521616912382,109117,1492810521617700906,/fluid_pressure,106460.0,0.0
1492810521692234269,109118,1492810521692700906,/fluid_pressure,106550.0,0.0
1492810521766230613,109119,1492810521766700906,/fluid_pressure,106540.0,0.0
1492810521839774424,109120,1492810521840700906,/fluid_pressure,106530.007812,0.0
