%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1492810501576079015,9705,1492810501576787971,/temperature,15.6091451645,0.0
1492810501649405734,9706,1492810501650787971,/temperature,15.6004133224,0.0
1492810501724870128,9707,1492810501724787971,/temperature,15.6091451645,0.0
1492810501799102911,9708,1492810501799787971,/temperature,15.6004133224,0.0
1492810501872551266,9709,1492810501873787971,/temperature,15.6091451645,0.0
1492810501946386410,9710,1492810501947787971,/temperature,15.6091451645,0.0
1492810502021472257,9711,1492810502021787971,/temperature,15.6091451645,0.0
1492810502096051516,9712,1492810502096787971,/temperature,15.6091451645,0.0
1492810502170021484,9713,1492810502170787971,/temperature,15.6178760529,0.0
1492810502243583062,9714,1492810502244787971,/temperature,15.6091451645,0.0
1492810502318577144,9715,1492810502319041965,/temperature,15.6178760529,0.0
1492810502392711268,9716,1492810502394041965,/temperature,15.6091451645,0.0
1492810502467204691,9717,1492810502468041965,/temperature,15.6178760529,0.0
1492810502541663821,9718,1492810502542041965,/temperature,15.6178760529,0.0
1492810502615748086,9719,1492810502616041965,/temperature,15.6178760529,0.0
1492810502689639050,9720,1492810502691041965,/temperature,15.6178760529,0.0
1492810502763566392,9721,1492810502765041965,/temperature,15.6178760529,0.0
1492810502838487814,9722,1492810502839041965,/temperature,15.6178760529,0.0
1492810502912755334,9723,1492810502913041965,/temperature,15.6091451645,0.0
1492810502986414483,9724,1492810502988041965,/temperature,15.6178760529,0.0
1492810503061218122,9725,1492810503062041965,/temperature,15.6266078949,0.0
1492810503135799361,9726,1492810503136041965,/temperature,15.6091451645,0.0
1492810503210350740,9727,1492810503210041965,/temperature,15.6178760529,0.0
1492810503283881976,9728,1492810503285041965,/temperature,15.6091451645,0.0
1492810503357920982,9729,1492810503359041965,/temperature,15.6178760529,0.0
1492810503432452937,9730,1492810503433041965,/temperature,15.6178760529,0.0
1492810503507254597,9731,1492810503508041965,/temperature,15.6178760529,0.0
1492810503581107051,9732,1492810503582041965,/temperature,15.6266078949,0.0
1492810503654881608,9733,1492810503656041965,/temperature,15.6266078949,0.0
1492810503730376146,9734,1492810503730041965,/temperature,15.6266078949,0.0
1492810503803389348,9735,1492810503805041965,/temperature,15.6266078949,0.0
1492810503877858047,9736,1492810503879041965,/temperature,15.6266078949,0.0
1492810503951994175,9737,1492810503953041965,/temperature,15.6178760529,0.0
1492810504026835260,9738,1492810504027041965,/temperature,15.6178760529,0.0
1492810504100505741,9739,1492810504102041965,/temperature,15.6178760529,0.0
1492810504174359356,9740,1492810504176041965,/temperature,15.6178760529,0.0
1492810504248374402,9741,1492810504250041965,/temperature,15.6178760529,0.0
1492810504324417021,9742,1492810504324041965,/temperature,15.6178760529,0.0
1492810504397795668,9743,1492810504399041965,/temperature,15.6178760529,0.0
1492810504471655395,9744,1492810504473041965,/temperature,15.6178760529,0.0
1492810504545578624,9745,1492810504547041965,/temperature,15.6178760529,0.0
1492810504620424356,9746,1492810504621041965,/temperature,15.6178760529,0.0
1492810504694437436,9747,1492810504696041965,/temperature,15.6091451645,0.0
1492810504768952028,9748,1492810504770041965,/temperature,15.6178760529,0.0
1492810504844157957,9749,1492810504843475101,/temperature,15.6091451645,0.0
1492810504917778216,9750,1492810504917475101,/temperature,15.6178760529,0.0
1492810504992100544,9751,1492810504992475101,/temperature,15.6178760529,0.0
1492810505066377993,9752,1492810505066475101,/temperature,15.6178760529,0.0
1492810505140623800,9753,1492810505140475101,/temperature,15.6004133224,0.0
1492810505214914045,9754,1492810505214475101,/temperature,15.6091451645,0.0
1492810505289368515,9755,1492810505289475101,/temperature,15.6091451645,0.0
1492810505362997417,9756,1492810505363475101,/temperature,15.6091451645,0.0
1492810505438337245,9757,1492810505437475101,/temperature,15.6091451645,0.0
1492810505511955274,9758,1492810505511475101,/temperature,15.6091451645,0.0
1492810505585993418,9759,1492810505586475101,/temperature,15.6091451645,0.0
1492810505659766342,9760,1492810505660475101,/temperature,15.6091451645,0.0
1492810505734981664,9761,1492810505734475101,/temperature,15.6004133224,0.0
1492810505809030124,9762,1492810505808475101,/temperature,15.6004133224,0.0
1492810505883091559,9763,1492810505883475101,/temperature,15.6091451645,0.0
