# Time	Input
-4.6994947	0.0000000
-4.5996260	0.0000000
-4.4997358	0.0000000
-4.3996700	0.0000000
-4.2998249	0.0000000
-4.1995843	0.0000000
-4.0997545	0.0000000
-3.9996132	0.0000000
-3.8997847	0.0000000
-3.7997604	0.0000000
-3.6997396	0.0000000
-3.5997691	0.0000000
-3.4997117	0.0000000
-3.3996692	0.0000000
-3.2997222	0.0000000
-3.1997332	0.0000000
-3.0997325	0.0000000
-2.9996470	0.0000000
-2.8997271	0.0000000
-2.7999058	0.0000000
-2.6997942	0.0000000
-2.5997796	0.0000000
-2.4996250	0.0000000
-2.3998167	0.0000000
-2.2997023	0.0000000
-2.1996872	0.0000000
-2.0996636	0.0000000
-1.9995740	0.0000000
-1.8996485	0.0000000
-1.7996388	0.0000000
-1.6997481	0.0000000
-1.5997391	0.0000000
-1.4997038	0.0000000
-1.3996989	0.0000000
-1.2998221	0.0000000
-1.1997911	0.0000000
-1.0997263	0.0000000
-0.9996849	0.0000000
-0.8998208	0.0000000
-0.7997578	0.0000000
-0.6996475	0.0000000
-0.5995730	0.0000000
-0.4997384	0.0000000
-0.3997414	0.0000000
-0.2995953	0.0000000
-0.1996421	0.0000000
-0.0997722	0.0000000
0.0002099	-35.0000000
0.1004262	-35.0000000
0.2002675	-35.0000000
0.3003720	-23.0930004
0.4004063	-16.8702660
0.5003666	-14.1552601
0.6002708	-12.5560274
0.7002332	-12.2147703
0.8002573	-12.6239738
0.9002575	-12.8758421
1.0001766	-13.0807171
1.1004265	-13.3571367
1.2002760	-12.5412102
1.3002911	-12.2626200
1.4002527	-13.1290731
1.5002199	-13.6069727
1.6002273	-11.9973259
1.7004749	-12.2198277
1.8003113	-13.9107800
1.9002063	-13.0435257
2.0002691	-12.9171181
2.1002452	-13.9375963
2.2002150	-12.8936243
2.3002796	-11.0798168
2.4002033	-11.1377573
2.5002401	-9.5934563
2.6003105	-9.2775679
2.7002583	-6.4054694
2.8002176	-7.5759945
2.9002803	-7.0175080
3.0003773	-6.6514492
3.1002486	-8.4989271
3.2002419	-7.7162437
3.3002813	-6.0595818
3.4002186	-6.5004463
3.5002598	-7.5925641
3.6003860	-5.9396811
3.7002657	-6.3460016
3.8001779	-6.8651891
3.9002404	-4.6680317
4.0002772	-4.1187062
4.1001669	-5.3482914
4.2003556	-4.2525868
4.3002749	-4.9074368
4.4002015	-6.2366939
4.5002908	-5.3347101
4.6001695	-4.9739313
4.7001572	-6.0255170
4.8002263	-5.1069283
4.9001459	-4.3565302
5.0002378	-4.9853621
5.1002452	-3.1555898
5.2002944	-2.2577581
5.3003236	-0.2345997
5.4002532	-1.1185733
5.5001938	-0.9289892
5.6001956	-0.8827682
5.7002383	-2.7132020
5.8002465	-2.4369431
5.9002570	-0.8868632
6.0002650	-1.3138142
6.1002417	-0.2121529
6.2001242	0.3399699
6.3001958	-1.3904755
6.4003133	-1.6882783
6.5002007	-1.3644701
6.6002010	-1.4712371
6.7003420	-1.8936195
6.8002972	-0.7470896
6.9002601	-0.3374729
7.0002335	-0.9719627
7.1003610	0.1720834
7.2001792	1.3359414
7.3003538	1.4561204
7.4002788	2.6127248
7.5004887	2.9693191
7.6003625	1.2185224
7.7002401	0.0842072
7.8002678	-0.7815794
7.9002406	-0.5482829
8.0003141	0.9443683
8.1002527	2.4174533
8.2002435	3.3449817
8.3002020	1.9817469
8.4002680	1.4243531
8.5002895	0.8636945
8.6003525	-0.3583166
8.7002957	-0.6847245
8.8002253	-0.9538472
8.9002959	-0.7479056
9.0002196	0.0846517
9.1002908	1.5154309
9.2003126	1.9393538
9.3006899	2.6251194
9.4002959	2.3767998
9.5004925	1.4739749
9.6002010	0.8331960
9.7002396	1.0330373
9.8004326	0.9009144
9.9003164	1.1301966
10.0003433	1.0443405
10.1002281	0.2685780
10.2001830	-0.2699033
10.3002240	-0.6158369
10.4002739	-0.2770432
10.5004178	0.5057926
10.6002803	1.9651392
10.7003983	3.7035480
10.8002778	3.1990886
10.9002271	2.9149926
11.0003121	1.7649741
11.1003709	0.9526147
11.2002527	0.9386560
11.3003174	2.4282863
11.4001119	3.6167905
11.5002324	3.9712868
11.6002862	4.1606879
11.7004337	3.3695154
11.8002161	1.9563646
11.9003896	1.2078817
12.0002353	1.2870228
12.1002322	1.4209257
12.2003855	2.6627498
12.3001705	4.0882463
12.4003663	4.9811196
12.5001869	5.5933981
12.6002207	5.5678358
12.7003348	5.4726939
12.8002680	5.2848263
12.9002304	4.8736567
13.0002993	4.3353643
13.1001779	3.4222760
13.2001669	2.6678705
13.3001549	2.3100357
13.4003955	1.8640189
13.5002401	2.0422573
13.6001759	3.2436306
13.7002611	3.8999465
13.8002752	4.1925745
13.9002801	3.9338315
14.0002061	3.4312656
14.1002931	3.5645087
14.2003254	3.4957268
14.3002816	3.7655966
14.4002747	3.5756304
14.5002273	3.8284295
14.6003561	3.9635072
14.7003476	3.5045698
14.8002767	3.4118958
14.9002696	3.2674069
15.0002678	3.0790641
15.1003535	2.8829448
15.2002345	2.4705327
15.3002683	2.6300516
15.4003151	3.1186912
15.5003103	4.4405513
15.6002435	5.3661470
15.7003028	5.0005503
15.8002371	4.8222585
15.9010452	4.2830920
16.0005000	3.9858868
16.1003146	4.3041387
16.2002004	5.2200632
16.3002900	5.7295341
16.4002388	6.2784181
16.5001989	6.4779630
16.6001917	6.0451770
16.7003249	5.7321329
16.8002601	6.0941277
16.9002627	5.8649802
17.0002468	5.3955121
17.1002650	4.8260622
17.2003512	4.7334542
17.3003297	5.1639943
17.4002547	6.4859138
17.5002606	7.1866183
17.6001820	7.1859541
17.7003187	7.1174607
17.8002186	6.7842059
17.9002161	6.5261168
18.0003210	7.0223055
18.1002557	7.3285322
18.2001923	7.3107562
18.3001492	7.2129455
18.4001894	7.0453529
18.5002120	6.3513441
18.6002212	6.3148484
18.7003249	6.5256419
18.8001377	6.6267495
18.9003699	7.2897596
19.0001472	7.6355839
19.1002022	7.2967019
19.2001815	7.0647063
19.3003668	6.9887486
19.4002778	7.1942601
19.5002076	7.5001917
19.6003674	7.7944384
19.7002360	7.6597161
19.8004306	7.3119812
19.9002790	7.0183606
20.0003154	6.7455664
20.1002767	6.5417066
20.2001656	6.4023829
20.3002468	6.5201187
20.4001930	7.1054807
20.5003238	7.8949904
20.6002432	8.5976200
20.7002693	8.8388910
20.8001825	9.2509766
20.9001800	9.5213366
21.0001679	9.5913429
21.1002368	8.6686249
21.2002957	7.7338319
21.3002911	6.3306770
21.4002578	5.7901683
21.5002117	5.4872537
21.6001533	5.8630977
21.7003569	7.0004935
21.8002655	7.8007083
21.9001856	8.3802156
22.0002580	9.1687326
22.1001208	9.7972431
22.2003459	10.6460199
22.3002040	11.2256880
22.4003062	10.7705698
22.5010056	10.0424538
22.6003407	8.8800869
22.7001828	8.5426092
22.8005629	8.3273830
22.9003784	8.6577253
23.0003397	9.1012506
23.1002240	9.1802845
23.2002350	8.6660976
23.3002040	8.4254904
23.4002143	8.7061472
23.5002488	9.2030201
23.6001966	9.9703398
23.7003133	10.2598076
23.8001400	10.3178787
23.9002806	10.3586330
24.0001482	10.2310123
24.1003164	10.7101870
24.2002173	10.8185873
24.3004142	10.9572268
24.4003579	11.0537415
24.5002596	11.1370192
24.6002378	10.7539978
24.7002790	10.3302050
24.8001823	10.6157675
24.9002637	10.9610205
25.0002345	11.9607306
25.1002225	12.3917589
25.2002220	12.3920822
25.3002140	11.7120447
25.4002132	11.5602884
25.5001257	11.8026428
25.6003323	12.4824896
