# Time	Input
-4.6998630	0.0000000
-4.6000079	0.0000000
-4.4999859	0.0000000
-4.3998848	0.0000000
-4.2999291	0.0000000
-4.1999375	0.0000000
-4.1000172	0.0000000
-3.9999212	0.0000000
-3.8999969	0.0000000
-3.7999089	0.0000000
-3.7000353	0.0000000
-3.5999148	0.0000000
-3.4998397	0.0000000
-3.3999962	0.0000000
-3.2998917	0.0000000
-3.1998738	0.0000000
-3.1000814	0.0000000
-2.9997809	0.0000000
-2.8997343	0.0000000
-2.7998804	0.0000000
-2.6997629	0.0000000
-2.6000074	0.0000000
-2.4999501	0.0000000
-2.3999442	0.0000000
-2.2999450	0.0000000
-2.1999160	0.0000000
-2.0999247	0.0000000
-2.0000159	0.0000000
-1.8999140	0.0000000
-1.7999252	0.0000000
-1.6999683	0.0000000
-1.5996588	0.0000000
-1.4999675	0.0000000
-1.3999357	0.0000000
-1.2998333	0.0000000
-1.1999946	0.0000000
-1.1000182	0.0000000
-0.9998979	0.0000000
-0.9000376	0.0000000
-0.7999583	0.0000000
-0.6999849	0.0000000
-0.5999741	0.0000000
-0.5000110	0.0000000
-0.3999808	0.0000000
-0.2998308	0.0000000
-0.2000033	0.0000000
-0.0999309	0.0000000
0.0000000	1.9752399
0.1001152	2.1321857
0.2000594	1.9915903
0.2999590	1.8365123
0.4001326	4.1187644
0.4999923	6.6226325
0.6001019	8.0934906
0.7000888	8.2404613
0.8000123	8.2279863
0.9000553	7.4468999
1.0000020	6.2388721
1.1001198	6.3460269
1.1999951	6.7887673
1.3000266	6.2266574
1.4001723	5.0818548
1.5000540	4.4643264
1.6000205	4.0457091
1.7001349	2.6837351
1.8001521	1.9316850
1.9000399	1.8046644
1.9999854	1.7914513
2.1001851	1.8834260
2.2000108	1.9030229
2.3000340	2.4982657
2.4003256	3.0538130
2.5000499	2.7037287
2.6000568	2.4829605
2.7001408	3.6093588
2.8002509	4.3628349
2.9001751	4.5867438
3.0000041	3.5878205
3.1000558	2.9263952
3.2001213	2.2222536
3.3000922	1.9484876
3.4002268	2.1651421
3.4999491	2.4790289
3.6000550	2.5607517
3.7000458	2.5520313
3.8000151	2.4575906
3.8999752	2.3312538
3.9999826	2.5187619
4.0999191	2.5042331
4.1999734	2.3513472
4.2999818	1.9518654
4.4000225	1.8269113
4.5000195	1.4632688
4.5999578	1.2021034
4.7003656	1.2054361
4.8000458	1.2531660
4.8999324	1.5594645
5.0002417	2.0038068
5.1000230	2.8085551
5.2001272	3.6403611
5.3000271	4.6564279
5.4000340	5.0292768
5.5000010	4.7046957
5.6000440	3.6439366
5.6999621	2.9199605
5.8000205	2.4139035
5.8999944	2.7660770
5.9999816	3.4757335
6.1000730	4.1719742
6.2001838	4.3372960
6.2999956	3.9317882
6.4000402	3.3200395
6.5003026	2.6892011
6.6000594	2.4707198
6.7000945	2.4035640
6.8000404	2.4790039
6.8999406	2.9063165
7.0000666	3.3869910
7.1000940	4.2796097
7.1999933	5.2699752
7.3000448	5.6312804
7.4000097	5.5221319
7.5001155	5.0347824
7.6000983	4.3798766
7.7000100	3.6429613
7.8000256	3.4019878
7.9000714	4.1249318
7.9999598	5.0250058
8.1000369	5.7266006
8.1999846	5.3053989
8.3000015	4.4350004
8.4000159	3.2754712
8.5000259	2.4295361
8.5999795	2.5029659
8.6999608	2.9523253
8.8001098	3.8894651
8.9002214	4.5147514
9.0000635	5.0030870
9.1000906	4.9112916
9.2000847	4.8763242
9.3002908	5.1553135
9.4000202	5.3420939
9.5004547	5.3810520
9.6000369	4.9396267
9.7000218	4.2046809
9.8000266	3.8826175
9.9001068	3.7990539
10.0000269	3.8098776
10.1002358	3.6479867
10.2001014	3.6113074
10.3000189	3.5453749
10.4000008	3.5078087
10.5002161	3.6004505
10.6001820	3.6792839
10.7000015	3.7543025
10.8001019	4.0929580
10.8999990	4.3073564
11.0000115	4.4485641
11.0999685	4.4967709
11.2000627	4.5070038
11.3000184	5.0307813
11.4001029	5.3425856
11.5002458	5.5842175
11.6000072	5.4395871
11.7000307	4.7299232
11.7999844	3.8360167
11.9002468	2.7225618
12.0000422	2.0594826
12.1002391	2.5283756
12.2000118	3.9942236
12.3000673	6.0665483
12.4000553	7.4897337
12.4999793	8.3565960
12.5999677	8.0692377
12.7000425	7.7586665
12.8002337	7.0950356
12.8999867	6.4532418
13.0000218	5.8621159
13.1000573	5.2009292
13.2000123	4.2869859
13.2999908	3.4992952
13.4000420	3.2386572
13.5000860	3.2894146
13.5999227	4.6478906
13.7001556	5.9670219
13.8000064	6.8539052
13.9001096	7.0581946
14.0001748	6.7843018
14.1002353	6.4253368
14.2002371	5.8132896
14.3000369	5.3362565
14.3999834	5.0065937
14.4999892	5.0278158
14.5999107	5.0445361
14.7000561	5.0361900
14.8000540	5.1770749
14.9000425	5.2518501
14.9999747	5.2679720
15.1000671	5.3712425
15.2000591	5.5590501
15.3002772	5.6627870
15.4002409	5.9215431
15.5000763	6.2080626
15.5999798	5.8671036
15.6999724	5.6782441
15.8000348	5.5786624
15.9003722	5.7559953
16.0002744	6.0914440
16.1000330	6.4888048
16.1999788	6.8555551
16.3000284	6.9201798
16.4000028	6.9091153
16.5000732	6.9668775
16.6001019	6.9202566
16.7000205	6.7364450
16.8000120	6.5003514
16.9000394	6.3114281
17.0000228	6.2139192
17.1000671	6.0632310
17.2000046	6.0444317
17.3000532	6.1609979
17.4000507	6.4813280
17.5000328	6.9919024
17.5999744	7.3528843
17.7001065	7.4456496
17.8000223	7.4786777
17.9000730	7.3438158
17.9999662	7.4822593
18.1000794	7.4195018
18.1999675	7.2305927
18.3000929	6.5781794
18.4000294	6.0271821
18.5000817	6.0155277
18.5999890	6.3345838
18.7000113	6.7898068
18.8002304	6.9850488
18.9000507	7.3627863
19.0001377	7.7276139
19.1001242	7.5843091
19.2000310	7.5537386
19.3000340	7.5085669
19.4001654	7.2958832
19.4999823	7.1277466
19.6000399	6.8306150
19.6999411	6.5583200
19.7999836	6.4515243
19.8999731	6.5880098
20.0000911	6.8623500
20.1000300	7.0919886
20.1999923	7.0973444
20.3000712	7.0647840
20.4002504	7.4758396
20.5000591	8.3121376
20.5999493	9.2416868
20.6999905	9.3913088
20.7999846	9.3040724
20.8999908	8.7426758
21.0000289	7.8693538
21.0999165	7.3587775
21.2000151	6.9562087
21.2999524	6.9005656
21.4000855	6.9979343
21.5002291	7.3389187
21.5999624	7.4423928
21.7000891	8.0336676
21.7999864	8.7343426
21.8999867	9.2167149
22.0001585	9.7691889
22.1000282	10.0278234
22.2000248	10.4645042
22.3000973	10.8536024
22.4000077	10.9320173
22.5000865	10.7860909
22.6001316	10.3349276
22.7000138	9.8065233
22.8002099	9.2371521
22.9002158	8.9730015
23.0003110	9.2312765
23.1000881	9.5659676
23.2000128	9.9530048
23.3000220	10.2080050
23.4001492	10.2908297
23.5000105	10.3828192
23.6000084	10.0914927
23.6999741	9.8909941
23.7999703	9.4942331
23.9000632	9.4102354
24.0003052	9.8095760
24.1000010	10.4737701
24.2002097	11.0302057
24.3000207	11.3694992
24.4000571	11.5884638
24.5000980	11.6313782
24.6002291	11.1405277
24.7000084	10.3647442
24.8001057	10.1675892
24.9000845	10.2402115
25.0000005	10.5718431
25.0999680	11.0394678
25.2000077	11.1460648
25.2999462	11.2780285
25.3999611	11.6845264
25.4999411	12.0534897
25.6000704	12.4292326
25.7000471	12.5822983
25.8000763	12.4246750
25.8999967	12.0847788
26.0000169	11.6770401
26.1001193	11.0117064
26.1999826	10.6426449
26.3000532	10.9734297
26.4000653	11.7766590
26.5001390	12.6215248
26.6000612	13.0418720
26.7001236	13.4597998
26.7999964	13.3536482
26.8999414	13.1875429
26.9999391	12.9778814
27.1000835	13.2436161
27.2003011	13.9020319
27.2999747	15.1367130
27.3999165	15.9506445
27.4999296	15.6919661
27.6001065	15.0022106
27.7000410	13.9372854
27.8000489	13.7277632
27.9001298	13.9771376
28.0000550	14.0794659
28.1000128	14.1628971
28.2000013	14.3654861
28.3000115	14.6143303
28.4001615	14.6603022
28.5000294	14.7742062
28.6000082	14.7788534
28.7000177	15.0840235
28.8000927	15.3905859
28.8999613	15.6063290
29.0000425	15.2542629
29.1000794	15.0434475
29.1999127	15.1460781
29.2999132	15.4350681
29.4000850	15.5626631
29.5001715	15.5457039
29.6000476	15.7503052
29.7000036	15.9831696
29.8003433	16.0882053
29.8999913	16.0303211
29.9508393	0.0000000
