%time,field.data
1492807947105670093,CONTROLLER
1492807947205615278,CONTROLLER
1492807947305689114,CONTROLLER
1492807947405619094,CONTROLLER
1492807947505587818,CONTROLLER
1492807947605607783,CONTROLLER
1492807947705617903,CONTROLLER
1492807947805595835,CONTROLLER
1492807947905583956,CONTROLLER
1492807948005615560,CONTROLLER
1492807948105607175,CONTROLLER
1492807948205557720,CONTROLLER
1492807948305646317,CONTROLLER
1492807948405580343,CONTROLLER
1492807948505727825,CONTROLLER
1492807948605778435,CONTROLLER
1492807948705569236,CONTROLLER
1492807948805659535,CONTROLLER
1492807948905759339,CONTROLLER
1492807949005686473,CONTROLLER
1492807949105537144,CONTROLLER
1492807949205640096,CONTROLLER
1492807949305550999,CONTROLLER
1492807949405671047,CONTROLLER
1492807949505600594,CONTROLLER
1492807949605573345,CONTROLLER
1492807949705774434,CONTROLLER
1492807949805629750,CONTROLLER
1492807949905612783,CONTROLLER
1492807950005588879,CONTROLLER
1492807950105586175,CONTROLLER
1492807950205553977,CONTROLLER
1492807950305677908,CONTROLLER
1492807950405555710,CONTROLLER
1492807950505705204,CONTROLLER
1492807950605555275,CONTROLLER
1492807950705758915,CONTROLLER
1492807950805523070,CONTROLLER
1492807950905621450,CONTROLLER
1492807951005651131,CONTROLLER
1492807951105631774,CONTROLLER
1492807951205843390,CONTROLLER
1492807951305620347,CONTROLLER
1492807951405588623,CONTROLLER
1492807951505626067,CONTROLLER
1492807951605641713,CONTROLLER
1492807951705605999,CONTROLLER
1492807951805562403,CONTROLLER
1492807951905569047,CONTROLLER
1492807952005628906,CONTROLLER
1492807952105554793,CONTROLLER
1492807952205600361,CONTROLLER
1492807952305533132,CONTROLLER
1492807952405629185,CONTROLLER
1492807952505572693,CONTROLLER
1492807952605624642,CONTROLLER
1492807952705545729,CONTROLLER
1492807952805562822,CONTROLLER
1492807952905603338,CONTROLLER
1492807953005607041,CONTROLLER
1492807953105573652,CONTROLLER
1492807953205571145,CONTROLLER
1492807953305688597,CONTROLLER
1492807953405753956,CONTROLLER
1492807953505562318,CONTROLLER
1492807953605582213,CONTROLLER
1492807953705604373,CONTROLLER
1492807953805598073,CONTROLLER
1492807953905569021,CONTROLLER
1492807954005640191,CONTROLLER
1492807954105595116,CONTROLLER
1492807954205651627,CONTROLLER
1492807954305646025,CONTROLLER
1492807954405578774,CONTROLLER
1492807954505525711,CONTROLLER
1492807954605638672,CONTROLLER
1492807954705622063,CONTROLLER
1492807954805562823,CONTROLLER
1492807954905485325,CONTROLLER
1492807955005671925,CONTROLLER
1492807955105568512,CONTROLLER
1492807955205573688,CONTROLLER
1492807955305587138,CONTROLLER
1492807955405610977,CONTROLLER
1492807955505587506,CONTROLLER
1492807955605513571,CONTROLLER
1492807955705703391,CONTROLLER
1492807955805618381,CONTROLLER
1492807955905559202,CONTROLLER
1492807956005518917,CONTROLLER
1492807956105563521,CONTROLLER
1492807956205599367,CONTROLLER
1492807956305663481,CONTROLLER
1492807956405549177,CONTROLLER
1492807956505533456,CONTROLLER
1492807956605600559,CONTROLLER
1492807956705568693,CONTROLLER
1492807956805600125,CONTROLLER
1492807956905481137,CONTROLLER
1492807957005630135,CONTROLLER
1492807957105654978,CONTROLLER
1492807957205566184,CONTROLLER
1492807957305786464,CONTROLLER
1492807957405598082,CONTROLLER
1492807957505513065,CONTROLLER
1492807957605637441,CONTROLLER
1492807957705626151,CONTROLLER
1492807957805588700,CONTROLLER
1492807957905637313,CONTROLLER
1492807958005494258,CONTROLLER
1492807958105638698,CONTROLLER
1492807958205617939,CONTROLLER
1492807958305561148,CONTROLLER
1492807958405603412,CONTROLLER
1492807958505588966,CONTROLLER
1492807958605649037,CONTROLLER
1492807958705644386,CONTROLLER
1492807958805554284,CONTROLLER
1492807958905594450,CONTROLLER
1492807959005648002,CONTROLLER
1492807959105613911,CONTROLLER
1492807959205836971,CONTROLLER
1492807959305851257,CONTROLLER
1492807959405551119,CONTROLLER
1492807959505593562,CONTROLLER
1492807959605697029,CONTROLLER
1492807959705622404,CONTROLLER
1492807959805538769,CONTROLLER
1492807959905567711,CONTROLLER
1492807960005550727,CONTROLLER
1492807960105581208,CONTROLLER
1492807960205571636,CONTROLLER
1492807960305565939,CONTROLLER
1492807960405588176,CONTROLLER
1492807960505635492,CONTROLLER
1492807960605600341,CONTROLLER
1492807960705645735,CONTROLLER
1492807960805611387,CONTROLLER
1492807960905547863,CONTROLLER
1492807961005783187,CONTROLLER
1492807961105639632,CONTROLLER
1492807961205652176,CONTROLLER
1492807961305640012,CONTROLLER
1492807961405626883,CONTROLLER
1492807961505805465,CONTROLLER
1492807961605606501,CONTROLLER
1492807961705600209,CONTROLLER
1492807961805635578,CONTROLLER
1492807961905582247,CONTROLLER
1492807962005572532,CONTROLLER
1492807962105597663,CONTROLLER
1492807962205597598,CONTROLLER
1492807962305651466,CONTROLLER
1492807962405558096,CONTROLLER
1492807962505592794,CONTROLLER
1492807962605592499,CONTROLLER
1492807962705560415,CONTROLLER
1492807962805579531,CONTROLLER
1492807962905611947,CONTROLLER
1492807963005672501,CONTROLLER
1492807963105535913,CONTROLLER
1492807963205690929,CONTROLLER
1492807963305873756,CONTROLLER
1492807963405512783,CONTROLLER
1492807963505621390,CONTROLLER
1492807963605638897,CONTROLLER
1492807963705604779,CONTROLLER
1492807963805578592,CONTROLLER
1492807963905636049,CONTROLLER
1492807964005643291,CONTROLLER
1492807964105608506,CONTROLLER
1492807964205600749,CONTROLLER
1492807964305524954,CONTROLLER
1492807964405607215,CONTROLLER
1492807964505670855,CONTROLLER
1492807964605626636,CONTROLLER
1492807964705565436,CONTROLLER
1492807964805605688,CONTROLLER
1492807964905528920,CONTROLLER
1492807965005638160,CONTROLLER
1492807965105578730,CONTROLLER
1492807965205638762,CONTROLLER
1492807965305586865,CONTROLLER
1492807965405618105,CONTROLLER
1492807965505711781,CONTROLLER
1492807965605880344,CONTROLLER
1492807965705633448,CONTROLLER
1492807965805592998,CONTROLLER
1492807965905627009,CONTROLLER
