%time,field.data
1492808165456278688,0.0
1492808165556167178,0.0
1492808165656132365,0.0
1492808165756104688,0.0
1492808165855972526,0.0
1492808165956032212,0.0
1492808166055948125,0.0
1492808166156133905,0.0
1492808166256035955,0.0
1492808166356038285,0.0
1492808166456072582,0.0
1492808166556002043,0.0
1492808166656126895,0.0
1492808166755991934,0.0
1492808166855971384,0.0
1492808166956040709,0.0
1492808167056066272,0.0
1492808167156139488,0.0
1492808167255995174,0.0
1492808167356012198,0.0
1492808167456004597,0.0
1492808167555930435,0.0
1492808167656394506,0.0
1492808167756030595,0.0
1492808167855964816,0.0
1492808167956088488,0.0
1492808168055985267,0.0
1492808168156166063,0.0
1492808168256025479,0.0
1492808168356086010,0.0
1492808168456027813,0.0
1492808168556055702,0.0
1492808168656018797,0.0
1492808168755970400,0.0
1492808168856017323,0.0
1492808168956064577,0.0
1492808169056211447,0.0
1492808169155999608,0.0
1492808169255962439,0.0
1492808169356096069,0.0
1492808169456054158,0.0
1492808169555968669,0.0
1492808169656025172,0.0
1492808169755995144,0.0
1492808169856210797,0.0
1492808169956046515,0.0
1492808170056040047,35.0
1492808170155984253,35.0
1492808170256030522,16.6891498566
1492808170356020762,8.97728443146
1492808170456021660,8.54431915283
1492808170556041539,8.63695526123
1492808170656038492,9.68154907227
1492808170756114604,9.97922039032
1492808170855986305,9.71172142029
1492808170956067176,9.99020671844
1492808171056059034,9.94090652466
1492808171156008205,9.48362922668
1492808171256012288,8.58782100677
1492808171356314535,7.55658245087
1492808171455998850,7.18043422699
1492808171556015621,7.29920625687
1492808171656009380,7.76934242249
1492808171755948665,8.04762172699
1492808171856032318,7.47792625427
1492808171956027918,6.15639734268
1492808172055976123,4.67625331879
1492808172156038315,4.28614282608
1492808172256039420,5.37872409821
1492808172355935946,8.00289344788
1492808172456040395,10.4094600677
1492808172555956997,10.9750299454
1492808172656038845,9.23811244965
1492808172756198445,6.45385313034
1492808172856012803,3.87728762627
1492808172956039864,4.07661151886
1492808173055998045,4.50683450699
1492808173155946737,5.60964679718
1492808173256054384,6.74450778961
1492808173356078180,7.64028215408
1492808173455964653,8.20102214813
1492808173556101185,8.67717266083
1492808173656066846,8.45203590393
1492808173756054589,7.98020648956
1492808173856107070,6.79019975662
1492808173955981701,5.23323869705
1492808174056013214,3.8970618248
1492808174156103711,3.8110396862
1492808174256041926,5.25459003448
1492808174355995653,7.29979944229
1492808174455978525,8.39759159088
1492808174556066546,8.42199897766
1492808174656043777,7.2925491333
1492808174756221963,6.16562271118
1492808174856110562,5.69555664062
1492808174956086774,5.81313419342
1492808175055897190,5.84825563431
1492808175156168022,5.5628361702
1492808175255939965,5.23802471161
1492808175355916329,5.11686992645
1492808175455997970,4.90661430359
1492808175556004939,5.03446960449
1492808175656053952,4.5934472084
1492808175756062616,4.51222705841
1492808175856029640,5.64578676224
1492808175955991757,7.39383554459
1492808176055975019,8.14351272583
1492808176156024040,7.73328447342
1492808176256030241,6.2393283844
1492808176356040883,4.83356285095
1492808176456129700,3.92771172523
1492808176556069664,4.18433666229
1492808176656003303,5.26636219025
1492808176756056567,7.01904296875
1492808176856165227,8.86417961121
1492808176956058572,9.83422756195
1492808177056051009,9.853556633
1492808177155956655,8.55065345764
1492808177256033302,6.39705228806
1492808177356156700,4.44328641891
1492808177456006548,3.65559244156
1492808177556026689,4.51023483276
1492808177656016690,5.83257246017
1492808177756050393,7.1819152832
1492808177856015362,8.04614830017
1492808177956026676,8.37724399567
1492808178056050568,8.55875682831
1492808178155873620,8.83766078949
1492808178255962284,8.8798160553
1492808178356054800,8.83291721344
1492808178456126013,8.26838970184
1492808178555977726,8.18231105804
1492808178656065910,8.18842315674
1492808178755928592,8.45554828644
1492808178856008961,8.48504638672
1492808178956041847,8.43370056152
1492808179056087904,8.58390522003
1492808179156098462,8.70902919769
1492808179256469020,8.89016723633
1492808179356164851,9.14078521729
1492808179456014353,9.26997375488
1492808179556005258,9.25514411926
1492808179656035803,9.24025344849
1492808179756065876,9.58028030396
1492808179856052345,10.0950193405
1492808179955908496,10.2964601517
1492808180056063981,10.2296476364
1492808180156017494,10.2179517746
1492808180255893053,9.92827320099
1492808180355995137,10.097910881
1492808180456006802,10.7187757492
1492808180556014420,11.5789899826
1492808180655995702,12.2818136215
1492808180755952816,12.2263679504
1492808180855988931,12.1557435989
1492808180956070790,11.3445224762
1492808181055974819,10.6019220352
1492808181156292354,10.5406904221
1492808181256081720,10.8496198654
1492808181356054279,11.6885843277
1492808181456073316,12.7436065674
1492808181556002687,13.8195343018
1492808181656121692,14.9840707779
1492808181756008751,15.8578624725
1492808181856007608,16.0223407745
1492808181956060633,15.2913675308
1492808182055960341,14.3341112137
1492808182156035649,13.5813817978
1492808182256011547,13.4212398529
1492808182355935060,13.9343175888
1492808182455978776,15.0564832687
1492808182555995465,15.8538188934
1492808182656056913,15.9761991501
1492808182756066042,14.9237642288
1492808182856024009,13.4282398224
1492808182956130272,12.743522644
1492808183056020329,14.2758560181
1492808183155984785,14.993932724
