%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1492808165401189028,514,1492808165401004076,robot_frame,1492808169000000000,robot_frame
1492808166406057745,515,1492808166405858993,robot_frame,1492808170000000000,robot_frame
1492808167405670229,516,1492808167405486106,robot_frame,1492808171000000000,robot_frame
1492808168403647831,517,1492808168403419971,robot_frame,1492808172000000000,robot_frame
1492808169405408900,518,1492808169405190944,robot_frame,1492808173000000000,robot_frame
1492808170404239443,519,1492808170404020071,robot_frame,1492808174000000000,robot_frame
1492808171407046946,520,1492808171406795024,robot_frame,1492808175000000000,robot_frame
1492808172403870483,521,1492808172403661012,robot_frame,1492808176000000000,robot_frame
1492808173404744087,522,1492808173404495954,robot_frame,1492808177000000000,robot_frame
1492808174407617115,523,1492808174407290935,robot_frame,1492808178000000000,robot_frame
1492808175408253186,524,1492808175407995939,robot_frame,1492808179000000000,robot_frame
1492808176405204419,525,1492808176404925107,robot_frame,1492808180000000000,robot_frame
1492808177407854156,526,1492808177407661914,robot_frame,1492808181000000000,robot_frame
1492808178407727162,527,1492808178407435894,robot_frame,1492808182000000000,robot_frame
1492808179408423906,528,1492808179408229112,robot_frame,1492808183000000000,robot_frame
1492808180407232535,529,1492808180407018899,robot_frame,1492808184000000000,robot_frame
1492808181421187136,530,1492808181420896053,robot_frame,1492808185000000000,robot_frame
1492808182421858300,531,1492808182421602010,robot_frame,1492808186000000000,robot_frame
1492808183421655640,532,1492808183421349048,robot_frame,1492808187000000000,robot_frame
1492808184421457080,533,1492808184421142101,robot_frame,1492808188000000000,robot_frame
1492808185420192526,534,1492808185419948101,robot_frame,1492808189000000000,robot_frame
1492808186421013988,535,1492808186420775890,robot_frame,1492808190000000000,robot_frame
1492808187417876580,536,1492808187417572021,robot_frame,1492808191000000000,robot_frame
1492808188420556166,537,1492808188420350074,robot_frame,1492808192000000000,robot_frame
1492808189420461413,538,1492808189420203924,robot_frame,1492808193000000000,robot_frame
1492808190418167934,539,1492808190417948007,robot_frame,1492808194000000000,robot_frame
1492808191419979717,540,1492808191419720888,robot_frame,1492808195000000000,robot_frame
1492808192419922815,541,1492808192419547080,robot_frame,1492808196000000000,robot_frame
1492808193418545431,542,1492808193418283939,robot_frame,1492808197000000000,robot_frame
1492808194414369103,543,1492808194414125919,robot_frame,1492808198000000000,robot_frame
1492808195418218174,544,1492808195417958974,robot_frame,1492808199000000000,robot_frame
1492808196418019180,545,1492808196417737960,robot_frame,1492808200000000000,robot_frame
1492808197418754977,546,1492808197418567895,robot_frame,1492808201000000000,robot_frame
1492808198417625527,547,1492808198417360067,robot_frame,1492808202000000000,robot_frame
1492808199418365638,548,1492808199418119907,robot_frame,1492808203000000000,robot_frame
