# Time	Input
-4.6997476	0.0000000
-4.5999281	0.0000000
-4.4999805	0.0000000
-4.3999304	0.0000000
-4.2998154	0.0000000
-4.1998252	0.0000000
-4.0999309	0.0000000
-3.9996447	0.0000000
-3.8985777	0.0000000
-3.7998098	0.0000000
-3.6998170	0.0000000
-3.5993336	0.0000000
-3.4999027	0.0000000
-3.3997893	0.0000000
-3.2998592	0.0000000
-3.1995046	0.0000000
-3.0997550	0.0000000
-2.9996692	0.0000000
-2.8997683	0.0000000
-2.7998513	0.0000000
-2.6996052	0.0000000
-2.5996923	0.0000000
-2.4999624	0.0000000
-2.3998812	0.0000000
-2.2998095	0.0000000
-2.1997053	0.0000000
-2.0998464	0.0000000
-1.9998346	0.0000000
-1.8999043	0.0000000
-1.7999002	0.0000000
-1.6998487	0.0000000
-1.5997814	0.0000000
-1.4999613	0.0000000
-1.3998100	0.0000000
-1.2998902	0.0000000
-1.1994644	0.0000000
-1.0999168	0.0000000
-0.9997115	0.0000000
-0.8999885	0.0000000
-0.7998566	0.0000000
-0.6998968	0.0000000
-0.5998149	0.0000000
-0.4998459	0.0000000
-0.3999378	0.0000000
-0.2995773	0.0000000
-0.1998907	0.0000000
-0.0999299	0.0000000
0.0000980	0.3058503
0.1001254	-0.1430894
0.2001452	-0.7502187
0.3000829	-0.8475115
0.4000788	2.1422007
0.5001551	3.4141479
0.6001590	4.1750655
0.7001431	4.0550389
0.8003896	3.2281525
0.9001347	1.3084890
1.0002378	-0.3279842
1.1004452	-0.7371302
1.2001042	-0.5082635
1.3002954	-0.1272215
1.4001541	0.1372800
1.5003305	1.1787176
1.6001149	2.7068787
1.7005816	3.7240074
1.8001825	4.2178082
1.9001743	4.7333932
2.0001324	4.0010266
2.1001016	3.3488278
2.2001795	2.7931523
2.3001536	1.7401224
2.4001283	0.9926564
2.5001784	0.8418840
2.6002936	0.3856835
2.7003709	0.4874130
2.8002563	0.7872396
2.9000717	1.1225780
3.0001748	1.1323164
3.1001987	0.8790460
3.2002806	0.4594935
3.3003213	0.4597488
3.4001170	0.5215447
3.5002020	0.9742409
3.6000794	1.7732822
3.7001119	2.9525964
3.8002286	4.2161803
3.9005002	4.9724755
4.0003942	4.8865991
4.1000845	4.0099964
4.2000581	2.3005407
4.3002038	1.4559839
4.4003963	1.0761431
4.5003533	0.8273950
4.6001142	0.1990997
4.7001357	-0.3919726
4.8002816	-0.6046491
4.9001871	-0.0731951
5.0001692	0.8716310
5.1001329	1.6634233
5.2001521	1.9411658
5.3003968	2.1929624
5.4001838	2.7739727
5.5001288	3.3887272
5.6001713	4.1750793
5.7002181	4.9635515
5.8001280	4.9046526
5.9001231	4.0355463
6.0004518	2.0099699
6.1001846	0.1018803
6.2001618	-1.2157429
6.3001866	-2.1062441
6.4000940	-1.8873392
6.5003210	-0.9705157
6.6001203	0.0908268
6.7000609	1.0056444
6.8001618	1.9603540
6.9002237	2.6311536
7.0002568	3.3392880
7.1000520	3.4469180
7.2001853	2.9220750
7.3000886	2.4714532
7.4001009	2.2363636
7.5002982	2.5819194
7.6001078	3.3160946
7.7001613	3.5560327
7.8003136	2.9397655
7.9003315	1.9928162
8.0002150	1.1597344
8.1001193	1.2340477
8.2000200	1.8414124
8.3004339	2.4936967
8.4002271	2.9553032
8.5001165	3.3123021
8.6000387	3.1583800
8.7001702	2.7989655
8.8002657	2.3408394
8.9002235	1.9616494
9.0000415	2.3283696
9.1003182	3.1576164
9.2000387	4.0120730
9.3001144	4.5356832
9.4001331	4.4418869
9.5001047	3.8900836
9.6001754	3.0072429
9.7001234	1.7755274
9.8000835	1.4684318
9.9002573	1.3393605
10.0002209	1.3342650
10.1001280	1.4634125
10.2001083	1.6341646
10.3000212	1.6068311
10.4001741	1.6413479
10.5001170	1.6824989
10.6001649	1.5419446
10.7000312	1.6251210
10.8002486	1.8659419
10.9001188	2.2075937
11.0000581	2.9005973
11.1001751	3.3683982
11.2002447	4.1686211
11.3002209	4.3027420
11.4000422	3.6762037
11.5003420	2.2901316
11.6002156	0.7663565
11.7002020	-0.1616506
11.8001505	-0.8608306
11.9000658	-0.8842871
12.0004099	-0.3055465
12.1001958	0.4549752
12.2000973	1.0979786
12.3002212	1.8322796
12.4002294	2.0372658
12.5002711	2.2110150
12.6001608	1.9792639
12.7002627	1.4383252
12.8002698	0.9241983
12.9004708	0.6590225
13.0002371	0.6295162
13.1000901	0.6515486
13.2001300	0.4511564
13.3000374	0.3183869
13.4001577	0.2289173
13.5001536	0.1860974
13.6000817	0.2595533
13.7002575	0.2786154
13.8000873	0.5721980
13.9002401	0.8837247
14.0003515	1.4056000
14.1001165	2.1672180
14.2000407	2.8111126
14.3003948	3.2075512
14.4001226	3.2974358
14.5001907	2.4132764
14.6004237	1.1640770
14.7000988	-0.1783746
14.8000438	-0.5575826
14.9002225	-0.9721187
15.0002337	-1.4826833
15.1002514	-1.7101083
15.2002168	-1.9438007
15.3000781	-2.0859628
15.4001196	-1.5091522
15.5002156	-0.7274258
15.6002586	0.0977562
15.7001106	1.0498484
15.8001341	1.8933657
15.9001976	2.0473466
16.0001477	2.0697994
16.1001951	1.7680365
16.2003384	1.2483597
16.3002552	0.2863418
16.4002959	-1.0049025
16.5002040	-1.9412055
16.6001772	-2.2377131
16.7001853	-1.7798713
16.8001449	-1.2368542
16.9001795	-0.4218144
17.0000814	0.1163629
17.1000737	0.2305706
17.2001659	0.3711334
17.3001467	0.2780240
17.4001098	0.4266671
17.5002483	0.8169286
17.6001848	1.2077112
17.7001761	0.8262770
17.8001841	0.2232277
17.9001114	-0.6903669
18.0002394	-1.3800141
18.1012741	-1.8956721
18.2001766	-1.8190111
18.3001132	-1.4979203
18.4002591	-1.2362952
18.5001574	-1.2651898
18.6001564	-1.5528345
18.7003633	-2.1890564
18.8003318	-2.6219015
18.9004270	-3.0451171
19.0002714	-3.2622428
19.1002225	-3.1214969
19.2002130	-2.9654920
19.3001326	-2.3217194
19.4001516	-1.7448980
19.5000748	-0.7799190
19.6001183	0.0596281
19.7001285	0.5956302
19.8013440	0.7287707
19.9001815	0.2964700
20.0002007	-0.6419556
20.1001006	-1.3829811
20.2001812	-1.6879023
20.3001050	-2.1332035
20.4003395	-2.4181514
20.5001367	-2.2910089
20.6002066	-2.0700653
20.7007936	-1.8904257
20.8001101	-1.7747811
20.9002074	-1.6058391
21.0001413	-1.3198074
21.1001582	-0.9838589
21.2000579	-0.6626161
21.3001764	-0.8591406
21.4002665	-1.1907723
21.5002268	-1.5277072
21.6006313	-1.8499733
21.7001920	-1.8452547
21.8000512	-1.5285667
21.9002862	-1.0002314
22.0001725	-0.5232401
22.1001682	-0.2500044
22.2002002	-0.6318790
22.3000123	-1.0839995
22.4001723	-1.6543560
22.5001989	-2.0227110
22.6002255	-2.2494345
22.7001830	-2.2950480
22.8001096	-2.1390564
22.9000837	-1.5888463
23.0002757	-1.4542689
23.1001736	-1.1549540
23.2002214	-1.2001770
23.3001718	-1.3829947
23.4002248	-1.8341236
23.5002708	-1.7251722
23.6000776	-1.1353371
23.7001349	-0.5677298
23.8000881	0.1515981
23.9003738	0.7510782
24.0001536	0.3543821
24.1001275	-0.7801220
24.2001477	-2.2740307
24.3001160	-3.2944026
24.4000860	-3.8101087
24.4999941	-3.7172110
24.6001111	-3.6502228
24.7003461	-3.3679707
24.8000699	-2.8099694
24.9001190	-2.4668381
25.0014976	-1.9611690
25.1002811	-1.7438166
25.2001011	-2.0223975
25.3002071	-2.6915843
25.4002353	-3.3948066
25.5002248	-3.9575746
25.6001774	-4.0400667
25.7000707	-3.5640788
25.8001321	-2.6994131
25.9002030	-1.9653329
26.0001733	-1.4581351
26.1000919	-1.2808663
26.2001644	-1.5764621
26.3002381	-2.3357167
26.4000573	-3.4038980
26.5000732	-4.0253782
26.6000996	-4.5094409
26.7000909	-4.4658527
26.8000627	-3.9300883
26.9001277	-3.2603912
27.0003231	-2.4853880
27.1000996	-1.7263688
27.2001933	-1.5046281
27.3000863	-1.8338060
27.4001480	-2.4119196
27.5001674	-2.6830978
27.6001669	-2.6868372
27.7003261	-2.4288547
27.8001672	-1.8327358
27.9002232	-1.2149278
28.0001390	-0.7200088
28.1002803	-0.7374064
28.2001108	-1.2562726
28.3001480	-1.6181140
28.4001357	-1.4410340
28.4999429	-0.8370915
28.6000212	-0.5118311
28.7003622	-0.3110100
28.8001546	-0.5127178
28.9001667	-0.9736891
29.0002737	-1.5005035
29.1002478	-1.7828976
29.2001047	-2.1341226
29.3001523	-2.4744105
29.4000814	-2.4798946
29.5001206	-2.3194213
29.6002998	-2.2898762
29.7001592	-2.2330930
29.8001446	-2.0877030
29.9000929	-1.7928673
30.0000970	-1.4334326
30.1004032	-1.0876617
30.2000614	-1.0524040
30.3001175	-1.3458033
30.4000963	-1.5963196
30.5002284	-1.6580040
30.6001646	-1.3353356
30.7001933	-1.1274257
30.8002783	-0.8821958
30.9001306	-0.5766716
31.0001313	-0.4400011
31.1001892	-0.4290947
31.2001587	-0.5541630
31.3001354	-0.7701038
31.4003308	-1.2556714
31.5001748	-1.6244482
31.6000630	-2.3539586
31.7003377	-2.7806637
31.8000922	-2.8936231
31.9002168	-2.8860996
32.0000804	-2.5815289
32.1001772	-1.9717965
32.2000471	-1.2231613
32.3001684	-0.7096201
32.4000937	-0.1619173
32.5002916	-0.0062313
32.6001147	-0.4164850
32.7001280	-1.1614654
32.8000676	-1.9972160
32.9003082	-2.8633332
33.0002580	-3.2008455
33.1001042	-3.1597030
33.2000701	-2.7922828
33.3002143	-2.3459158
33.4003781	-2.1184158
33.5000563	-2.0412030
33.6000097	-1.9048465
33.7001334	-1.6296446
33.8000748	-1.4615109
33.9001216	-1.5581548
34.0001408	-1.8835348
34.1002312	-2.4168360
34.2001628	-3.6841798
34.3000374	-4.8155975
34.4001303	-5.5895901
34.5002255	-5.7412000
34.6001019	-5.2436399
34.7000868	-4.6274128
34.8002432	-3.8971534
34.9003643	-3.6659725
35.0002752	-3.8905628
35.1003080	-4.4606276
35.2001434	-5.1379275
35.3005384	-5.6960955
35.4000384	-6.0587540
35.5001674	-5.9570827
35.6001510	-4.8968434
35.7006410	-3.6830611
35.8001900	-2.7117672
35.9003843	-2.1473167
36.0000822	-2.0556486
36.1002650	-2.4899821
36.2002181	-2.6884084
36.3000714	-3.1982744
36.4001283	-4.2638936
36.5001206	-4.9558134
36.6002158	-5.5010738
36.7001185	-5.7735925
36.8001562	-5.4927363
36.9005338	-4.8579865
37.0002081	-4.5480700
37.1004255	-4.6603489
37.2005501	-4.6786280
37.3000991	-4.7436409
37.4001784	-4.8820429
37.5001052	-4.9543910
37.6000704	-5.3376880
37.7003776	-6.1442122
37.8004293	-6.9179583
37.9000845	-7.5694938
38.0002015	-7.8330741
38.1001802	-7.5608664
38.2003530	-6.6470494
38.3002826	-4.9153161
38.4001311	-3.6707630
38.5002514	-3.1998346
38.6002788	-3.9637632
38.7001933	-5.1476054
38.8005481	-6.4759898
38.9002194	-7.5082026
39.0001188	-8.0005159
39.1002010	-7.8400035
39.2002716	-7.4105864
39.3002289	-6.9989915
39.4003226	-6.5821171
39.5001823	-6.1347389
39.6003743	-5.7850938
39.7012539	-5.1899319
39.8005235	-4.2233500
39.9001316	-3.9897654
39.9549734	0.0000000
