# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
-4.4310776	0.0000000	-0.0000000	-0.3174800	-0.1821221	-0.2353223	2.3514447	0.0000000	-0.0000000	0.0000000
-4.3312681	0.0000904	0.0000641	-0.3184724	-0.1828741	-0.2301364	2.3512201	0.0010134	-0.0037427	0.0054601
-4.2311009	0.0004305	0.0003441	-0.3211476	-0.1845305	-0.2239181	2.3512395	0.0027054	-0.0082729	0.0126221
-4.1311734	0.0010725	0.0007855	-0.3174761	-0.1872241	-0.2199326	2.3518816	0.0035084	-0.0118193	0.0210060
-4.0310948	0.0016156	0.0010466	-0.3203526	-0.1893645	-0.2205343	2.3527311	0.0022761	-0.0110142	0.0253760
-3.9311470	0.0023181	0.0009533	-0.3225187	-0.1924636	-0.2243323	2.3539636	-0.0006527	-0.0082661	0.0322896
-3.8311716	0.0030363	0.0000306	-0.3255421	-0.1964655	-0.2309397	2.3555732	-0.0047417	-0.0024545	0.0393515
-3.7312187	0.0033020	-0.0012267	-0.3181324	-0.1988715	-0.2349342	2.3568451	-0.0035875	0.0036422	0.0402667
-3.6312307	0.0029065	-0.0028449	-0.3205848	-0.2010395	-0.2363732	2.3585116	-0.0000623	0.0127805	0.0273609
-3.5312794	0.0012210	-0.0046419	-0.3195018	-0.2016997	-0.2308242	2.3605006	0.0050987	0.0235593	0.0069246
-3.4312817	-0.0006158	-0.0061461	-0.3053068	-0.2005921	-0.2239219	2.3615204	0.0071301	0.0296485	-0.0031552
-3.3312668	-0.0033952	-0.0073911	-0.3145657	-0.1971250	-0.2155060	2.3618150	0.0018225	0.0363134	-0.0277174
-3.2312259	-0.0060227	-0.0096135	-0.3113576	-0.1918717	-0.2097886	2.3606002	-0.0088889	0.0383752	-0.0394306
-3.1312090	-0.0075520	-0.0115762	-0.3193718	-0.1838465	-0.2089400	2.3579113	-0.0212639	0.0358684	-0.0454160
-3.0312310	-0.0081549	-0.0147358	-0.3185016	-0.1760634	-0.2144387	2.3539514	-0.0302297	0.0280811	-0.0356671
-2.9312305	-0.0077490	-0.0175796	-0.3266637	-0.1700168	-0.2214245	2.3500610	-0.0330078	0.0182267	-0.0256083
-2.8312579	-0.0065759	-0.0207348	-0.3232010	-0.1674603	-0.2309169	2.3471500	-0.0265720	0.0072801	-0.0057706
-2.7312640	-0.0055001	-0.0220635	-0.3259283	-0.1687705	-0.2356734	2.3465708	-0.0198690	0.0001354	0.0016108
-2.6312271	-0.0040526	-0.0228838	-0.3297257	-0.1732101	-0.2381435	2.3474355	-0.0122864	-0.0076184	0.0075286
-2.5312748	-0.0024898	-0.0234901	-0.3251458	-0.1805435	-0.2344748	2.3501528	-0.0069742	-0.0105864	0.0128529
-2.4312538	-0.0014555	-0.0239308	-0.3176746	-0.1851053	-0.2288608	2.3527717	-0.0048818	-0.0123255	0.0166524
-2.3312494	-0.0001000	-0.0234138	-0.3235846	-0.1897215	-0.2205569	2.3562001	-0.0057722	-0.0139548	0.0120692
