%time,field.P_vel,field.I_vel,field.D_vel,field.P_pitch,field.I_pitch,field.D_pitch,field.P_yaw,field.I_yaw,field.D_yaw
1492808499656072454,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808499755719266,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808499855795054,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808499955733866,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808500055581446,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808500155602836,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808500255723820,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808500355659853,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808500455967084,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808500555714196,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808500655606284,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808500755912339,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808500855588150,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808500955782915,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808501055720265,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808501155780292,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808501255647778,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808501355762392,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808501455862933,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808501555621441,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808501655799538,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808501755734770,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808501855686119,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808501955548503,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808502055561864,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808502155911316,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808502255660216,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808502355576499,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808502455691831,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808502555651984,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808502655586055,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808502755760943,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808502855597466,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808502955618566,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808503055616684,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808503155944784,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808503255612137,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808503355647848,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808503455715941,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808503555660505,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808503655587391,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808503755709203,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808503855761483,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808503955607439,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808504055699011,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808504155661376,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808504255565044,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808504355553560,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808504455638522,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808504555650057,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808504655650792,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808504755627953,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808504855744281,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808504955731375,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808505055800328,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808505156072972,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808505255568347,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808505355588811,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808505455807693,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808505555728139,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808505655758752,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808505755723582,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808505855781243,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808505955607894,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506055876651,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506155681011,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506255649616,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506355632101,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506455669084,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506555797517,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506655638320,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506755565684,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506855706590,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808506955688819,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507055823241,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507155756796,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507255660106,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507355680467,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507455738766,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507555859829,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507655611653,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507755584885,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507855656492,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808507955659901,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508055640723,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508155595146,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508255685710,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508355644754,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508455680539,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508555552984,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508655545776,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508756123966,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508855744741,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808508955677212,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509055679610,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509155758217,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509255659528,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509355776200,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509455788123,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509555742704,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509655952439,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509755613337,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509855612285,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808509955587076,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510055560968,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510155795689,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510255669838,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510355929274,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510455815130,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510555763623,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510655646934,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510755606547,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510855640884,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808510955702643,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511055907176,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511155586070,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511255647675,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511355615705,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511455676711,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511555671912,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511655597747,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511755549103,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511855652347,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808511955797807,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512055666355,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512155728549,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512255597235,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512355756064,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512455563544,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512555649402,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512656318782,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512755818822,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512855650976,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808512955612021,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513055695490,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513155771592,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513255649529,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513355868017,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513455665161,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513555625509,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513655710294,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513755652270,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513855613754,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808513955624179,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514055611405,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514155653117,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514255599382,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514355668968,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514455828085,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514555589148,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514655563436,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514755555135,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514855679486,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
1492808514955564615,105.0,44.0,17.5,10.0,0.0,50.0,28.0,0.0,50.0
