%time,field.data
1492808499627274626,1
1492808499727270552,1
1492808499827266604,1
1492808499927290347,1
1492808500027310458,1
1492808500127448481,1
1492808500227363090,1
1492808500327448757,1
1492808500427274501,1
1492808500527347573,1
1492808500627287936,1
1492808500727258945,1
1492808500827268255,1
1492808500927241826,1
1492808501027247284,1
1492808501127238497,1
1492808501227268012,1
1492808501327262211,1
1492808501427245060,1
1492808501527266396,1
1492808501627216006,1
1492808501727280522,1
1492808501827282755,1
1492808501927250486,1
1492808502027261330,1
1492808502127301775,1
1492808502227296630,1
1492808502327256018,1
1492808502427236980,1
1492808502527273878,1
1492808502627242408,1
1492808502727303428,1
1492808502827279390,1
1492808502927268008,1
1492808503027247668,1
1492808503127302057,1
1492808503227280797,1
1492808503327275374,1
1492808503427232427,1
1492808503527334217,1
1492808503627340715,1
1492808503727285074,1
1492808503827248837,1
1492808503927303114,1
1492808504027312141,1
1492808504127360458,1
1492808504227240694,1
1492808504327257561,1
1492808504427263088,1
1492808504527258845,1
1492808504627263334,1
1492808504727280353,1
1492808504827262039,1
1492808504927282764,1
1492808505027319240,1
1492808505127287906,1
1492808505227245952,1
1492808505327263948,1
1492808505427270543,1
1492808505527248696,1
1492808505627249116,1
1492808505727236771,1
1492808505827312526,1
1492808505927230785,1
1492808506027233561,1
1492808506127219979,1
1492808506227311986,1
1492808506327293792,1
1492808506427259222,1
1492808506527252136,1
1492808506627278801,1
1492808506727257865,1
1492808506827254157,1
1492808506927218022,1
1492808507027252464,1
1492808507127309696,1
1492808507227318964,1
1492808507327246977,1
1492808507427308281,1
1492808507527205095,1
1492808507627278047,1
1492808507727216224,1
1492808507827305959,1
1492808507927248253,1
1492808508027305781,1
1492808508127259276,1
1492808508227408721,1
1492808508327336493,1
1492808508427284426,1
1492808508527296113,1
1492808508627247759,1
1492808508727281994,1
1492808508827420836,1
1492808508927237041,1
1492808509027245713,1
1492808509127447934,1
1492808509227313606,1
1492808509327324588,1
1492808509427335218,1
1492808509527305770,1
1492808509627310062,1
1492808509727279824,1
1492808509827236209,1
1492808509927243402,1
1492808510027266551,1
1492808510127292028,1
1492808510227236468,1
1492808510327278665,1
1492808510427278944,1
1492808510527278514,1
1492808510627262749,1
1492808510727320278,1
1492808510827253779,1
1492808510927329910,1
1492808511027228699,1
1492808511127226073,1
1492808511227249045,1
1492808511327233283,1
1492808511427334452,1
1492808511527274458,1
1492808511627255467,1
1492808511727232707,1
1492808511827302705,1
1492808511927289595,1
1492808512027286140,1
1492808512127288819,1
1492808512227282541,1
1492808512327315507,1
1492808512427265609,1
1492808512527258982,1
1492808512627255880,1
1492808512727274777,1
1492808512827222853,1
1492808512927274585,1
1492808513027228222,1
1492808513127302420,1
