%time,field.data
1492808499774415484,1
1492808499807446770,1
1492808499912563821,1
1492808500005666765,1
1492808500108445407,1
1492808500210676291,1
1492808500303905878,1
1492808500430767737,1
1492808500504607502,1
1492808500603606324,1
1492808500704558550,1
1492808500805303455,1
1492808500903689173,1
1492808501004161377,1
1492808501103542020,1
1492808501209152357,1
1492808501306434376,1
1492808501403264748,1
1492808501503919705,1
1492808501610443195,1
1492808501711032994,1
1492808501803541907,1
1492808501906768213,1
1492808502009653960,1
1492808502103861575,1
1492808502204143607,1
1492808502305031066,1
1492808502405966312,1
1492808502504191737,1
1492808502604187629,1
1492808502705539794,1
1492808502806398481,1
1492808502911880005,1
1492808503006675729,1
1492808503114749933,1
1492808503206554254,1
1492808503304833598,1
1492808503403766804,1
1492808503510220522,1
1492808503608202019,1
1492808503706773712,1
1492808503802781859,1
1492808503904043232,1
1492808504008927529,1
1492808504140927281,1
1492808504203618161,1
1492808504303948985,1
1492808504407521670,1
1492808504504363446,1
1492808504605869107,1
1492808504706432320,1
1492808504805540540,1
1492808504905642514,1
1492808505007150663,1
1492808505122440322,1
1492808505204306142,1
1492808505304694994,1
1492808505418109095,1
1492808505504384553,1
1492808505604311193,1
1492808505704230267,1
1492808505809015376,1
1492808505924931369,1
1492808506008677534,1
1492808506111414915,1
1492808506205863564,1
1492808506306677259,1
1492808506403933939,1
1492808506504262085,1
1492808506603391452,1
1492808506703874700,1
1492808506803976298,1
1492808506916709768,1
1492808507007573526,1
1492808507104093764,1
1492808507208843580,1
1492808507304254372,1
1492808507404173679,1
1492808507504707081,1
1492808507625656100,1
1492808507708648741,1
1492808507805406705,1
1492808507905245891,1
1492808508003841250,1
1492808508104863207,1
1492808508206250071,1
1492808508308404028,1
1492808508422381486,1
1492808508504951564,1
1492808508604378695,1
1492808508705125698,1
1492808508804808119,1
1492808508905276611,1
1492808509003910641,1
1492808509104721003,1
1492808509205191022,1
1492808509305202749,1
1492808509403657942,1
1492808509504354453,1
1492808509604731629,1
1492808509703373345,1
1492808509804852187,1
1492808509903929999,1
1492808510004771278,1
1492808510107530408,1
1492808510204437868,1
1492808510312297674,1
1492808510409638367,1
1492808510506330397,1
1492808510604848703,1
1492808510716266379,1
1492808510804609106,1
1492808510904289950,1
1492808511004826873,1
1492808511104766485,1
1492808511203664450,1
1492808511305803542,1
1492808511403664497,1
1492808511506488699,1
1492808511605503062,1
1492808511704581819,1
1492808511804758718,1
1492808511905748246,1
1492808512005096752,1
1492808512105911115,1
1492808512205859035,1
1492808512306380611,1
1492808512404224816,1
1492808512511227292,1
1492808512610475239,1
1492808512732318356,1
1492808512814898115,1
1492808512903559021,1
1492808513005108114,1
1492808513105976629,1
1492808513209685800,1
1492808513305144723,1
1492808513404410668,1
1492808513506522221,1
1492808513604776170,1
1492808513705377595,1
1492808513804415522,1
1492808513906036172,1
1492808514012622566,1
1492808514104704198,1
1492808514204277472,1
1492808514305600097,1
1492808514407667562,1
1492808514517837222,1
1492808514614553025,1
1492808514707315597,1
1492808514820206094,1
1492808514904679848,1
1492808515023497836,1
1492808515105221693,1
1492808515204327773,1
1492808515305296719,1
1492808515404615714,1
1492808515505554087,1
1492808515607429938,1
1492808515706786420,1
1492808515806523916,1
1492808515905069879,1
1492808516004952836,1
1492808516105587158,1
1492808516205305309,1
1492808516315804201,1
1492808516415768532,1
1492808516503754625,1
1492808516604671631,1
1492808516704974301,1
1492808516812079041,1
1492808516909315021,1
1492808517010272307,1
1492808517105730276,1
1492808517204390982,1
1492808517304958908,1
1492808517403930991,1
1492808517504185459,1
1492808517604569956,1
1492808517704962078,1
1492808517804756419,1
1492808517905802858,1
1492808518017853335,1
1492808518104707554,1
1492808518204229814,1
1492808518304528378,1
1492808518404956676,1
1492808518505058426,1
1492808518607986911,1
1492808518717654033,1
1492808518806502958,1
1492808518920761348,1
1492808519023169083,1
1492808519109794278,1
1492808519203984306,1
1492808519307086421,1
1492808519405134119,1
1492808519504394735,1
1492808519604886757,1
1492808519708148132,1
1492808519807354186,1
1492808519904265818,1
1492808520009912107,1
1492808520107520543,1
1492808520210386635,1
1492808520305291259,1
1492808520411093926,1
1492808520504909855,1
1492808520605629916,1
1492808520705475490,1
1492808520807346942,1
1492808520905239183,1
1492808521006286573,1
1492808521107410392,1
1492808521205849483,1
1492808521318406933,1
1492808521414634282,1
1492808521508122185,1
1492808521604970153,1
1492808521705736345,1
1492808521809179588,1
1492808521903861424,1
1492808522008408841,1
1492808522111338956,1
1492808522220894572,1
1492808522306296989,1
1492808522440069554,1
1492808522506167508,1
1492808522605862833,1
1492808522705800594,1
1492808522805361433,1
1492808522908407107,1
1492808523043280027,1
1492808523116572720,1
1492808523221138450,1
