%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1492808499629653755,81876,1492808499629018955,/fluid_pressure,105690.0,0.0
1492808499703758807,81877,1492808499703018955,/fluid_pressure,105719.992188,0.0
1492808499777649547,81878,1492808499777018955,/fluid_pressure,105730.007812,0.0
1492808499851117057,81879,1492808499852018955,/fluid_pressure,105710.0,0.0
1492808499926110502,81880,1492808499926018955,/fluid_pressure,105740.0,0.0
1492808500000437326,81881,1492808500000018955,/fluid_pressure,105719.992188,0.0
1492808500074590883,81882,1492808500074018955,/fluid_pressure,105750.0,0.0
1492808500147973591,81883,1492808500149018955,/fluid_pressure,105690.0,0.0
1492808500223286592,81884,1492808500223018955,/fluid_pressure,105710.0,0.0
1492808500297651473,81885,1492808500297018955,/fluid_pressure,105740.0,0.0
1492808500371583172,81886,1492808500371018955,/fluid_pressure,105769.992188,0.0
1492808500446016860,81887,1492808500446018955,/fluid_pressure,105750.0,0.0
1492808500520637696,81888,1492808500520018955,/fluid_pressure,105790.0,0.0
1492808500594670434,81889,1492808500594018955,/fluid_pressure,105719.992188,0.0
1492808500668715826,81890,1492808500668018955,/fluid_pressure,105750.0,0.0
1492808500743693685,81891,1492808500743018955,/fluid_pressure,105719.992188,0.0
1492808500817737904,81892,1492808500817018955,/fluid_pressure,105730.007812,0.0
1492808500891727008,81893,1492808500891018955,/fluid_pressure,105590.0,0.0
1492808500965477130,81894,1492808500965018955,/fluid_pressure,105669.992188,0.0
1492808501040789713,81895,1492808501040018955,/fluid_pressure,105710.0,0.0
1492808501114171966,81896,1492808501114018955,/fluid_pressure,105650.0,0.0
1492808501187810538,81897,1492808501188018955,/fluid_pressure,105719.992188,0.0
1492808501262298887,81898,1492808501262018955,/fluid_pressure,105700.0,0.0
1492808501337321898,81899,1492808501337018955,/fluid_pressure,105719.992188,0.0
1492808501411558247,81900,1492808501411018955,/fluid_pressure,105800.0,0.0
1492808501484881721,81901,1492808501486561929,/fluid_pressure,105760.0,0.0
1492808501559641938,81902,1492808501561561929,/fluid_pressure,105790.0,0.0
1492808501634524350,81903,1492808501635561929,/fluid_pressure,105800.0,0.0
1492808501707944156,81904,1492808501709561929,/fluid_pressure,105830.007812,0.0
1492808501782779447,81905,1492808501783561929,/fluid_pressure,105790.0,0.0
1492808501856477986,81906,1492808501858561929,/fluid_pressure,105719.992188,0.0
1492808501931550972,81907,1492808501932561929,/fluid_pressure,105730.007812,0.0
1492808502005229138,81908,1492808502006561929,/fluid_pressure,105769.992188,0.0
1492808502079295582,81909,1492808502080561929,/fluid_pressure,105690.0,0.0
1492808502153010737,81910,1492808502155561929,/fluid_pressure,105730.007812,0.0
1492808502228644786,81911,1492808502229561929,/fluid_pressure,105760.0,0.0
1492808502302464375,81912,1492808502303561929,/fluid_pressure,105740.0,0.0
1492808502376434424,81913,1492808502377561929,/fluid_pressure,105719.992188,0.0
1492808502450521588,81914,1492808502452561929,/fluid_pressure,105719.992188,0.0
1492808502525472413,81915,1492808502526561929,/fluid_pressure,105680.007812,0.0
1492808502599043964,81916,1492808502600561929,/fluid_pressure,105740.0,0.0
1492808502673568050,81917,1492808502674561929,/fluid_pressure,105710.0,0.0
1492808502748133237,81918,1492808502749561929,/fluid_pressure,105660.0,0.0
1492808502821854895,81919,1492808502823561929,/fluid_pressure,105650.0,0.0
1492808502896390590,81920,1492808502897561929,/fluid_pressure,105650.0,0.0
1492808502970410403,81921,1492808502971561929,/fluid_pressure,105650.0,0.0
1492808503045063386,81922,1492808503046561929,/fluid_pressure,105680.007812,0.0
1492808503119583930,81923,1492808503120561929,/fluid_pressure,105700.0,0.0
1492808503193538026,81924,1492808503194561929,/fluid_pressure,105710.0,0.0
1492808503267371413,81925,1492808503268561929,/fluid_pressure,105710.0,0.0
1492808503341969332,81926,1492808503343561929,/fluid_pressure,105800.0,0.0
1492808503416026990,81927,1492808503417561929,/fluid_pressure,105830.007812,0.0
1492808503489991490,81928,1492808503491561929,/fluid_pressure,105840.0,0.0
1492808503564405683,81929,1492808503565561929,/fluid_pressure,105869.992188,0.0
1492808503639192780,81930,1492808503640561929,/fluid_pressure,105880.007812,0.0
