%time,field.data
1492808843555972799,0.0
1492808843656034066,0.0
1492808843756073179,0.0
1492808843856256153,0.0
1492808843957806417,0.0
1492808844056126062,0.0
1492808844155944409,0.0
1492808844256078459,0.0
1492808844355949548,0.0
1492808844455852299,0.0
1492808844556585631,0.0
1492808844656035896,0.0
1492808844755930592,0.0
1492808844855891325,0.0
1492808844955943015,0.0
1492808845055940375,0.0
1492808845156264066,0.0
1492808845255951386,0.0
1492808845356274682,0.0
1492808845456030030,0.0
1492808845556097155,0.0
1492808845656076929,0.0
1492808845756222772,0.0
1492808845855904839,0.0
1492808845955828306,0.0
1492808846055893224,0.0
1492808846155870524,0.0
1492808846256052602,0.0
1492808846355878580,0.0
1492808846456156469,0.0
1492808846555909985,0.0
1492808846655910054,0.0
1492808846755954427,0.0
1492808846855954615,0.0
1492808846955866385,0.0
1492808847056223796,0.0
1492808847156380678,0.0
1492808847256026563,0.0
1492808847355931964,0.0
1492808847455898549,0.0
1492808847556030621,0.0
1492808847656031523,0.0
1492808847756382024,0.0
1492808847856044900,0.0
1492808847955873364,0.0
1492808848056456191,0.0
1492808848156022719,0.0
1492808848256294680,-35.0
1492808848357599319,-35.0
1492808848456063421,-35.0
1492808848556215638,-23.1827793121
1492808848656024674,-20.5487174988
1492808848755942276,-21.3598880768
1492808848856017038,-23.1603889465
1492808848956163056,-23.6365833282
1492808849056009204,-23.4256362915
1492808849156463897,-22.5411930084
1492808849255990899,-21.0250778198
1492808849355908119,-19.2865142822
1492808849456378637,-17.9695110321
1492808849555926837,-17.6067085266
1492808849656015032,-17.4678153992
1492808849756342047,-17.1227798462
1492808849855903844,-16.9144496918
1492808849956188149,-16.272108078
1492808850056028659,-15.3204269409
1492808850155927031,-13.9480991364
1492808850255968763,-12.5868492126
1492808850355895503,-11.7364435196
1492808850455906083,-11.5865659714
1492808850556381365,-11.9904851913
1492808850655926382,-12.4417734146
1492808850756050827,-11.2923936844
1492808850856067488,-9.56346797943
1492808850955923892,-8.06680870056
1492808851055966380,-6.68351125717
1492808851155858980,-6.55916070938
1492808851256008521,-7.52529621124
1492808851355931775,-9.21823692322
1492808851456502121,-10.7104492188
1492808851556043471,-11.6087932587
1492808851655865953,-11.1737747192
1492808851755964007,-9.77540779114
1492808851856076651,-7.912586689
1492808851955894876,-6.73390769958
1492808852055942968,-6.22025299072
1492808852156146121,-6.19494867325
1492808852255994450,-6.16987514496
1492808852355944099,-6.50359296799
1492808852455974756,-7.46407938004
1492808852556022333,-8.90072345734
1492808852656275407,-9.56475067139
1492808852756107949,-9.04007053375
1492808852855998615,-6.86149215698
1492808852956574767,-3.62538170815
1492808853056036920,-1.16034352779
1492808853156322745,-0.859070301056
1492808853256069234,-2.8491256237
1492808853356019317,-5.98126888275
1492808853456010850,-8.60547161102
1492808853555897662,-9.02952289581
1492808853655960734,-6.86737966537
1492808853756098743,-3.6136329174
1492808853855985400,-1.86452710629
1492808853955936456,-2.56928467751
1492808854056152853,-5.29180145264
1492808854156014933,-6.98195362091
1492808854255903158,-6.24230003357
1492808854356122179,-3.92893433571
1492808854455896191,-1.48419952393
1492808854556314359,-0.503593683243
1492808854655924938,-0.727717757225
1492808854756026059,-0.937183022499
1492808854855970159,-0.723830759525
1492808854956069335,-0.121211074293
1492808855056020695,0.572193324566
1492808855155940955,1.54739463329
1492808855256002834,2.89110612869
1492808855355923548,4.62829351425
1492808855456271320,5.46031713486
1492808855556383669,4.82662677765
1492808855655960375,3.35640788078
1492808855756379789,2.34250831604
1492808855855921994,2.52177333832
1492808855955849556,3.30927681923
1492808856056229169,3.83914422989
1492808856155894235,3.48362421989
1492808856255974108,3.61994242668
1492808856355899594,4.14837360382
1492808856455945000,4.75747823715
1492808856556046890,4.99032974243
1492808856655886325,4.88291358948
1492808856755969303,4.96170091629
1492808856856026852,5.79445838928
1492808856956499038,6.83751010895
1492808857055954182,7.63191223145
1492808857156055982,8.43203926086
1492808857255922433,8.9547662735
1492808857356002862,8.43888473511
1492808857455972622,6.53678035736
1492808857555971065,5.1212182045
1492808857655949907,4.46656131744
1492808857756041228,4.96253347397
1492808857855984663,6.64096164703
1492808857956083730,8.90142726898
1492808858056135910,10.2997713089
1492808858156445608,10.1973047256
1492808858255948766,9.86890506744
1492808858356306350,9.73465442657
1492808858455934457,10.3271255493
1492808858555968984,11.3713445663
1492808858656088835,12.0731725693
1492808858755900068,11.7082233429
1492808858855913787,10.4415121078
1492808858955976776,9.12080574036
1492808859055907090,8.86582946777
1492808859155847591,9.84637355804
1492808859256339352,11.4818201065
1492808859356075593,12.9818878174
1492808859455902056,13.932308197
1492808859555811757,13.46007061
1492808859655924653,12.211309433
1492808859755875827,11.05189991
1492808859856087856,11.2177619934
1492808859955983117,13.0413951874
1492808860056084542,15.0882482529
1492808860155924699,15.9210834503
1492808860256052286,15.1048526764
1492808860355989993,13.3444948196
1492808860455855642,12.0879096985
1492808860556028977,11.4561214447
1492808860656348984,11.6765966415
1492808860756265058,12.9044141769
1492808860856008084,13.4274845123
1492808860955939806,12.9292230606
1492808861056016334,12.0484809875
1492808861155847291,11.6956272125
1492808861255948618,12.5021429062
1492808861355917965,13.6351394653
1492808861455816507,15.2888021469
1492808861556258803,17.2769737244
1492808861655915328,19.2712574005
1492808861755907017,20.3682479858
1492808861856102335,20.5790634155
1492808861955935635,20.4260139465
1492808862056007799,20.1436729431
1492808862156352591,20.3662776947
1492808862255927259,21.359916687
1492808862356248590,22.1163959503
1492808862455910473,22.0922012329
1492808862556143964,21.4470539093
1492808862656240847,20.827507019
1492808862756310461,20.7019042969
1492808862855935491,21.3997001648
1492808862955867200,22.1972732544
1492808863056330683,22.8200836182
1492808863155939879,23.7583827972
1492808863255997831,23.9765357971
1492808863356176481,23.4285793304
1492808863455912588,23.4619293213
1492808863555909217,23.094078064
1492808863655925956,23.2269191742
1492808863755851086,24.628862381
1492808863855998538,25.5769824982
1492808863955985519,24.5165958405
1492808864056040996,23.5238246918
1492808864155969758,23.5145339966
1492808864256022529,24.0405044556
1492808864356488903,24.4557514191
1492808864456600009,24.8872947693
1492808864555929622,25.8151397705
1492808864655934947,27.033411026
1492808864756441935,28.4806003571
1492808864856088444,30.0486545563
1492808864955997159,30.4852294922
1492808865055957752,29.1550273895
1492808865156124538,27.9014568329
1492808865256490096,29.9304714203
1492808865356094560,35.0
1492808865455970869,35.0
1492808865556207962,35.0
1492808865655956690,35.0
1492808865755974229,-10.8341646194
1492808865855938375,-14.985373497
1492808865956099933,35.0
1492808866056088627,35.0
1492808866156223768,35.0
1492808866256008701,35.0
1492808866355941391,35.0
1492808866456296413,35.0
1492808866556096630,35.0
1492808866655861871,35.0
1492808866756105450,35.0
1492808866855985658,35.0
1492808866956148133,35.0
1492808867056048306,35.0
1492808867155935554,35.0
1492808867255929824,35.0
1492808867356168002,34.289768219
1492808867455953432,32.9867401123
1492808867556085832,32.1097755432
1492808867656081222,31.527469635
1492808867755953958,31.6026592255
1492808867856083641,31.8895778656
1492808867955897425,31.1491985321
1492808868055976463,30.0899868011
1492808868156494295,28.4727115631
1492808868255960619,27.8746070862
1492808868355945456,27.4016609192
1492808868455969493,28.6619586945
1492808868556131960,29.7113380432
1492808868655962159,30.560760498
1492808868755885759,30.6183643341
1492808868855886846,31.8111572266
1492808868956086861,32.049243927
1492808869056219649,32.964756012
1492808869155949354,35.0
1492808869255949122,35.0
1492808869356103071,34.3076324463
1492808869455943070,34.4919662476
1492808869556008829,35.0
1492808869656373083,35.0
1492808869755964949,35.0
1492808869855956603,35.0
1492808869956094554,35.0
1492808870056048223,35.0
1492808870156271513,35.0
1492808870256505999,35.0
1492808870355938272,35.0
1492808870455964967,35.0
1492808870556175615,35.0
1492808870655955037,35.0
1492808870755958832,35.0
1492808870856026237,35.0
1492808870955822231,35.0
1492808871056293965,35.0
1492808871156288936,35.0
1492808871255917022,35.0
1492808871355943363,35.0
1492808871456013842,35.0
1492808871555930697,35.0
1492808871655845108,35.0
1492808871756045170,35.0
1492808871855877621,35.0
1492808871955908874,35.0
1492808872055941618,35.0
1492808872155896467,35.0
1492808872256004820,35.0
1492808872355915192,35.0
1492808872456270475,35.0
1492808872556172738,35.0
1492808872655857780,35.0
1492808872755981969,35.0
1492808872855910434,35.0
1492808872956034790,35.0
1492808873055915176,35.0
1492808873156437545,35.0
1492808873255997486,35.0
1492808873356346000,35.0
1492808873456096125,35.0
1492808873555965199,35.0
1492808873656033877,35.0
1492808873756378025,35.0
1492808873855980992,35.0
1492808873956106186,35.0
1492808874055878227,35.0
1492808874156039352,35.0
1492808874255872195,35.0
1492808874355895589,35.0
1492808874455989548,35.0
1492808874556313586,35.0
1492808874655932579,35.0
1492808874755940374,35.0
1492808874856096806,35.0
1492808874956060334,35.0
1492808875056377526,35.0
1492808875156064995,35.0
1492808875255946612,35.0
1492808875356172878,35.0
1492808875455936489,35.0
1492808875555919830,35.0
1492808875655944824,35.0
1492808875756032245,35.0
1492808875855972078,35.0
1492808875956085803,35.0
1492808876056281587,35.0
