%time,field.data
1492808843731833276,1
1492808843816299937,1
1492808843917594750,1
1492808844016511514,1
1492808844117322555,1
1492808844219580912,1
1492808844316734419,1
1492808844418169796,1
1492808844517464197,1
1492808844616738356,1
1492808844716264134,1
1492808844817048257,1
1492808844918945691,1
1492808845016074527,1
1492808845116714813,1
1492808845216589006,1
1492808845321161413,1
1492808845415965117,1
1492808845516748615,1
1492808845620426253,1
1492808845726296009,1
1492808845817114534,1
1492808845917835363,1
1492808846016117701,1
1492808846115893279,1
1492808846219620931,1
1492808846316677467,1
1492808846417848073,1
1492808846516503173,1
1492808846618948089,1
1492808846716511942,1
1492808846816680232,1
1492808846917635319,1
1492808847016393805,1
1492808847118965432,1
1492808847445127162,1
1492808847445135018,1
1492808847445138016,1
1492808847521019654,1
1492808847667630792,1
1492808847740089838,1
1492808847899989251,1
1492808848048676465,1
1492808848058216455,1
1492808848125495967,1
1492808848216408478,1
1492808848317986959,1
1492808848416063341,1
1492808848517913784,1
1492808848616277687,1
1492808848728461040,1
1492808848822551175,1
1492808848925401922,1
1492808849017929228,1
1492808849137215207,1
1492808849220144966,1
1492808849324585560,1
1492808849417389301,1
1492808849530237153,1
1492808849620689671,1
1492808849716143868,1
1492808849817065818,1
1492808849921942953,1
1492808850022274045,1
1492808850133325936,1
1492808850217115705,1
1492808850316395414,1
1492808850418043150,1
1492808850516323726,1
1492808850617827617,1
1492808850724937285,1
1492808850816208743,1
1492808850917195760,1
1492808851017901667,1
1492808851119170820,1
1492808851218236190,1
1492808851319158259,1
1492808851417730935,1
1492808851519460058,1
1492808851618353298,1
1492808851718903287,1
1492808851818724211,1
1492808851920866439,1
1492808852018408679,1
1492808852120697393,1
1492808852217476968,1
1492808852316428182,1
1492808852422286407,1
1492808852517055147,1
1492808852617205535,1
1492808852717120651,1
1492808852821140683,1
1492808852917199355,1
1492808853042708671,1
1492808853124492526,1
1492808853216344555,1
1492808853316182333,1
1492808853417011958,1
1492808853517697241,1
1492808853618179937,1
1492808853718355504,1
1492808853818696003,1
1492808853924445403,1
1492808854016808998,1
1492808854118503807,1
1492808854221047300,1
1492808854322760885,1
1492808854417656277,1
1492808854516719782,1
1492808854619673869,1
1492808854721494668,1
1492808854819791225,1
1492808854940909145,1
1492808855024443850,1
1492808855119740669,1
1492808855219207737,1
1492808855318011565,1
1492808855417075248,1
1492808855516878018,1
1492808855617198219,1
1492808855717488545,1
1492808855817599894,1
1492808855918591840,1
1492808856021413009,1
1492808856117138481,1
1492808856218456555,1
1492808856317797048,1
1492808856422754539,1
1492808856516830435,1
1492808856617911140,1
1492808856717845190,1
1492808856817927452,1
1492808856919682511,1
1492808857044137405,1
1492808857120289859,1
1492808857230111672,1
1492808857322959597,1
1492808857420708760,1
1492808857517622966,1
1492808857617945744,1
1492808857719631386,1
1492808857817382857,1
1492808857916508830,1
1492808858023279327,1
1492808858119563561,1
1492808858216732427,1
1492808858317656553,1
1492808858422176336,1
1492808858522874209,1
1492808858616750695,1
1492808858719911800,1
1492808858817400592,1
1492808858917127817,1
1492808859017909132,1
1492808859117179508,1
1492808859216771419,1
1492808859316811648,1
1492808859417743607,1
1492808859520127906,1
1492808859617398713,1
1492808859718444953,1
1492808859817059142,1
1492808859917051811,1
1492808860018123188,1
1492808860120290704,1
1492808860223198375,1
1492808860323086991,1
1492808860424377856,1
1492808860517575795,1
1492808860630447365,1
1492808860719803217,1
1492808860819430356,1
1492808860916877067,1
1492808861017658113,1
1492808861116773059,1
1492808861239364563,1
1492808861324124511,1
1492808861423919152,1
1492808861517601846,1
1492808861620077786,1
1492808861732910317,1
1492808861818353779,1
1492808861937076289,1
1492808862019984120,1
1492808862116523473,1
1492808862219532918,1
1492808862320292333,1
1492808862428122557,1
1492808862517223804,1
1492808862617384120,1
1492808862719958553,1
1492808862821845888,1
1492808862919048209,1
1492808863019309788,1
1492808863118344337,1
1492808863218086562,1
1492808863316707526,1
1492808863417410101,1
1492808863519443513,1
1492808863618383695,1
1492808863718370918,1
1492808863817628567,1
1492808863920720008,1
1492808864019390309,1
1492808864119312231,1
1492808864217214999,1
1492808864318826797,1
1492808864418313270,1
1492808864527430195,1
1492808864631931888,1
1492808864718019876,1
1492808864819777514,1
1492808864929797513,1
1492808865024501903,1
1492808865116705871,1
1492808865217195659,1
1492808865316548015,1
1492808865416773452,1
1492808865979954567,1
1492808865979968338,1
1492808865979972291,1
1492808865998036468,1
1492808865998045744,1
1492808866017026360,1
1492808866118953341,1
1492808866240811114,1
1492808866317257135,1
1492808866419482064,1
1492808873947782143,1
1492808873947789199,1
1492808873947795462,1
1492808873951157251,1
1492808873951164137,1
1492808873951167693,1
1492808873951171054,1
1492808873951173683,1
1492808873951176611,1
1492808873951180759,1
1492808873951188116,1
1492808873951192725,1
1492808873951197314,1
1492808873951202435,1
1492808873951205313,1
1492808873951208244,1
1492808873951246047,1
1492808873951250189,1
1492808873951254293,1
1492808873951257833,1
1492808873951261494,0
1492808873951273060,0
1492808873951289680,0
1492808873951294552,0
1492808873951305459,0
1492808873951309196,0
1492808873951312772,0
1492808873951316507,0
1492808873951320099,0
1492808873951324669,0
1492808873951328806,0
1492808873951333047,0
1492808873951337071,0
1492808873951340545,0
1492808873951344876,0
1492808873951347954,0
1492808873951352697,0
1492808873951368211,0
1492808873951371700,0
1492808873951376221,0
1492808873951391721,0
1492808873951395935,0
1492808873951399747,0
1492808873951406131,0
1492808873951410130,0
1492808873951413592,0
1492808873951416914,0
1492808873951420610,0
1492808873951424597,0
1492808873951428614,0
1492808873951432277,0
1492808873951437653,0
1492808873951441488,0
1492808873951445258,0
1492808873951448915,0
1492808873951452403,0
1492808873951456574,0
1492808873951460335,0
1492808873951464192,0
1492808873951469084,0
1492808873951472610,0
1492808873951476421,0
1492808873951479776,0
1492808873951483054,0
1492808873951486855,0
1492808873951490116,0
1492808873951494468,0
1492808873951497582,0
1492808873951500624,0
1492808873951504500,0
1492808873951507678,0
1492808873951511616,0
1492808873951515451,0
1492808873951519368,0
1492808873951522801,0
1492808874017296959,0
1492808874117301435,0
1492808874218703015,0
1492808874317101439,0
1492808874417163098,1
1492808874517269961,1
1492808874616869004,1
1492808874717691387,1
1492808874817808569,1
1492808874919416729,1
1492808875018115352,1
1492808875120142427,1
1492808875217283115,1
1492808875871487541,1
1492808875871495242,1
1492808875871506324,1
1492808875979948832,1
1492808875979955216,1
1492808875979970372,1
1492808875992760960,1
1492808876018710389,1
1492808876119620642,1
1492808876218752195,1
1492808876326538284,1
1492808876420997414,1
1492808876533832828,1
1492808876619760054,1
1492808876720770433,1
1492808876818206142,1
1492808876917260277,1
1492808877018321898,1
1492808877117411887,1
1492808877556753624,1
1492808877556759949,1
1492808877556768625,1
1492808877572388319,1
1492808877619847685,1
1492808877726418722,1
1492808877818333128,1
1492808877919002875,1
1492808878018300864,1
1492808878118239505,1
1492808878217118476,1
1492808878317982681,1
1492808878454140846,1
1492808878519425577,1
1492808878618013847,1
1492808878717566535,1
1492808878817120652,1
1492808878931171186,1
1492808879022467395,1
1492808879119106596,1
1492808879245360320,1
1492808879322372254,1
1492808879420893989,1
1492808879517573384,1
1492808879618887845,1
1492808879720249548,1
1492808879821024218,1
1492808879917625869,1
1492808880019004309,1
1492808880117463595,1
1492808880218876101,1
1492808880319242713,1
1492808880421216592,1
1492808880528382693,1
1492808880619221454,1
1492808880717821570,1
1492808880822599906,1
1492808880917484906,1
1492808881022930849,1
1492808881117320555,1
1492808881217610400,1
1492808881318365107,1
1492808881418504161,1
1492808881520680442,1
1492808881628849267,1
1492808881717261132,1
1492808881817330294,1
1492808881918312980,1
1492808882019943187,1
1492808882118609599,1
1492808882218793651,1
1492808882317800915,1
1492808882419597434,1
1492808882517521981,1
1492808882618655178,1
1492808882718177813,1
1492808882824182640,1
1492808882925331495,1
1492808883031847920,1
1492808883135458620,1
1492808883231830141,1
1492808883342142953,1
1492808883417994483,1
1492808883517816498,1
1492808883622941348,1
1492808883724563486,1
1492808883817713914,1
1492808883918251335,1
1492808884019368712,1
1492808884123839499,1
1492808884218542035,1
1492808884318608379,1
1492808884420037988,1
1492808884517396447,1
1492808884622435354,1
1492808884720936524,1
1492808884817865210,1
1492808884917663677,1
1492808885017966768,1
1492808885117798088,1
1492808885217758493,1
1492808885317249137,1
1492808885418364657,1
1492808885519821554,1
1492808885621208378,1
