%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1492808843938722637,1,1492808843930469513,odom,robot_frame,-3.15320457592e-07,8.78429902816e-08,-0.344010013725,-0.0721407516477,-0.0741190122098,0.476501897608,0.873068167761,0.00482413665074,-1.76629758688e-10,-3.96380587657e-09,-4.45363175998e-20,-3.02451715243e-20,3.94684552803e-20,-1.76629758688e-10,0.00482413585509,8.40392381405e-10,2.47027816146e-20,-4.76240334255e-20,-7.29145621508e-20,-3.96380587657e-09,8.40392381405e-10,0.000226044945694,4.02783110884e-20,7.2407199666e-20,1.08547769858e-25,-4.45363175998e-20,2.47027816146e-20,4.02783110884e-20,9.99999654513e-10,-3.14603187795e-23,4.67051749323e-23,-3.02451715243e-20,-4.76240334255e-20,7.2407199666e-20,-3.14603187795e-23,9.99999654513e-10,-3.73938860029e-22,3.94684552803e-20,-7.29145621508e-20,1.08547769858e-25,4.67051749323e-23,-3.73938860029e-22,9.99999827256e-10,-5.93399129859e-05,0.000187220492033,-8.94789308406e-05,-0.00073108341016,0.119219701406,0.0263279326963,0.00241205525349,1.22352496767e-10,2.84182639248e-11,0.0,0.0,0.0,1.22352496767e-10,0.00241205506374,5.57770755174e-10,0.0,0.0,0.0,2.84182639248e-11,5.57770755174e-10,0.00385928738275,0.0,0.0,0.0,0.0,0.0,0.0,7.75528182748e-07,2.32430490471e-07,-2.14213554e-07,0.0,0.0,0.0,2.32430490471e-07,5.99576516147e-07,-1.78583563445e-07,0.0,0.0,0.0,-2.14213554e-07,-1.78583563445e-07,5.03941622769e-07
1492808844038614586,2,1492808844032184601,odom,robot_frame,-0.000191486146765,0.000111078197523,-0.344139739903,-0.0743228481476,-0.0700132143047,0.477219558648,0.872832032472,0.00993901606186,-1.95939718796e-07,-1.10525766617e-06,-5.93669216766e-14,-3.68817354505e-14,-2.39652299584e-14,-1.95939718796e-07,0.00993839258274,2.80858045022e-07,3.2184986417e-14,-5.80328334458e-14,-8.9689558037e-14,-1.10525766617e-06,2.80858045022e-07,0.00187412883776,8.82740633479e-14,2.79424908134e-14,2.37808182747e-16,-5.93669216766e-14,3.2184986417e-14,8.82740633479e-14,9.99999672278e-10,-3.85368143921e-20,-2.90668133528e-20,-3.68817354505e-14,-5.80328334458e-14,2.79424908134e-14,-3.85368143921e-20,9.99999672329e-10,-7.29344272537e-19,-2.39652299584e-14,-8.9689558037e-14,2.37808182747e-16,-2.90668133528e-20,-7.29344272537e-19,9.99999836154e-10,0.00026876679601,0.00485439607968,-0.00436128160689,0.00384567844386,0.0664399865437,0.0227598980894,0.00495662659699,1.53245273688e-07,-6.70959172799e-07,1.10196525884e-21,-3.84019061492e-22,-3.11079046529e-22,1.53245273688e-07,0.0049562750559,2.50534260564e-06,-3.52942448229e-21,1.22995372714e-21,9.96338127666e-22,-6.70959172799e-07,2.50534260564e-06,0.00791289628353,2.81161497482e-20,-9.79807426091e-21,-7.93704246625e-21,1.10196525884e-21,-3.52942448229e-21,2.81161497482e-20,7.75564869385e-07,2.32448876447e-07,-2.14227728393e-07,-3.84019061492e-22,1.22995372714e-21,-9.79807426091e-21,2.32448876447e-07,5.99599699094e-07,-1.78594495354e-07,-3.11079046529e-22,9.96338127666e-22,-7.93704246625e-21,-2.14227728393e-07,-1.78594495354e-07,5.03952650866e-07
1492808844138667524,3,1492808844133809805,odom,robot_frame,-0.000491423684007,0.000644856700881,-0.342557067358,-0.0748406035582,-0.0682989206753,0.478045135978,0.872471770008,0.015140698708,-1.0613061865e-06,-5.98662746894e-06,-2.25299980376e-13,-1.37964121768e-13,-1.48411650455e-13,-1.0613061865e-06,0.0151376685315,1.70149023431e-06,1.3542843685e-13,-2.18655985064e-13,-6.50618888598e-14,-5.98662746894e-06,1.70149023431e-06,0.00357650169894,1.3382320901e-13,-9.00400597501e-14,1.75269243847e-16,-2.25299980376e-13,1.3542843685e-13,1.3382320901e-13,9.9999967219e-10,-2.19729395042e-20,-5.21325505775e-20,-1.37964121768e-13,-2.18655985064e-13,-9.00400597501e-14,-2.19729395042e-20,9.9999967222e-10,-4.73205937795e-19,-1.48411650455e-13,-6.50618888598e-14,1.75269243847e-16,-5.21325505775e-20,-4.73205937795e-19,9.99999836044e-10,0.00457654022218,0.00886364614517,-0.0106475728444,0.00982981844504,-0.00010480900012,0.0211488821867,0.00750052908322,5.56885642068e-07,-2.79471546387e-06,2.80928258795e-18,2.06405413993e-19,-8.71632902569e-19,5.56885642068e-07,0.0074990356273,1.11851584096e-05,-1.05389771438e-17,-7.74326498131e-19,3.26991641226e-18,-2.79471546387e-06,1.11851584096e-05,0.0119192200502,8.28134354794e-17,6.08452192263e-18,-2.56944301262e-17,2.80928258795e-18,-1.05389771438e-17,8.28134354794e-17,7.75564248284e-07,2.32448566953e-07,-2.1422748914e-07,2.06405413993e-19,-7.74326498131e-19,6.08452192263e-18,2.32448566953e-07,5.99599306809e-07,-1.78594311817e-07,-8.71632902569e-19,3.26991641226e-18,-2.56944301262e-17,-2.1422748914e-07,-1.78594311817e-07,5.03952463704e-07
1492808844238624892,4,1492808844230133772,odom,robot_frame,-0.000769498548541,0.00165502691542,-0.344121362893,-0.0731762500515,-0.0697837882963,0.478969450979,0.871988373976,0.0202005473153,-2.80758928705e-06,-1.2514186813e-06,-9.79221497239e-14,-5.92068623355e-14,-8.4185850266e-14,-2.80758928705e-06,0.0201928954471,3.72961534605e-07,5.82663561978e-14,-9.40925988102e-14,-1.86461405982e-14,-1.2514186813e-06,3.72961534605e-07,0.00041048420014,6.05437176995e-14,-6.1310971808e-14,4.40674061636e-18,-9.79221497239e-14,5.82663561978e-14,6.05437176995e-14,9.99999654023e-10,1.92744812437e-22,-1.67604967692e-20,-5.92068623355e-14,-9.40925988102e-14,-6.1310971808e-14,1.92744812437e-22,9.99999654026e-10,-7.01376354739e-21,-8.4185850266e-14,-1.86461405982e-14,4.40674061636e-18,-1.67604967692e-20,-7.01376354739e-21,9.99999826973e-10,0.00879991244805,0.012595313739,-0.014680690168,0.0173472381589,-0.078863229985,0.0132605369015,0.00991142542008,1.79422545194e-06,-1.13479520615e-05,-6.65651059276e-18,-8.69783161637e-18,3.66571392303e-18,1.79422545194e-06,0.00990556915846,4.69494468486e-05,2.71448272444e-17,3.54684673383e-17,-1.49484064149e-17,-1.13479520615e-05,4.69494468486e-05,0.0154975961113,-2.16125916512e-16,-2.82397493263e-16,1.19018382938e-16,-6.65651059276e-18,2.71448272444e-17,-2.16125916512e-16,7.75527702993e-07,2.32430324345e-07,-2.14213398848e-07,-8.69783161637e-18,3.54684673383e-17,-2.82397493263e-16,2.32430324345e-07,5.99576162758e-07,-1.78583433691e-07,3.66571392303e-18,-1.49484064149e-17,1.19018382938e-16,-2.14213398848e-07,-1.78583433691e-07,5.03941427174e-07
1492808844338623766,5,1492808844331562281,odom,robot_frame,-0.00110922059529,0.00314516578006,-0.345532050612,-0.0697108014408,-0.074162722136,0.479902190722,0.871397832306,0.0257125252108,-5.77434821442e-06,-9.96882328552e-06,-3.4984797621e-13,-2.06351212053e-13,-3.83727730306e-13,-5.77434821442e-06,0.025696518171,3.54219765592e-06,2.02034408198e-13,-3.29054497324e-13,-5.90804992556e-14,-9.96882328552e-06,3.54219765592e-06,0.00201631757027,2.53744212757e-13,-2.94384391118e-13,2.48295948697e-16,-3.4984797621e-13,2.02034408198e-13,2.53744212757e-13,9.9999967177e-10,2.92302915466e-20,-8.41015585847e-20,-2.06351212053e-13,-3.29054497324e-13,-2.94384391118e-13,2.92302915466e-20,9.9999967175e-10,4.7027530724e-19,-3.83727730306e-13,-5.90804992556e-14,2.48295948697e-16,-8.41015585847e-20,4.7027530724e-19,9.99999835694e-10,0.0108827799333,0.0142333554636,-0.0123737603826,0.0189199108669,-0.140388120388,0.0071392422014,0.0124494786495,3.07667738783e-06,-2.05011454854e-05,-1.91085575483e-18,-2.01333633812e-18,9.52421348787e-19,3.07667738783e-06,0.0124394052221,8.24800102154e-05,7.25331500764e-18,7.64206679339e-18,-3.6152804398e-18,-2.05011454854e-05,8.24800102154e-05,0.019277212916,-5.84949672908e-17,-6.16304559066e-17,2.91556800314e-17,-1.91085575483e-18,7.25331500764e-18,-5.84949672908e-17,7.75562980358e-07,2.32447933453e-07,-2.14226999876e-07,-2.01333633812e-18,7.64206679339e-18,-6.16304559066e-17,2.32447933453e-07,5.99598502902e-07,-1.78593933177e-07,9.52421348787e-19,-3.6152804398e-18,2.91556800314e-17,-2.14226999876e-07,-1.78593933177e-07,5.03952080405e-07
1492808844438604295,6,1492808844433094263,odom,robot_frame,-0.00166003685936,0.00462891204054,-0.34450421275,-0.0652792312297,-0.0805240785026,0.480608590391,0.870786930078,0.0314793719057,-9.84579134343e-06,-2.60330502017e-05,-2.02789131481e-13,-1.12331220373e-13,-3.88508227517e-13,-9.84579134343e-06,0.0314497190644,1.03949786266e-05,9.96511885756e-14,-1.76101869167e-13,-1.20764795024e-13,-2.60330502017e-05,1.03949786266e-05,0.003737000661,3.07766117731e-13,-2.67310783221e-13,-2.9846058898e-16,-2.02789131481e-13,9.96511885756e-14,3.07766117731e-13,9.99999672329e-10,7.13871068133e-20,-9.19596226799e-20,-1.12331220373e-13,-1.76101869167e-13,-2.67310783221e-13,7.13871068133e-20,9.99999672274e-10,9.30796793444e-19,-3.88508227517e-13,-1.20764795024e-13,-2.9846058898e-16,-9.19596226799e-20,9.30796793444e-19,9.99999835896e-10,0.00735486301188,0.0138507836354,-0.0036567716466,0.013543376177,-0.166925871171,-0.000766270265613,0.0149907856613,5.0619906069e-06,-3.5528737573e-05,-4.5424391208e-17,-4.49773001741e-17,2.22733748225e-17,5.0619906069e-06,0.0149751042464,0.000132141850834,1.47670557295e-16,1.46216946854e-16,-7.24087137563e-17,-3.5528737573e-05,0.000132141850834,0.022941667583,-1.21199799583e-15,-1.20006772514e-15,5.94290543375e-16,-4.5424391208e-17,1.47670557295e-16,-1.21199799583e-15,7.75563639899e-07,2.32448262759e-07,-2.14227253704e-07,-4.49773001741e-17,1.46216946854e-16,-1.20006772514e-15,2.32448262759e-07,5.99598921168e-07,-1.78594129951e-07,2.22733748225e-17,-7.24087137563e-17,5.94290543375e-16,-2.14227253704e-07,-1.78594129951e-07,5.03952279504e-07
1492808844538580757,7,1492808844529628277,odom,robot_frame,-0.00262459117382,0.00554559567027,-0.340916891243,-0.0607777863657,-0.0877491016658,0.480835133267,0.870289452112,0.0372389105272,-1.44297549428e-05,-5.59343864537e-06,2.027545257e-14,1.62672963617e-14,-7.12256109745e-14,-1.44297549428e-05,0.0371897805678,2.89205230391e-06,-2.49519739077e-14,2.64361218341e-14,-1.01654409328e-13,-5.59343864537e-06,2.89205230391e-06,0.000598813135065,1.23401976606e-13,-7.35041610287e-15,-8.51693882085e-17,2.027545257e-14,-2.49519739077e-14,1.23401976606e-13,9.99999654898e-10,3.86469060304e-20,-1.5979789787e-20,1.62672963617e-14,2.64361218341e-14,-7.35041610287e-15,3.86469060304e-20,9.99999654859e-10,4.31392911067e-19,-7.12256109745e-14,-1.01654409328e-13,-8.51693882085e-17,-1.5979789787e-20,4.31392911067e-19,9.9999982735e-10,-0.00109339288033,0.0126578560413,0.00632462970849,0.00341704215079,-0.172662837877,-0.0155263012236,0.0174047784917,1.13220795273e-05,-8.59570659488e-05,-6.38097259106e-17,-7.12435634754e-17,3.29347386432e-17,1.13220795273e-05,0.017375517759,0.000262947614354,1.64495532594e-16,1.83649415643e-16,-8.49016909548e-17,-8.59570659488e-05,0.000262947614354,0.0257311652952,-1.36095246031e-15,-1.51942509305e-15,7.0243377217e-16,-6.38097259106e-17,1.64495532594e-16,-1.36095246031e-15,7.75529223076e-07,2.32431083083e-07,-2.14213984725e-07,-7.12435634754e-17,1.83649415643e-16,-1.51942509305e-15,2.32431083083e-07,5.99577125539e-07,-1.78583886182e-07,3.29347386432e-17,-8.49016909548e-17,7.0243377217e-16,-2.14213984725e-07,-1.78583886182e-07,5.03941886187e-07
1492808844638627162,8,1492808844631300211,odom,robot_frame,-0.00416119198608,0.00551335634363,-0.342737081715,-0.0567462612021,-0.0946499180135,0.480458743383,0.87004634978,0.0436471482302,-1.95375256551e-05,-2.49278759306e-05,1.97780348044e-13,1.17003920903e-13,8.18509203316e-14,-1.95375256551e-05,0.0435678670935,1.3696820249e-05,-1.60829928781e-13,1.88380051076e-13,-4.20536141532e-13,-2.49278759306e-05,1.3696820249e-05,0.0021843338043,3.13108906472e-13,2.90607839736e-13,-1.98272339598e-15,1.97780348044e-13,-1.60829928781e-13,3.13108906472e-13,9.99999672532e-10,1.19877954984e-19,1.83851664797e-20,1.17003920903e-13,1.88380051076e-13,2.90607839736e-13,1.19877954984e-19,9.99999672397e-10,1.1179965752e-18,8.18509203316e-14,-4.20536141532e-13,-1.98272339598e-15,1.83851664797e-20,1.1179965752e-18,9.99999836088e-10,-0.0140759285044,0.0106546860063,0.0112675093883,0.000186262920881,-0.145770957068,-0.0243862083837,0.0199464619704,1.71091364204e-05,-0.0001328015077,2.17961180219e-18,-4.62309444112e-18,2.62026036919e-19,1.71091364204e-05,0.0199087476065,0.000356021266811,-4.25508305059e-18,9.14923145567e-18,-5.37178588373e-19,-0.0001328015077,0.000356021266811,0.0290340071837,3.53672822365e-17,-7.60268987075e-17,4.46088509757e-18,2.17961180219e-18,-4.25508305059e-18,3.53672822365e-17,7.75564569245e-07,2.32448726021e-07,-2.14227610897e-07,-4.62309444112e-18,9.14923145567e-18,-7.60268987075e-17,2.32448726021e-07,5.9959950921e-07,-1.78594405475e-07,2.62026036919e-19,-5.37178588373e-19,4.46088509757e-18,-2.14227610897e-07,-1.78594405475e-07,5.03952559436e-07
1492808844738580001,9,1492808844732750177,odom,robot_frame,-0.00621294064187,0.00443608417164,-0.340579776138,-0.0538563434807,-0.0996390669163,0.479711071077,0.870085535391,0.05045093974,-2.44889860738e-05,-5.20469393419e-05,2.06572093289e-13,1.04535059187e-13,3.51206706539e-13,-2.44889860738e-05,0.0503295776988,2.82056513528e-05,-1.65921466062e-13,1.5902601708e-13,-5.33516379053e-13,-5.20469393419e-05,2.82056513528e-05,0.0038969151505,2.6846430769e-13,5.79878455954e-13,-2.99803037485e-15,2.06572093289e-13,-1.65921466062e-13,2.6846430769e-13,9.99999671724e-10,1.21108889905e-19,2.04416048164e-20,1.04535059187e-13,1.5902601708e-13,5.79878455954e-13,1.21108889905e-19,9.99999671586e-10,9.86232423324e-19,3.51206706539e-13,-5.33516379053e-13,-2.99803037485e-15,2.04416048164e-20,9.86232423324e-19,9.99999835765e-10,-0.0241685214055,0.00889665685284,0.009396116147,0.00189276758608,-0.0832595392486,-0.0236649180508,0.0224819320749,2.47722337848e-05,-0.000196361382841,1.8333685945e-16,7.52966758592e-17,-7.00360239957e-17,2.47722337848e-05,0.0224357169819,0.000464465322331,-3.10640070114e-16,-1.27579557626e-16,1.18666602348e-16,-0.000196361382841,0.000464465322331,0.0321849716856,2.63010447839e-15,1.08018197925e-15,-1.00471785159e-15,1.8333685945e-16,-3.10640070114e-16,2.63010447839e-15,7.75563104193e-07,2.32447994757e-07,-2.14227045604e-07,7.52966758592e-17,-1.27579557626e-16,1.08018197925e-15,2.32447994757e-07,5.99598581982e-07,-1.78593969828e-07,-7.00360239957e-17,1.18666602348e-16,-1.00471785159e-15,-2.14227045604e-07,-1.78593969828e-07,5.03952116899e-07
1492808844838595666,10,1492808844834300041,odom,robot_frame,-0.00847900881732,0.00279735881184,-0.338931037295,-0.0527709632062,-0.10140770379,0.479117186395,0.87027491332,0.0577196139139,-2.85401343429e-05,-1.6453063621e-05,1.42929125314e-14,-1.40129808795e-14,2.92572796485e-13,-2.85401343429e-05,0.0575434932826,9.04608854452e-06,-2.68992030912e-14,-2.3129021136e-14,-3.22925356895e-13,-1.6453063621e-05,9.04608854452e-06,0.00101857969383,1.20582611353e-13,4.1850577569e-13,-5.28189950109e-16,1.42929125314e-14,-2.68992030912e-14,1.20582611353e-13,9.9999967175e-10,4.36493614456e-20,-5.28978535186e-22,-1.40129808795e-14,-2.3129021136e-14,4.1850577569e-13,4.36493614456e-20,9.999996717e-10,3.38351581056e-19,2.92572796485e-13,-3.22925356895e-13,-5.28189950109e-16,-5.28978535186e-22,3.38351581056e-19,9.99999835879e-10,-0.0267452585468,0.00925966350855,0.0032712462237,0.00027613812251,0.000712302047008,-0.00865124280056,0.0250107880371,4.47488945683e-05,-0.000361488149439,4.10663620916e-16,2.28404213661e-16,-1.69098552938e-16,4.47488945683e-05,0.0249472117258,0.000716580383267,-6.24984916499e-16,-3.47606293458e-16,2.57349678801e-16,-0.000361488149439,0.000716580383267,0.0341556776853,5.21117757451e-15,2.89837116074e-15,-2.14580391259e-15,4.10663620916e-16,-6.24984916499e-16,5.21117757451e-15,7.75563845381e-07,2.32448363962e-07,-2.14227332541e-07,2.28404213661e-16,-3.47606293458e-16,2.89837116074e-15,2.32448363962e-07,5.99599048436e-07,-1.78594187649e-07,-1.69098552938e-16,2.57349678801e-16,-2.14580391259e-15,-2.14227332541e-07,-1.78594187649e-07,5.03952340544e-07
