%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1492808844411574816,6423,1492808844411288976,robot_frame,0,1,33.4610793333,-117.7060845,-35.1,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808845414260181,6424,1492808845414031982,robot_frame,0,1,33.4610778333,-117.706083333,-35.0,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808846415057820,6425,1492808846414855003,robot_frame,0,1,33.4610758333,-117.7060825,-35.1,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808847413840672,6426,1492808847413660049,robot_frame,0,1,33.4610746667,-117.706081,-35.0,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808848411857788,6427,1492808848411570072,robot_frame,0,1,33.4610738333,-117.706080667,-35.0,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808849414560228,6428,1492808849414316892,robot_frame,0,1,33.4610705,-117.706081,-35.1,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808850416310033,6429,1492808850416105985,robot_frame,0,1,33.4610675,-117.706082167,-35.3,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808851416046379,6430,1492808851415854930,robot_frame,0,1,33.4610663333,-117.706081833,-35.2,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808852415982425,6431,1492808852415755033,robot_frame,0,1,33.4610648333,-117.706082833,-35.2,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808853414820491,6432,1492808853414593935,robot_frame,0,1,33.4610625,-117.706085,-35.3,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808854413626422,6433,1492808854413428068,robot_frame,0,1,33.461061,-117.706087167,-35.2,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808855411411592,6434,1492808855411148071,robot_frame,0,1,33.4610588333,-117.70609,-35.2,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808856414265023,6435,1492808856414077997,robot_frame,0,1,33.4610565,-117.7060935,-35.3,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808857415031335,6436,1492808857414799928,robot_frame,0,1,33.4610536667,-117.7060975,-35.4,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808858414906577,6437,1492808858414566040,robot_frame,0,1,33.461051,-117.7061025,-35.5,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808859416643703,6438,1492808859416357994,robot_frame,0,1,33.4610476667,-117.7061075,-35.5,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808860415309947,6439,1492808860415088891,robot_frame,0,1,33.4610466667,-117.706112667,-35.5,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808861414207440,6440,1492808861414000988,robot_frame,0,1,33.4610445,-117.7061185,-35.5,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808862413916882,6441,1492808862413774013,robot_frame,0,1,33.4610413333,-117.706124833,-35.4,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808863426688506,6442,1492808863426496028,robot_frame,0,1,33.4610386667,-117.7061315,-35.4,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808864426626265,6443,1492808864426335096,robot_frame,0,1,33.4610363333,-117.706139167,-35.4,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808865425431465,6444,1492808865425203084,robot_frame,0,1,33.461032,-117.706146667,-35.3,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808866410275771,6445,1492808866410010099,robot_frame,0,1,33.4610233333,-117.706158,-35.4,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808867412092094,6446,1492808867411890983,robot_frame,0,1,33.4610261667,-117.7061615,-35.3,0.9025,0.0,0.0,0.0,0.9025,0.0,0.0,0.0,3.61,1
1492808868411919027,6447,1492808868411683082,robot_frame,0,1,33.4610353333,-117.706155667,-35.1,0.8649,0.0,0.0,0.0,0.8649,0.0,0.0,0.0,3.4596,1
1492808869413642576,6448,1492808869413387060,robot_frame,0,1,33.461024,-117.706156333,-35.2,1.1881,0.0,0.0,0.0,1.1881,0.0,0.0,0.0,4.7524,1
1492808870413397824,6449,1492808870413192033,robot_frame,0,1,33.4610125,-117.706162167,-34.4,1.1881,0.0,0.0,0.0,1.1881,0.0,0.0,0.0,4.7524,1
1492808871429338973,6450,1492808871429022073,robot_frame,0,1,33.4610003333,-117.706167,-34.8,0.9025,0.0,0.0,0.0,0.9025,0.0,0.0,0.0,3.61,1
1492808872427053340,6451,1492808872426852941,robot_frame,0,1,33.46099,-117.706169,-35.5,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808873425879728,6452,1492808873425688028,robot_frame,0,1,33.46098,-117.706169,-35.1,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808874427685113,6453,1492808874427449941,robot_frame,0,1,33.4609711667,-117.706166167,-35.3,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808875429527307,6454,1492808875429332971,robot_frame,0,1,33.4609636667,-117.706161667,-35.7,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808876417315898,6455,1492808876417078018,robot_frame,0,1,33.4609571667,-117.706160167,-35.9,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808877415047771,6456,1492808877414885997,robot_frame,0,1,33.4609521667,-117.7061545,-35.8,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808878428932763,6457,1492808878428685903,robot_frame,0,1,33.4609478333,-117.7061475,-36.0,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808879427655752,6458,1492808879427455902,robot_frame,0,1,33.4609456667,-117.706139167,-36.0,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808880428430654,6459,1492808880428220033,robot_frame,0,1,33.4609408333,-117.706131,-36.3,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
1492808881426319816,6460,1492808881426096916,robot_frame,0,1,33.4609365,-117.706123,-36.5,0.7921,0.0,0.0,0.0,0.7921,0.0,0.0,0.0,3.1684,1
