%time,field.data
1492805495792897458,CONTROLLER
1492805495892845499,CONTROLLER
1492805495992882106,CONTROLLER
1492805496092933746,CONTROLLER
1492805496192856335,CONTROLLER
1492805496292875989,CONTROLLER
1492805496392877387,CONTROLLER
1492805496492991596,CONTROLLER
1492805496592891550,CONTROLLER
1492805496692907304,CONTROLLER
1492805496792881569,CONTROLLER
1492805496892866081,CONTROLLER
1492805496992913226,CONTROLLER
1492805497092887241,CONTROLLER
1492805497192879751,CONTROLLER
1492805497292920009,CONTROLLER
1492805497392881547,CONTROLLER
1492805497493096575,CONTROLLER
1492805497592870079,CONTROLLER
1492805497692902591,CONTROLLER
1492805497792871370,CONTROLLER
1492805497892925167,CONTROLLER
1492805497992898381,CONTROLLER
1492805498092873272,CONTROLLER
1492805498192900952,CONTROLLER
1492805498292919204,CONTROLLER
1492805498392899125,CONTROLLER
1492805498492895438,CONTROLLER
1492805498592886586,CONTROLLER
1492805498692917009,CONTROLLER
1492805498792992165,CONTROLLER
1492805498892902823,CONTROLLER
1492805498992845070,CONTROLLER
1492805499092865005,CONTROLLER
1492805499192902903,CONTROLLER
1492805499292905495,CONTROLLER
1492805499392895646,CONTROLLER
1492805499492888777,CONTROLLER
1492805499592848378,CONTROLLER
1492805499692900694,CONTROLLER
1492805499792807419,CONTROLLER
1492805499892893201,CONTROLLER
1492805499992905928,CONTROLLER
1492805500093029844,CONTROLLER
1492805500192902689,CONTROLLER
1492805500292851327,CONTROLLER
1492805500392795012,CONTROLLER
1492805500492799198,CONTROLLER
1492805500592923797,CONTROLLER
1492805500692835932,CONTROLLER
1492805500792918171,CONTROLLER
1492805500892892016,CONTROLLER
1492805500992879837,CONTROLLER
1492805501092950951,CONTROLLER
1492805501192878194,CONTROLLER
1492805501293113032,CONTROLLER
1492805501392845290,CONTROLLER
1492805501492833057,CONTROLLER
1492805501592896492,CONTROLLER
1492805501692831823,CONTROLLER
1492805501792871192,CONTROLLER
1492805501892889189,CONTROLLER
1492805501992863239,CONTROLLER
1492805502092925025,CONTROLLER
1492805502192932330,CONTROLLER
1492805502292809808,CONTROLLER
1492805502392859439,CONTROLLER
1492805502492890240,CONTROLLER
1492805502592893189,CONTROLLER
1492805502692860163,CONTROLLER
1492805502792959396,CONTROLLER
1492805502892891863,CONTROLLER
1492805502992872274,CONTROLLER
1492805503092923490,CONTROLLER
1492805503192946163,CONTROLLER
1492805503292912327,CONTROLLER
1492805503392872430,CONTROLLER
1492805503492848089,CONTROLLER
1492805503592911093,CONTROLLER
1492805503692879057,CONTROLLER
1492805503792938361,CONTROLLER
1492805503892888247,CONTROLLER
1492805503992880697,CONTROLLER
1492805504092808421,CONTROLLER
1492805504192907650,CONTROLLER
1492805504292874155,CONTROLLER
1492805504392931558,CONTROLLER
1492805504492921147,CONTROLLER
1492805504592941199,CONTROLLER
1492805504692872181,CONTROLLER
1492805504792956901,CONTROLLER
1492805504892904526,CONTROLLER
1492805504992865746,CONTROLLER
1492805505092935419,CONTROLLER
1492805505192897762,CONTROLLER
1492805505292824919,CONTROLLER
1492805505392880196,CONTROLLER
1492805505492945162,CONTROLLER
1492805505592861249,CONTROLLER
1492805505692880379,CONTROLLER
1492805505792898297,CONTROLLER
1492805505892913154,CONTROLLER
1492805505992924078,CONTROLLER
1492805506092919966,CONTROLLER
1492805506192895323,CONTROLLER
1492805506292885918,CONTROLLER
1492805506392897762,CONTROLLER
1492805506492877799,CONTROLLER
1492805506592883900,CONTROLLER
1492805506692934879,CONTROLLER
1492805506792845834,CONTROLLER
1492805506892911301,CONTROLLER
1492805506992870481,CONTROLLER
1492805507092878103,CONTROLLER
1492805507192890530,CONTROLLER
1492805507292802676,CONTROLLER
1492805507392866572,CONTROLLER
1492805507492863273,CONTROLLER
1492805507592902868,CONTROLLER
1492805507693020143,CONTROLLER
1492805507792900843,CONTROLLER
1492805507892938547,CONTROLLER
1492805507992932682,CONTROLLER
1492805508092908533,CONTROLLER
1492805508192915195,CONTROLLER
1492805508293007967,CONTROLLER
1492805508392846906,CONTROLLER
1492805508492849939,CONTROLLER
1492805508592885607,CONTROLLER
1492805508692869345,CONTROLLER
1492805508792879582,CONTROLLER
1492805508892900491,CONTROLLER
1492805508992864903,CONTROLLER
1492805509092866060,CONTROLLER
1492805509192900927,CONTROLLER
1492805509292903722,CONTROLLER
1492805509392889857,CONTROLLER
1492805509492902093,CONTROLLER
1492805509593038185,CONTROLLER
1492805509692950429,CONTROLLER
1492805509792899657,CONTROLLER
1492805509892883988,CONTROLLER
1492805509992888776,CONTROLLER
1492805510092972784,CONTROLLER
1492805510192972967,CONTROLLER
1492805510292919055,CONTROLLER
1492805510392848361,CONTROLLER
1492805510492941831,CONTROLLER
1492805510592864002,CONTROLLER
1492805510692919877,CONTROLLER
1492805510792841994,CONTROLLER
1492805510892824755,CONTROLLER
1492805510992862744,CONTROLLER
1492805511092899529,CONTROLLER
1492805511193003894,CONTROLLER
1492805511292845666,CONTROLLER
1492805511392882817,CONTROLLER
1492805511492873127,CONTROLLER
1492805511592886971,CONTROLLER
1492805511692938989,CONTROLLER
1492805511792872168,CONTROLLER
1492805511892899080,CONTROLLER
1492805511992892736,CONTROLLER
1492805512092882287,CONTROLLER
1492805512192847651,CONTROLLER
1492805512293081639,CONTROLLER
1492805512392856075,CONTROLLER
1492805512492830730,CONTROLLER
1492805512592845816,CONTROLLER
1492805512692875207,CONTROLLER
1492805512792928005,CONTROLLER
1492805512892886801,CONTROLLER
1492805512992908590,CONTROLLER
1492805513092951753,CONTROLLER
1492805513192933950,CONTROLLER
1492805513292891385,CONTROLLER
1492805513392823755,CONTROLLER
1492805513492883552,CONTROLLER
1492805513592921513,CONTROLLER
1492805513692861615,CONTROLLER
1492805513792944872,CONTROLLER
1492805513892872323,CONTROLLER
1492805513992955307,CONTROLLER
1492805514092908932,CONTROLLER
1492805514192856529,CONTROLLER
1492805514292871176,CONTROLLER
1492805514392917127,CONTROLLER
1492805514492855289,CONTROLLER
1492805514592904866,CONTROLLER
1492805514692849548,CONTROLLER
1492805514792943470,CONTROLLER
1492805514892929782,CONTROLLER
1492805514992947745,CONTROLLER
1492805515092961824,CONTROLLER
1492805515192890207,CONTROLLER
1492805515292945424,CONTROLLER
1492805515392957253,CONTROLLER
1492805515492818433,CONTROLLER
