%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1492805496231713216,0,1492805496228152275,odom,robot_frame,-2.1963523257e-13,1.11442021948e-11,-0.0674800181643,-0.0822069887566,-0.081642269278,0.33028702756,0.936742777016,0.00108826260478,3.68282520036e-24,3.4911090897e-25,0.0,0.0,0.0,3.68282520036e-24,0.00108826260478,1.14407390674e-23,0.0,0.0,0.0,3.4911090897e-25,1.14407390674e-23,0.00130591392564,0.0,0.0,0.0,0.0,0.0,0.0,9.9999846851e-10,5.4233617608e-33,-1.25062927581e-33,0.0,0.0,0.0,5.4233617608e-33,9.9999846851e-10,-1.04294976866e-33,0.0,0.0,0.0,-1.25062927581e-33,-1.04294976866e-33,9.99999234254e-10,-2.01822091031e-11,1.02403706523e-09,-2.00061158729e-10,-0.0288394360543,-0.0487649828803,-0.0346195511294,0.000544131802628,3.10967135131e-20,2.9477917984e-21,0.0,0.0,0.0,3.10967135131e-20,0.000544131802628,9.66023000827e-20,0.0,0.0,0.0,2.9477917984e-21,9.66023000827e-20,0.000870610283921,0.0,0.0,0.0,0.0,0.0,0.0,7.73122380826e-07,2.31230086072e-07,-2.13286164958e-07,0.0,0.0,0.0,2.31230086072e-07,5.98052961918e-07,-1.77867862766e-07,0.0,0.0,0.0,-2.13286164958e-07,-1.77867862766e-07,5.03214905896e-07
1492805496331770086,1,1492805496329594374,odom,robot_frame,-1.53797053504e-05,0.000106858488402,-0.0665427421063,-0.082126266346,-0.0855098096719,0.329156140627,0.936802852212,0.00616928866689,-1.07186614097e-07,-6.98030376575e-07,-7.62081666858e-15,-7.46022449269e-15,-1.45871259613e-14,-1.07186614097e-07,0.00616911286335,3.34241989688e-07,6.23422038488e-15,-6.10693353823e-15,-1.12084857696e-14,-6.98030376575e-07,3.34241989688e-07,0.00289885555285,1.82966708279e-14,-5.87226555885e-16,-3.84119464056e-17,-7.62081666858e-15,6.23422038488e-15,1.82966708279e-14,9.99999671297e-10,1.05967548421e-20,2.57944237653e-19,-7.46022449269e-15,-6.10693353823e-15,-5.87226555885e-16,1.05967548421e-20,9.99999671191e-10,2.32496892427e-19,-1.45871259613e-14,-1.12084857696e-14,-3.84119464056e-17,2.57944237653e-19,2.32496892427e-19,9.99999835734e-10,0.00139590458673,0.0029012961232,-0.00243708890801,-0.0219154191073,-0.0858042370743,-0.0210946355871,0.00308163870431,3.21052067622e-08,-2.31104706409e-08,3.37477217183e-23,-1.13562756981e-23,-1.1014257468e-23,3.21052067622e-08,0.00308158531043,1.90449787315e-07,-7.11154052943e-23,2.39306865111e-23,2.32099633389e-23,-2.31104706409e-08,1.90449787315e-07,0.00493000151271,5.32628652383e-22,-1.79232182595e-22,-1.73834226831e-22,3.37477217183e-23,-7.11154052943e-23,5.32628652383e-22,7.75563034792e-07,2.32447960425e-07,-2.14227019229e-07,-1.13562756981e-23,2.39306865111e-23,-1.79232182595e-22,2.32447960425e-07,5.99598539476e-07,-1.78593950596e-07,-1.1014257468e-23,2.32099633389e-23,-1.73834226831e-22,-2.14227019229e-07,-1.78593950596e-07,5.03952096627e-07
1492805496431831480,2,1492805496431129456,odom,robot_frame,9.21260282716e-05,0.000816358483878,-0.0624022793767,-0.0813145232179,-0.0900885658437,0.328927666641,0.936524740056,0.0113036047346,-8.04175102631e-07,-1.02238765994e-07,-1.46998497396e-14,-1.52630306285e-14,-1.98313737588e-14,-8.04175102631e-07,0.0113022288612,5.62330927221e-08,1.52727736765e-14,-1.25124637115e-14,9.52018480995e-16,-1.02238765994e-07,5.62330927221e-08,0.000119225497265,1.46384781133e-14,-1.33120215694e-14,-1.34372863111e-18,-1.46998497396e-14,1.52727736765e-14,1.46384781133e-14,9.99999671715e-10,3.06672580925e-21,2.42719818958e-20,-1.52630306285e-14,-1.25124637115e-14,-1.33120215694e-14,3.06672580925e-21,9.99999671703e-10,3.19044969654e-20,-1.98313737588e-14,9.52018480995e-16,-1.34372863111e-18,2.42719818958e-20,3.19044969654e-20,9.99999835853e-10,0.00696274334257,0.00987592280914,-0.0114445034378,-0.0114942303494,-0.0838645145438,-0.00454564111119,0.00562290120965,5.53756117149e-07,-2.87813719567e-06,7.46255341948e-19,5.61951129687e-20,-2.39881717533e-19,5.53756117149e-07,0.00562206303722,6.54258635105e-06,-1.48547869655e-18,-1.11860697654e-19,4.77503022169e-19,-2.87813719567e-06,6.54258635105e-06,0.00895324431498,1.10373371451e-17,8.31142335591e-19,-3.54792152573e-18,7.46255341948e-19,-1.48547869655e-18,1.10373371451e-17,7.7556379247e-07,2.32448337236e-07,-2.14227312913e-07,5.61951129687e-20,-1.11860697654e-19,8.31142335591e-19,2.32448337236e-07,5.9959901341e-07,-1.78594170562e-07,-2.39881717533e-19,4.77503022169e-19,-3.54792152573e-18,-2.14227312913e-07,-1.78594170562e-07,5.03952324545e-07
1492805496531787927,3,1492805496527570009,odom,robot_frame,0.000557294266154,0.00239364548292,-0.0670537966517,-0.0805185920612,-0.0929635656026,0.329462692032,0.936124386159,0.0162672361869,-2.49052724374e-06,-2.79701929766e-06,-3.40535864711e-13,-3.63572476517e-13,-3.52446992202e-13,-2.49052724374e-06,0.0162626271231,1.42306002313e-06,3.75601724488e-13,-2.99395829839e-13,1.20042024469e-13,-2.79701929766e-06,1.42306002313e-06,0.00138229611631,1.94637955498e-13,-3.17462944653e-13,-6.29060427838e-17,-3.40535864711e-13,3.75601724488e-13,1.94637955498e-13,9.99999654572e-10,3.19303045289e-20,1.86603272979e-19,-3.63572476517e-13,-2.99395829839e-13,-3.17462944653e-13,3.19303045289e-20,9.99999654466e-10,2.97517097567e-19,-3.52446992202e-13,1.20042024469e-13,-6.29060427838e-17,1.86603272979e-19,2.97517097567e-19,9.99999827187e-10,0.0163617023045,0.0179144585062,-0.0264187213117,0.000855406392011,-0.0345595847576,0.0121634709316,0.00803561721983,1.62513705645e-06,-9.81633983872e-06,-8.93872072761e-20,-1.77596071392e-19,5.35009553355e-20,1.62513705645e-06,0.00803338854493,1.98730642724e-05,1.63705854047e-19,3.25416802232e-19,-9.80056799368e-20,-9.81633983872e-06,1.98730642724e-05,0.0127202036706,-1.2032202777e-18,-2.39194373373e-18,7.20354213378e-19,-8.93872072761e-20,1.63705854047e-19,-1.2032202777e-18,7.7552848916e-07,2.32430717314e-07,-2.14213700847e-07,-1.77596071392e-19,3.25416802232e-19,-2.39194373373e-18,2.32430717314e-07,5.99576663075e-07,-1.78583669865e-07,5.35009553355e-20,-9.80056799368e-20,7.20354213378e-19,-2.14213700847e-07,-1.78583669865e-07,5.03941664605e-07
1492805496631761804,4,1492805496629063606,odom,robot_frame,0.00149116202252,0.00510169036124,-0.0662450931796,-0.0801286761208,-0.0930669910431,0.330238997288,0.935873995317,0.0216441858463,-6.02907905777e-06,-1.17376583193e-05,-6.7717388999e-13,-7.06936327967e-13,-7.76861766568e-13,-6.02907905777e-06,0.0216322756947,5.35752001412e-06,7.40352864185e-13,-5.84562299257e-13,3.16082859903e-13,-1.17376583193e-05,5.35752001412e-06,0.00309288279592,3.94258854215e-13,-7.39910813705e-13,-5.27193572486e-17,-6.7717388999e-13,7.40352864185e-13,3.94258854215e-13,9.99999671901e-10,1.89904318502e-20,7.12353194229e-20,-7.06936327967e-13,-5.84562299257e-13,-7.39910813705e-13,1.89904318502e-20,9.99999671848e-10,1.65032821818e-19,-7.76861766568e-13,3.16082859903e-13,-5.27193572486e-17,7.12353194229e-20,1.65032821818e-19,9.99999835821e-10,0.0237076709197,0.0258953094092,-0.0374314218133,0.0124692439037,0.0178166317143,0.0123159274797,0.0105750273263,3.62247120339e-06,-2.34551791575e-05,-3.6822952621e-17,-4.21305258303e-17,1.90687060553e-17,3.62247120339e-06,0.0105704374561,4.43326475734e-05,6.41533717811e-17,7.34002868647e-17,-3.32217194887e-17,-2.34551791575e-05,4.43326475734e-05,0.0166090856665,-4.72419072404e-16,-5.40512438817e-16,2.44641450062e-16,-3.6822952621e-17,6.41533717811e-17,-4.72419072404e-16,7.7556337452e-07,2.32448130122e-07,-2.14227149649e-07,-4.21305258303e-17,7.34002868647e-17,-5.40512438817e-16,2.32448130122e-07,5.99598754537e-07,-1.78594051584e-07,1.90687060553e-17,-3.32217194887e-17,2.44641450062e-16,-2.14227149649e-07,-1.78594051584e-07,5.03952198613e-07
1492805496731677399,5,1492805496730744839,odom,robot_frame,0.00239906639881,0.00847078060667,-0.0676665680794,-0.0798067359411,-0.091180252283,0.330468813283,0.936006095033,0.0272391395976,-1.18643138006e-05,-1.36356691006e-06,-1.30720418541e-13,-1.38415439698e-13,-1.40423453728e-13,-1.18643138006e-05,0.0272149206606,5.5480500292e-07,1.41919774006e-13,-1.14827060321e-13,3.7768266088e-14,-1.36356691006e-06,5.5480500292e-07,0.000225681699833,8.33560325607e-14,-1.18708292767e-13,5.33292722955e-18,-1.30720418541e-13,1.41919774006e-13,8.33560325607e-14,9.99999672187e-10,-3.0736401924e-22,-1.51689753803e-20,-1.38415439698e-13,-1.14827060322e-13,-1.18708292767e-13,-3.0736401924e-22,9.99999672194e-10,-1.16614710533e-20,-1.40423453728e-13,3.7768266088e-14,5.33292722955e-18,-1.51689753803e-20,-1.16614710533e-20,9.99999836089e-10,0.0230421034606,0.0332585305276,-0.0469854607849,0.02390638627,0.040766325896,-0.00589166105995,0.0131170516342,9.8709874841e-06,-6.80074342719e-05,-1.67357175841e-16,-1.80004230414e-16,8.45827155008e-17,9.8709874841e-06,0.0131051762732,0.000122524791929,2.9035253519e-16,3.12294199499e-16,-1.46744861834e-16,-6.80074342719e-05,0.000122524791929,0.0201127426448,-2.13402852573e-15,-2.29529483192e-15,1.07854308743e-15,-1.67357175841e-16,2.9035253519e-16,-2.13402852573e-15,7.75564749009e-07,2.32448814693e-07,-2.14227681675e-07,-1.80004230414e-16,3.12294199499e-16,-2.29529483192e-15,2.32448814693e-07,5.9959961915e-07,-1.7859445523e-07,8.45827155008e-17,-1.46744861834e-16,1.07854308743e-15,-2.14227681675e-07,-1.7859445523e-07,5.03952613382e-07
1492805496831707229,6,1492805496827193975,odom,robot_frame,0.00263432912428,0.0117490036125,-0.059639286815,-0.0791211113109,-0.0885827849695,0.329639615766,0.936605927629,0.0327812014437,-2.00035445378e-05,-1.33473958842e-05,-7.14828364266e-13,-7.84873370026e-13,-6.26528174211e-13,-2.00035445378e-05,0.032740108739,5.09995273929e-06,7.80534464672e-13,-6.48090516398e-13,1.01472426414e-14,-1.33473958842e-05,5.09995273929e-06,0.00152502686179,4.73445233553e-13,-4.05819925732e-13,4.63262607472e-16,-7.14828364266e-13,7.80534464672e-13,4.73445233553e-13,9.99999654249e-10,-4.26079068621e-21,-1.73733270073e-19,-7.84873370026e-13,-6.48090516398e-13,-4.05819925732e-13,-4.26079068621e-21,9.99999654315e-10,-1.13347605617e-19,-6.26528174211e-13,1.01472426414e-14,4.63262607472e-16,-1.73733270073e-19,-1.13347605617e-19,9.99999827204e-10,0.0126757012677,0.0359637393868,-0.0495829411471,0.032702474552,0.049342553694,-0.0274543632824,0.0155279419453,1.47489697726e-05,-0.000103141025047,-4.5737187648e-18,-5.67021529116e-18,2.41601130996e-18,1.47489697726e-05,0.0155101310163,0.000185605409552,8.11731209031e-18,1.00663432236e-17,-4.28813558933e-18,-0.000103141025047,0.000185605409552,0.0235109252803,-6.01561503741e-17,-7.46080456392e-17,3.17794110253e-17,-4.5737187648e-18,8.11731209031e-18,-6.01561503741e-17,7.7552854203e-07,2.32430743901e-07,-2.1421372129e-07,-5.67021529116e-18,1.00663432236e-17,-7.46080456392e-17,2.32430743901e-07,5.99576696968e-07,-1.78583686067e-07,2.41601130996e-18,-4.28813558933e-18,3.17794110253e-17,-2.1421372129e-07,-1.78583686067e-07,5.03941680712e-07
1492805496931631071,7,1492805496928807974,odom,robot_frame,0.00208822792629,0.0145020591343,-0.0685252411589,-0.0783714745828,-0.0855480216816,0.327990930585,0.937529411492,0.0389278961415,-3.18402602254e-05,-3.92831223132e-05,-1.01137907187e-12,-1.16206573834e-12,-6.26964655549e-13,-3.18402602254e-05,0.0388630446915,1.49441952813e-05,1.13169669892e-12,-9.50682491406e-13,-2.07119318641e-13,-3.92831223132e-05,1.49441952813e-05,0.00328810196595,6.13194028776e-13,-2.33672194548e-13,1.38641236126e-15,-1.01137907187e-12,1.13169669892e-12,6.13194028776e-13,9.99999671594e-10,-1.92183916973e-21,-2.99188572078e-19,-1.16206573834e-12,-9.50682491406e-13,-2.33672194548e-13,-1.92183916973e-21,9.99999671691e-10,-1.37489547397e-19,-6.26964655549e-13,-2.07119318641e-13,1.38641236126e-15,-2.99188572078e-19,-1.37489547397e-19,9.99999836019e-10,0.000198376656895,0.0357385610834,-0.0521785328216,0.0307975686606,0.0573776011981,-0.0384932801448,0.0180683462125,2.07363635251e-05,-0.000146902767022,-4.56490901225e-17,-9.39870129247e-17,3.12108780541e-17,2.07363635251e-05,0.0180428960241,0.000266088075923,8.3201861496e-17,1.71304773937e-16,-5.68862399953e-17,-0.000146902767022,0.000266088075923,0.026981835307,-6.23681781545e-16,-1.28410274864e-15,4.26419818129e-16,-4.56490901225e-17,8.3201861496e-17,-6.23681781545e-16,7.75564165985e-07,2.32448525324e-07,-2.14227455293e-07,-9.39870129247e-17,1.71304773937e-16,-1.28410274864e-15,2.32448525324e-07,5.99599255509e-07,-1.78594287127e-07,3.12108780541e-17,-5.68862399953e-17,4.26419818129e-16,-2.14227455293e-07,-1.78594287127e-07,5.03952437909e-07
1492805497031575553,8,1492805497030302525,odom,robot_frame,0.000684467221111,0.0165527040897,-0.0719270518379,-0.0778679121186,-0.0827791686289,0.326115591115,0.93847366438,0.0454305331428,-4.68962456632e-05,-6.36532502882e-06,-2.30465186695e-13,-2.74457612731e-13,-9.54150479404e-14,-4.68962456632e-05,0.0453364786255,2.20767604172e-06,2.61262625571e-13,-2.21855283311e-13,-1.13623565015e-13,-6.36532502882e-06,2.20767604172e-06,0.000404409000775,1.44872618415e-13,2.85251579059e-14,5.63484054134e-17,-2.30465186695e-13,2.61262625571e-13,1.44872618415e-13,9.99999671432e-10,-7.80894232534e-22,-7.4292973504e-20,-2.74457612731e-13,-2.21855283311e-13,2.85251579059e-14,-7.80894232534e-22,9.99999671457e-10,-4.22458184297e-20,-9.54150479404e-14,-1.13623565015e-13,5.63484054134e-17,-7.4292973504e-20,-4.22458184297e-20,9.99999835788e-10,-0.00870689782368,0.0339921140343,-0.0476453056141,0.0207854821019,0.0407662056227,-0.0375220432213,0.0206016962183,3.47169974799e-05,-0.000252377736126,5.11299387862e-17,-6.68066668439e-17,-3.43627058244e-18,3.47169974799e-05,0.0205576366525,0.000463793127406,-9.54126674376e-17,1.24660364657e-16,6.41366087754e-18,-0.000252377736126,0.000463793127406,0.0295413330081,7.29389038411e-16,-9.52935578792e-16,-4.90377661474e-17,5.11299387862e-17,-9.54126674376e-17,7.29389038411e-16,7.75563517931e-07,2.32448200288e-07,-2.14227206982e-07,-6.68066668439e-17,1.24660364657e-16,-9.52935578792e-16,2.32448200288e-07,5.99598839899e-07,-1.78594089185e-07,-3.43627058244e-18,6.41366087754e-18,-4.90377661474e-17,-2.14227206982e-07,-1.78594089185e-07,5.03952241697e-07
1492805497131589657,9,1492805497126904011,odom,robot_frame,-0.001098180267,0.0180885835234,-0.0728210171408,-0.0775041472452,-0.0816250240305,0.324538117014,0.93915146447,0.0520015567227,-6.51492788549e-05,-3.28513999261e-05,-5.98860031068e-13,-7.17941900457e-13,-2.63771916561e-13,-6.51492788549e-05,0.0518737601686,1.19777144632e-05,6.73033622108e-13,-5.75605625235e-13,-4.07815962762e-13,-3.28513999261e-05,1.19777144632e-05,0.00172634419004,4.58690941737e-13,1.54143026556e-13,4.26664990189e-16,-5.98860031068e-13,6.73033622108e-13,4.58690941737e-13,9.99999654536e-10,-1.94400348123e-21,-1.74657183052e-19,-7.17941900457e-13,-5.75605625235e-13,1.54143026556e-13,-1.94400348123e-21,9.99999654591e-10,-9.04749632831e-20,-2.63771916561e-13,-4.07815962762e-13,4.26664990189e-16,-1.74657183052e-19,-9.04749632831e-20,9.99999827479e-10,-0.00960447434083,0.0306470289841,-0.0365352323665,0.0057470224681,0.00604063277675,-0.0283932008423,0.0230147994918,4.3233384366e-05,-0.000317882160533,1.47684155751e-17,4.25684881653e-18,-5.31790946213e-18,4.3233384366e-05,0.0229587336057,0.000590849857533,-2.84917770536e-17,-8.21476149569e-18,1.02600946805e-17,-0.000317882160533,0.000590849857533,0.0324200943079,2.22787539422e-16,6.42460120452e-17,-8.02304231214e-17,1.47684155751e-17,-2.84917770536e-17,2.22787539422e-16,7.75529636347e-07,2.32431290267e-07,-2.14214143289e-07,4.25684881653e-18,-8.21476149569e-18,6.42460120452e-17,2.32431290267e-07,5.99577390168e-07,-1.78584012055e-07,-5.31790946213e-18,1.02600946805e-17,-8.02304231214e-17,-2.14214143289e-07,-1.78584012055e-07,5.03942011343e-07
