%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1492805495835956093,41397,1492805495836019056,/fluid_pressure,103240.0,0.0
1492805495909094193,41398,1492805495910019056,/fluid_pressure,103280.007812,0.0
1492805495984563899,41399,1492805495985019056,/fluid_pressure,103240.0,0.0
1492805496058395960,41400,1492805496059019056,/fluid_pressure,103250.0,0.0
1492805496132976621,41401,1492805496133019056,/fluid_pressure,103269.992188,0.0
1492805496206356135,41402,1492805496207019056,/fluid_pressure,103260.0,0.0
1492805496281525307,41403,1492805496282019056,/fluid_pressure,103250.0,0.0
1492805496355148908,41404,1492805496356019056,/fluid_pressure,103250.0,0.0
1492805496429134114,41405,1492805496430019056,/fluid_pressure,103210.0,0.0
1492805496504575532,41406,1492805496504019056,/fluid_pressure,103250.0,0.0
1492805496578103591,41407,1492805496579210912,/fluid_pressure,103230.007812,0.0
1492805496652920524,41408,1492805496653210912,/fluid_pressure,103300.0,0.0
1492805496726989660,41409,1492805496727210912,/fluid_pressure,103260.0,0.0
1492805496801953217,41410,1492805496801210912,/fluid_pressure,103169.992188,0.0
1492805496875153373,41411,1492805496876210912,/fluid_pressure,103240.0,0.0
1492805496949571663,41412,1492805496950210912,/fluid_pressure,103280.007812,0.0
1492805497023497066,41413,1492805497024210912,/fluid_pressure,103300.0,0.0
1492805497098472097,41414,1492805497099210912,/fluid_pressure,103300.0,0.0
1492805497172498729,41415,1492805497173210912,/fluid_pressure,103300.0,0.0
1492805497246353092,41416,1492805497247210912,/fluid_pressure,103310.0,0.0
1492805497320805704,41417,1492805497321210912,/fluid_pressure,103260.0,0.0
1492805497395713149,41418,1492805497396210912,/fluid_pressure,103230.007812,0.0
1492805497469321168,41419,1492805497470210912,/fluid_pressure,103269.992188,0.0
1492805497543987645,41420,1492805497544210912,/fluid_pressure,103230.007812,0.0
1492805497618090368,41421,1492805497618210912,/fluid_pressure,103269.992188,0.0
1492805497693044624,41422,1492805497693210912,/fluid_pressure,103240.0,0.0
1492805497765996537,41423,1492805497767210912,/fluid_pressure,103250.0,0.0
1492805497840685646,41424,1492805497841210912,/fluid_pressure,103240.0,0.0
1492805497914903351,41425,1492805497915210912,/fluid_pressure,103219.992188,0.0
1492805497989891794,41426,1492805497990210912,/fluid_pressure,103269.992188,0.0
