# Time	x	y	z	roll	pitch	yaw	vx	vy	vz	
-4.3619080	0.0000000	0.0000000	0.0000000	-0.1973310	-0.1627797	1.1477750	0.0000000	0.0000000	0.0000000
-4.2619919	0.0000002	0.0000013	-0.0970718	-0.1998589	-0.1705777	1.1464196	-0.0000400	0.0003765	-0.0012610
-4.1617984	-0.0000309	0.0001403	-0.0971829	-0.2041818	-0.1787143	1.1457575	0.0012018	0.0034250	-0.0073892
-4.0619830	-0.0000643	0.0007697	-0.0946368	-0.2075299	-0.1879234	1.1462329	0.0054547	0.0071938	-0.0161912
-3.9619420	0.0000542	0.0020197	-0.0878882	-0.2094748	-0.1972977	1.1486142	0.0102091	0.0088100	-0.0234656
-3.8619615	0.0003287	0.0034480	-0.0935358	-0.2115557	-0.2038417	1.1516313	0.0096834	0.0101677	-0.0302836
-3.7619786	0.0004693	0.0049074	-0.0935106	-0.2115892	-0.2073661	1.1542354	0.0044413	0.0129558	-0.0353257
-3.6619361	0.0001747	0.0060159	-0.0950318	-0.2100427	-0.2059231	1.1546802	-0.0033717	0.0171810	-0.0415631
-3.5619994	-0.0006353	0.0067242	-0.0920038	-0.2063393	-0.1996387	1.1526523	-0.0079642	0.0216237	-0.0457834
-3.4620055	-0.0017083	0.0075962	-0.0965908	-0.2014901	-0.1889457	1.1490977	-0.0055004	0.0246331	-0.0500609
-3.3619843	-0.0027382	0.0090074	-0.1001339	-0.1968623	-0.1772028	1.1454643	0.0029208	0.0250801	-0.0469940
-3.2619653	-0.0036345	0.0110715	-0.0989556	-0.1933585	-0.1681183	1.1433775	0.0151754	0.0230363	-0.0337885
-3.1619308	-0.0040529	0.0140320	-0.1001816	-0.1930085	-0.1623832	1.1428938	0.0261232	0.0188556	-0.0181208
-3.0619996	-0.0041738	0.0172424	-0.0980923	-0.1953766	-0.1616778	1.1435078	0.0323095	0.0141051	-0.0035381
-2.9619715	-0.0038799	0.0205255	-0.1010157	-0.1994849	-0.1663721	1.1442607	0.0280024	0.0104092	0.0036322
-2.8619579	-0.0041802	0.0230026	-0.0934171	-0.2035116	-0.1758527	1.1444506	0.0204384	0.0089667	0.0093338
-2.7620122	-0.0044202	0.0250165	-0.0919500	-0.2058588	-0.1873882	1.1438571	0.0152021	0.0097441	0.0021737
-2.6619871	-0.0045939	0.0269509	-0.0922033	-0.2062585	-0.1968647	1.1431063	0.0175743	0.0121942	-0.0114162
-2.5619602	-0.0044174	0.0297219	-0.0971162	-0.2056480	-0.2018462	1.1429491	0.0247811	0.0171332	-0.0236497
-2.4619558	-0.0048623	0.0332480	-0.0900917	-0.2050597	-0.2027903	1.1438821	0.0307660	0.0221482	-0.0209707
-2.3619308	-0.0054127	0.0370921	-0.0894612	-0.2047309	-0.2013801	1.1453734	0.0298093	0.0284351	-0.0191414
-2.2618652	-0.0066902	0.0417617	-0.0940098	-0.2045565	-0.1985928	1.1466504	0.0230132	0.0348794	-0.0201977
-2.1619551	-0.0085143	0.0446576	-0.0901399	-0.2030765	-0.1949776	1.1465853	0.0170721	0.0351062	-0.0150817
-2.0619456	-0.0101293	0.0477471	-0.0978156	-0.2014334	-0.1890275	1.1454220	0.0137578	0.0354381	-0.0179301
-1.9619564	-0.0126564	0.0512894	-0.0970719	-0.2003002	-0.1813027	1.1433682	0.0183822	0.0351454	-0.0145347
-1.8619220	-0.0142594	0.0544572	-0.0982890	-0.1978292	-0.1751343	1.1418923	0.0257487	0.0339671	-0.0117885
-1.7617905	-0.0159491	0.0584112	-0.0961946	-0.1971522	-0.1703761	1.1410131	0.0345335	0.0321477	-0.0016991
-1.6619796	-0.0171989	0.0638926	-0.0980923	-0.1979877	-0.1694700	1.1410103	0.0422886	0.0315812	0.0071790
-1.5619999	-0.0182720	0.0685350	-0.0968295	-0.2002691	-0.1723158	1.1418194	0.0441080	0.0296378	0.0136182
-1.4619889	-0.0193771	0.0733519	-0.0954517	-0.2030482	-0.1790607	1.1427669	0.0411747	0.0287831	0.0135133
-1.3619640	-0.0211281	0.0783565	-0.0909494	-0.2044313	-0.1885099	1.1432839	0.0351265	0.0316743	0.0081558
-1.2619479	-0.0224693	0.0825268	-0.0930285	-0.2056709	-0.1967846	1.1434713	0.0315255	0.0344061	-0.0022123
-1.1618619	-0.0238505	0.0870989	-0.0986822	-0.2050653	-0.2031028	1.1435579	0.0314073	0.0376452	-0.0134020
-1.0620091	-0.0264457	0.0920642	-0.0858474	-0.2039088	-0.2057258	1.1436045	0.0354904	0.0392658	-0.0089115
-0.9618575	-0.0274406	0.0970408	-0.0965319	-0.2026977	-0.2043875	1.1436298	0.0390114	0.0420121	-0.0229801
-0.8620022	-0.0291058	0.1028894	-0.0951483	-0.2012946	-0.1998643	1.1436048	0.0427149	0.0421238	-0.0250291
-0.7619497	-0.0306743	0.1088326	-0.0940098	-0.2001011	-0.1931786	1.1433110	0.0444837	0.0430097	-0.0242107
-0.6619661	-0.0321980	0.1149255	-0.0945762	-0.1989371	-0.1869049	1.1430619	0.0461395	0.0447471	-0.0231962
-0.5618191	-0.0337664	0.1214381	-0.0951300	-0.1981060	-0.1829471	1.1431218	0.0498132	0.0451379	-0.0230049
-0.4617902	-0.0352802	0.1279074	-0.0940180	-0.1976508	-0.1804379	1.1439400	0.0551006	0.0448000	-0.0228118
-0.3619308	-0.0359823	0.1353792	-0.0987237	-0.1976508	-0.1789656	1.1453058	0.0587499	0.0436727	-0.0253791
-0.2619779	-0.0367561	0.1428134	-0.1002199	-0.1981967	-0.1791443	1.1466511	0.0602119	0.0407447	-0.0230519
-0.1619576	-0.0375093	0.1500319	-0.1002485	-0.1994864	-0.1808430	1.1475620	0.0587474	0.0383871	-0.0188462
-0.0617779	-0.0388691	0.1562771	-0.0942346	-0.2012455	-0.1842562	1.1479554	0.0544557	0.0367454	-0.0102342
0.0380314	-0.0396131	0.1627169	-0.0975798	-0.2028834	-0.1904235	1.1480078	0.0468112	0.0379900	-0.0104928
0.1379789	-0.0409127	0.1676207	-0.0900010	-0.2035264	-0.2001404	1.1479187	0.0362998	0.0245193	-0.0098240
0.2380457	-0.0393604	0.1713112	-0.0892288	-0.2032251	-0.2209817	1.1502942	0.0401778	-0.0176188	-0.0237903
0.3380257	-0.0316530	0.1763162	-0.0868678	-0.2003341	-0.2436539	1.1589312	0.0786938	-0.0610671	-0.0473939
0.4380634	-0.0223867	0.1811493	-0.0891736	-0.2014355	-0.2527388	1.1658772	0.1000911	-0.0715518	-0.0638051
0.5380260	-0.0108481	0.1874479	-0.0951051	-0.1992420	-0.2451253	1.1724887	0.1073561	-0.0683332	-0.0744174
0.6379996	0.0029225	0.1979634	-0.0919698	-0.1999757	-0.2232126	1.1783833	0.1197894	-0.0655022	-0.0715859
0.7380250	0.0138350	0.2065459	-0.0913694	-0.1964520	-0.1987460	1.1824079	0.1294318	-0.0660825	-0.0685596
0.8380111	0.0263385	0.2164971	-0.0960524	-0.1966044	-0.1757180	1.1873199	0.1403260	-0.0688298	-0.0669336
0.9380306	0.0409044	0.2286292	-0.0980923	-0.1990249	-0.1589314	1.1938555	0.1509135	-0.0716283	-0.0637399
1.0379986	0.0533154	0.2394253	-0.0995031	-0.1998736	-0.1522984	1.2005203	0.1586548	-0.0720849	-0.0615799
1.1380227	0.0654648	0.2498021	-0.0936145	-0.2020728	-0.1549709	1.2088058	0.1601997	-0.0699461	-0.0536694
1.2380477	0.0786792	0.2625579	-0.0950318	-0.2031320	-0.1665512	1.2181000	0.1537564	-0.0629498	-0.0550788
1.3380252	0.0897811	0.2736723	-0.0954278	-0.2051839	-0.1846280	1.2257853	0.1431865	-0.0570813	-0.0596263
1.4379889	0.1006186	0.2848955	-0.0920821	-0.2053869	-0.2064658	1.2333609	0.1354556	-0.0542186	-0.0664518
1.5380301	0.1114121	0.2966505	-0.0878882	-0.2038134	-0.2266150	1.2409857	0.1357905	-0.0531096	-0.0751657
1.6380803	0.1225844	0.3088247	-0.0867136	-0.2022382	-0.2425239	1.2477337	0.1338719	-0.0562179	-0.0846341
1.7380165	0.1347645	0.3203953	-0.0910651	-0.1986927	-0.2533392	1.2538674	0.1300971	-0.0660694	-0.0937927
1.8380439	0.1478702	0.3332889	-0.0889078	-0.1949854	-0.2556157	1.2587143	0.1310525	-0.0796383	-0.0914599
1.9380150	0.1621068	0.3426271	-0.0969408	-0.1924629	-0.2499604	1.2626124	0.1380459	-0.0964141	-0.0893225
2.0380191	0.1783888	0.3546615	-0.0981777	-0.1920299	-0.2374613	1.2670740	0.1554153	-0.1118290	-0.0785798
2.1380101	0.1952838	0.3665860	-0.1001398	-0.1939100	-0.2204986	1.2727364	0.1751921	-0.1235279	-0.0676113
2.2380150	0.2137066	0.3809194	-0.0956878	-0.1975791	-0.1985131	1.2794302	0.1949510	-0.1308844	-0.0511841
2.3380713	0.2338475	0.3973676	-0.1033771	-0.2023533	-0.1749429	1.2862635	0.2038493	-0.1313951	-0.0471011
2.4381929	0.2515828	0.4105063	-0.0917664	-0.2067794	-0.1572163	1.2923759	0.2060776	-0.1304290	-0.0356190
2.5380728	0.2695745	0.4265865	-0.0914793	-0.2099903	-0.1498061	1.2974173	0.1997979	-0.1243205	-0.0426216
2.6380362	0.2876373	0.4428989	-0.0918955	-0.2114597	-0.1548998	1.3016304	0.1918003	-0.1151737	-0.0589339
2.7380723	0.3039252	0.4554404	-0.0870433	-0.2109196	-0.1730233	1.3060256	0.1863364	-0.1095936	-0.0736665
2.8380449	0.3206759	0.4712074	-0.0919489	-0.2087182	-0.2004414	1.3114106	0.1870572	-0.1080902	-0.0947870
2.9379968	0.3405671	0.4896117	-0.0858474	-0.2014581	-0.2286920	1.3192966	0.1935130	-0.1139561	-0.1089842
3.0380142	0.3569369	0.5037809	-0.0915630	-0.2005476	-0.2502139	1.3251351	0.1965646	-0.1242083	-0.1221357
3.1380188	0.3768072	0.5257248	-0.0838875	-0.1961437	-0.2613774	1.3307574	0.2025589	-0.1402571	-0.1141250
3.2380178	0.4007161	0.5415195	-0.0929902	-0.1940881	-0.2593632	1.3346808	0.2050683	-0.1580388	-0.1085251
3.3380513	0.4207732	0.5525331	-0.1024084	-0.1928996	-0.2476690	1.3361166	0.2098732	-0.1704157	-0.1018516
3.4380339	0.4448045	0.5723042	-0.0970118	-0.1945343	-0.2288031	1.3375213	0.2186438	-0.1813282	-0.0844153
3.5380516	0.4702198	0.5912101	-0.0919698	-0.1986809	-0.2083831	1.3396058	0.2243709	-0.1898484	-0.0728321
3.6380818	0.4945156	0.6083841	-0.0979822	-0.1994590	-0.1917997	1.3423504	0.2254856	-0.1956121	-0.0785577
3.7380695	0.5199930	0.6252338	-0.0937863	-0.2015636	-0.1810720	1.3461222	0.2279380	-0.2003875	-0.0804430
3.8381908	0.5464668	0.6429321	-0.0919698	-0.2035022	-0.1766362	1.3508878	0.2322636	-0.2035062	-0.0882851
3.9380659	0.5707664	0.6579225	-0.0870709	-0.2046272	-0.1784146	1.3552285	0.2364940	-0.2072531	-0.0983114
4.0380498	0.5982585	0.6767328	-0.0877061	-0.2052913	-0.1852644	1.3596479	0.2369498	-0.2115636	-0.1094415
4.1380362	0.6256766	0.6946635	-0.0868678	-0.2053416	-0.1954137	1.3634829	0.2341703	-0.2164718	-0.1146513
4.2380698	0.6535087	0.7135935	-0.0914291	-0.2062394	-0.2059040	1.3662774	0.2328809	-0.2208024	-0.1164549
4.3381919	0.6820496	0.7326164	-0.0874919	-0.2066535	-0.2140837	1.3686710	0.2384509	-0.2224924	-0.1107571
4.4380193	0.7110122	0.7525612	-0.0879125	-0.2063863	-0.2192691	1.3702847	0.2446767	-0.2219511	-0.1094464
4.5379653	0.7384213	0.7717562	-0.0911814	-0.2050056	-0.2219836	1.3711929	0.2497996	-0.2194594	-0.1132238
4.6380726	0.7673178	0.7928864	-0.0927182	-0.2025990	-0.2225708	1.3715838	0.2536733	-0.2176245	-0.1196790
4.7380488	0.7964730	0.8152062	-0.0910522	-0.1997139	-0.2210673	1.3720871	0.2584969	-0.2201636	-0.1223656
4.8380349	0.8248182	0.8362303	-0.0935282	-0.1971604	-0.2182780	1.3735424	0.2652659	-0.2278050	-0.1257005
4.9380518	0.8551482	0.8593706	-0.0919129	-0.1956227	-0.2149308	1.3759917	0.2711350	-0.2370572	-0.1259659
5.0380242	0.8862316	0.8826639	-0.0900646	-0.1954964	-0.2110971	1.3791211	0.2754750	-0.2461349	-0.1244383
5.1380500	0.9179065	0.9047429	-0.0965708	-0.1969685	-0.2067729	1.3821201	0.2752463	-0.2542145	-0.1264964
5.2380070	0.9553494	0.9309650	-0.0929902	-0.2002584	-0.2035114	1.3848933	0.2753438	-0.2626268	-0.1200573
5.3380552	0.9829267	0.9495824	-0.0889571	-0.2034817	-0.2010877	1.3870026	0.2770186	-0.2651058	-0.1169693
5.4380319	1.0151170	0.9721815	-0.0922169	-0.2073405	-0.2005793	1.3899760	0.2781966	-0.2648243	-0.1213233
5.5380273	1.0534117	0.9997625	-0.0980923	-0.2100566	-0.2022984	1.3941481	0.2774785	-0.2639075	-0.1272112
5.6380334	1.0825901	1.0189796	-0.0941509	-0.2111734	-0.2048927	1.3978484	0.2770387	-0.2647601	-0.1267923
5.7380518	1.1162181	1.0420670	-0.0925847	-0.2097049	-0.2086573	1.4018465	0.2756470	-0.2626918	-0.1331364
5.8380506	1.1519419	1.0668595	-0.0889078	-0.2063314	-0.2120461	1.4054524	0.2753494	-0.2621071	-0.1351280
5.9380411	1.1814302	1.0879065	-0.0870544	-0.2044290	-0.2167493	1.4072220	0.2749215	-0.2661626	-0.1285966
6.0381678	1.2150286	1.1114554	-0.0882002	-0.2036813	-0.2217452	1.4085869	0.2741258	-0.2715640	-0.1248558
6.1380444	1.2505848	1.1357572	-0.0889078	-0.2038799	-0.2280234	1.4097644	0.2759748	-0.2809176	-0.1237184
6.2380250	1.2826772	1.1581703	-0.0857930	-0.2057742	-0.2335697	1.4106053	0.2776245	-0.2888898	-0.1241234
6.3379820	1.3184039	1.1812439	-0.0866818	-0.2067398	-0.2371821	1.4110333	0.2796163	-0.2950396	-0.1259499
6.4380160	1.3556040	1.2061676	-0.0848278	-0.2067104	-0.2371609	1.4110577	0.2839292	-0.2981902	-0.1298186
6.5380398	1.3901086	1.2295575	-0.0828059	-0.2052752	-0.2343777	1.4108482	0.2867775	-0.2999616	-0.1338233
6.6380339	1.4269336	1.2533224	-0.0849311	-0.2037327	-0.2303282	1.4106925	0.2882900	-0.3010821	-0.1333488
6.7380173	1.4640522	1.2769027	-0.0889075	-0.2029007	-0.2259743	1.4108524	0.2891971	-0.3030157	-0.1299729
6.8380339	1.4995733	1.3002194	-0.0887816	-0.2032209	-0.2222666	1.4118213	0.2915011	-0.3073478	-0.1242822
6.9380250	1.5369154	1.3250971	-0.0821345	-0.2041680	-0.2201286	1.4138451	0.2958583	-0.3120020	-0.1185578
7.0380076	1.5752079	1.3503903	-0.0837793	-0.2048778	-0.2182615	1.4163083	0.2999698	-0.3139714	-0.1263658
7.1380470	1.6121962	1.3755186	-0.0890119	-0.2050676	-0.2156109	1.4186729	0.3048998	-0.3155334	-0.1390595
7.2381916	1.6510572	1.4021091	-0.0904807	-0.2051798	-0.2120850	1.4205734	0.3091346	-0.3173624	-0.1469547
7.3380828	1.6901218	1.4288133	-0.0910476	-0.2055503	-0.2102848	1.4218576	0.3108992	-0.3184755	-0.1516075
7.4380052	1.7274159	1.4543539	-0.0925574	-0.2061611	-0.2127890	1.4226913	0.3072676	-0.3186507	-0.1560851
7.5381932	1.7665507	1.4802872	-0.0920741	-0.2063547	-0.2204265	1.4235387	0.3011914	-0.3206223	-0.1573220
7.6379812	1.8060589	1.5059195	-0.0921412	-0.2054980	-0.2320394	1.4239490	0.2919132	-0.3258476	-0.1576051
7.7380293	1.8441740	1.5319135	-0.0851944	-0.2038218	-0.2434312	1.4232230	0.2826340	-0.3346296	-0.1529957
7.8379845	1.8915441	1.5617064	-0.0827861	-0.2012663	-0.2498474	1.4205465	0.2728155	-0.3419366	-0.1557442
7.9380145	1.9259296	1.5756152	-0.0911811	-0.2010481	-0.2506310	1.4180294	0.2712633	-0.3453352	-0.1621705
8.0380157	1.9678252	1.6020607	-0.0883739	-0.2014866	-0.2452805	1.4157606	0.2790758	-0.3491032	-0.1552753
8.1379919	2.0131576	1.6278997	-0.0889078	-0.2047259	-0.2357221	1.4151161	0.2896524	-0.3509217	-0.1516885
8.2380649	2.0501584	1.6487978	-0.0930894	-0.2063081	-0.2236432	1.4163492	0.2998972	-0.3516262	-0.1500237
8.3380431	2.0925687	1.6740081	-0.0900235	-0.2097135	-0.2119250	1.4189965	0.3108196	-0.3488003	-0.1460545
8.4379845	2.1370797	1.6996505	-0.0858474	-0.2133557	-0.2037016	1.4218456	0.3130968	-0.3441301	-0.1432611
8.5379948	2.1742656	1.7276129	-0.0921393	-0.2144564	-0.1998082	1.4228655	0.2988233	-0.3426677	-0.1481689
8.6380406	2.2154642	1.7520726	-0.0937146	-0.2146053	-0.2009769	1.4215425	0.2777394	-0.3418745	-0.1509133
8.7380823	2.2574703	1.7656179	-0.0838058	-0.2129399	-0.2058135	1.4181785	0.2634153	-0.3430904	-0.1417398
8.8380099	2.2954839	1.7865904	-0.0860600	-0.2115849	-0.2135858	1.4153902	0.2659997	-0.3434935	-0.1440899
8.9380288	2.3370148	1.8103811	-0.0892634	-0.2098154	-0.2213082	1.4143860	0.2887709	-0.3467320	-0.1457239
9.0380626	2.3791333	1.8356853	-0.0909494	-0.2085359	-0.2271914	1.4159706	0.3183566	-0.3527378	-0.1447262
9.1380109	2.4202231	1.8615816	-0.0916708	-0.2085203	-0.2315034	1.4186709	0.3347084	-0.3582476	-0.1402442
9.2380280	2.4635906	1.8894276	-0.0910970	-0.2086718	-0.2343406	1.4205562	0.3332276	-0.3598828	-0.1377898
9.3381893	2.5070001	1.9183038	-0.0858253	-0.2084851	-0.2365746	1.4206006	0.3219254	-0.3602487	-0.1380127
9.4380273	2.5479914	1.9428691	-0.0857523	-0.2074963	-0.2382305	1.4188133	0.3026484	-0.3588177	-0.1485101
9.5380826	2.5912262	1.9696299	-0.0820396	-0.2058691	-0.2401315	1.4161844	0.2907015	-0.3588458	-0.1568572
9.6380544	2.6346215	1.9921008	-0.0869667	-0.2040827	-0.2412993	1.4140492	0.2867880	-0.3591270	-0.1681932
9.7380012	2.6761994	2.0154002	-0.0884546	-0.2032517	-0.2407621	1.4133718	0.2909397	-0.3641082	-0.1702986
9.8380214	2.7206897	2.0396136	-0.0909686	-0.2037487	-0.2357150	1.4136790	0.2948277	-0.3705440	-0.1676739
9.9380485	2.7650381	2.0657722	-0.0869125	-0.2057829	-0.2258494	1.4136567	0.2976298	-0.3791607	-0.1549728
10.0380547	2.8082834	2.0887974	-0.0879554	-0.2085924	-0.2160952	1.4127282	0.2944018	-0.3827228	-0.1493579
10.1380388	2.8536631	2.1134239	-0.0900667	-0.2112765	-0.2097816	1.4118539	0.2954413	-0.3805384	-0.1488566
10.2380634	2.8985536	2.1359502	-0.0879143	-0.2129658	-0.2081402	1.4123235	0.3020779	-0.3737622	-0.1493788
10.3382001	2.9408342	2.1613336	-0.0902168	-0.2135148	-0.2088115	1.4142561	0.3106234	-0.3646766	-0.1567985
10.4379988	2.9911697	2.1911305	-0.0909494	-0.2133256	-0.2096035	1.4167951	0.3182088	-0.3548304	-0.1622018
10.5380134	3.0279662	2.2112148	-0.0880618	-0.2133496	-0.2110522	1.4177776	0.3191921	-0.3539847	-0.1612364
10.6380577	3.0691732	2.2380040	-0.0914617	-0.2136410	-0.2156283	1.4177714	0.3137305	-0.3561450	-0.1623375
10.7379996	3.1181539	2.2654237	-0.0878882	-0.2127557	-0.2230091	1.4164781	0.3045351	-0.3598357	-0.1573545
10.8380739	3.1564733	2.2876162	-0.0879771	-0.2138969	-0.2310715	1.4146999	0.3001723	-0.3630617	-0.1565544
10.9380467	3.2010432	2.3140731	-0.0828256	-0.2138675	-0.2383363	1.4125857	0.2995365	-0.3643498	-0.1547650
11.0380388	3.2470084	2.3397175	-0.0838058	-0.2129373	-0.2442457	1.4109088	0.2971528	-0.3625725	-0.1633354
11.1380316	3.2877761	2.3653804	-0.0809347	-0.2130627	-0.2468509	1.4105358	0.2980805	-0.3622838	-0.1666957
11.2380237	3.3309363	2.3865467	-0.0867924	-0.2130559	-0.2444592	1.4106225	0.2997262	-0.3607011	-0.1784209
11.3380390	3.3766643	2.4133613	-0.0878882	-0.2139428	-0.2385859	1.4106050	0.3002881	-0.3631864	-0.1811813
11.4380086	3.4184042	2.4371619	-0.0883549	-0.2142771	-0.2322738	1.4103700	0.2949551	-0.3685870	-0.1760674
