%time,field.P_vel,field.I_vel,field.D_vel,field.P_pitch,field.I_pitch,field.D_pitch,field.P_yaw,field.I_yaw,field.D_yaw
1492805866955954417,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805867055702676,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805867155616145,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805867255614368,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805867356131908,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805867455615814,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805867555615972,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805867655571021,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805867755580626,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805867855955271,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805867955591915,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805868055696582,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805868155990135,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805868255737508,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805868355567079,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805868455578872,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805868555630705,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805868655811173,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805868755617665,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805868855658671,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805868955699577,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805869055681191,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805869155651104,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805869255683527,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805869355604935,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805869455654886,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805869555683985,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805869655634030,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805869755606510,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805869855598556,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805869955582318,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805870055547435,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805870155699493,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805870255704461,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805870355641708,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805870455697518,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805870555614355,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805870655600861,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805870755578116,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805870855584025,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805870955685998,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805871055630852,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805871155767503,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805871255720249,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805871355619445,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805871455725931,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805871555565305,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805871655616998,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805871755603504,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805871855674013,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805871955739279,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805872055670919,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805872155615169,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805872255633190,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805872355625492,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
1492805872455691570,105.0,44.0,17.5,10.0,0.0,50.0,30.0,0.0,50.0
