%time,field.data
1492805867003761582,1
1492805867104600302,1
1492805867204111494,1
1492805867311873160,1
1492805867414061475,1
1492805867503648110,1
1492805867603264799,1
1492805867725230796,1
1492805867803560541,1
1492805867906399746,1
1492805868004571898,1
1492805868116640566,1
1492805868208441733,1
1492805868311455264,1
1492805868404607942,1
1492805868502961481,1
1492805868606384925,1
1492805868707504110,1
1492805868803061971,1
1492805868907880545,1
1492805869006008867,1
1492805869107315017,1
1492805869204500850,1
1492805869311654637,1
1492805869402758341,1
1492805869509092967,1
1492805869615320927,1
1492805869703771692,1
1492805869803487103,1
1492805869903742523,1
1492805870015585079,1
1492805870104567997,1
1492805870203671930,1
1492805870310010467,1
1492805870403467435,1
1492805870505071043,1
1492805870606946427,1
1492805870705200781,1
1492805870805423969,1
1492805870909561057,1
1492805871003593105,1
1492805871104667953,1
1492805871206426820,1
1492805871310468489,1
1492805871407456116,1
1492805871513986870,1
1492805871603799326,1
1492805871707441671,1
1492805871804710671,1
1492805871917590146,1
1492805872005646726,1
1492805872105198931,1
1492805872208318373,1
1492805872310427318,1
1492805872405340209,1
1492805872507584700,1
1492805872604078654,1
1492805872703224833,1
1492805872805186155,1
1492805872903615335,1
1492805873006443129,1
1492805873108923321,1
1492805873205808909,1
1492805873318015086,1
1492805873407289253,1
1492805873514633170,1
1492805873617505528,1
1492805873703466695,1
1492805873805075887,1
1492805873903694737,1
1492805874004668938,1
1492805874104550960,1
1492805874203179090,1
1492805874310286708,1
1492805874413841566,1
1492805874507206440,1
1492805874604554970,1
1492805874704976495,1
1492805874805503202,1
1492805874909659712,1
1492805875006065401,1
1492805875104859647,1
1492805875217395351,1
1492805875310368407,1
1492805875403030669,1
1492805875503387947,1
1492805875603791772,1
1492805875714398991,1
1492805875812643469,1
1492805875905007399,1
1492805876007741181,1
1492805876103220169,1
1492805876204613155,1
1492805876310484709,1
1492805876424731399,1
1492805876511862398,1
1492805876604590144,1
1492805876718241029,1
1492805876808223035,1
1492805876903431048,1
1492805877004924802,1
1492805877103438575,1
1492805877204497150,1
1492805877311060347,1
1492805877408253979,1
1492805877504657717,1
1492805877607267596,1
1492805877704105869,1
1492805877812233357,1
1492805877916110750,1
1492805878010744419,1
1492805878111036201,1
1492805878220349128,1
1492805878312280165,1
1492805878420533047,1
1492805878504228723,1
1492805878604029725,1
1492805878704409460,1
1492805878803664168,1
1492805878903761439,1
1492805879007559222,1
1492805879106077001,1
1492805879204765391,1
1492805879312606922,1
1492805879404283440,1
1492805879529774693,1
1492805879603352946,1
1492805879705771277,1
1492805879804691587,1
1492805879907007892,1
1492805880004206422,1
1492805880104218649,1
1492805880208589314,1
1492805880310433831,1
1492805880409827060,1
1492805880504977895,1
1492805880604289517,1
1492805880716402527,1
1492805880804263453,1
1492805880917687520,1
1492805881008948180,1
1492805881104717910,1
1492805881235496648,1
1492805881316274802,1
1492805881407226490,1
1492805881503879456,1
1492805881604096443,1
1492805881708683791,1
1492805881806523458,1
1492805881908903717,1
1492805882010302538,1
1492805882115070474,1
1492805882207342102,1
1492805882310617488,1
1492805882406212794,1
1492805882516512758,1
1492805882604064684,1
1492805882704804116,1
1492805882804487553,1
1492805882905481226,1
1492805883005335270,1
1492805883117981852,1
1492805883205577448,1
1492805883311862346,1
1492805883406164974,1
1492805883504319765,1
1492805883604578299,1
1492805883706318037,1
1492805883805319275,1
1492805883912060805,1
1492805884003314427,1
1492805884103540847,1
1492805884204297111,1
1492805884310678583,1
1492805884405145552,1
1492805884507123870,1
1492805884608950212,1
1492805884703738873,1
1492805884805628183,1
1492805884910469882,1
1492805885005000093,1
1492805885105733068,1
1492805885210984091,1
1492805885313750328,1
1492805885404039669,1
1492805885505729115,1
1492805885606782087,1
1492805885704875865,1
1492805885806770399,1
1492805885905553443,1
1492805886007352955,1
1492805886118590024,1
1492805886213546235,1
1492805886311002510,1
1492805886413374676,1
1492805886504173508,1
1492805886605884244,1
1492805886712782648,1
1492805886804064960,1
1492805886913802122,1
1492805887018505348,1
1492805887110449403,1
1492805887207346479,1
1492805887315459934,1
1492805887405019890,1
1492805887506092622,1
1492805887606432951,1
1492805887704845827,1
1492805887805023815,1
1492805887907295894,1
1492805888060664259,1
1492805888104383108,1
1492805888205667677,1
1492805888325194451,1
1492805888404747986,1
1492805888506741627,1
1492805888607463225,1
1492805888704860492,1
1492805888807134677,1
1492805888904553794,1
1492805889004189895,1
1492805889105712502,1
1492805889205805202,1
1492805889312830348,1
1492805889406812066,1
1492805889507404026,1
1492805889609842138,1
1492805889705418530,1
1492805889806528458,1
1492805889910040791,1
1492805890005699735,1
1492805890105794086,1
1492805890210507618,1
1492805890311997907,1
1492805890409016425,1
1492805890504619049,1
1492805890606812197,1
1492805890706849806,1
1492805890804912215,1
1492805890911368386,1
1492805891004447858,1
1492805891103647301,1
1492805891204959224,1
1492805891311972532,1
1492805891404850801,1
1492805891505231591,1
1492805891605135576,1
1492805891703909802,1
1492805891805398252,1
1492805891906709070,1
1492805892009241009,1
1492805892105601103,1
1492805892205314445,1
1492805892311334702,1
1492805892405202581,1
1492805892716858805,1
1492805892716867018,1
1492805892716871545,1
1492805892806261748,1
1492805892904650649,1
1492805893006799549,1
1492805893107842673,1
1492805893204815083,1
1492805893313476295,1
1492805893405198128,1
1492805893509077286,1
1492805893606944400,1
1492805893706423835,1
1492805893815105160,1
1492805893905685738,1
1492805894031251957,1
1492805894131851156,1
1492805894207670053,1
1492805894326074015,1
1492805894407391187,1
1492805894509978694,1
1492805894607548894,1
1492805894718764035,1
1492805894811394343,1
1492805894933711984,1
1492805895004471840,1
1492805895112064568,1
1492805895215002407,1
1492805895310882983,1
1492805895405343405,1
1492805895507194005,1
1492805895605961226,1
1492805895704127428,1
1492805895804616581,1
1492805895905567218,1
1492805896009499326,1
1492805896106203098,1
1492805896208574691,1
1492805896311451923,1
1492805896405483393,1
1492805896504050540,1
1492805896605548661,1
1492805896706275938,1
1492805896804473308,1
1492805896911059108,1
1492805897011449322,1
1492805897107523626,1
1492805897206420921,1
1492805897313654884,1
1492805897404413095,1
1492805897504624786,1
1492805897605586880,1
1492805897704882181,1
1492805897809860558,1
1492805897908391712,1
1492805898011301188,1
1492805898110298504,1
1492805898205145263,1
1492805898314510320,1
1492805898406229279,1
1492805898503576664,1
1492805898605558163,1
1492805898708212972,1
1492805898807945031,1
1492805898919141241,1
1492805899008673268,1
1492805899124885405,1
1492805899218362144,1
1492805899311039192,1
1492805899407014045,1
1492805899507022021,1
1492805899605488334,1
1492805899706046798,1
1492805899804785421,1
1492805899907264125,1
1492805900005279662,1
1492805900104186129,1
1492805900206420817,1
1492805900312175796,1
1492805900407581967,1
1492805900505294887,1
1492805900604014040,1
1492805900720717366,1
1492805900811267834,1
1492805900904263913,1
1492805901005473334,1
1492805901105192749,1
1492805901205926892,1
1492805901310805231,1
1492805901407951201,1
1492805901524337294,1
1492805901606923339,1
