%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1492805867255107925,294,1492805867254913091,robot_frame,nan,nan,0.0,0.0,0.0,0.0
1492805868254867315,295,1492805868254703044,robot_frame,nan,nan,0.0,0.0,0.0,0.0
1492805869254583329,296,1492805869254451990,robot_frame,nan,nan,0.0,0.0,0.0,0.0
1492805870254425554,297,1492805870254254102,robot_frame,nan,nan,0.0,0.0,0.0,0.0
1492805871259168689,298,1492805871259028911,robot_frame,nan,nan,0.0,0.0,0.0,0.0
1492805872256943591,299,1492805872256810903,robot_frame,nan,nan,0.0,0.0,0.0,0.0
1492805873255912679,300,1492805873255711078,robot_frame,nan,nan,0.0,0.0,0.0,0.0
1492805874256557339,301,1492805874256431102,robot_frame,nan,nan,0.0,0.0,0.0,0.0
1492805875256409036,302,1492805875256277084,robot_frame,nan,nan,0.0,0.0,0.0,0.0
1492805876263272901,303,1492805876263134956,robot_frame,-0.368429344504,-0.265719623675,0.0,0.0,0.0,0.0
1492805877261116181,304,1492805877260920047,robot_frame,-0.0303764330331,-0.469735513447,0.0,0.0,0.0,0.0
1492805878260916857,305,1492805878260766983,robot_frame,0.152334632492,-0.490295515408,0.0,0.0,0.0,0.0
1492805879261795607,306,1492805879261631011,robot_frame,0.330244981008,-0.534920996054,0.0,0.0,0.0,0.0
1492805880263580107,307,1492805880263403892,robot_frame,0.440584492002,-0.546803028842,0.0,0.0,0.0,0.0
1492805881263315808,308,1492805881263164997,robot_frame,0.549146868138,-0.604139699428,0.0,0.0,0.0,0.0
1492805882262089296,309,1492805882261938095,robot_frame,0.562357223551,-0.608780802932,0.0,0.0,0.0,0.0
1492805883262869737,310,1492805883262717008,robot_frame,0.61150419635,-0.638116411078,0.0,0.0,0.0,0.0
1492805884262704291,311,1492805884262557029,robot_frame,0.612855910582,-0.667878169801,0.0,0.0,0.0,0.0
1492805885262554067,312,1492805885262401103,robot_frame,0.532998495202,-0.6426841946,0.0,0.0,0.0,0.0
1492805886262376523,313,1492805886262221097,robot_frame,0.679974546592,-0.791940207929,0.0,0.0,0.0,0.0
1492805887262153091,314,1492805887262001991,robot_frame,0.729806211782,-0.832477543465,0.0,0.0,0.0,0.0
1492805888258914289,315,1492805888258759975,robot_frame,0.808256303001,-0.88515359657,0.0,0.0,0.0,0.0
1492805889262732354,316,1492805889262584924,robot_frame,0.663766572585,-0.759015964198,0.0,0.0,0.0,0.0
1492805890262461718,317,1492805890262329101,robot_frame,0.774024371109,-0.946683870913,0.0,0.0,0.0,0.0
1492805891261397095,318,1492805891261236906,robot_frame,0.554652834454,-0.75176326207,0.0,0.0,0.0,0.0
1492805892260082653,319,1492805892259937047,robot_frame,0.462672251771,-0.795589183085,0.0,0.0,0.0,0.0
1492805893263751190,320,1492805893263611078,robot_frame,0.385140758511,-0.884918254306,0.0,0.0,0.0,0.0
1492805894261602717,321,1492805894261456012,robot_frame,0.413900475845,-1.03012925987,0.0,0.0,0.0,0.0
1492805895261463735,322,1492805895261317014,robot_frame,0.526261153156,-1.19715286618,0.0,0.0,0.0,0.0
1492805896261204884,323,1492805896261075973,robot_frame,0.556052057157,-1.27396484319,0.0,0.0,0.0,0.0
1492805897263060231,324,1492805897262902975,robot_frame,0.567552036558,-1.34292991997,0.0,0.0,0.0,0.0
1492805898263864821,325,1492805898263714075,robot_frame,0.410439189067,-1.16226689923,0.0,0.0,0.0,0.0
1492805899258639490,326,1492805899258492946,robot_frame,0.220607383986,-1.00337992438,0.0,0.0,0.0,0.0
1492805900261387789,327,1492805900261250972,robot_frame,0.230718000664,-1.16627934069,0.0,0.0,0.0,0.0
1492805901261297193,328,1492805901261101961,robot_frame,0.170641508114,-1.14589295403,0.0,0.0,0.0,0.0
