%time,field.data
1492806563455999139,0.0
1492806563556104835,0.0
1492806563656012035,0.0
1492806563756021284,0.0
1492806563855974472,0.0
1492806563955939561,0.0
1492806564055906071,0.0
1492806564155906414,0.0
1492806564255881111,0.0
1492806564355907740,0.0
1492806564455884153,0.0
1492806564555964006,0.0
1492806564655938257,0.0
1492806564756042591,0.0
1492806564855892785,0.0
1492806564955964529,0.0
1492806565055959584,0.0
1492806565155969383,0.0
1492806565255915555,0.0
1492806565355883157,0.0
1492806565455946025,0.0
1492806565555952834,0.0
1492806565655960064,0.0
1492806565756061198,0.0
1492806565856044083,0.0
1492806565955903338,0.0
1492806566055935360,0.0
1492806566155922267,0.0
1492806566255954079,0.0
1492806566355926363,0.0
1492806566455848026,0.0
1492806566555954860,0.0
1492806566655883706,0.0
1492806566755836188,0.0
1492806566855842941,0.0
1492806566955908742,0.0
1492806567055860936,0.0
1492806567155906471,0.0
1492806567255965723,0.0
1492806567355915203,0.0
1492806567455924900,0.0
1492806567555970567,0.0
1492806567655915341,0.0
1492806567755903818,0.0
1492806567856002002,0.0
1492806567955968190,0.0
1492806568056070595,-35.0
1492806568155992335,-7.86521148682
1492806568255837649,-2.31489920616
1492806568355988473,-0.955333650112
1492806568455859100,-0.650368094444
1492806568555860574,-0.358393460512
1492806568655944691,0.25021904707
1492806568755989468,0.779526770115
1492806568855975397,1.72682797909
1492806568955920178,1.82102453709
1492806569056060664,1.24103212357
1492806569155936835,0.32637116313
1492806569255862887,0.0081239361316
1492806569356002290,0.408275574446
1492806569456039333,2.03663730621
1492806569555960952,3.05414867401
1492806569655992838,3.44946742058
1492806569756040575,2.35382056236
1492806569855999933,0.856114149094
1492806569955901775,-0.662550032139
1492806570056053525,-0.223164349794
1492806570156018889,0.746503710747
1492806570256014497,1.35795223713
1492806570355924191,1.63144218922
1492806570456014942,1.10076606274
1492806570555995087,1.59173536301
1492806570655893549,2.10900354385
1492806570755957342,2.6258354187
1492806570855906218,2.51296305656
1492806570955946361,2.06378221512
1492806571055985624,1.86705207825
1492806571155914209,1.94564056396
1492806571256015173,2.01539444923
1492806571355894955,2.0773088932
1492806571455913841,2.6597878933
1492806571555935462,3.51086044312
1492806571655993177,2.89026856422
1492806571755955872,2.14784121513
1492806571855898978,1.47168493271
1492806571956009458,1.56685435772
1492806572055976998,2.66059064865
1492806572156083982,3.76753592491
1492806572255971509,4.19910144806
1492806572355949653,3.48776268959
1492806572455924065,2.24402475357
1492806572555913893,1.10958588123
1492806572656059983,0.488625735044
1492806572756018576,1.31153452396
1492806572855953595,2.5079331398
1492806572955890688,3.9710021019
1492806573055912324,4.69681596756
1492806573155939425,5.32242774963
1492806573255982041,4.78373193741
1492806573355996648,4.51388025284
1492806573456100707,3.60175895691
1492806573555896802,2.75928497314
1492806573655904663,2.64668273926
1492806573755872141,3.12445473671
1492806573856029603,3.72070908546
1492806573955824568,4.29942989349
1492806574055874401,3.57807660103
1492806574155881676,3.348954916
1492806574256052557,2.68450260162
1492806574355922139,3.32862925529
1492806574455938799,3.46169757843
1492806574555918197,4.32908010483
1492806574656054955,5.58121347427
1492806574755994038,6.02783918381
1492806574855898008,6.87765789032
1492806574955915290,7.73964262009
1492806575055978553,7.91790103912
1492806575155945560,8.2304649353
1492806575256027386,8.73270606995
1492806575355909695,8.22348117828
1492806575455922304,7.71700191498
1492806575556082719,7.11644458771
1492806575655815943,6.71154022217
1492806575755961474,7.0995388031
1492806575855899197,7.91299676895
1492806575956015969,8.85552501678
1492806576055952323,9.98788452148
1492806576155933637,10.5467739105
1492806576256013374,10.9502038956
1492806576356029453,11.0441131592
1492806576456031157,11.2320184708
1492806576555873488,11.5998888016
1492806576656016501,11.1990213394
1492806576756020976,11.1819009781
1492806576855869878,11.0924291611
1492806576955914209,10.9888267517
1492806577055873252,11.3104820251
1492806577155921664,11.8206138611
1492806577255904518,12.9115791321
1492806577355942547,12.7555646896
1492806577455954744,13.2630319595
1492806577555942150,13.1177959442
1492806577655891966,12.4498548508
1492806577755898030,11.9405899048
1492806577855972409,12.0228443146
1492806577955944950,12.4311294556
1492806578055961353,13.1803798676
1492806578155969994,13.3458805084
1492806578255925242,13.1303596497
1492806578355934047,13.1230735779
1492806578455898475,13.1289539337
1492806578555920349,13.929441452
1492806578655982953,14.4333648682
1492806578755908685,14.63347435
1492806578855956001,14.232380867
1492806578955967858,13.5111522675
1492806579056016682,13.3442640305
1492806579155941144,13.7171754837
1492806579255965516,14.8822565079
1492806579356044908,15.1562900543
1492806579455861887,15.60983181
1492806579555940342,15.4779024124
1492806579656027432,14.9343948364
1492806579755974134,14.5222682953
1492806579855893365,14.360086441
1492806579955865685,14.6153507233
1492806580056018697,15.1911563873
1492806580156027907,15.9469823837
1492806580255962810,16.3878078461
1492806580355869831,17.1625614166
1492806580455935642,18.2151699066
1492806580555891189,18.9368343353
1492806580655974178,18.5202865601
1492806580755871451,18.4842185974
1492806580855916273,18.159122467
1492806580955952828,18.1654682159
1492806581055865631,17.8100299835
1492806581155878260,17.0181922913
1492806581256030793,16.9604568481
1492806581355871954,17.4671897888
1492806581455905587,18.6106548309
1492806581555836991,19.330165863
1492806581655944213,19.7242240906
1492806581755947958,20.3526802063
1492806581855888209,20.5855102539
1492806581955855125,20.7714977264
1492806582055963596,20.9547462463
1492806582155983729,20.6924972534
1492806582255884487,21.3000278473
1492806582355900251,21.4378681183
1492806582455953244,21.8125305176
1492806582555918381,21.424779892
1492806582655999878,21.4351501465
1492806582755872958,21.6127853394
1492806582855908568,22.0613098145
1492806582955974680,22.8833847046
1492806583056048737,23.8058795929
1492806583156023197,23.9620876312
1492806583255869581,23.513967514
1492806583355906953,22.7779502869
1492806583455908593,22.270029068
1492806583555900054,22.4750118256
1492806583656019092,23.1084651947
1492806583756013192,23.9634342194
1492806583856034714,24.6000270844
1492806583955807956,24.9566059113
1492806584055954665,25.1898784637
1492806584156004693,25.5198497772
1492806584255839452,26.0095653534
1492806584355952521,25.7225551605
