# Time	Input
-4.6998508	0.0000000
-4.5998956	0.0000000
-4.4998403	0.0000000
-4.3998070	0.0000000
-4.2997693	0.0000000
-4.1997921	0.0000000
-4.0997693	0.0000000
-3.9994921	0.0000000
-3.8997171	0.0000000
-3.7998438	0.0000000
-3.6999068	0.0000000
-3.5998577	0.0000000
-3.4997676	0.0000000
-3.3998559	0.0000000
-3.2998436	0.0000000
-3.1998449	0.0000000
-3.0999314	0.0000000
-2.9997517	0.0000000
-2.8998431	0.0000000
-2.7999447	0.0000000
-2.6997847	0.0000000
-2.5997617	0.0000000
-2.4998820	0.0000000
-2.3998085	0.0000000
-2.2998994	0.0000000
-2.1997681	0.0000000
-2.0997117	0.0000000
-1.9998380	0.0000000
-1.8996746	0.0000000
-1.7997018	0.0000000
-1.6998781	0.0000000
-1.5997788	0.0000000
-1.4998620	0.0000000
-1.3998451	0.0000000
-1.2997962	0.0000000
-1.1999153	0.0000000
-1.0998628	0.0000000
-0.9998720	0.0000000
-0.8998743	0.0000000
-0.7996703	0.0000000
-0.6998420	0.0000000
-0.5997750	0.0000000
-0.4996562	0.0000000
-0.3997002	0.0000000
-0.2998369	0.0000000
-0.1997460	0.0000000
-0.0997292	0.0000000
0.0000947	-4.0254316
0.1000860	-4.1989293
0.2001324	-4.3787508
0.3000947	-4.2607331
0.4000996	-3.9859898
0.5001864	-3.5529475
0.6001326	-2.8987718
0.7001935	-2.2843955
0.8002401	-1.7470427
0.9001964	-1.1346480
1.0000735	-0.4333892
1.1001039	0.5326486
1.2001114	1.3908826
1.3001882	2.0080206
1.4000392	2.3044252
1.5000891	2.1304257
1.6003909	1.9265682
1.7002140	1.8950729
1.8001943	1.9309479
1.9002348	2.3086448
2.0002409	2.9212399
2.1001838	3.4358768
2.2001684	3.6760173
2.3001587	3.6095262
2.4001398	3.2094283
2.5001372	2.6849768
2.6002033	2.0761979
2.7001741	2.2847247
2.8002796	3.3412163
2.9000530	4.6880641
3.0003866	5.0904169
3.1000640	4.5316582
3.2001597	3.2060480
3.3003430	2.3571339
3.4001518	1.8888850
3.5001618	1.9708720
3.6001987	2.6375220
3.7002276	3.4695745
3.8001134	4.1054702
3.9001861	4.8350534
4.0002179	5.2028332
4.1003177	5.2459006
4.2001405	5.0472445
4.3002509	4.8595295
4.4001469	4.5059662
4.5001196	3.8176091
4.6002314	3.3413136
4.7001316	2.6991510
4.8003571	2.3409357
4.9002148	2.6127427
5.0001231	3.4118068
5.1000576	4.2540050
5.2002171	4.9319329
5.3001364	5.1384439
5.4001121	5.4639993
5.5001661	5.5653915
5.6001851	5.4801946
5.7002107	5.0800171
5.8001641	4.6865001
5.9001715	4.7404404
6.0002798	4.9600105
6.1003743	5.2168627
6.2002442	5.0209155
6.3005020	4.3440480
6.4002130	3.3934367
6.5001295	3.3090718
6.6003415	3.8009112
6.7002092	4.8212190
6.8001987	5.7384515
6.9002168	6.0518737
