# Time	Input
-4.6996782	0.0000000
-4.5995643	0.0000000
-4.4996214	0.0000000
-4.3995758	0.0000000
-4.2995958	0.0000000
-4.1996285	0.0000000
-4.0995707	0.0000000
-3.9990607	0.0000000
-3.8996595	0.0000000
-3.7996188	0.0000000
-3.6996511	0.0000000
-3.5996416	0.0000000
-3.4996211	0.0000000
-3.3996900	0.0000000
-3.2997307	0.0000000
-3.1995474	0.0000000
-3.0996447	0.0000000
-2.9996511	0.0000000
-2.8995889	0.0000000
-2.7996931	0.0000000
-2.6996009	0.0000000
-2.5996490	0.0000000
-2.4997028	0.0000000
-2.3995487	0.0000000
-2.2996979	0.0000000
-2.1996396	0.0000000
-2.0996393	0.0000000
-1.9996472	0.0000000
-1.8995837	0.0000000
-1.7995423	0.0000000
-1.6996705	0.0000000
-1.5996554	0.0000000
-1.4996421	0.0000000
-1.3996083	0.0000000
-1.2996544	0.0000000
-1.1996864	0.0000000
-1.0996319	0.0000000
-0.9996751	0.0000000
-0.8995476	0.0000000
-0.7996380	0.0000000
-0.6996790	0.0000000
-0.5996649	0.0000000
-0.4996250	0.0000000
-0.3995643	0.0000000
-0.2996390	0.0000000
-0.1995953	0.0000000
-0.0996531	0.0000000
0.0003034	3.3500056
0.1002806	-2.1807346
0.2004017	-3.2921553
0.3002826	-3.7033756
0.4003356	-3.7706256
0.5004014	-3.5429127
0.6004111	-2.8851209
0.7003556	-2.0714018
0.8004119	-1.3428249
0.9003937	-0.4704154
1.0003049	0.4476538
1.1003471	1.5075579
1.2002972	2.3328052
1.3004273	2.8813865
1.4003069	3.2713866
1.5004032	3.1559560
1.6005594	3.2052307
1.7003502	3.0204115
1.8003538	2.5085621
1.9003236	2.2666440
2.0004155	2.7028408
2.1004252	3.4082870
2.2003535	4.2348866
2.3003648	5.1563993
2.4003722	5.5040779
2.5003937	5.5040927
2.6002847	4.7926569
2.7004196	4.2380147
2.8003469	4.6705432
2.9002243	5.4329367
3.0003799	5.4132414
3.1004140	4.5195765
3.2003628	3.0922172
3.3004593	2.4084773
3.4004047	2.3311734
3.5004073	2.9183440
3.6004616	4.0122633
3.7002995	5.1683097
3.8002962	5.9401536
3.9003034	6.5859184
4.0003128	6.6966724
4.1003249	6.0430102
4.2003753	5.1658483
4.3003822	4.5619602
4.4003021	4.2192473
4.5003663	3.9537861
4.6003789	4.1232800
4.7003832	3.7824812
4.8003039	3.3250546
4.9004052	3.0426009
5.0003692	3.5870755
5.1002737	4.1468158
5.2003773	4.8013783
5.3002844	5.4448419
5.4003169	6.0030899
5.5002921	6.0977721
5.6004301	5.6266737
5.7004201	4.8057132
5.8003584	4.2293692
