# Time	Input
-4.6998446	0.0000000
-4.5998203	0.0000000
-4.4999780	0.0000000
-4.3999606	0.0000000
-4.2999854	0.0000000
-4.1999516	0.0000000
-4.0999360	0.0000000
-3.9996652	0.0000000
-3.8996941	0.0000000
-3.7999393	0.0000000
-3.6999575	0.0000000
-3.5999552	0.0000000
-3.4998536	0.0000000
-3.3999247	0.0000000
-3.3000159	0.0000000
-3.1997906	0.0000000
-3.1000202	0.0000000
-2.9999895	0.0000000
-2.8999004	0.0000000
-2.8000576	0.0000000
-2.6999498	0.0000000
-2.6000056	0.0000000
-2.4999237	0.0000000
-2.3999501	0.0000000
-2.2999864	0.0000000
-2.1999532	0.0000000
-2.0998833	0.0000000
-1.9999775	0.0000000
-1.8999596	0.0000000
-1.7999987	0.0000000
-1.6998725	0.0000000
-1.5999519	0.0000000
-1.5000515	0.0000000
-1.3999823	0.0000000
-1.2999232	0.0000000
-1.1999777	0.0000000
-1.1000044	0.0000000
-0.9999201	0.0000000
-0.8997266	0.0000000
-0.7999357	0.0000000
-0.6999977	0.0000000
-0.6000054	0.0000000
-0.4998740	0.0000000
-0.3999268	0.0000000
-0.3000287	0.0000000
-0.2000061	0.0000000
-0.0999404	0.0000000
0.0000000	-4.0254316
0.1000760	-4.1989293
0.2000576	-4.3787508
0.3000735	-4.2607331
0.3999506	-3.9859898
0.4999770	-3.5529475
0.6001641	-2.8987718
0.7001490	-2.2843955
0.8000591	-1.7470427
0.8999959	-1.1346480
1.0000074	-0.4333892
1.1000049	0.5326486
1.2000138	1.3908826
1.3000881	2.0080206
1.4000909	2.3044252
1.5000422	2.1304257
1.6000105	1.9265682
1.7000957	1.8950729
1.8000819	1.9309479
1.8999204	2.3086448
2.0000748	2.9212399
2.1001713	3.4358768
2.2000361	3.6760173
2.3000246	3.6095262
2.4000730	3.2094283
2.4999631	2.6849768
2.5999741	2.0761979
2.6999764	2.2847247
2.8000202	3.3412163
2.9000573	4.6880641
3.0002371	5.0904169
3.0999839	4.5316582
3.2000497	3.2060480
3.3003551	2.3571339
3.4000865	1.8888850
3.5000402	1.9708720
3.6001907	2.6375220
3.7001582	3.4695745
3.8000338	4.1054702
3.9003796	4.8350534
4.0000484	5.2028332
4.1000868	5.2459006
4.2001733	5.0472445
4.3000714	4.8595295
