%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1492807088389884175,4667,1492807088389538049,robot_frame,0,1,33.461016,-117.7061425,-35.3,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807089389480435,4668,1492807089389264106,robot_frame,0,1,33.4610163333,-117.706141667,-35.3,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807090387250174,4669,1492807090387077093,robot_frame,0,1,33.4610165,-117.706140167,-35.3,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807091389961239,4670,1492807091389774084,robot_frame,0,1,33.4610165,-117.706138833,-35.3,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807092389804566,4671,1492807092389549970,robot_frame,0,1,33.4610163333,-117.706138167,-35.4,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807093390617336,4672,1492807093390397071,robot_frame,0,1,33.4610161667,-117.706137667,-35.5,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807094389426551,4673,1492807094389199972,robot_frame,0,1,33.4610158333,-117.706136333,-35.4,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807095391198255,4674,1492807095390986919,robot_frame,0,1,33.461016,-117.706135833,-35.5,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807096391077741,4675,1492807096390840053,robot_frame,0,1,33.4610158333,-117.706134833,-35.4,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807097389994684,4676,1492807097389643907,robot_frame,0,1,33.4610155,-117.706134667,-35.5,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807098390665495,4677,1492807098390357971,robot_frame,0,1,33.4610148333,-117.7061335,-35.6,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807099391554192,4678,1492807099391258001,robot_frame,0,1,33.4610138333,-117.706132167,-35.7,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807100393267583,4679,1492807100393063068,robot_frame,0,1,33.4610121667,-117.7061305,-35.7,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807101388052664,4680,1492807101387790918,robot_frame,0,1,33.4610096667,-117.706128833,-35.8,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807102390786150,4681,1492807102390599966,robot_frame,0,1,33.4610075,-117.706127667,-35.8,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807103390584215,4682,1492807103390398025,robot_frame,0,1,33.4610046667,-117.706125167,-35.7,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
1492807104402330610,4683,1492807104402123928,robot_frame,0,1,33.4610013333,-117.7061225,-35.7,0.8281,0.0,0.0,0.0,0.8281,0.0,0.0,0.0,3.3124,1
