%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1492807088389959844,368,1492807088389538049,robot_frame,1492807092000000000,robot_frame
1492807089389512509,369,1492807089389264106,robot_frame,1492807093000000000,robot_frame
1492807090387326919,370,1492807090387077093,robot_frame,1492807094000000000,robot_frame
1492807091390109363,371,1492807091389774084,robot_frame,1492807095000000000,robot_frame
1492807092389742299,372,1492807092389549970,robot_frame,1492807096000000000,robot_frame
1492807093390589053,373,1492807093390397071,robot_frame,1492807097000000000,robot_frame
1492807094389417237,374,1492807094389199972,robot_frame,1492807098000000000,robot_frame
1492807095391260675,375,1492807095390986919,robot_frame,1492807099000000000,robot_frame
1492807096391117635,376,1492807096390840053,robot_frame,1492807100000000000,robot_frame
1492807097389912349,377,1492807097389643907,robot_frame,1492807101000000000,robot_frame
1492807098390574088,378,1492807098390357971,robot_frame,1492807102000000000,robot_frame
1492807099391519888,379,1492807099391258001,robot_frame,1492807103000000000,robot_frame
1492807100393321559,380,1492807100393063068,robot_frame,1492807104000000000,robot_frame
1492807101387999200,381,1492807101387790918,robot_frame,1492807105000000000,robot_frame
1492807102390859423,382,1492807102390599966,robot_frame,1492807106000000000,robot_frame
1492807103390733426,383,1492807103390398025,robot_frame,1492807107000000000,robot_frame
1492807104402377958,384,1492807104402123928,robot_frame,1492807108000000000,robot_frame
1492807105403265946,385,1492807105402962923,robot_frame,1492807109000000000,robot_frame
1492807106402062590,386,1492807106401817083,robot_frame,1492807110000000000,robot_frame
1492807107404214258,387,1492807107403656959,robot_frame,1492807111000000000,robot_frame
1492807108406707122,388,1492807108406472921,robot_frame,1492807112000000000,robot_frame
1492807109405575615,389,1492807109405311107,robot_frame,1492807113000000000,robot_frame
1492807110403329326,390,1492807110403076887,robot_frame,1492807114000000000,robot_frame
1492807111402203549,391,1492807111401915073,robot_frame,1492807115000000000,robot_frame
1492807112398996294,392,1492807112398713111,robot_frame,1492807116000000000,robot_frame
1492807113402871753,393,1492807113402612924,robot_frame,1492807117000000000,robot_frame
1492807114401553182,394,1492807114401302099,robot_frame,1492807118000000000,robot_frame
1492807115404374801,395,1492807115404119968,robot_frame,1492807119000000000,robot_frame
1492807116405247073,396,1492807116404983997,robot_frame,1492807120000000000,robot_frame
1492807117404131228,397,1492807117403827905,robot_frame,1492807121000000000,robot_frame
1492807118402855728,398,1492807118402570962,robot_frame,1492807122000000000,robot_frame
1492807119398697275,399,1492807119398474931,robot_frame,1492807123000000000,robot_frame
1492807120403483655,400,1492807120403281927,robot_frame,1492807124000000000,robot_frame
1492807121403226121,401,1492807121402992963,robot_frame,1492807125000000000,robot_frame
1492807122404065691,402,1492807122403841972,robot_frame,1492807126000000000,robot_frame
