%time,field.data
1492807497627311204,1
1492807497727294450,1
1492807497827233326,1
1492807497927231129,1
1492807498027266557,1
1492807498127276280,1
1492807498227268145,1
1492807498327311175,1
1492807498427287926,1
1492807498527259462,1
1492807498627405144,1
1492807498727361735,1
1492807498827266334,1
1492807498927274228,1
1492807499027238582,1
1492807499127227906,1
1492807499227277544,1
1492807499327215570,1
1492807499427227555,1
1492807499527302019,1
1492807499627296629,1
1492807499727311597,1
1492807499827288301,1
1492807499927258676,1
1492807500027226524,1
1492807500127264627,1
1492807500227227932,1
1492807500327287331,1
1492807500427190767,1
1492807500527276303,1
1492807500627241260,1
1492807500727206432,1
1492807500827307514,1
1492807500927151762,1
1492807501027286144,1
1492807501127247800,1
1492807501227239839,1
1492807501327247012,1
1492807501427260356,1
1492807501527278380,1
1492807501627236093,1
1492807501727294128,1
1492807501827307140,1
1492807501927260662,1
1492807502027341034,1
1492807502127214398,1
1492807502227224164,1
1492807502327233725,1
1492807502427235754,1
1492807502527230258,1
1492807502627330504,1
1492807502727240934,1
1492807502827220966,1
1492807502927264372,1
1492807503027253324,1
1492807503127252179,1
1492807503227253107,1
1492807503327272437,1
1492807503427281537,1
1492807503527297648,1
1492807503627208205,1
1492807503727291911,1
1492807503827258234,1
1492807503927242489,1
1492807504027286770,1
1492807504127284851,1
1492807504227248313,1
1492807504327277809,1
1492807504427305969,1
1492807504527289987,1
1492807504627312240,1
1492807504727272269,1
1492807504827279713,1
1492807504927295406,1
1492807505027235166,1
1492807505127267021,1
1492807505227392208,1
1492807505327320165,1
1492807505427268563,1
1492807505527278624,1
1492807505627264155,1
1492807505727274583,1
1492807505827219430,1
1492807505927256448,1
1492807506027267459,1
1492807506127328409,1
1492807506227237028,1
1492807506327272035,1
1492807506427303563,1
1492807506527256673,1
1492807506627215300,1
1492807506727237346,1
1492807506827244451,1
1492807506927370603,1
1492807507027344589,1
1492807507127248642,1
1492807507227220575,1
1492807507327295661,1
1492807507427297752,1
1492807507527266299,1
1492807507627263027,1
1492807507727292533,1
1492807507827274357,1
1492807507927242486,1
1492807508027287149,1
1492807508127235414,1
1492807508227275477,1
1492807508327250269,1
1492807508427225221,1
1492807508527351900,1
1492807508627267678,1
1492807508727262137,1
1492807508827273765,1
1492807508927272536,1
1492807509027257551,1
1492807509127297716,1
1492807509227234754,1
1492807509327308392,1
1492807509427273108,1
1492807509527279168,1
1492807509627231755,1
1492807509727277213,1
1492807509827241218,1
1492807509927289532,1
1492807510027257518,1
1492807510127244112,1
1492807510227319145,1
1492807510327242096,1
1492807510427241610,1
1492807510527269574,1
1492807510627211714,1
1492807510727275163,1
1492807510827244507,1
1492807510927232239,1
1492807511027234791,1
1492807511127250873,1
1492807511227281858,1
1492807511327201706,1
1492807511427257083,1
1492807511527262478,1
1492807511627181793,1
1492807511727252295,1
1492807511827266959,1
1492807511927224925,1
1492807512027245495,1
1492807512127222658,1
1492807512227305942,1
1492807512327254731,1
1492807512427221569,1
1492807512527271590,1
1492807512627236027,1
1492807512727260762,1
1492807512827260190,1
1492807512927152798,1
1492807513027215099,1
1492807513127290301,1
1492807513227254647,1
1492807513327271980,1
1492807513427240829,1
1492807513527263737,1
1492807513627250138,1
1492807513727223061,1
1492807513827309701,1
1492807513927253752,1
1492807514027239569,1
1492807514127310529,1
1492807514227263765,1
1492807514327308463,1
1492807514427253748,1
1492807514527230601,1
1492807514627294440,1
1492807514727254623,1
1492807514827262134,1
1492807514927263303,1
1492807515027269638,1
1492807515127269511,1
1492807515227309375,1
1492807515327291348,1
1492807515427251034,1
1492807515527277236,1
1492807515627229653,1
1492807515727263305,1
1492807515827239051,1
1492807515927220297,1
1492807516027238729,1
1492807516127277778,1
1492807516227220564,1
1492807516327221119,1
1492807516427260069,1
1492807516527252746,1
1492807516627222972,1
1492807516727260246,1
1492807516827255460,1
1492807516927254380,1
1492807517027273233,1
1492807517127279238,1
1492807517227268392,1
1492807517327256327,1
1492807517427285065,1
1492807517527237484,1
1492807517627231025,1
1492807517727288630,1
1492807517827226631,1
1492807517927246995,1
1492807518027265593,1
1492807518127255550,1
1492807518227263435,1
1492807518327258988,1
1492807518427248940,1
1492807518527284244,1
