%time,field.data
1492807497750689905,1
1492807497764852962,1
1492807497866153064,1
1492807497964801454,1
1492807498065761368,1
1492807498168263418,1
1492807498270166401,1
1492807498364851859,1
1492807498465494412,1
1492807498567858201,1
1492807498666207809,1
1492807498772538250,1
1492807498866074782,1
1492807498987589363,1
1492807499065665034,1
1492807499168047166,1
1492807499285415117,1
1492807499370005275,1
1492807499465543047,1
1492807499565353580,1
1492807499671094277,1
1492807499765197002,1
1492807499864948413,1
1492807499965391122,1
1492807500064782706,1
1492807500166899748,1
1492807500266345302,1
1492807500387852380,1
1492807500474451162,1
1492807500568110730,1
1492807500670418333,1
1492807500765498835,1
1492807500864643349,1
1492807500966024614,1
1492807501064966321,1
1492807501164734207,1
1492807501268026085,1
1492807501368599882,1
1492807501465444407,1
1492807501566696718,1
1492807501664784069,1
1492807501766102570,1
1492807501867877971,1
1492807501964826212,1
1492807502073789637,1
1492807502164839773,1
1492807502264872196,1
1492807502365024777,1
1492807502466864558,1
1492807502565846922,1
1492807502665181699,1
1492807502766544094,1
1492807502870688960,1
1492807502964889029,1
1492807503067891196,1
1492807503175809155,1
1492807503275345463,1
1492807503365282908,1
1492807503466794520,1
1492807503568711479,1
1492807503665334718,1
1492807503764835915,1
1492807503864805797,1
1492807503965066023,1
1492807504069771531,1
1492807504165911809,1
1492807504269405736,1
1492807504366438105,1
1492807504465666213,1
1492807504565838388,1
1492807504669176204,1
1492807504764859344,1
1492807504866740020,1
1492807504969072720,1
1492807505065018293,1
1492807505172983235,1
1492807505270563262,1
1492807505377545671,1
1492807505466782909,1
1492807505565918527,1
1492807505668572346,1
1492807505765115072,1
1492807505866699479,1
1492807505965053811,1
1492807506068345353,1
1492807506171129885,1
1492807506265977682,1
1492807506364903142,1
1492807506466295008,1
1492807506592839819,1
1492807506665084592,1
1492807506772221521,1
1492807506872052603,1
1492807506965110358,1
1492807507070994945,1
1492807507165785479,1
1492807507265105269,1
1492807507365672077,1
1492807507465344869,1
1492807507565342588,1
1492807507665363528,1
1492807507767503343,1
1492807507868154931,1
1492807507964891074,1
1492807508068543274,1
1492807508166217407,1
1492807508265525969,1
1492807508398313587,1
1492807508466051613,1
1492807508581433510,1
1492807508673885606,1
1492807508767043858,1
1492807508867584464,1
1492807508969486102,1
1492807509065054784,1
1492807509167472912,1
1492807509265897391,1
1492807509364755727,1
1492807509467919813,1
1492807509568369644,1
1492807509667538110,1
1492807509798515142,1
1492807509877803566,1
1492807509965180844,1
1492807510073917412,1
1492807510165262691,1
1492807510265752766,1
1492807510366166204,1
1492807510469664669,1
1492807510565049155,1
1492807510665221170,1
1492807510765103273,1
1492807510865184264,1
1492807510966880966,1
1492807511065955430,1
1492807511167073628,1
1492807511265834422,1
1492807511379919081,1
1492807511466892851,1
1492807511566275887,1
1492807511664998962,1
1492807511787241277,1
1492807511866552131,1
1492807511966486845,1
