%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474303346173337836,24,1474307066819921970,/gps,0,1,34.1063686667,-117.712461,359.4,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303347172717413,25,1474307067820313930,/gps,0,1,34.1063723333,-117.7124555,359.7,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303348186261418,26,1474307068819999933,/gps,0,1,34.1063698333,-117.7124485,359.7,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303349171409530,27,1474307069818501949,/gps,0,1,34.1063646667,-117.712432,359.8,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303350168143001,28,1474307070817199945,/gps,0,1,34.106366,-117.712422167,360.1,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303351176150935,29,1474307071819902896,/gps,0,1,34.1063663333,-117.712413667,360.3,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303352176772223,30,1474307072822537899,/gps,0,1,34.1063676667,-117.7124035,360.2,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303353171534154,31,1474307073820949077,/gps,0,1,34.1063685,-117.7123975,360.0,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303354173199673,32,1474307074820693016,/gps,0,1,34.1063668333,-117.7123875,359.9,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303355173010657,33,1474307075821382045,/gps,0,1,34.1063698333,-117.7123775,359.8,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303356172259747,34,1474307076818872928,/gps,0,1,34.1063701667,-117.712373833,359.7,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303357175058700,35,1474307077822602987,/gps,0,1,34.1063781667,-117.712369667,359.6,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303358171273245,36,1474307078819200992,/gps,0,1,34.1063813333,-117.712360833,358.9,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303359173167810,37,1474307079820944070,/gps,0,1,34.1063796667,-117.712356833,358.2,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303360172806216,38,1474307080820504903,/gps,0,1,34.106366,-117.712352167,357.9,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303361171814641,39,1474307081818125963,/gps,0,1,34.1063505,-117.712363833,357.4,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303362175711395,40,1474307082821712970,/gps,0,1,34.106337,-117.712360167,356.9,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303363173025539,41,1474307083821238994,/gps,0,1,34.1063245,-117.712356833,356.3,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303364173643501,42,1474307084821882963,/gps,0,1,34.1063113333,-117.7123525,355.8,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1474303365183989457,43,1474307085832515954,/gps,0,1,34.1063025,-117.712347167,355.4,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
